study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,age,method_id,cs137_unit,pb210_unit,ra226_unit
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,10,11,0.4668000000000001,0.12244897959183453,0.02754333333333333,4.729336322638416,0.41476279549538897,69.15049,6.58218,16.00815,0.66754,1992.1,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,11,12,0.6074999999999999,0.14062500000000044,0.02939,5.0122167972827665,0.6420649717319225,57.32957,7.28282,15.98914,0.99612,1987,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,12,13,0.5324,0.1250000000000008,0.02570666666666666,7.679748280625442,0.48075224236715264,64.63723,6.42902,18.94845,0.72004,1980.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,13,14,0.6181999999999999,0.13846153846153778,0.02396333333333333,8.141024343276236,0.613833235483028,56.50702,7.67404,17.65907,0.90944,1973.6,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,14,15,0.5435999999999999,0.1403508771929794,0.02275,6.166542658774502,0.5537555307579504,61.71644,7.89088,17.18813,0.92816,1965.1,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,15,16,0.5494000000000001,0.1551724137931027,0.02205333333333333,4.508365166722602,0.5229703593398219,56.09385,7.89314,18.65562,0.8992,1955.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,16,17,0.7363000000000002,0.1298701298701318,0.01887333333333333,1.593644705299032,0.3966581671489291,53.76283,7.43514,20.71143,0.96308,1945.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,17,18,0.8227,0.1264367816091951,0.01808,1.2823256477685,0.367642763215229,33.36741,6.41909,23.32097,0.95383,1935.6,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,18,19,0.9600000000000002,0.120000000000001,0.01586333333333333,0.5376133734871743,0.19596007463607504,46.74257,5.35156,24.18434,0.73279,1925.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,19,20,0.6665999999999999,0.1285714285714285,0.01539333333333333,1.1926329058757608,0.33310237061109993,30.51936,5.96638,22.43025,0.95553,1915.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,20,21,1.0007,0.12380952380952276,0.01402999999999999,0.7287862602709417,0.2375114422223,29.67309,6.00612,24.15824,0.96875,1907,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,21,22,0.9172,0.13541666666666552,0.01306666666666666,0.22348871626166808,0.1533579570987567,20.20504,5.03785,26.11243,0.97922,1898,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,22,23,0.9616999999999999,0.1212121212121188,0.01198666666666666,NA,NA,43.39505,5.26459,22.56271,0.71749,1888.5,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,23,24,1.0279,0.12962962962963037,0.01191,NA,NA,30.75256,3.54595,21.83791,0.51319,1878.7,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,24,25,0.9617999999999999,0.11881188118811652,0.01233333333333333,NA,NA,21.96902,5.16277,23.87487,0.94544,1868.6,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,25,26,1.035,0.11214953271028127,0.01108333333333333,NA,NA,30.38235,5.85053,19.95761,0.87813,1858.6,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,26,27,1.0593,0.11818181818182034,0.01035,NA,NA,19.80886,3.81296,20.07834,0.67062,1848.4,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,27,28,0.9697999999999999,NA,0.01063666666666666,NA,NA,33.41622,5.5744,20.54031,0.82572,1838.7,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,28,29,1.0235,0.12149532710280278,0.01116333333333333,NA,NA,22.49012,5.09731,18.45865,0.85279,1828.4,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,29,30,0.9473,0.129999999999999,0.01090333333333333,NA,NA,38.54181,6.5491,20.98057,0.87279,1818.4,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,30,31,0.9083000000000001,0.12500000000000092,0.01103,NA,NA,25.2217,5.46399,19.66163,1.83836,1808.3,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,31,32,0.9359000000000002,0.14000000000000057,0.01170666666666666,NA,NA,30.1835,5.72552,19.87398,0.85856,1798.2,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,32,33,1.1197999999999997,0.15126050420168072,0.01479333333333333,NA,NA,42.24954,5.4349,25.06667,0.72443,1788.3,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,33,34,1.0859,0.12280701754386009,0.01593,NA,NA,45.75347,4.51435,35.59472,0.62291,1778.2,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,34,35,0.9012000000000001,0.13541666666666602,0.02303666666666666,NA,NA,45.41301,6.27825,27.42097,0.87747,1768.1,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,0,1,0.41680000000000006,0.3103,0.04391000000000001,5.298289185374495,0.5679766006721458,73.05300670898646,8.56116840629849,20.910711983333332,1.0078963166666666,2017.3,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,1,2,0.43099999999999983,0.1739,0.03536333333333334,4.195644796701882,0.5160643099943316,68.13340363623445,7.789918332122027,17.918154133333335,0.8690304833333333,2015.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,2,3,0.4598,0.2963,0.03067333333333333,3.275849666633257,0.4258604566623234,74.11218707319166,6.8375856608056145,20.362888983333335,0.8084067,2013.6,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,3,4,0.4886999999999999,0.2353,0.02572,3.3541286002068187,0.5115046115315399,100.93175017099615,9.398720876684507,19.2024119,0.9409181833333333,2010.8,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,4,5,0.5418000000000001,0.2308,0.02400666666666666,2.6550476447614018,0.4890597761650503,56.31884531353556,7.414290546684,18.9938766,0.9022091333333332,2008.5,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,5,6,0.6091,0.14285714285714285,0.03617666666666666,1.5025983507005078,0.3842143982741197,66.56306239423216,7.644378038135011,15.5843233,0.8103848166666665,2005.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,6,7,0.6738,0.16901408450704344,0.03547333333333333,3.4100984428392325,0.4767317623089247,59.410558894305694,7.456529550974712,14.593457316666669,0.85663595,2002.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,7,8,0.6258000000000001,0.14516129032258102,0.03506,2.713226995156264,0.46179123457559634,59.447071251695526,7.473868606126373,18.02248091666667,0.8812993166666667,1999.4,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,8,9,0.6078999999999999,0.15625000000000208,0.0351,3.9022880053718465,0.5065169830972656,65.1907171265449,7.78255228566144,14.733549583333334,0.8339189,1995.8,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,9,10,0.6055999999999999,0.15873015873015558,0.03823333333333333,3.5825870084000204,0.4428077542382424,47.51570680479953,6.8169330352245865,15.874197833333334,0.80640925,1992.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,10,11,0.6711,0.14084507042253705,0.03585333333333333,2.2448513455129526,0.3407684342488661,69.56850556503804,6.072140499693623,17.093616116666666,0.6563948666666666,1987.4,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,11,12,0.6973,0.15277777777777724,0.03544666666666667,3.4278878746365256,0.469620638825204,59.80783374858565,7.206566910015175,18.560549183333332,0.8834821333333333,1982,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,12,13,0.7178000000000002,0.13513513513513253,0.03221666666666667,2.0511649686506046,0.4293088279385716,56.100512436424374,7.178282366171929,16.447865066666665,0.87173685,1976.3,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,13,14,0.6929999999999998,0.1388888888888911,0.03034,2.4011213593098306,0.31430678593365674,46.49020138579606,5.354092632755955,18.68846303333333,0.6653092833333333,1971.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,14,15,0.9171999999999998,0.1458333333333338,0.02659761685260507,1.5456352719218376,0.3819264756918861,41.196468482123315,6.7117773228988,20.271279999999997,0.8818006833333334,1965.6,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,15,16,0.8295999999999999,0.14942528735632052,0.02794522131329403,1.199737578367151,0.36136095860418577,40.03000104183113,6.709145267313046,21.164406883333335,0.9100695000000002,1959.4,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,16,17,0.9497000000000002,0.13131313131313052,0.02064358609286391,0,0,46.35261072421151,6.687445249198677,20.0867121,0.8918500166666665,1951.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,17,18,0.9684,0.13725490196078494,0.01801885044241764,0.8666485062439573,0.2967404485379311,42.202558524951456,6.663619506234517,20.399486366666668,0.8669781666666666,1944.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,18,19,1.0260999999999998,0.1308411214953276,0.01851666666666666,0.7012792423746618,0.2754624864047672,26.74502874398336,5.742303041732341,21.914798816666668,0.9028897166666667,1936.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,19,20,0.9397,0.1414141414141422,0.02086666666666666,0.2832837973593396,0.16977197975745223,35.03325609167291,6.194000389368896,20.67322375,0.8682754,1928.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,20,21,0.9235999999999996,0.14583333333333062,0.02042666666666667,NA,NA,32.5006404482683,5.982748125737024,20.125110899999996,0.9016049666666667,1920.6,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,21,22,0.9107999999999998,0.14736842105263215,0.01836,NA,NA,28.55347028263973,5.654398914827389,19.895943999999997,0.87144235,1912.3,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,22,23,1.044,0.1284403669724776,0.02023333333333333,NA,NA,31.63089411105421,5.990861898474595,21.531955833333335,0.90218895,1903.7,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,23,24,1.1353000000000002,0.1260504201680689,0.01826666666666666,NA,NA,36.31908588829237,6.183724698219597,23.003495516666668,0.8764331833333333,1894.5,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,24,25,1.015,0.11428571428571516,0.01879,NA,NA,39.782870251564745,6.342499090379501,22.9850968,0.9194038666666665,1884.9,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,25,26,0.9125999999999999,0.1546391752577307,0.02917333333333333,NA,NA,53.931515762228315,7.208072566707138,26.023905716666665,0.9602821166666665,1875,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,26,27,0.8839000000000001,0.14893617021276637,0.02730666666666666,NA,NA,41.29872701454754,6.65425611907626,23.77902405,0.93927145,1864.5,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,27,28,1.0193,0.12264150943396147,0.01536666666666666,NA,NA,34.24090981622461,4.805764669391712,21.860594133333333,0.6886087166666667,1854.2,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,28,29,1.1473999999999998,0.08620689655172535,0.01291999999999999,NA,NA,34.54614595073279,5.70243737046025,22.305736949999996,0.86100145,1843.8,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,29,30,1.1389999999999998,0.0932203389830504,0.01214,NA,NA,38.01499387914389,5.671860485526622,20.2722915,0.7804832166666668,1833,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,30,31,1.16,0.10743801652892766,0.01165333333333333,NA,NA,15.616311535768524,4.42296554425398,20.80262645,0.8341853166666665,1822.9,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-PWA1,31,32,1.1689000000000005,0.08333333333333162,0.0111,NA,NA,31.366024943872493,3.6108713770970593,20.104799283333332,0.5026199833333334,1813.2,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,0,1,0.49129999999999985,0.1563,0.04237333333333333,1.363387676029019,0.29967261119117833,66.23364236214675,5.817431176003482,17.594226233333334,0.6439486833333333,2017.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,1,2,0.45640000000000014,0.2174,0.02284333333333333,4.143232101640091,0.54980689988764,60.92842346517914,8.196559621466573,18.630097483333333,1.00416225,2016.5,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,2,3,0.5085,0.1212,0.02071666666666666,4.1213647243785445,0.5427837342006544,81.71095550823075,8.906555948816415,20.817235516666663,0.9992273,2014.8,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,3,4,0.5337999999999998,0.16219999999999998,0.02081999999999999,3.9610327075947342,0.521271904319467,65.01893249017797,7.75366550334592,17.386958583333335,0.9162927166666667,2013.3,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,4,5,0.5066999999999999,0.175,0.01815333333333333,5.079836461802982,0.5120475153497405,65.2254993575187,7.931828998566253,19.49781246666667,0.9027487166666666,2011.6,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,5,6,0.6448,0.1470588235294139,0.02439333333333333,1.6244407854562086,0.426740594339346,56.73899052136185,7.613706299136679,15.6643448,0.9226299166666667,2009.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,6,7,0.4621,0.16326530612244602,0.02697666666666666,3.649878354236912,0.5339772032248603,50.507018860269945,7.297830202036349,14.431084383333332,0.8932841166666667,2008.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,7,8,0.5227999999999999,0.15094339622641825,0.02669666666666666,3.0973421318496404,0.5206632123639243,54.643890072935626,7.822173056553974,18.1445136,0.9743603833333332,2007.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,8,9,0.4701,0.1599999999999966,0.02811666666666667,5.185432028731373,0.5449889062196672,57.64275893997128,7.8213982442008625,17.81334763333333,0.93520075,2005.5,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,9,10,0.5512000000000001,0.15789473684210492,0.03280666666666667,3.7852425415799953,0.5386400136668332,81.60142805459658,8.56038576620246,15.784449083333334,0.8949782666666667,2002.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,10,11,0.48490000000000005,0.1599999999999966,0.03644,3.327644182145674,0.49981215615828023,88.7608321774326,8.367657647857664,17.61056831666667,0.8593957333333333,1999.8,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,11,12,0.5148999999999999,0.16363636363636316,0.04532333333333334,5.114494872513238,0.4260374228803529,68.89130369902176,6.962289337238339,14.766121083333331,0.6925310833333334,1997,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,12,13,0.4559,0.16666666666666294,0.04292,5.834432561074665,0.550186990509341,82.56250659481236,8.50556073653701,15.931334666666666,0.8539195333333335,1993.4,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,13,14,0.6803999999999999,0.19718309859154984,0.04058,6.232314624002509,0.5908234263554379,93.38340875707152,8.416682372257668,17.70470105,0.9047102166666665,1987.4,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,14,15,0.7436,0.205128205128205,0.05008,8.714097391321513,0.5916872128707308,104.45433639867736,9.315101121597353,15.055542183333332,0.82052705,1978.5,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,15,16,0.643,0.19696969696969535,0.04934666666666668,8.690462554371585,0.6257133039147543,107.55689451974644,8.95980829908659,18.750394016666668,0.8943937999999998,1966.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,16,17,0.47279999999999994,0.18749999999999953,0.04484999999999999,7.991942668353663,0.4699262288991954,106.8188814688162,7.667620741834085,16.389187266666667,0.6801512666666666,1953.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,17,18,0.7295,0.1428571428571422,0.03142333333333333,3.3237063194647742,0.48858482896132177,55.788895639406405,7.426760653891208,18.686482133333335,0.8932138500000002,1943.1,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,18,19,0.8243999999999998,0.16279069767441937,0.02205,2.802979420912006,0.4336209164150874,47.943079193117136,7.068832244827836,22.981564733333336,0.9376478333333332,1932.5,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,19,20,0.7608599999999999,0.16249999999999862,0.02005333333333333,1.883326516938015,0.4069868603103051,36.193131999211715,6.102241820069119,24.330395666666668,0.95618455,1923.3,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,20,21,0.8243,0.14942528735632113,0.01902333333333333,1.4488933980324248,0.3600500094110577,24.956923870801823,5.6441837393594705,20.993030166666667,0.93418985,1915,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,21,22,0.8717,0.13043478260869312,0.01869,1.0523143613828765,0.34273878750240283,37.510460697239026,6.4772192404561935,21.97012576666667,0.9227452833333333,1905.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,22,23,1.0284,0.11111111111111184,0.01731333333333333,0.3696552123140891,0.2066372636835758,28.4907005104304,5.806935036879705,20.045150983333333,0.8940137333333332,1895.4,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,23,24,0.9953,0.11538461538461604,0.01831666666666667,1.5274203080694406,0.292042762902877,38.46981239571191,5.123780778366844,21.92488405,0.7366761,1884.5,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,24,25,1.0396,0.1100917431192637,0.01607999999999999,1.2515150392395735,0.33603178803582556,18.082857977316127,4.7003830367764925,19.383489433333335,0.8800104166666666,1874.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,25,26,0.9662,0.13725490196078144,0.01739333333333333,0.058731640969480976,0.03082236518078361,33.08612420456256,3.9654196764450904,22.574794283333333,0.5485675000000001,1864.6,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,26,27,0.9737,0.1359223300970878,0.01852,NA,NA,15.139216774913486,4.598023756844293,22.6353116,0.9212571833333333,1855,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,27,28,0.9103000000000001,0.1354166666666692,0.01768666666666666,NA,NA,38.02058234581746,6.600768026290783,23.883701183333333,0.97923175,1844.7,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,28,29,1.0876,0.12280701754386009,0.02984999999999999,NA,NA,26.783359559569117,4.104183607945297,21.13741878333333,0.6298950833333332,1834.7,single set of studies,NA,becquerelsPerKilogram,becquerelsPerKilogram
