study_id,site_id,core_id,genus,species,common_name
Doughty_et_al_2016,KCSC-20C,MC-03A,Salicornia,bigelovii,dwarf saltwort
Doughty_et_al_2016,KCSC-20C,MC-03C,Salicornia,bigelovii,dwarf saltwort
Doughty_et_al_2016,KCSC-20C,MC-02A,Spartina,alterniflora,smooth cordgrass
Doughty_et_al_2016,KCSC-20C,MC-02C,Spartina,alterniflora,smooth cordgrass
Doughty_et_al_2016,KCSC-20C,MC-02B,Spartina,alterniflora,smooth cordgrass
Doughty_et_al_2016,MIPineIsland,MC-22B,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIPineIsland,MC-22C,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIPineIsland,MC-22A,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIPineIsland,MC-21B,Batis,maritima,turtleweed
Doughty_et_al_2016,MIPineIsland,MC-20A,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIPineIsland,MC-20B,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIPineIsland,MC-20C,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIPineIsland,MC-19B,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIPineIsland,MC-19C,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIPineIsland,MC-19A,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIPineIsland,MC-21C,Salicornia,bigelovii,dwarf saltwort
Doughty_et_al_2016,MIPineIsland,MC-21A,Salicornia,bigelovii,dwarf saltwort
Doughty_et_al_2016,MIT-9N,MC-11A,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIT-9N,MC-11B,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIT-9N,MC-11C,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIT-9N,MC-14C,Batis,maritima,turtleweed
Doughty_et_al_2016,MIT-9N,MC-14A,Batis,maritima,turtleweed
Doughty_et_al_2016,MIT-9N,MC-14B,Batis,maritima,turtleweed
Doughty_et_al_2016,MIT-9N,MC-13C,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIT-9N,MC-13A,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIT-9N,MC-13B,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIT-9N,MC-12A,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIT-9N,MC-12B,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIT-9N,MC-12C,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIT-9N,MC-10A,Rhizophora,mangle,red mangrove
Doughty_et_al_2016,MIT-9N,MC-10B,Rhizophora,mangle,red mangrove
Doughty_et_al_2016,MIT-9N,MC-10C,Rhizophora,mangle,red mangrove
Doughty_et_al_2016,MIT-9S,MC-15A,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIT-9S,MC-15C,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIT-9S,MC-15B,Avicennia,germinans,black mangrove
Doughty_et_al_2016,MIT-9S,MC-17A,Batis,maritima,turtleweed
Doughty_et_al_2016,MIT-9S,MC-17C,Batis,maritima,turtleweed
Doughty_et_al_2016,MIT-9S,MC-17B,Batis,maritima,turtleweed
Doughty_et_al_2016,MIT-9S,MC-18B,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIT-9S,MC-18A,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIT-9S,MC-18C,Distichlis,spicata,saltgrass
Doughty_et_al_2016,MIT-9S,MC-16B,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIT-9S,MC-16A,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,MIT-9S,MC-16C,Laguncularia,racemosa,white mangrove
