study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_accuracy,core_position_method,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,core_length_flag
Doughty_et_al_2016,MIT-9S,MC-17A,2013-05-16,28.707999,-80.738076,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-17B,2013-05-16,28.708023,-80.738149,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-17C,2013-05-16,28.708024,-80.738208,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-18A,2013-05-16,28.70822,-80.738028,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-18B,2013-05-16,28.708207,-80.737974,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-18C,2013-05-16,28.708193,-80.737976,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-19A,2013-05-17,28.490304,-80.723394,5,handheld,brine,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-19B,2013-05-17,28.49026,-80.723387,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-19C,2013-05-17,28.490288,-80.723423,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-20A,2013-05-17,28.490444,-80.723378,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-20B,2013-05-17,28.490484,-80.723356,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-20C,2013-05-17,28.490504,-80.723322,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-21A,2013-05-17,28.490523,-80.723405,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-21B,2013-05-17,28.490526,-80.723411,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-21C,2013-05-17,28.49047,-80.72343,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-22A,2013-05-17,28.490777,-80.722877,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-22B,2013-05-17,28.49075,-80.722922,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIPineIsland,MC-22C,2013-05-17,28.490709,-80.722914,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-23A,2013-07-11,28.58174,-80.670576,5,handheld,NA,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-23B,2013-07-11,28.581749,-80.670544,5,handheld,NA,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-23,2013-07-11,28.581773,-80.670524,5,handheld,NA,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
