study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,bi214_activity,bi214_activity_se,bi214_unit
Weston_et_al_2023,Connecticut,CON_1,single set of methods,13.689,14.742,0.47529072683281054,0.15927056429521794,1.678052e-7,4.534658e-8,microcuriesPerGram,1.210203e-6,2.788125e-7,microcuriesPerGram,4.9621e-7,9.72707e-9,microcuriesPerGram,4.343447e-7,2.078599e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,14.742,15.795,0.3926564567155873,0.2045988758303524,3.934457e-7,1.086594e-8,microcuriesPerGram,1.97105e-6,3.795562e-7,microcuriesPerGram,5.875346e-7,1.536421e-8,microcuriesPerGram,5.209774e-7,2.050906e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,15.795,16.848,0.4256794819133142,0.1965864065833582,5.737287e-7,1.808328e-8,microcuriesPerGram,1.175628e-6,2.497716e-7,microcuriesPerGram,5.899442e-7,2.803011e-8,microcuriesPerGram,3.993769e-7,1.537001e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,16.848,17.901,0.4306764030626199,0.15550918196994998,9.717072e-7,3.470699e-8,microcuriesPerGram,1.193171e-6,2.57573e-7,microcuriesPerGram,5.820796e-7,1.118527e-8,microcuriesPerGram,5.028209e-7,2.057816e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,17.901,18.954,0.5911136121273675,0.1118301314459048,9.523152e-7,3.09198e-8,microcuriesPerGram,8.157585e-7,1.54888e-7,microcuriesPerGram,5.079951e-7,1.822703e-8,microcuriesPerGram,4.37404e-7,1.539334e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,18.954,20.007,0.6065000869236095,0.12796092796092798,7.675169e-7,2.153078e-8,microcuriesPerGram,8.939111e-7,1.864e-7,microcuriesPerGram,5.209475e-7,1.936526e-8,microcuriesPerGram,4.817595e-7,1.771824e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,20.007,21.06,0.5729194131180896,0.10256245996156305,2.085522e-7,8.252353e-9,microcuriesPerGram,7.820503e-7,1.711068e-7,microcuriesPerGram,5.373612e-7,1.60545e-8,microcuriesPerGram,4.857785e-7,1.421416e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,21.06,22.113,0.5982096297828631,0.10297378374853246,1.080558e-7,8.61312e-9,microcuriesPerGram,8.829621e-7,1.748032e-7,microcuriesPerGram,4.887215e-7,1.474308e-8,microcuriesPerGram,4.823112e-7,1.526047e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,22.113,23.166,0.672267313015167,0.14700405301785552,6.510584e-8,6.796957e-9,microcuriesPerGram,7.536531e-7,1.478259e-7,microcuriesPerGram,5.01683e-7,1.0103e-8,microcuriesPerGram,2.705453e-7,9.607297e-9,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,23.166,24.219,0.6897370558636658,0.12353247354114884,4.785299e-8,4.130843e-9,microcuriesPerGram,6.996132e-7,1.377895e-7,microcuriesPerGram,5.209827e-7,1.537571e-8,microcuriesPerGram,4.868517e-7,1.61751e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,24.219,25.272,0.9233650359145412,0.05707314170088694,1.53197e-8,2.067399e-9,microcuriesPerGram,5.533163e-7,1.186665e-7,microcuriesPerGram,4.734794e-7,1.201937e-8,microcuriesPerGram,4.142994e-7,1.046598e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,26.325,27.378,0.40983154680625655,0.18271504280472892,1.272347e-9,9.829337e-9,microcuriesPerGram,7.589035e-7,1.54684e-7,microcuriesPerGram,5.239699e-7,2.505038e-8,microcuriesPerGram,5.089842e-7,1.345812e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,27.378,28.431,0.34410571820960084,0.22906045156591393,4.242895e-8,7.913806e-9,microcuriesPerGram,9.817801e-7,2.293156e-7,microcuriesPerGram,5.40308e-7,1.841475e-8,microcuriesPerGram,4.728161e-7,2.579314e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,28.431,29.484,0.3961776789289869,0.2390697674418606,9.906728e-9,4.590328e-9,microcuriesPerGram,1.0748e-6,2.149239e-7,microcuriesPerGram,4.759878e-7,2.205356e-8,microcuriesPerGram,4.993742e-7,1.896682e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,29.484,30.537,0.4206375105489683,0.18685878092939057,NA,NA,NA,9.330319e-7,2.024971e-7,microcuriesPerGram,4.868676e-7,1.487502e-8,microcuriesPerGram,3.737601e-7,1.028468e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,30.537,31.59,0.4950629009418692,0.17041026816410754,1.203365e-8,4.176744e-9,microcuriesPerGram,7.279132e-7,1.487473e-7,microcuriesPerGram,4.960239e-7,1.205155e-8,microcuriesPerGram,4.788176e-7,3.139336e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,31.59,32.643,0.4393406552308607,0.16339937337304322,1.111031e-8,3.384299e-8,microcuriesPerGram,7.559985e-7,1.586615e-7,microcuriesPerGram,5.216358e-7,1.12262e-8,microcuriesPerGram,5.040307e-7,1.586381e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,32.643,33.696,0.5046111113835983,0.1563884785819789,NA,NA,NA,4.858135e-7,1.738309e-7,microcuriesPerGram,5.579446e-7,1.1455260000000001e-08,microcuriesPerGram,2.631553e-9,4.659296e-10,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,33.696,34.749,0.6719495263631278,0.10641336951864022,1.807088e-8,3.887686e-9,microcuriesPerGram,4.931693e-7,1.220635e-7,microcuriesPerGram,4.570454e-7,1.329038e-8,microcuriesPerGram,3.855191e-7,1.278742e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,34.749,35.802,0.6811616865521256,0.10465353955167948,1.759795e-8,3.785941e-9,microcuriesPerGram,4.802624e-7,1.18869e-7,microcuriesPerGram,4.450839e-7,1.294256e-8,microcuriesPerGram,3.754296e-7,1.245275e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,35.802,36.855,0.5326603493262291,0.12723549488054603,2.294857e-8,4.937049e-9,microcuriesPerGram,6.262854e-7,1.550109e-7,microcuriesPerGram,5.80411e-7,1.687772e-8,microcuriesPerGram,4.895783e-7,1.623899e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,42.12,43.173,0.8622282413850718,0.07398058252427189,0,NA,microcuriesPerGram,4.39919e-7,1.599112e-7,microcuriesPerGram,4.296149e-7,7.861596e-9,microcuriesPerGram,3.355777e-7,1.060471e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,43.173,44.226,0.8174300640345827,0.09967043733855913,1.467914e-8,3.870334e-9,microcuriesPerGram,2.772212e-7,1.590842e-7,microcuriesPerGram,4.715075e-7,8.152362e-9,microcuriesPerGram,4.303918e-7,1.372151e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,44.226,45.279,0.6775966316970653,0.10256095314131287,0,NA,microcuriesPerGram,5.001662e-7,1.18189e-7,microcuriesPerGram,4.832e-7,1.235749e-8,microcuriesPerGram,3.926654e-7,2.103059e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,45.279,46.332,0.8546403240842744,0.1116154131159687,0,NA,microcuriesPerGram,5.155476e-7,9.971979e-8,microcuriesPerGram,4.376424e-7,9.396038e-9,microcuriesPerGram,3.470427e-7,1.08067e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,46.332,47.385,0.918226876253218,0.06969540526587507,0,NA,microcuriesPerGram,2.215514e-7,2.006034e-7,microcuriesPerGram,4.462206e-7,9.204086e-9,microcuriesPerGram,4.199605e-7,1.367522e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,0,1.047,0.22850808399024417,0.35333773959021886,1.086864e-7,7.672878e-9,microcuriesPerGram,5.938233e-6,1.13566e-6,microcuriesPerGram,6.737156e-7,3.240688e-8,microcuriesPerGram,NA,NA,NA
Weston_et_al_2023,Connecticut,CON_2,single set of methods,1.047,2.094,0.25872460254831475,0.2888319921970256,3.437845e-8,8.233559e-9,microcuriesPerGram,5.311602e-6,1.010355e-6,microcuriesPerGram,5.300582e-7,1.851382e-8,microcuriesPerGram,4.544072e-7,1.664632e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,2.094,3.141,0.25065209104249175,0.2109035498617305,8.60417e-8,6.824481e-9,microcuriesPerGram,4.989704e-6,9.768453e-7,microcuriesPerGram,4.456749e-7,1.385473e-8,microcuriesPerGram,NA,NA,NA
Weston_et_al_2023,Connecticut,CON_2,single set of methods,3.141,4.188,0.22265033846165985,0.3319188436546879,7.519211e-10,1.360713e-7,microcuriesPerGram,3.435483e-6,9.341975e-7,microcuriesPerGram,4.987033e-7,2.249017e-8,microcuriesPerGram,NA,NA,NA
Weston_et_al_2023,Connecticut,CON_2,single set of methods,4.188,5.235,0.20572606848715927,0.4608484395440104,NA,6.997216e-7,NA,3.471539e-6,NA,microcuriesPerGram,3.746235e-7,2.560135e-8,microcuriesPerGram,NA,NA,NA
Weston_et_al_2023,Connecticut,CON_2,single set of methods,5.235,6.282,0.220627949078376,0.3038958913079069,NA,NA,NA,4.585265e-6,8.813038e-7,microcuriesPerGram,4.141786e-7,2.721527e-8,microcuriesPerGram,NA,NA,NA
Weston_et_al_2023,Connecticut,CON_2,single set of methods,6.282,7.329,0.22156669815394003,0.2654320987654324,8.803866e-8,7.039605e-9,microcuriesPerGram,2.595216e-6,5.470525e-7,microcuriesPerGram,5.061257e-7,2.508184e-8,microcuriesPerGram,NA,NA,NA
Weston_et_al_2023,Connecticut,CON_2,single set of methods,7.329,8.376,0.3045613699914837,0.16082089552238843,8.489348e-8,1.608604e-8,microcuriesPerGram,2.568325e-6,5.296592e-7,microcuriesPerGram,4.61218e-7,2.198937e-8,microcuriesPerGram,4.393573e-7,2.739733e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,8.376,9.423,0.22854582876500745,0.2276649039799609,1.011377e-7,2.629089e-8,microcuriesPerGram,2.810178e-6,5.351795e-7,microcuriesPerGram,4.618502e-7,2.266765e-8,microcuriesPerGram,4.138604e-7,1.972552e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,9.423,10.47,0.29801934822364257,0.15077809798270875,1.758843e-7,1.857249e-8,microcuriesPerGram,2.9577e-6,5.95284e-7,microcuriesPerGram,5.902263e-7,1.76876e-8,microcuriesPerGram,5.354095e-7,2.009368e-7,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,10.47,11.517,0.31286400286602467,0.21667104917170676,2.75519e-7,1.717869e-8,microcuriesPerGram,1.784541e-6,4.66249e-7,microcuriesPerGram,5.512407e-7,1.199998e-8,microcuriesPerGram,6.640363e-7,4.427804e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,11.517,12.564,0.2985952604321273,0.17734831460674105,3.268748e-7,1.434701e-8,microcuriesPerGram,2.047051e-6,4.416278e-7,microcuriesPerGram,6.3969e-7,1.456627e-8,microcuriesPerGram,6.50967e-7,2.350401e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,12.564,13.611,0.2946198833481889,0.22237183803020133,6.927673e-7,2.915651e-8,microcuriesPerGram,2.524421e-6,5.245388e-7,microcuriesPerGram,6.239687e-7,2.017999e-8,microcuriesPerGram,4.849277e-7,4.09924e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,13.611,14.658,0.33897242884179557,0.19806812404677152,1.159439e-6,3.664741e-8,microcuriesPerGram,2.314563e-6,4.579468e-7,microcuriesPerGram,7.685721e-7,4.444694e-8,microcuriesPerGram,5.579075e-7,3.616206e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,14.658,15.705,0.29078330962950893,0.1534310384003637,2.325285e-6,7.961465e-8,microcuriesPerGram,1.894798e-6,4.971417e-7,microcuriesPerGram,7.688313e-7,2.372526e-8,microcuriesPerGram,5.556595e-7,3.494116e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,15.705,16.752,0.2851349867221918,0.1969024459344603,1.938187e-6,5.159036e-8,microcuriesPerGram,1.213174e-6,3.014578e-7,microcuriesPerGram,6.233957e-7,3.26423e-8,microcuriesPerGram,5.683025e-7,6.821518e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,16.752,17.799,0.33651901848218263,0.2052643556094969,1.86384e-6,7.326349e-8,microcuriesPerGram,1.62842e-6,3.135366e-7,microcuriesPerGram,6.832631e-7,1.401609e-8,microcuriesPerGram,6.166679e-7,2.444593e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,17.799,18.846,0.29704041922655633,0.16300451924575346,1.14688e-6,4.991401e-8,microcuriesPerGram,1.00824e-6,2.589796e-7,microcuriesPerGram,6.953119e-7,4.502003e-8,microcuriesPerGram,7.252058e-8,8.462592e-9,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,18.846,19.893,0.3437538395029368,0.18711308745313435,7.117391e-7,2.57239e-8,microcuriesPerGram,9.917227e-7,2.680247e-7,microcuriesPerGram,6.952048e-7,2.661537e-8,microcuriesPerGram,2.645222e-7,1.913724e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_2,single set of methods,19.893,20.94,0.3757005298332207,0.11561750977671252,2.921411e-7,2.351534e-8,microcuriesPerGram,7.825885e-7,2.263634e-7,microcuriesPerGram,6.423095e-7,2.134697e-8,microcuriesPerGram,5.853775e-7,1.528357e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,0,1.042,0.22599379496165828,0.16807108932128106,1.941594e-8,8.325077e-9,microcuriesPerGram,3.823779e-6,7.252382e-7,microcuriesPerGram,5.025173e-7,5.595408e-8,microcuriesPerGram,6.537585e-7,2.819255e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,1.042,2.084,0.25374716257308033,0.17250421427233575,NA,0,NA,2.742263e-6,5.603999e-7,microcuriesPerGram,5.032051e-7,1.41474e-8,microcuriesPerGram,3.817617e-7,2.743992e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,2.084,3.126,0.2598021549891372,0.16353648578427735,4.069473e-8,1.022854e-8,microcuriesPerGram,1.802644e-6,3.754237e-7,microcuriesPerGram,5.267649e-7,2.741936e-8,microcuriesPerGram,5.487942e-7,2.865558e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,3.126,4.168,0.25027951358837686,0.166302512662628,9.510872e-8,2.305495e-8,microcuriesPerGram,1.466276e-6,3.144776e-7,microcuriesPerGram,3.929912e-7,1.913494e-8,microcuriesPerGram,4.490662e-7,2.975093e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,4.168,5.21,0.1839473334487498,0.2720309157408049,NA,NA,NA,1.772921e-6,3.952537e-7,microcuriesPerGram,4.017321e-7,1.069806e-8,microcuriesPerGram,3.794714e-7,3.057117e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,5.21,6.252,0.18791175237227312,0.18297575440432545,4.038035e-8,1.105417e-7,microcuriesPerGram,1.843312e-6,3.758333e-7,microcuriesPerGram,4.665101e-7,9.405501e-8,microcuriesPerGram,8.934574e-7,4.62656e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,6.252,7.294,0.2391764619410769,0.2208379137657263,2.978114e-8,6.698825e-9,microcuriesPerGram,2.256633e-6,4.373185e-7,microcuriesPerGram,2.92033e-7,1.909762e-8,microcuriesPerGram,3.2847e-7,1.570783e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,7.294,8.336,0.22050619174042996,0.18129344335596104,8.157078e-8,1.412468e-8,microcuriesPerGram,2.970459e-6,5.98142e-7,microcuriesPerGram,3.891776e-7,1.925428e-8,microcuriesPerGram,6.077925e-7,4.760551e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,8.336,9.378,0.3123940195415529,0.22896670990056212,2.93521e-8,8.312826e-8,microcuriesPerGram,2.581612e-6,5.730778e-7,microcuriesPerGram,5.188828e-7,1.160673e-8,microcuriesPerGram,4.844181e-7,2.453777e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,9.378,10.42,0.36052469523162534,0.12348705377661998,4.263669e-8,3.955707e-9,microcuriesPerGram,1.752823e-6,3.91758e-7,microcuriesPerGram,4.087386e-7,2.608753e-8,microcuriesPerGram,3.718664e-7,1.582666e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,10.42,11.462,0.2856025348999046,0.17188713435154018,7.346018e-8,1.050316e-8,microcuriesPerGram,2.033041e-6,4.163382e-7,microcuriesPerGram,5.285375e-7,2.398734e-8,microcuriesPerGram,5.663626e-7,2.395938e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,11.462,12.504,0.34377940854390554,0.21764227642276401,5.803371e-8,9.135854e-8,microcuriesPerGram,5.946785e-7,9.380707e-7,microcuriesPerGram,5.50824e-7,1.946699e-8,microcuriesPerGram,5.02277e-7,2.769808e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,12.504,13.546,0.3128822664667165,0.20781019202363385,8.006443e-9,1.687141e-7,microcuriesPerGram,1.721934e-6,3.354127e-7,microcuriesPerGram,4.902793e-7,1.900252e-8,microcuriesPerGram,4.574791e-7,2.68375e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,14.588,15.63,0.7091147361977792,0.08352849336455893,1.2593e-7,6.475283e-9,microcuriesPerGram,7.104195e-7,1.608056e-7,microcuriesPerGram,4.613001e-7,1.271121e-8,microcuriesPerGram,3.771639e-7,1.340924e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,15.63,16.672,0.5226555488672023,0.08891890818069872,9.893359e-8,9.520844e-8,microcuriesPerGram,5.264443e-7,3.534054e-7,microcuriesPerGram,5.195997e-7,2.146705e-8,microcuriesPerGram,4.790439e-7,2.061341e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,16.672,17.714,0.44274133767969376,0.17879314626272683,1.590037e-7,6.48817e-9,microcuriesPerGram,7.62568e-7,1.70291e-7,microcuriesPerGram,5.061902e-7,1.293489e-8,microcuriesPerGram,4.051454e-7,1.478016e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,17.714,18.756,0.6278404955454132,0.14159556952551983,2.52369e-7,1.142362e-8,microcuriesPerGram,8.066401e-7,1.705325e-7,microcuriesPerGram,4.255709e-7,1.116647e-8,microcuriesPerGram,3.014545e-7,1.284291e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,18.756,19.798,0.5151930416244892,0.10452275782600376,5.522967e-7,2.212968e-8,microcuriesPerGram,9.344313e-7,1.863952e-7,microcuriesPerGram,5.218226e-7,1.601505e-8,microcuriesPerGram,5.686943e-7,2.086457e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,19.798,20.84,0.7092742383104884,0.06850160091648749,6.957444e-7,2.394355e-8,microcuriesPerGram,9.123679e-7,1.780629e-7,microcuriesPerGram,5.390270000000002e-7,1.906206e-8,microcuriesPerGram,9.189982e-7,2.02381e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,20.84,21.882,0.552605418855171,0.12557766367137335,5.399696e-7,1.986311e-8,microcuriesPerGram,1.004286e-6,1.991319e-7,microcuriesPerGram,4.629701e-7,1.480728e-8,microcuriesPerGram,4.586174e-7,1.839991e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,21.882,22.924,0.4633828591816872,0.11467231599808692,3.894243e-7,9.628947e-9,microcuriesPerGram,6.52881e-7,1.596404e-7,microcuriesPerGram,3.965304e-7,8.890475e-9,microcuriesPerGram,4.369201e-7,2.126376e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,22.924,23.966,0.4320023404728523,0.14420295843318776,3.161348e-7,1.655095e-8,microcuriesPerGram,6.712872e-7,2.723874e-7,microcuriesPerGram,4.408311e-7,1.072824e-8,microcuriesPerGram,4.321569e-7,1.20158e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,23.966,25.008,0.6287329768325578,0.1426425326102889,9.643922e-8,5.173568e-9,microcuriesPerGram,2.936747e-7,3.886472e-7,microcuriesPerGram,4.627561e-7,9.739975e-9,microcuriesPerGram,2.310404e-7,9.697636e-9,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,25.008,26.05,0.8269892326367269,0.09208134274722006,4.247554e-8,5.179409e-9,microcuriesPerGram,6.996792e-7,1.451597e-7,microcuriesPerGram,4.599441e-7,1.060072e-8,microcuriesPerGram,3.594994e-7,1.214285e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,26.05,27.092,0.716837804143697,0.11771518103477616,3.114554e-8,3.809307e-9,microcuriesPerGram,2.499192e-7,2.187298e-7,microcuriesPerGram,4.402191e-7,8.974448e-9,microcuriesPerGram,4.085376e-7,1.629786e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_8,single set of methods,27.092,28.134,0.732684521677375,0.08447806986960439,4.640513e-8,1.261159e-9,microcuriesPerGram,1.104246e-8,4.84768e-7,microcuriesPerGram,5.050179e-7,1.597022e-8,microcuriesPerGram,5.741539e-7,1.839206e-8,microcuriesPerGram
Weston_et_al_2023,Delaware,DEL_3,single set of methods,0,1.068,0.14843751691600293,0.25627923713566003,1.899255e-8,8.779388e-8,microcuriesPerGram,3.650355e-6,8.519883e-7,microcuriesPerGram,5.222163e-7,3.441764e-8,microcuriesPerGram,6.096993e-9,1.889171e-9,microcuriesPerGram
Weston_et_al_2023,Delaware,DEL_3,single set of methods,1.068,2.136,0.20888106918910224,0.27346174913273685,1.400709e-8,1.730668e-9,microcuriesPerGram,3.47745e-6,7.702432e-7,microcuriesPerGram,4.020806e-7,3.823996e-8,microcuriesPerGram,6.08404e-7,3.510986e-8,microcuriesPerGram
Weston_et_al_2023,Delaware,DEL_3,single set of methods,2.136,3.204,0.3311670084263982,0.24557832678270636,7.507589e-8,2.035098e-7,microcuriesPerGram,7.232706e-6,1.606306e-6,microcuriesPerGram,6.990708e-7,2.593508e-8,microcuriesPerGram,1.043247e-8,1.559196e-9,microcuriesPerGram
