Coring location,Increment mid-depth (cm),Bulk density (g cm-3),C (%),N (%),P,Total 210Pb activity (dpm g-1),Total 210Pb error (dpm g-1),Unsupported 210Pb,Age (yr),Age uncertainty (+- yr),Vertical accretion (mm yr-1),Sediment accumulation (g m-2 yr-1),C accumulation (g-C m-2 yr-1),N accumulation (g-N m-2 yr-1),P accumulation (mg-P m-2 yr-1),dbd_modeled,c%modeled,n%modeled,p_modeled,total_pb210_activity_modeled,total_pb210_sd_modeled,unsupported_pb210_modeled
W1,16.5,0.13,25.4,1.73,0.68,4,0.09,2.02,78.5,1,2.1,122,31,2.11,83,,,,,,,
W1,17.5,0.22,23,1.37,0.59,3.38,0.07,1.4,91.9,2,1.9,116,26.7,1.59,68,,,,,,,
W1,18.5,0.31,8,0.52,0.63,2.67,0.06,0.69,120.5,5.9,1.5,96,7.7,0.5,61,,,,,,,
W1,19.5,0.52,7.3,0.51,0.65,1.98,0.05,,,,,,,,,,,,,,,
W2,0.5,0.13,16.9,1.05,0.68,7.12,0.19,5.27,0,0.3,,286,48.4,3,194,,,,,,,
W2,1.5,0.13,20.7,1.61,0.69,5.76,0.11,3.91,4.9,0.2,3.1,331,68.4,5.33,229,,,,,,,
W2,2.5,0.12,24.1,1.43,0.72,5.89,0.12,4.04,9,0.3,2.8,282,67.8,4.03,203,,,,,,,
W2,3.5,0.16,28.5,2.38,0.72,5.39,0.1,3.54,13.6,0.3,2.6,279,79.4,6.64,201,,,,,,,
W2,4.5,0.12,21.8,1.63,0.62,6.04,0.12,4.19,19.9,0.3,2.3,193,42.1,3.15,119,,,,,,,
W2,5.5,0.12,27.5,1.52,0.66,5.27,0.12,3.42,26.5,0.4,2.1,193,52.9,2.92,126,,,,,,,
W2,6.5,0.08,26.8,1.95,0.66,4.39,0.1,2.54,33.4,0.3,1.9,210,56.2,4.09,139,,,,,,,
W2,7.5,0.1,26,1.9,0.59,4.05,0.08,2.2,37.5,0.4,2,213,55.3,4.05,126,,,,,,,
W2,8.5,0.09,30,2.4,0.61,4.2,0.09,2.35,42.8,0.4,2,169,50.7,4.06,103,,,,,,,
W2,9.5,0.14,34.8,2.39,0.53,3.33,0.07,1.48,48.8,0.6,1.9,222,77.2,5.3,117,,,,,,,
W2,10.5,0.11,31.4,2.5,0.45,2.37,0.07,0.51,55.7,0.5,1.9,516,161.9,12.91,230,,,,,,,
W2,11.5,0.07,33.4,2.41,0.45,3.26,0.08,1.41,57.8,0.4,2,176,58.9,4.26,80,,,,,,,
W2,12.5,0.12,31.5,2.63,0.44,3.55,0.08,1.69,61.9,0.8,2,129,40.7,3.39,56,,,,,,,
W2,13.5,0.14,31,2.8,0.51,3.62,0.08,1.77,73,1.5,1.9,88,27.2,2.46,45,,,,,,,
W2,14.5,0.1,33.4,2.53,0.52,3.36,0.09,1.51,95.6,2.3,1.5,51,17,1.29,26,,,,,,,
W2,15.5,0.18,23.6,1.5,0.57,2.36,0.06,0.5,127.5,7.3,1.2,56,13.3,0.85,32,,,,,,,
W2,16.5,0.21,9.3,0.63,0.49,1.9,0.04,,,,,,,,,,,,,,,
W2,17.5,0.25,10.3,0.66,0.5,1.89,0.05,,,,,,,,,,,,,,,
W2,18.5,0.24,7.8,0.46,0.45,1.83,0.04,,,,,,,,,,,,,,,
W2,19.5,0.22,11.4,0.69,0.48,1.79,0.04,,,,,,,,,,,,,,,
W3,1,0.07,26.2,1.25,0.33,6.6,0.13,5.13,0,0.3,,230,60.2,2.88,76,,,,,,,
W3,3,0.15,33.2,2.05,0.57,4.54,0.09,3.07,6.8,0.6,4.4,310,102.8,6.34,177,,,,,,,
W3,5,0.1,32.2,2.4,0.5,3.53,0.07,2.05,18.1,0.5,2.8,326,104.9,7.83,162,,,,,,,
W3,7,0.12,31.1,2.36,0.47,3.55,0.07,2.08,25.3,0.7,2.8,258,80.2,6.08,120,,,,,,,
W3,9,0.1,31.2,2.17,0.51,3.45,0.07,1.98,36.6,0.8,2.5,190,59.4,4.12,97,,,,,,,
W3,11,0.12,32,1.98,0.26,3.1,0.07,1.63,49.9,1.3,2.2,153,48.9,3.02,40,,,,,,,
W3,13,0.1,26.6,1.81,0.37,2.41,0.06,0.94,70.3,1.7,1.8,141,37.4,2.55,52,,,,,,,
W3,15,0.13,30.7,1.79,0.37,2.35,0.06,0.87,89.9,4.3,1.7,82,25.2,1.47,30,,,,,,,
W3,17,,,,,2.16,,0.69,,,,,,,,,,,,2.16,,0.69
W3,19,0.16,,,,1.47,0.04,,,,,,,,,,,,,,,
W4,0.5,0.13,,,,,,,0,0.2,,317,44.4,1.97,289,,14,0.62,0.91,,,4.82
W4,1.5,0.13,,,,,,,4.4,0.2,3.4,277,38.8,1.72,252,,14,0.62,0.91,,,4.82
W4,2.5,0.12,14,0.62,0.91,6.79,0.12,5.43,9.3,0.3,2.7,211,29.5,1.31,192,,,,,,,
W4,3.5,0.16,13.4,0.59,0.68,6.24,0.11,4.88,15.6,0.4,2.2,192,25.7,1.14,130,,,,,,,
W4,4.5,0.12,14.9,0.67,0.68,4.53,0.09,3.18,25.2,0.3,1.8,219,32.6,1.47,149,,,,,,,
W4,5.5,0.12,17.6,0.74,0.72,6.74,0.16,5.39,31,0.6,1.8,108,19,0.8,78,,,,,,,
W4,6.5,0.08,15.2,1.04,0.75,6.58,0.14,5.22,44.5,0.6,1.5,73,11.1,0.76,55,,,,,,,
W4,7.5,,15.4,0.71,0.82,,,,58.3,0.8,1.3,57,8.8,0.4,46,0.09,,,,,,4.38
W4,8.5,0.09,15.1,0.79,0.66,4.9,0.09,3.54,79,1.3,1.1,37,5.6,0.29,24,,,,,,,
W4,9.5,0.14,17.2,0.75,0.68,1.81,0.06,0.46,128.9,5.6,0.7,60,10.3,0.45,41,,,,,,,
W4,10.5,0.11,19.8,0.85,0.49,1.59,0.04,0.24,168.9,10.4,0.6,33,6.5,0.28,16,,,,,,,
W4,11.5,0.07,18.2,0.87,0.66,1.32,0.04,,,,,,,,,,,,,,,
W4,12.5,0.12,14.9,0.86,0.61,1.35,0.03,,,,,,,,,,,,,,,
W4,13.5,0.14,17.4,0.77,0.65,1.34,0.04,,,,,,,,,,,,,,,
W4,14.5,0.1,16.9,0.8,0.59,1.4,0.03,,,,,,,,,,,,,,,
