"study_id","site_id","core_id","core_date","salinity_class","salinity_method","vegetation_class","vegetation_method","COE_REGION","CLASS_FIELD_FWSST","CLASS_FIELD_HGM","HUC10_NAME","MAJ_RIVER_BASIN","SANDT_RSTUDY","SANDT_COAST_REG","STATE_NAME","HIGH_TABLE","HIGH_TABLE_COMMENT","ESTCHANNEL_PRESENT","ESTCHANNEL_PRESENT_COMMENT","ESTSURGE_PRESENT","ESTSURGE_PRESENT_COMMENT","TIDAL_STAGE","inundation_notes"
"Nahlik_and_Fennessey_2016","NWCA11-2435","NWCA11-2435-2792",2011-05-18,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","North Edisto River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,"Y",NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-R067","NWCA11-R067-2811",2011-06-08,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Lower Yellow River","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Florida",NA,NA,"Y","SITE IMMEDIATELY ADJACENT TO BROAD TIDAL CHANNEL AND SITE INNUNDATED BY SURFACE WATER TIDAL SURGE.","Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1002","NWCA11-1002-2812",2011-05-26,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama",NA,NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1014","NWCA11-1014-3239",2011-05-04,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Wolf Bay Frontal","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1011","NWCA11-1011-3265",2011-05-10,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Rains Creek-Tensaw River","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama","Y",NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2410","NWCA11-2410-3275",2011-04-11,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS",NA,"Coosaw River-Port Royal Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1105","NWCA11-1105-3314",2011-05-12,"estuarine","field observation","emergent","field observation","Arid West","E2EM","TIDAL","San Francisco Bay","California","Coastal Watersheds","Pacific Coast Region","California",NA,NA,"Y",NA,NA,NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2402","NWCA11-2402-3315",2011-04-25,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Dasher Creek-Savannah River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2639","NWCA11-2639-3317",2011-06-13,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Currituck Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Virginia","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2637","NWCA11-2637-3339",2011-06-09,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Mobjack Bay-Lower Chesapeake Bay","Mid Atlantic","Coastal Watersheds","North East Coast Region","Virginia","Y",NA,"Y",NA,"Y",NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2536","NWCA11-2536-3340",2011-06-08,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Dickinson Bayou","Texas Gulf","Coastal Watersheds","Gulf Coast Region","Texas",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2420","NWCA11-2420-3358",2011-05-05,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Bulls Bay","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,"Y",NA,"Y",NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2402","NWCA11-2402-3366",2011-04-06,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Dasher Creek-Savannah River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2066","NWCA11-2066-3401",2011-05-23,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Oyster Creek-Jarrett Bay","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","North Carolina","Y",NA,NA,NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2025","NWCA11-2025-3403",2011-05-24,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Neuse River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","North Carolina",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2404","NWCA11-2404-3404",2011-05-03,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Bulls Bay","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,"Y",NA,NA,NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2412","NWCA11-2412-3405",2011-05-31,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Little River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina","Y",NA,"Y",NA,"Y",NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2666","NWCA11-2666-3408",2011-06-15,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Currituck Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Virginia",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2653","NWCA11-2653-3409",2011-06-14,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Currituck Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Virginia",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2647","NWCA11-2647-3411",2011-06-07,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","RIVERINE","Lower York River","Mid Atlantic","Coastal Watersheds","North East Coast Region","Virginia","Y",NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2634","NWCA11-2634-3436",2011-06-02,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Mobjack Bay-Lower Chesapeake Bay","Mid Atlantic","Coastal Watersheds","North East Coast Region","Virginia","Y",NA,"Y",NA,NA,NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2651","NWCA11-2651-3437",2011-07-19,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Mobjack Bay-Lower Chesapeake Bay","Mid Atlantic","Coastal Watersheds","North East Coast Region","Virginia","Y",NA,NA,NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2652","NWCA11-2652-3438",2011-06-30,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Machipongo River-Hog Island Bay","Mid Atlantic","Coastal Watersheds","North East Coast Region","Virginia","Y",NA,"Y",NA,"Y",NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-R305","NWCA11-R305-3451",2011-08-01,"palustrine","field observation","emergent","field observation","Northcentral and Northeast","PEM","DPRSS","Blue Hill-Mount Desert Frontal Drainages","New England","Coastal Watersheds","North East Coast Region","Maine","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-R306","NWCA11-R306-3452",2011-08-03,"palustrine","field observation","emergent","field observation","Northcentral and Northeast","PEM","DPRSS","Frenchman Bay","New England","Coastal Watersheds","North East Coast Region","Maine","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2427","NWCA11-2427-3453",2011-07-26,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Great Pee Dee River-Winyah Bay","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1021","NWCA11-1021-3469",2011-07-06,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama",NA,NA,NA,NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1017","NWCA11-1017-3471",2011-06-22,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama",NA,NA,NA,NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1002","NWCA11-1002-3473",2011-06-21,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama",NA,NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1823","NWCA11-1823-3483",2011-07-20,"estuarine","field observation","emergent","field observation","Northcentral and Northeast","E2EM","TIDAL","Roque Bluffs Frontal Drainages","New England","Coastal Watersheds","North East Coast Region","Maine","Y","LOW TIDE APPROXIMATELY 900AM SO NO SURFACE WATER","Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1824","NWCA11-1824-3532",2011-07-26,"palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","FLATS","Twentyfive Mile Stream","New England","Coastal Watersheds","North East Coast Region","Maine","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-OH-3006","NWCA11-OH-3006-3545",2011-07-13,"palustrine","field observation","emergent","field observation","Northcentral and Northeast","PEM","DPRSS","Muddy Creek-Frontal Sandusky Bay","Great Lakes","Coastal Watersheds","Great Lakes Region","Ohio",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2415","NWCA11-2415-3547",2011-05-25,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","DPRSS","South Santee River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1836","NWCA11-1836-3548",2011-07-21,"estuarine","field observation","emergent","field observation","Northcentral and Northeast","E2EM","TIDAL","Schoodic Point-Petit-Manan Point Frontal Drainages","New England","Coastal Watersheds","North East Coast Region","Maine","Y",NA,"Y",NA,NA,NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1010","NWCA11-1010-3562",2011-08-01,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama","Y",NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1203","NWCA11-1203-3569",2011-08-02,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Rehoboth Bay","Mid Atlantic","Coastal Watersheds","North East Coast Region","Delaware",NA,NA,"Y",NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2599","NWCA11-2599-3570",2011-07-25,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Matagorda Bay","Texas Gulf","Coastal Watersheds","Gulf Coast Region","Texas",NA,NA,"Y",NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2600","NWCA11-2600-3572",2011-07-20,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Halls Bayou","Texas Gulf","Coastal Watersheds","Gulf Coast Region","Texas",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2582","NWCA11-2582-3573",2011-07-18,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Spindletop Ditch","Texas Gulf","Coastal Watersheds","Gulf Coast Region","Texas",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2531","NWCA11-2531-3574",2011-07-26,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","East Branch Mad Island Slough-Matagorda Bay","Texas Gulf","Coastal Watersheds","Gulf Coast Region","Texas",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1222","NWCA11-1222-3575",2011-07-28,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Smyrna River-Delaware Bay","Mid Atlantic","Coastal Watersheds","North East Coast Region","Delaware",NA,NA,"Y",NA,NA,NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1210","NWCA11-1210-3576",2011-07-26,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Inland Bays","Mid Atlantic","Coastal Watersheds","North East Coast Region","Delaware",NA,NA,"Y","CHANNEL IS A DITCH",NA,NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-R127","NWCA11-R127-3624",2011-08-16,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Pt Aux Chenes Bay-Mississippi Sound","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Mississippi",NA,NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-R307","NWCA11-R307-3627",2011-08-08,"palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","DPRSS","Stonington Frontal Drainages","New England","Coastal Watersheds","North East Coast Region","Maine","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-R308","NWCA11-R308-3629",2011-08-11,"palustrine","field observation","scrub shrub","field observation","Northcentral and Northeast","PSS","RIVERINE","Blue Hill-Mount Desert Frontal Drainages","New England","Coastal Watersheds","North East Coast Region","Maine","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1622","NWCA11-1622-3654",2011-07-08,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Coastal Watersheds","Gulf Coast Region","Louisiana",NA,NA,NA,NA,"Y",NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1638","NWCA11-1638-3655",2011-07-24,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Coastal Watersheds","Gulf Coast Region","Louisiana","Y",NA,"Y",NA,NA,NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1646","NWCA11-1646-3656",2011-08-04,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fourleague Bay-Frontal Gulf of Mexico","Lower Mississippi","Coastal Watersheds","Gulf Coast Region","Louisiana",NA,NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1661","NWCA11-1661-3657",2011-06-12,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Bayou Terre Aux Boeufs-Frontal Breton Sound","Lower Mississippi","Coastal Watersheds","Gulf Coast Region","Louisiana",NA,NA,"Y",NA,NA,NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1677","NWCA11-1677-3659",2011-07-23,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Coastal Watersheds","Gulf Coast Region","Louisiana","Y",NA,"Y",NA,NA,NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1685","NWCA11-1685-3660",2011-07-22,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Terrebonne Bay-Frontal Gulf of Mexico","Lower Mississippi","Coastal Watersheds","Gulf Coast Region","Louisiana",NA,NA,"Y",NA,NA,NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1697","NWCA11-1697-3661",2011-08-02,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Fourleague Bay-Frontal Gulf of Mexico","Lower Mississippi","Coastal Watersheds","Gulf Coast Region","Louisiana",NA,NA,"Y",NA,NA,NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2578","NWCA11-2578-3662",2011-08-01,"palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","DPRSS","East Fork Double Bayou","Texas Gulf","Coastal Watersheds","Gulf Coast Region","Texas",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2588","NWCA11-2588-3663",2011-07-26,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","DPRSS","East Branch Mad Island Slough-Matagorda Bay","Texas Gulf","Coastal Watersheds","Gulf Coast Region","Texas",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1197","NWCA11-1197-3666",2011-08-18,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Smyrna River-Delaware Bay","Mid Atlantic","Coastal Watersheds","North East Coast Region","Delaware",NA,NA,"Y",NA,NA,NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1226","NWCA11-1226-3667",2011-08-16,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Appoquinimink River-Delaware River","Mid Atlantic","Coastal Watersheds","North East Coast Region","Delaware",NA,NA,"Y",NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2443","NWCA11-2443-3678",2011-08-15,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Great Pee Dee River-Winyah Bay","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina","Y",NA,NA,NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2450","NWCA11-2450-3679",2011-08-24,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Calibogue Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,"Y",NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2453","NWCA11-2453-3681",2011-08-10,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","RIVERINE","Rediversion Canal-Santee River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2454","NWCA11-2454-3682",2011-07-18,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Coosaw River-Port Royal Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,"Y",NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2458","NWCA11-2458-3683",2011-08-22,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Coosaw River-Port Royal Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina","Y",NA,"Y",NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1202","NWCA11-1202-3694",2011-08-26,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Appoquinimink River-Delaware River","Mid Atlantic","Coastal Watersheds","North East Coast Region","Delaware",NA,NA,"Y",NA,"Y",NA,"FLOOD","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-3047","NWCA11-3047-3695",2011-08-16,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Weeki Wachi River-Double Hammock Creek Frontal","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Florida",NA,NA,"Y","NOT IN AA, BUT WITHIN 100M OF ITS BOUNDARY.","Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2677","NWCA11-2677-3702",2011-06-16,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","FLATS","Currituck Sound","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Virginia",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1356","NWCA11-1356-3730",2011-08-09,"palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","FLATS","Conservation Area 2","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Florida","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1335","NWCA11-1335-3731",2011-08-12,"estuarine","field observation","forested to shrub","field observation","Atlantic and Gulf Coastal Plain","E2SS","TIDAL","East Charlotte Harbor Frontal","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Florida",NA,NA,NA,NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1326","NWCA11-1326-3732",2011-08-18,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Tolomato River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Florida",NA,NA,"Y",NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1303","NWCA11-1303-3733",2011-08-17,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Crystal River-Homosassa River Frontal","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Florida",NA,NA,"Y",NA,"Y",NA,"SLACK","field observation"
