study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon
McClellan_et_al_2021,Sabine,S06-3,single set of methods,20,25,S06-3-20,1.066,0.054299999999999994,0.013300000000000001
McClellan_et_al_2021,Sabine,S06-3,single set of methods,25,30,S06-3-25,0.917,0.0709,0.025
McClellan_et_al_2021,Sabine,S14-3,single set of methods,0,5,S14-3-00,0.423,0.13269999999999998,0.0596
McClellan_et_al_2021,Sabine,S14-3,single set of methods,5,10,S14-3-05,0.74,0.0787,0.0364
McClellan_et_al_2021,Sabine,S14-3,single set of methods,10,15,S14-3-10,0.945,0.048299999999999996,0.017
McClellan_et_al_2021,Sabine,S14-3,single set of methods,15,20,S14-3-15,0.919,0.0484,0.0141
McClellan_et_al_2021,Sabine,S14-3,single set of methods,20,25,S14-3-20,0.873,0.0498,0.0143
McClellan_et_al_2021,Sabine,S14-3,single set of methods,25,30,S14-3-25,0.82,0.0517,0.015
McClellan_et_al_2021,Sabine,S33-3,single set of methods,0,5,S33-3-00,1.278,0.039,0.0086
McClellan_et_al_2021,Sabine,S33-3,single set of methods,5,10,S33-3-05,1.175,0.048799999999999996,0.0165
McClellan_et_al_2021,Sabine,S33-3,single set of methods,10,15,S33-3-10,0.982,0.0681,0.0232
McClellan_et_al_2021,Sabine,S33-3,single set of methods,15,20,S33-3-15,0.928,0.0713,0.027
McClellan_et_al_2021,Sabine,S33-3,single set of methods,20,25,S33-3-20,0.874,0.059,0.0229
McClellan_et_al_2021,Sabine,S33-3,single set of methods,25,30,S33-3-25,0.981,0.0546,0.0182
McClellan_et_al_2021,Sabine,S50-3A,single set of methods,0,5,S50-3-00,0.349,0.2275,0.1114
McClellan_et_al_2021,Sabine,S50-3A,single set of methods,5,10,S50-3-05,0.772,0.10890000000000001,0.0515
McClellan_et_al_2021,Sabine,S50-3A,single set of methods,10,15,S50-3-10,1.237,0.039299999999999995,0.0165
McClellan_et_al_2021,Sabine,S50-3A,single set of methods,15,20,S50-3-15,1.394,0.0263,0.0094
McClellan_et_al_2021,Sabine,S50-3A,single set of methods,20,25,S50-3-20,1.25,0.0264,0.0109
McClellan_et_al_2021,Sabine,S50-3A,single set of methods,25,30,S50-3-25,1.293,0.0282,0.01
McClellan_et_al_2021,Sabine,S50-6B,single set of methods,0,5,S50-6-00,0.138,0.41960000000000003,0.1694
McClellan_et_al_2021,Sabine,S50-6B,single set of methods,5,10,S50-6-05,0.289,0.197,0.0814
McClellan_et_al_2021,Sabine,S50-6B,single set of methods,10,15,S50-6-10,0.462,0.2024,0.1
McClellan_et_al_2021,Sabine,S50-6B,single set of methods,15,20,S50-6-15,0.512,0.2529,0.12869999999999998
McClellan_et_al_2021,Sabine,S50-6B,single set of methods,20,25,S50-6-20,0.3,0.3693,0.1935
McClellan_et_al_2021,Sabine,S50-6B,single set of methods,25,30,S50-6-25,0.212,0.4475,0.2248
McClellan_et_al_2021,WLD,W16-1,single set of methods,0,5,W16-1-00,1.171,0.0365,0.0092
McClellan_et_al_2021,WLD,W16-1,single set of methods,5,10,W16-1-05,0.981,0.0464,0.0116
McClellan_et_al_2021,WLD,W16-1,single set of methods,10,15,W16-1-10,1.103,0.037700000000000004,0.0088
McClellan_et_al_2021,WLD,W16-1,single set of methods,15,20,W16-1-15,1.399,0.0225,0.0052
McClellan_et_al_2021,WLD,W16-1,single set of methods,20,25,W16-1-20,1.54,0.0221,0.005900000000000001
McClellan_et_al_2021,WLD,W16-1,single set of methods,25,30,W16-1-25,1.451,0.023,0.0063
McClellan_et_al_2021,WLD,W29-1,single set of methods,0,5,W29-1-00,0.499,0.12029999999999999,0.0363
McClellan_et_al_2021,WLD,W29-1,single set of methods,5,10,W29-1-05,0.488,0.1261,0.0464
McClellan_et_al_2021,WLD,W29-1,single set of methods,10,15,W29-1-10,0.639,0.096,0.031
McClellan_et_al_2021,WLD,W29-1,single set of methods,15,20,W29-1-15,0.597,0.0864,0.027800000000000002
McClellan_et_al_2021,WLD,W29-1,single set of methods,20,25,W29-1-20,0.61,0.08059999999999999,0.0273
McClellan_et_al_2021,WLD,W29-1,single set of methods,25,30,W29-1-25,1.487,0.0853,0.027899999999999998
McClellan_et_al_2021,WLD,W41-1,single set of methods,0,5,W41-1-00,0.271,0.2719,0.10779999999999999
McClellan_et_al_2021,WLD,W41-1,single set of methods,5,10,W41-1-05,0.565,0.1412,0.0493
McClellan_et_al_2021,WLD,W41-1,single set of methods,10,15,W41-1-10,0.621,0.1128,0.038700000000000005
McClellan_et_al_2021,WLD,W41-1,single set of methods,15,20,W41-1-15,0.736,0.08020000000000001,0.0237
McClellan_et_al_2021,WLD,W41-1,single set of methods,20,25,W41-1-20,0.738,0.0844,0.023399999999999997
McClellan_et_al_2021,WLD,W41-1,single set of methods,25,30,W41-1-25,0.913,0.0659,0.0192
McClellan_et_al_2021,WLD,W60-1,single set of methods,0,5,W60-1-00,0.09,0.5696,0.2522
McClellan_et_al_2021,WLD,W60-1,single set of methods,5,10,W60-1-05,0.193,0.319,0.1369
McClellan_et_al_2021,WLD,W60-1,single set of methods,10,15,W60-1-10,0.246,0.2395,0.098
McClellan_et_al_2021,WLD,W60-1,single set of methods,15,20,W60-1-15,0.264,0.2469,0.10490000000000001
McClellan_et_al_2021,WLD,W60-1,single set of methods,20,25,W60-1-20,0.529,0.1186,0.041
McClellan_et_al_2021,WLD,W60-1,single set of methods,25,30,W60-1-25,0.376,0.16219999999999998,0.0551
McClellan_et_al_2021,WLD,W16-2,single set of methods,0,5,W16-2-00,1.015,0.0368,0.009300000000000001
McClellan_et_al_2021,WLD,W16-2,single set of methods,5,10,W16-2-05,1.119,0.0322,0.008400000000000001
McClellan_et_al_2021,WLD,W16-2,single set of methods,10,15,W16-2-10,1.13,0.0371,0.008
McClellan_et_al_2021,WLD,W16-2,single set of methods,15,20,W16-2-15,1.15,0.036,0.0116
McClellan_et_al_2021,WLD,W16-2,single set of methods,20,25,W16-2-20,1.391,0.0255,0.0065
McClellan_et_al_2021,WLD,W16-2,single set of methods,25,30,W16-2-25,1.346,0.027399999999999997,0.007
McClellan_et_al_2021,WLD,W29-2,single set of methods,0,5,W29-2-00,0.447,0.1278,0.0418
McClellan_et_al_2021,WLD,W29-2,single set of methods,5,10,W29-2-05,0.448,0.12830000000000003,0.0418
McClellan_et_al_2021,WLD,W29-2,single set of methods,10,15,W29-2-10,0.581,0.09770000000000001,0.03
McClellan_et_al_2021,WLD,W29-2,single set of methods,15,20,W29-2-15,0.541,0.09190000000000001,0.0304
McClellan_et_al_2021,WLD,W29-2,single set of methods,20,25,W29-2-20,0.583,0.0833,0.0313
McClellan_et_al_2021,WLD,W29-2,single set of methods,25,30,W29-2-25,0.693,0.0688,0.0256
McClellan_et_al_2021,WLD,W41-2,single set of methods,0,5,W41-2-00,0.158,0.30639999999999995,0.12329999999999999
McClellan_et_al_2021,WLD,W41-2,single set of methods,5,10,W41-2-05,0.452,0.1448,0.049100000000000005
McClellan_et_al_2021,WLD,W41-2,single set of methods,10,15,W41-2-10,0.621,0.1034,0.032299999999999995
McClellan_et_al_2021,WLD,W41-2,single set of methods,15,20,W41-2-15,0.63,0.09670000000000001,0.030199999999999998
McClellan_et_al_2021,WLD,W41-2,single set of methods,20,25,W41-2-20,0.751,0.0725,0.0212
McClellan_et_al_2021,WLD,W41-2,single set of methods,25,30,W41-2-25,0.802,0.0676,0.0198
McClellan_et_al_2021,WLD,W60-2,single set of methods,0,5,W60-2-00,0.15,0.3955,0.1646
McClellan_et_al_2021,WLD,W60-2,single set of methods,5,10,W60-2-05,0.273,0.2689,0.1154
McClellan_et_al_2021,WLD,W60-2,single set of methods,10,15,W60-2-10,0.305,0.21280000000000002,0.0845
McClellan_et_al_2021,WLD,W60-2,single set of methods,15,20,W60-2-15,0.397,0.15769999999999998,0.0598
McClellan_et_al_2021,WLD,W60-2,single set of methods,20,25,W60-2-20,0.37,0.1755,0.0626
McClellan_et_al_2021,WLD,W60-2,single set of methods,25,30,W60-2-25,0.451,0.13290000000000002,0.0438
McClellan_et_al_2021,WLD,W16-3,single set of methods,0,5,W16-3-00,1.321,0.0265,0.0066
McClellan_et_al_2021,WLD,W16-3,single set of methods,5,10,W16-3-05,1.28,0.03,0.0073
McClellan_et_al_2021,WLD,W16-3,single set of methods,10,15,W16-3-10,1.332,0.0259,0.0055
McClellan_et_al_2021,WLD,W16-3,single set of methods,15,20,W16-3-15,1.261,0.0282,0.0077
McClellan_et_al_2021,WLD,W16-3,single set of methods,20,25,W16-3-20,1.503,0.0206,0.0052
McClellan_et_al_2021,WLD,W16-3,single set of methods,25,30,W16-3-25,1.455,0.0233,0.0065
McClellan_et_al_2021,WLD,W29-3,single set of methods,0,5,W29-3-00,0.354,0.1338,0.0436
McClellan_et_al_2021,WLD,W29-3,single set of methods,5,10,W29-3-05,0.354,0.1442,0.0475
McClellan_et_al_2021,WLD,W29-3,single set of methods,10,15,W29-3-10,0.441,0.1159,0.033
McClellan_et_al_2021,WLD,W29-3,single set of methods,15,20,W29-3-15,0.54,0.1005,0.027
McClellan_et_al_2021,WLD,W29-3,single set of methods,20,25,W29-3-20,0.653,0.0679,0.0198
McClellan_et_al_2021,WLD,W29-3,single set of methods,25,30,W29-3-25,0.787,0.0586,0.022
McClellan_et_al_2021,WLD,W41-3,single set of methods,0,5,W41-3-00,0.324,0.15330000000000002,0.059
McClellan_et_al_2021,WLD,W41-3,single set of methods,5,10,W41-3-05,0.432,0.161,0.0522
McClellan_et_al_2021,WLD,W41-3,single set of methods,10,15,W41-3-10,0.734,0.1034,0.027600000000000003
McClellan_et_al_2021,WLD,W41-3,single set of methods,15,20,W41-3-15,0.888,0.0762,0.021
McClellan_et_al_2021,WLD,W41-3,single set of methods,20,25,W41-3-20,0.874,0.0809,0.0221
McClellan_et_al_2021,WLD,W41-3,single set of methods,25,30,W41-3-25,0.905,0.075,0.0201
McClellan_et_al_2021,WLD,W60-3,single set of methods,0,5,W60-3-00,0.206,0.3291,0.1296
McClellan_et_al_2021,WLD,W60-3,single set of methods,5,10,W60-3-05,0.301,0.2357,0.09359999999999999
McClellan_et_al_2021,WLD,W60-3,single set of methods,10,15,W60-3-10,0.325,0.2074,0.0782
McClellan_et_al_2021,WLD,W60-3,single set of methods,15,20,W60-3-15,0.39,0.1541,0.063
McClellan_et_al_2021,WLD,W60-3,single set of methods,20,25,W60-3-20,0.48,0.1439,0.0494
McClellan_et_al_2021,WLD,W60-3,single set of methods,25,30,W60-3-25,0.393,0.18,0.0711
