"study_id","site_id","plot_id","subtransect_id","size_class","debris_transect_length","debris_diameter","debris_class"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","b","2.5-7.5","5","6.2","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","b",">7.5","12","9.6","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","d","2.5-7.5","5","4.9","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","d","2.5-7.5","5","3.5","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","d",">7.5","12","7.6","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","a",">7.5","12","10.5","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","a",">7.5","12","30","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","a",">7.5","12","9","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","a",">7.5","12","9.4","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","a",">7.5","12","21.3","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","a",">7.5","12","35.7","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","a",">7.5","12","45.5","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","b",">7.5","12","40","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","b",">7.5","12","22.8","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","d",">7.5","12","9.2","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","d",">7.5","12","8.5","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","a",">7.5","12","10.3","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","a",">7.5","12","10.4","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","d",">7.5","12","22.4","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","a",">7.5","12","9.5","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","b","2.5-7.5","5","6.9","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","b",">7.5","12","25","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","c",">7.5","12","8.2","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","d",">7.5","12","45","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_6","a","2.5-7.5","5","2.9","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_6","a","2.5-7.5","5","2.9","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_3","a","2.5-7.5","5","4.7","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_3","b","2.5-7.5","5","3.4","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_2","a",">7.5","12","7.6","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_2","a","2.5-7.5","5","3.7","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_2","a","2.5-7.5","5","2.8","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_2","a","2.5-7.5","5","3.3","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_2","b","2.5-7.5","5","3.5","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_2","b","2.5-7.5","5","3.2","intermediate"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_2","c","2.5-7.5","5","3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","a","2.5-7.5","5","3.9","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","b",">7.5","12","14.8","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","b","2.5-7.5","5","4.3","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","c",">7.5","12","7.6","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","c",">7.5","12","7.6","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","c","2.5-7.5","5","6","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","c",">7.5","12","8.2","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","c",">7.5","12","14.1","sound"
"Cifuentes_et_al_2024_Nicoya","Jesús","Jesús_Manglar_5_1","d","2.5-7.5","5","4.2","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_6","a",">7.5","12","10.1","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_6","a","2.5-7.5","5","6.8","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_6","a",">7.5","12","10.3","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_6","b","2.5-7.5","5","6.2","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_6","b",">7.5","12","8","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_6","b",">7.5","12","10.3","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_6","b",">7.5","12","8.3","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_5","a","2.5-7.5","5","3.9","rotten"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_5","a","2.5-7.5","5","5.1","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_5","b",">7.5","12","10.2","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_5","c",">7.5","12","11.5","rotten"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_5","d",">7.5","12","10.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","a","2.5-7.5","5","5.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","b",">7.5","12","10.3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","b",">7.5","12","11.3","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","b",">7.5","12","8.3","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","b",">7.5","12","12","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","c","2.5-7.5","5","7.1","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","d",">7.5","12","10.2","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","d","2.5-7.5","5","6.4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","d",">7.5","12","9.5","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","d",">7.5","12","10","rotten"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_4","d",">7.5","12","8.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","a",">7.5","12","11.4","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","a",">7.5","12","7.6","rotten"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","b","2.5-7.5","5","7.1","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","b",">7.5","12","9.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","b",">7.5","12","11.7","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","d","2.5-7.5","5","5","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","d","2.5-7.5","5","5","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","d","2.5-7.5","5","3.7","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_2","d","2.5-7.5","5","3.9","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_1","a","2.5-7.5","5","5.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_1","c","2.5-7.5","5","5.3","rotten"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_6_1","d",">7.5","12","20","rotten"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_7_3","a","2.5-7.5","5","4","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_7_3","a","2.5-7.5","5","4.6","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_7_3","c","2.5-7.5","5","4","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_7_3","d","2.5-7.5","5","4.4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_7_2","a","2.5-7.5","5","2.7","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_7_2","a","2.5-7.5","5","3.1","sound"
"Cifuentes_et_al_2024_Nicoya","Puntarenas","Puntarenas_Manglar_7_2","a","2.5-7.5","5","4","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","a",">7.5","12","8","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","a","2.5-7.5","5","6.2","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","b",">7.5","12","13","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_4","a","2.5-7.5","5","4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_3","a",">7.5","12","11","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_3","a",">7.5","12","10.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","a",">7.5","12","9.5","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","b","2.5-7.5","5","3.8","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","b",">7.5","12","11","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","a",">7.5","12","14","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","b",">7.5","12","10.3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","c",">7.5","12","10","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_6","a",">7.5","12","10","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_6","b",">7.5","12","13","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_6","b",">7.5","12","13","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_5","a",">7.5","12","9","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_5","b",">7.5","12","10","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_5","c","2.5-7.5","5","6","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_5","c","2.5-7.5","5","3.2","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_4","a",">7.5","12","12.2","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_4","b","2.5-7.5","5","5.5","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_4","c","2.5-7.5","5","4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_4","d","2.5-7.5","5","3.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_3","a",">7.5","12","10","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_1","a",">7.5","12","11","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_1","b",">7.5","12","12.3","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_1","c",">7.5","12","8.5","sound"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_9_1","d",">7.5","12","23.5","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_6","a",">7.5","12","11","rotten"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_5","a",">7.5","12","10","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_5","b",">7.5","12","9","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_5","b",">7.5","12","8.2","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_5","c","2.5-7.5","5","3.7","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_4","a",">7.5","12","7.6","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_3","a",">7.5","12","11","rotten"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_3","c",">7.5","12","35","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_1","a",">7.5","12","17","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_10_1","b",">7.5","12","9","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","a",">7.5","12","10","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","a",">7.5","12","14","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","a","2.5-7.5","5","6","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","a",">7.5","12","30","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","a","2.5-7.5","5","5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","b",">7.5","12","10","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","b","2.5-7.5","5","5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","b","2.5-7.5","5","4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","b",">7.5","12","14","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_6","b",">7.5","12","16","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_5","a",">7.5","12","12","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_5","b","2.5-7.5","5","6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_5","b",">7.5","12","13","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_5","c",">7.5","12","23","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_5","c","2.5-7.5","5","7.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_5","c",">7.5","12","13","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","a",">7.5","12","13.5","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","b",">7.5","12","22.5","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","b",">7.5","12","21","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","c",">7.5","12","10","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","c",">7.5","12","18","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","c",">7.5","12","12","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","c",">7.5","12","15","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_4","c",">7.5","12","14.5","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_3","a",">7.5","12","10","intermediate"
