"study_id","site_id","plot_id","depth_min","depth_max","percent_nitrogen","percent_carbon","dry_bulk_density","soil_carbon"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","0","15","0.22","3.33","0.49669450243563","24.8098903966597"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","15","30","0.22","3.19","0.603514265831594","28.8781576200418"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","30","50","0.23","3.62","0.373173277661795","27.017745302714"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","50","100","0.23","4.34","0.468162839248434","101.59133611691"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_5","100","200","0.22","4.92","0.447286012526096","440.129436325679"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","0","15","0.17","2.53","0.606123869171886","23.0024008350731"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","15","30","0.17","2.35","0.65187891440501","22.9787317327766"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","30","50","0.13","1.7","0.594989561586639","20.2296450939457"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","50","100","0.11","1.63","0.527661795407098","43.0044363256785"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_6","100","200","0.16","2.3","0.481732776617954","221.597077244259"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_1","0","15","0.05","0.45","0.238865692414753","1.61234342379958"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_1","15","30","0.04","0.32","0.208420320111343","1.00041753653445"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_1","30","50","0.04","0.37","0.232776617954071","1.72254697286013"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_1","50","100","0.01","0.3","0.212595685455811","3.18893528183716"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_1","100","200","0.13","3.6","0.144919972164231","104.342379958246"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_2","0","15","0.07","0.67","0.23973556019485","2.40934237995825"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_2","15","30","0.05","0.49","0.294711203897008","2.16612734864301"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_2","30","50","0.05","0.49","0.200591510090466","1.96579679888657"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_2","50","100","0.05","0.55","0.220424495476688","6.06167362560891"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_2","100","200","0.11","3.09","0.156054279749478","96.4415448851775"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_3","0","15","0.07","0.76","0.169972164231037","1.93768267223382"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_3","15","30","0.06","0.63","0.24669450243563","2.3312630480167"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_3","30","50","0.06","0.62","0.219206680584551","2.71816283924843"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_3","50","100","0.06","0.7","0.158315935977731","5.5410577592206"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_1_3","100","200","0.11","2.54","0.101600556715379","51.6130828114127"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_1","0","15","0.12","2.55","0.112038970076548","4.28549060542798"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_1","15","30","0.08","0.98","0.129784272790536","1.90782881002088"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_1","30","50","0.09","1.83","0.113256784968685","4.14519832985386"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_1","50","100","0.15","3.42","0.109255393180237","18.6826722338205"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_1","100","200","0.11","1.67","0.200417536534447","66.9394572025052"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_2","0","15","0.14","1.47","0.200591510090466","4.42304279749478"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_2","15","30","0.25","6.89","0.109777313848295","11.3454853862213"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_2","30","50","0.38","10.81","0.101078636047321","21.8532011134308"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_2","50","100","0.22","8.12","0.0715031315240084","29.0302713987474"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_2","100","200","0.15","4.73","0.0725469728601253","68.6294363256785"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_3","0","15","0.13","1.86","0.136917188587335","3.81998956158664"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_3","15","30","0.19","3.73","0.0793319415448852","4.43862212943633"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_3","30","50","0.17","5.87","0.116040361864997","13.6231384829506"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_3","50","100","0.16","5.3","0.0909881697981907","24.1118649965205"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_2_3","100","200","0.13","3.31","0.118997912317328","78.776617954071"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_1","0","15","0.03","0.39","0.383611691022965","2.24412839248434"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_1","15","30","0.02","0.34","0.286012526096033","1.45866388308977"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_1","30","50","0.04","0.38","0.247738343771747","1.88281141266528"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_1","50","100","0.04","0.28","0.206332637439109","2.88865692414753"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_2","0","15","0.06","0.69","0.243041057759221","2.51547494780793"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_2","15","30","0.08","0.79","0.253827418232429","3.00785490605428"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_2","30","50","0.03","0.55","0.226687543493389","2.49356297842728"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_2","50","100","0.07","1.53","0.181106471816284","13.8546450939457"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_3","0","15","0.08","0.89","0.198329853862213","2.64770354906054"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_3","15","30","0.08","0.79","0.187369519832985","2.22032881002088"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_3","30","50","0.04","0.34","0.227905358385525","1.54975643702157"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_3_3","50","100","0.03","0.29","0.227557411273486","3.29958246346555"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_1","0","15","0.06","0.52","0.18249826026444","1.42348643006263"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_1","15","30","0.04","0.4","0.185629784272791","1.11377870563674"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_1","30","50","0.05","0.37","0.137091162143354","1.01447459986082"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_1","50","100","0.05","0.45","0.223556019485038","5.03001043841336"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_2","0","15","0.04","0.38","0.191718858733473","1.09279749478079"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_2","15","30","0.03","0.27","0.176583159359777","0.715161795407098"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_2","30","50","0.03","0.21","0.187891440501044","0.789144050104384"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_2","50","100","0.04","1","0.265135699373695","13.2567849686848"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_3","0","15","0.06","0.51","0.251913709116214","1.92713987473904"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_3","15","30","0.09","0.69","0.187543493389005","1.9410751565762"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_4_3","30","50","0.07","0.67","0.219206680584551","2.93736951983299"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_1","0","15","0.23","4.83","0.133437717466945","9.66756263048017"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_1","15","30","0.25","5.63","0.116562282533055","9.84368475991649"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_1","30","50","0.18","4.53","0.133089770354906","12.0579331941545"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_1","50","100","0.17","4.66","0.145093945720251","33.8068893528184"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_2","0","15","0.19","2.97","0.22633959638135","10.0834290187891"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_2","15","30","0.2","3.79","0.152400835073069","8.66398747390397"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_2","30","50","0.21","4.88","0.129610299234516","12.6499652052888"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_2","50","100","0.2","5.55","0.110821155184412","30.7528705636743"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_3","0","15","0.16","3.05","0.195198329853862","8.9303235908142"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_3","15","30","0.22","5.12","0.143180236604036","10.99624217119"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_3","30","50","0.2","5.25","0.116562282533055","12.2390396659708"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Camaronera_5_3","50","100","0.16","4.12","0.135873347251218","27.9899095337509"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_1","0","15","0.17","2.39","0.504001391788448","18.0684498956159"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_1","15","30","0.12","2.11","0.86151704940849","27.2670146137787"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_1","30","50","0.06","0.71","0.922581767571329","13.1006610995129"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_1","50","100","0.04","0.46","0.831419624217119","19.1226513569937"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_1","100","200","0.06","1.06","0.952505219206681","201.931106471816"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_2","0","15","0.07","0.98","0.606645789839944","8.91769311064718"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_2","15","30","0.03","0.32","0.624217118997912","2.99624217118998"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_2","30","50","0.02","0.16","0.911795407098121","2.91774530271399"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_2","50","100","0.02","0.2","0.764613778705637","7.64613778705637"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_2","100","200","0.04","0.54","0.930932498260264","100.540709812109"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_3","0","15","0.05","0.56","0.91910229645094","7.72045929018789"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_3","15","30","0.02","0.19","0.725469728601253","2.06758872651357"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_3","30","50","0.02","0.25","0.818545581071677","4.09272790535839"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_3","50","100","0.09","2.1","0.606123869171886","63.643006263048"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_3","100","200","0.07","1.91","0.553583855254001","211.469032707029"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_4","0","15","0.08","1.18","0.534098816979819","9.4535490605428"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_4","15","30","0.07","1.18","0.542797494780793","9.60751565762004"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_4","30","50","0.15","3.22","0.589770354906054","37.9812108559499"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_4","50","100","0.14","3.23","0.620389700765484","100.192936673626"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_4","100","200","0.1","2.79","0.784446764091858","437.721294363257"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_5","0","15","0.37","7.99","0.366910229645094","43.9741910229645"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_5","15","30","0.28","7.1","0.502609603340292","53.5279227557411"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_5","30","50","0.2","6.15","0.573938761308281","70.5944676409186"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_5","50","100","0.25","7.84","0.401183020180932","157.263743910926"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_5","100","200","0.13","3.86","0.569589422407794","439.723034098817"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_6","0","15","0.18","3.51","0.842727905358385","44.369624217119"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_6","15","30","0.14","3.86","1.14474599860821","66.2807933194155"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_1","0","15","0.48","13.13","0.47633959638135","93.8150835073069"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_1","15","30","0.41","13.35","0.288970076548365","57.86625782881"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_1","30","50","0.4","14.18","0.329157967988866","93.3491997216423"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_1","50","100","0.34","11.73","0.337334725121782","197.846816283925"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_1","100","200","0.27","9.28","0.360299234516354","668.715379262352"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","0","15","0.52","13.39","0.244084899095338","49.0244519832985"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","15","30","0.48","14.06","0.41544885177453","87.6181628392484"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","30","50","0.43","14.29","0.357689631176061","102.227696590118"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","50","100","0.3","10.22","0.400835073068894","204.826722338205"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","100","200","0.19","6.74","0.501565762004175","676.110647181628"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","0","15","0.43","9.43","0.237995824634656","33.664509394572"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","15","30","0.48","14.72","0.346903270702853","76.59624217119"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","30","50","0.38","11.76","0.316109951287404","74.3490605427975"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","50","100","0.4","12.47","0.363952679192763","226.924495476688"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","100","200","0.24","7.66","0.414231036882394","634.601948503827"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","0","15","0.44","9.68","0.310542797494781","45.0908141962422"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","15","30","0.72","23","0.249130132219903","85.9498956158664"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","30","50","0.55","16.86","0.391092553931802","131.876409185804"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","50","100","0.36","12.1","0.403270702853166","243.978775226166"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","100","200","0.22","7.16","0.41214335421016","590.189283228949"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","0","15","0.48","10.79","0.18910925539318","30.6073329853862"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","15","30","0.52","12.92","0.238169798190675","46.1573068893528"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","30","50","0.43","13.59","0.25347947112039","68.8957202505219"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","50","100","0.36","11.51","0.265309672929715","152.685716771051"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","100","200","0.27","8.9","0.186847599164927","332.58872651357"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_6","0","15","0.48","10.39","0.244432846207377","38.0948590814196"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_6","15","30","0.49","11.87","0.201983298538622","35.9631263048017"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_6","30","50","0.32","9.82","0.356819763395964","70.0794015309673"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_6","50","100","0.31","9.68","0.307759220598469","148.955462769659"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_6","100","200","0.31","11.05","0.31767571329158","702.063326374391"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_1","0","15","0.05","0.41","0.323938761308281","1.99222338204593"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_1","15","30","0.05","0.48","0.36812804453723","2.65052192066806"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_1","30","50","0.05","0.46","0.260960334029228","2.40083507306889"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_1","50","100","0.05","0.53","0.31419624217119","8.32620041753654"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_2","0","15","0.05","0.36","0.221816283924843","1.19780793319415"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_2","15","30","0.03","0.33","0.305323590814196","1.51135177453027"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_2","30","50","0.04","0.32","0.26026443980515","1.66569241475296"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_2","50","100","0.07","0.61","0.274182324286708","8.36256089074461"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_3","0","15","0.08","0.66","0.334203201113431","3.30861169102297"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_3","15","30","0.03","0.4","0.311064718162839","1.86638830897704"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_3","30","50","0.02","0.32","0.258350730688935","1.65344467640919"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Camaronera_6_3","50","100","0.05","0.51","0.305323590814196","7.785751565762"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","0","15","0.26","5.08","0.420146137787056","32.0151356993737"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","15","30","0.26","4.9","0.346903270702853","25.4973903966597"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","30","50","0.25","4.97","0.454592901878914","45.1865344467641"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","50","100","0.2","4.44","0.528357689631176","117.295407098121"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_1","100","200","0.18","3.66","0.623173277661795","456.162839248434"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","0","15","0.28","6.23","0.433368128044537","40.498251565762"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","15","30","0.24","5.3","0.442240779401531","35.1581419624217"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","30","50","0.19","4.52","0.600730688935282","54.3060542797495"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","50","100","0.2","5.34","0.492519137091162","131.50260960334"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_2","100","200","0.21","4.81","0.520006958942241","500.246694502436"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_3","0","15","0.36","7.98","0.463117606123869","55.4351774530272"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_3","15","30","0.27","5.5","0.464509394572025","38.3220250521921"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_3","30","50","0.25","5.3","0.481558803061935","51.0452331245651"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_3","50","100","0.22","6.33","0.519137091162143","164.306889352818"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_3","100","200","0.21","6.13","0.576722338204593","707.061586638831"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_4","0","15","0.39","8.73","0.48312456506611","63.2651617954071"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_4","15","30","0.34","10.68","0.432672233820459","69.3140918580376"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_4","30","50","0.33","9.73","0.344293667362561","66.9995476687543"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_4","50","100","0.32","9.22","0.351948503827418","162.24826026444"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_4","100","200","0.22","5.63","0.572372999304106","644.491997216423"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","0","15","0.36","8.09","0.445024356297843","54.0037056367432"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","15","30","0.34","8.26","0.509568545581072","63.1355427974948"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","30","50","0.28","7.05","0.449895615866388","63.4352818371608"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","50","100","0.22","4.54","0.511656228253305","116.1459638135"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_5","100","200","0.2","4.69","0.526096033402923","493.478079331942"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_6","0","15","0.31","6.98","0.386569241475296","40.4737995824635"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_6","15","30","0.29","6.24","0.355949895615866","33.3169102296451"
"Cifuentes_et_al_2024_Nicoya","Isla Chira","Isla Chira_Manglar_8_6","30","50","0.25","5.79","0.403096729297147","46.6786012526096"
