study_id,BIBTEXKEY
Hill_and_Anisfeld_2015,Hill_and_Anisfeld_2015
Howe_et_al_2009,Howe_et_al_2009
Jennerjahn_and_Ittekkot_2002,Jennerjahn_and_Ittekkot_2002
Johnson_et_al_2007,Johnson_et_al_2007
Jones_et_al_2016,Jones_et_al_2016
Kao_et_al_2002,Kao_et_al_2002
Kemp_et_al_2012,Kemp_et_al_2012
Keuskamp_et_al_2013,Keuskamp_et_al_2013
Kristensen_et_al_1992,Kristensen_et_al_1992
Kristensen_et_al_2000,Kristensen_et_al_2000
Kulawardhana_et_al_2015,Kulawardhana_et_al_2015
Lacerda_et_al_1995,Lacerda_et_al_1995
Lallier-Verges_et_al_1998,Lallier-Verges_et_al_1998
Lang'at_et_al_2014,Lang'at_et_al_2014
Lee_and_Baker_1972,Lee_and_Baker_1972
Leopold_et_al_2013,Leopold_et_al_2013
Liu_et_al_2008,Liu_et_al_2008
Liu_et_al_2014,Liu_et_al_2014
Livesley_and_Andrusiak_2012,Livesley_and_Andrusiak_2012
Loi_and_Ni_2015,Loi_and_Ni_2015
Lovelock_et_al_2010,Lovelock_et_al_2010
MacKenzie_et_al_2016,MacKenzie_et_al_2016
Mao_et_al_2011,Mao_et_al_2011
Mao_et_al_2012,Mao_et_al_2012
Marchand_et_al_2003,Marchand_et_al_2003
Marchand_et_al_2004,Marchand_et_al_2004
"Marchand_et_al_2004,_Marchand_et_al_2003",Marchand_et_al_2004
"Marchand_et_al_2004,_Marchand_et_al_2003",Marchand_et_al_2003
Marchio_et_al_2016,Marchio_et_al_2016
Matsui_1998,Matsui_1998
McFadden_et_al_2016,McFadden_et_al_2016
Merrill_1999,Merrill_1999
Mfilinge_et_al_2002,Mfilinge_et_al_2002
Middelburg_et_al_1996,Middelburg_et_al_1996
Murdiyarso_et_al_2015,Murdiyarso_et_al_2015
Naidoo_1980,Naidoo_1980
Naidoo_and_Raiman_1982,Naidoo_and_Raiman_1982
Nam_et_al_2016,Nam_et_al_2016
Neubauer_2002,Neubauer_2002
Noe_et_al_2013,Noe_et_al_2013
Noe_et_al_2016,Noe_et_al_2016
Nsombo_et_al_2016,Nsombo_et_al_2016
Nuttle_1996,Nuttle_1996
Nyman_et_al_1993,Nyman_et_al_1993
Orson_1990,Orson_1990
Osland_et_al_2012,Osland_et_al_2012
Osland_et_al_2016,Osland_et_al_2016
Otero_et_al_2009,Otero_et_al_2009
Pastore_et_al_2017,Pastore_et_al_2017
Pazi_et_al_2016,Pazi_et_al_2016
Piazza_et_al_2011,Piazza_et_al_2011
Radabaugh_et_al_2018,Radabaugh_et_al_2018
Sahu_et_al_2016,Sahu_et_al_2016
Saintilan_et_al_2013,Saintilan_et_al_2013
Sanders_et_al_2008,Sanders_et_al_2008
Sanders_et_al_2010_ECSS,Sanders_et_al_2010
Sanders_et_al_2010_EES,Sanders_et_al_2010
Sanders_et_al_2012_MER,Sanders_et_al_2012
Sanders_et_al_2012_MER,Sanders_et_al_2012
Sanders_et_al_2014,Sanders_et_al_2014
Sanders_et_al_2016_JGR_Biogeoscience,Sanders_et_al_2016
Sanders_et_al_2016_JGR_Biogeoscience,Sanders_et_al_2016
Schile-Beers_and_Megonigal_2017,Schile-Beers_and_Megonigal_2017
Smith_et_al_2015,Smith_et_al_2015
Smoak_et_al_2013,Smoak_et_al_2013
Stringer_et_al_2015,Stringer_et_al_2015
Tam_and_Wong_1998,Tam_and_Wong_1998
Thompson_et_al_2014,Thompson_et_al_2014
Thorne_et_al_2015,Thorne_et_al_2015
Trettin_et_al_2017,Trettin_et_al_2017
Tue_et_al_2014,Tue_et_al_2014
Twilley_et_al_1997,Twilley_et_al_1997
Unger_et_al_2016,Unger_et_al_2016
Vasconcelos_et_al_2014,Vasconcelos_et_al_2014
Wang_et_al_2013,Wang_et_al_2013
Watson_and_Byrne_2013,Watson_and_Byrne_2013
Weis_et_al_2001,Weis_et_al_2001
Windham_Meyers_et_al_2010,Windham_Meyers_et_al_2010
Woodroffe_1985,Woodroffe_1985
Wooller_et_al_2003,Wooller_et_al_2003
Xia_et_al_2015,Xia_et_al_2015
Xu_et_al_2012,Xu_et_al_2012
Yando_et_al_2016,Yando_et_al_2016
Yang_et_al_2013,Yang_et_al_2013
Zhang_et_al_2012,Zhang_et_al_2012
AfSIS_Sentinel_Sites,NA
AfSPDB,NA
Along_et_al_2000_MEPS,NA
AU_NatSoil,NA
Bianchi_et_al_2012,NA
Blue_Ventures_Unpublished,NA
C._Sanders_Submitted_to_ECSS,NA
C._Sanders_Unpublished,NA
Ceron-Breton_et_al_2011,NA
Cifuentes_Unpublished,NA
Duncan_et_al_2016,NA
Frith_et_al_1976,NA
Frusher_et_al_1994,NA
Gevana_and_Pampolina_2009,NA
Giani_et_al_1996,NA
Hu_et_al_2010,NA
Jennerjahn_and_Ittekkot_1997,NA
Kauffman_et_al_2016,NA
Kauffmann_et_al_2011,NA
Kauffmann_et_al_2014,NA
Kazungu_1996,NA
Kelleway_et_al_2016,NA
Khan_et_al_2007,NA
Liu_2005,NA
Lunstrem_and_Chen_2014,NA
Mckee_et_al_2002,NA
Moreno_and_Calderon_2011,NA
MX_edaf_puntos,NA
MX_perfilv12,NA
NCSS,NA
Owers_et_al_2016,NA
Penha-Lopes_et_al_2009,NA
Phang_et_al_2016,NA
RadamBrasil,NA
Ranjan_2010,NA
Ren_et_al_2008,NA
"S._Gress_Unpublished,_Gress_et_al_2016",NA
Sanders_et_al_2015,NA
Sitoe_et_al_2014,NA
Szczygielski_et_al_2015,NA
Thimdee_et_al_2003,NA
Upkong_1997,NA
WISE,NA
Yuan_et_al_2014,NA
Zhang_and_Lin_1998,NA
NA,Kauffman_et_al_2011
NA,Kauffman_et_al_2014
NA,McKee_et_al_2002
NA,Marchand_et_al_2005
NA,Bianchi_et_al_2013
NA,Yuan_et_al_2013
NA,Lunstrum_and_Chen_2014
NA,Sitoe_2014
NA,Kauffman_et_al_2015
NA,Khan_et_al_2006
NA,Sanders_et_al_2009
NA,Ceron_et_al_2011
NA,Ren_et_al_2007
NA,Ranjan_et_al_2010
NA,Kelleway_et_al_2015
NA,Phang_et_al_2015
NA,Szczygielski_et_al_2014
NA,Penha_Lopes_et_al_2009
NA,Stringer_et_al_2016
NA,Castillo_et_al_2017
NA,Qiuhong_2005
NA,Ukpong_1997
NA,Giani_1996
NA,Smith_et_al_1994
NA,Lovelock_et_al_2005
NA,morenolquantification
NA,Gevana_et_al_2009
NA,Sanderman_2017
NA,Holmquist_et_al_2018
NA,orem1999geochemistry
NA,da2009nutrient
NA,fourqurean2010epiphyte
NA,carruthers2005lagoon
NA,rosenfeld1979interstitial
NA,mellors2002testing
NA,danovaro1995seasonal
NA,gonneea2004tracing
NA,grady1981properties
NA,pulich1985subtropical
NA,de2006sediment
NA,de2006resource
NA,holmer2003sulfur
NA,boschker2000limited
NA,vichkovitten2005dissolved
NA,holmer2006biogeochemical
NA,holmer2009deterioration
NA,leduc2011small
NA,yamamuro1993partitioning
NA,pedersen1997rates
NA,barron2004community
NA,calleja2007relationship
NA,holmer2007stimulation
NA,mateo1997detritus
NA,lo2008very
NA,kairis2010sea
NA,maher2010benthic
NA,devereux2011interactions
NA,ooi2011knowledge
NA,kamp2002sediment
NA,mateo1997dynamics
NA,lavery2013variability
NA,holmer2001importance
NA,van2010dissolved
NA,volkman2008organic
NA,abed2005food
