"SCIENTIFIC_NAME","COMP_BIOGRP","COMP","COMPONENT_DESCR","OUT_UNITS","EQUATION","INPUT_PARAMETERS","R2","SE","N","MIND","MAXD","ORIGIN","NOTES","AUTHOR","YEAR","CITATION","DOI"
"Bruguiera gymnorrhiza","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","10^(-0.7309 + 2.3055 * Log10(DBH))","DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.989,1.19,17,2,24,"Northern Australia",NA,"Clough and Scott","1989","Clough, B.F.; Scott, K. 1989. Allometric relationships for estimating above-ground biomass in six mangrove species. Forest Ecology and Management 27: 117-127. https://doi.org/10.1016/0378-1127(89)90034-0.","#https://doi.org/10.1016/0378-1127(89)90034-0#"
"Bruguiera parviflora","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","10^(-0.7749 + 2.4167 * Log10(DBH))","DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.993,1.17,16,2,21,"Northern Australia",NA,"Clough and Scott","1989","Clough, B.F.; Scott, K. 1989. Allometric relationships for estimating above-ground biomass in six mangrove species. Forest Ecology and Management 27: 117-127. https://doi.org/10.1016/0378-1127(89)90034-0.","#https://doi.org/10.1016/0378-1127(89)90034-0#"
"Bruguiera spp.","Belowground","Belowground root",NA,"kg","0.0188*((DBH^2)*(DDBH/((0.025*DBH)+0.583)))^0.909","DBH - diameter at breast height (cm)",NA,NA,11,NA,33,"Thailand",NA,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
"Excoecaria agallocha","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","Exp(1)^(-1.9737 + 1.0996 * Log(DBH^2))","DBH - diameter at breast height (cm), Exp - exponential function, Log - natural logarithm",0.9953,NA,NA,NA,NA,"Bangladesh",NA,"Hossain et al.","2015","Hossain et al. 2015. Allometric models for biomass, nutrients and carbon stock in Excoecaria agallocha of the Sundarbans, Bangladesh. Wetlands Ecology and Management. DOI 10.1007/s11273-015-9419-1","https://doi.org/10.1007/s11273-015-9419-1"
"Lumnitzera racemosa","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","1.184 * DBH^2.384","DBH - diameter at breast height (cm)",0.98,NA,8,NA,NA,"Southeast Sulawesi, Indonesia",NA,"Kangkuso et al","2015","Kangkuso et al. 2015. Allometric models and aboveground biomass of Lumnitzera racemosa Willd. Forest in Rawa Aopa Watumohai National Park, Southeast Sulawesi, Indonesia. Forest Science and Technology. DOI 10.1080/21580103.2015.1034191","https://doi.org/10.1080/21580103.2015.1034191"
"Mangrove spp.","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.251*Sg*DBH^2.46","DBH - diameter at breast height (cm), Sg - specific gravity wood (g/cm3)",NA,NA,NA,NA,NA,"Thailand/Indonesia",NA,"Komiyama et al.","2005","Komiyama, A.; Poungparn, S.; Kato, S. 2005. Common allometric equations for estimating the tree weight of mangroves. Journal of Tropical Ecology 21: 471-477. doi: https://doi.org/10.1017/S0266467405002476","https://doi.org/10.1017/S0266467405002476"
"Mangrove spp.","Belowground","Belowground root",NA,"kg","0.199*Sg^0.899*D^2.22","Sp - Specific gravity wood (g/cm3), D - diameter (cm)",0.95,NA,26,NA,45,"Thailand/Indonesia",NA,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
"Nypa fruticans","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","DBH * 2.8929","DBH represents the number of NYFR fronds. 2.8929 is a mean dry-weight mass per frond",NA,NA,NA,NA,NA,"Southern Thailand","For rough estimate of palm biomass","Matsui et al","2014","Matsui et al. 2014. Nipa (Nypa fruticans Wurmb) sap collection in southern Thailand II. Biomass and soil properties. Environment and Natural Resources Research. 4: 89-100. doi: 10.5539/enrr.v4n4p89","https://doi.org/10.5539/enrr.v4n4p89"
"Rhizophora apiculata","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.043*DBH^2.63","DBH - diameter at breast height (cm)",NA,NA,NA,NA,NA,"Indonesia",NA,"Desch, H.E.","1996","Desch, H.E. 1996. Timber: structure, properties, conversion and use. 7th Edition. Palgrave Macmillan, New York.",NA
"Rhizophora apiculata","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.235*DBH^2.42","DBH - diameter at breast height (cm)",0.98,NA,57,NA,28,"Malaysia",NA,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
"Rhizophora apiculata","Belowground","Belowground root",NA,"kg","0.00698*DBH^2.61","DBH - diameter at breast height (cm)",0.99,NA,11,15,77,"Malaysia",NA,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
"Rhizophora mucronata","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.19633*DBHÌ∞∑^2.1 0853*ùêª^0.29654","DBH - diameter at breast height (cm), H - total tree height (m)",NA,NA,NA,NA,NA,"Tanzania",NA,"Njana, M. et al.","2015","Njana, M., O.M., Bollandsas, T. Eid, E. Zahabu, R.E. Malimwi. 2015. Above- and belowgroujnd tree biomass models for trhee mangrove species using a nonlinear mixed effects modeling approach. Annals For. Sci. DOI 10.1007/s13595-015-0524-3",NA
"Rhizophora mucronata","Belowground","Belowground root",NA,"kg","1.4204*DBH^1.68979","DBH - diameter at breast height (cm)",NA,NA,NA,NA,NA,"Tanzania",NA,"Njana, M. et al.","2015","Njana, M., O.M., Bollandsas, T. Eid, E. Zahabu, R.E. Malimwi. 2015. Above- and belowgroujnd tree biomass models for trhee mangrove species using a nonlinear mixed effects modeling approach. Annals For. Sci. DOI 10.1007/s13595-015-0524-3",NA
"Rhizophora spp.","Aboveground","Live wood","Live wood above-ground: including stem and branch","kg","0.0695*DBH^2.644*Sg","DBH - diameter at breast height (cm), Sg - specific gravity wood (g/cm3)",0.89,NA,191,NA,60,"Micronesia",NA,"Kauffman and Donato","2012","Kauffman, J.B.; Donato, D.C. 2012 Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. Working Paper 86. CIFOR, Bogor, Indonesia. doi:10.17528/cifor/003749.","10.17528/cifor/003749#http://10.17528/cifor/003749#"
"Rhizophora spp.","Aboveground","Leaf","Foliage attached to tree","kg","0.0139*DBH^2.1072","DBH - diameter at breast height (cm)",0.857,1.59,23,3,23,"Australia",NA,"Kauffman and Donato","2012","Kauffman, J.B.; Donato, D.C. 2012 Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. Working Paper 86. CIFOR, Bogor, Indonesia. doi:10.17528/cifor/003749.","10.17528/cifor/003749#http://10.17528/cifor/003749#"
"Sonneratia alba","Aboveground","Live wood","Live wood above-ground: including stem and branch","kg","0.3841*DBH^2.101*Sg","DBH - diameter at breast height (cm), Sg - specific gravity wood (g/cm3)",0.92,NA,346,NA,323,"Micronesia",NA,"Kauffman and Donato","2012","Kauffman, J.B.; Donato, D.C. 2012 Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. Working Paper 86. CIFOR, Bogor, Indonesia. doi:10.17528/cifor/003749.","10.17528/cifor/003749#http://10.17528/cifor/003749#"
"Sonneratia alba","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.19633*DBH^2.04113*H^0.29654","DBH - diameter at breast height (cm), H - total tree height (m)",NA,NA,NA,NA,NA,"Tanzania",NA,"Njana, M. et al.","2015","Njana, M., O.M., Bollandsas, T. Eid, E. Zahabu, R.E. Malimwi. 2015. Above- and belowgroujnd tree biomass models for trhee mangrove species using a nonlinear mixed effects modeling approach. Annals For. Sci. DOI 10.1007/s13595-015-0524-3",NA
"Sonneratia alba","Belowground","Belowground root",NA,"kg","1.4204*DBH^1.65760","DBH - diameter at breast height (cm)",NA,NA,NA,NA,NA,"Tanzania",NA,"Njana, M. et al.","2015","Njana, M., O.M., Bollandsas, T. Eid, E. Zahabu, R.E. Malimwi. 2015. Above- and belowgroujnd tree biomass models for trhee mangrove species using a nonlinear mixed effects modeling approach. Annals For. Sci. DOI 10.1007/s13595-015-0524-3",NA
"Xylocarpus granatum","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.0823*DBH^2.59","DBH - diameter at breast height (cm)",0.99,1.13,15,3,17,"Australia",NA,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
"Xylocarpus granatum","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.1832*DBH^2.21","DBH - diameter at breast height (cm)",NA,NA,NA,NA,NA,"Indonesia",NA,"Desch, H.E.","1996","Desch, H.E. 1996. Timber: structure, properties, conversion and use. 7th Edition. Palgrave Macmillan, New York.",NA
"Xylocarpus granatum","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","10^(-1.0844 + 2.5883 * Log10(DBH))","DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.994,1.13,15,3,17,"Northern Australia",NA,"Clough and Scott","1989","Clough, B.F.; Scott, K. 1989. Allometric relationships for estimating above-ground biomass in six mangrove species. Forest Ecology and Management 27: 117-127. https://doi.org/10.1016/0378-1127(89)90034-0.","#https://doi.org/10.1016/0378-1127(89)90034-0#"
