"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample/Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)",Averaged Sample Runs,"Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
 Standard Deviation 
(µm)","Skewness
 (µm)","Skewness 
Standard Deviation 
(µm)","Kurtosis 
(µm)","Kurtosis
 Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size 
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting 
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
 Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)",,,,,,,
16CCT03-GB34S,0-1,Sandy Mud,N=6,18.77,0.30,4.520,0.041,-0.441,0.019,0.794,0.031,5.736,0.023,2.176,0.013,0.441,0.019,0.794,0.031,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.78,0.01,30.31,1.02,88.35,0.87,25.0,0.3,75.0,0.3,0.0,0.0,0.0,3.0,22.0,24.3,12.8,9.2,8.9,8.7,11.1,,,,,,,
16CCT03-GB280S,0-1,Sandy Mud,N=12,28.31,7.35,3.824,0.133,-0.353,0.084,1.035,0.064,5.192,0.379,1.934,0.050,0.353,0.084,1.035,0.064,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Mesokurtic,3.34,0.74,37.93,11.74,112.06,16.02,31.6,9.5,68.4,9.5,0.0,0.0,0.1,7.7,23.8,22.4,16.2,10.7,7.2,5.6,6.3,,,,,,,
16CCT03-GB281S,0-1,Sandy Mud,N=6,35.38,2.01,3.383,0.087,-0.382,0.002,1.286,0.025,4.823,0.082,1.758,0.037,0.382,0.002,1.286,0.025,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,4.35,0.49,43.98,1.84,114.70,2.25,34.9,1.5,65.1,1.5,0.0,0.0,0.0,7.6,27.3,27.3,16.7,7.5,4.1,3.9,5.6,,,,,,,
16CCT03-GB282S,0-1,Sandy Mud,N=6,42.24,3.25,3.489,0.184,-0.421,0.016,1.284,0.086,4.570,0.111,1.801,0.076,0.421,0.016,1.284,0.086,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,5.25,0.77,55.03,3.60,138.55,0.73,44.7,2.4,55.3,2.4,0.0,0.0,0.2,13.3,31.2,23.8,12.2,6.6,4.2,3.6,4.9,,,,,,,
16CCT03-GB283S,0-1,Mud,N=6,7.30,0.03,3.962,0.005,0.072,0.002,0.859,0.005,7.098,0.006,1.986,0.002,-0.072,0.002,0.859,0.005,Fine Silt,Poorly Sorted,Symmetrical,Platykurtic,1.31,0.01,6.84,0.02,46.69,0.46,6.0,0.1,94.0,0.1,0.0,0.0,0.0,1.5,4.5,10.5,13.9,16.1,18.2,17.0,18.2,,,,,,,
16CCT03-GB284S,0-1,Sandy Mud,N=6,24.85,0.94,3.657,0.102,-0.355,0.008,1.127,0.027,5.332,0.055,1.870,0.040,0.355,0.008,1.127,0.027,Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,2.98,0.20,32.13,1.00,94.30,0.68,23.9,0.3,76.1,0.3,0.0,0.0,0.0,4.0,19.9,27.0,19.6,10.8,6.5,5.2,6.9,,,,,,,
16CCT03-GB285S,0-1,Sandy Mud,N=6,19.86,1.95,4.266,0.442,-0.300,0.055,0.938,0.128,5.661,0.142,2.085,0.150,0.300,0.055,0.938,0.128,Coarse Silt,Poorly Sorted,Fine Skewed,Mesokurtic,2.17,0.33,26.04,3.07,95.98,7.24,23.2,2.0,76.8,2.0,0.0,0.0,0.0,4.5,18.7,22.3,17.1,11.9,8.8,7.3,9.3,,,,,,,
16CCT03-GB286S,0-1,Mud,N=6,9.42,0.56,4.381,0.081,-0.039,0.018,0.850,0.010,6.733,0.085,2.131,0.027,0.039,0.018,0.850,0.010,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.37,0.03,10.03,0.84,61.45,4.37,9.7,1.0,90.3,1.0,0.0,0.0,0.0,3.1,6.6,13.0,17.3,15.4,14.7,13.6,16.3,,,,,,,
16CCT03-GB287S,0-1,Muddy Sand,N=6,64.78,8.48,3.766,0.268,-0.600,0.015,1.249,0.124,3.961,0.190,1.909,0.103,0.600,0.015,1.249,0.124,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,6.10,1.36,102.10,9.31,200.42,4.93,64.8,3.6,35.2,3.6,0.0,0.0,1.9,38.4,24.6,11.6,7.0,4.7,4.1,3.6,4.2,,,,,,,
16CCT03-GB288S,0-1,Sandy Mud,N=6,20.22,0.98,4.864,0.134,-0.215,0.075,0.831,0.027,5.630,0.070,2.281,0.040,0.215,0.075,0.831,0.027,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,2.09,0.09,25.68,3.90,128.51,2.73,26.3,2.1,73.7,2.1,0.0,0.0,0.3,10.4,15.7,19.1,13.5,11.4,11.3,9.1,9.3,,,,,,,
16CCT03-GB289S,0-1,Sandy Mud,N=6,39.46,4.08,4.117,0.049,-0.298,0.049,0.942,0.012,4.671,0.150,2.042,0.017,0.298,0.049,0.942,0.012,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,4.57,0.54,48.27,7.30,171.40,8.66,43.3,3.9,56.7,3.9,0.0,0.0,0.9,21.4,21.0,15.7,15.0,11.2,5.6,3.8,5.3,,,,,,,
Gx = field replicate sample pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT03-GB230M,0-1,Sandy Mud,N=8,49.55,1.07,2.764,0.044,-0.420,0.009,1.881,0.033,4.335,0.031,1.467,0.023,0.420,0.009,1.881,0.033,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,9.92,0.49,57.12,0.42,116.42,0.29,44.1,0.4,55.9,0.4,0.0,0.0,0.0,8.0,36.2,33.1,9.8,4.0,2.2,2.1,4.6,,,,,,,
16CCT03-GB230M,1-2,Sandy Mud,N=8,52.70,0.43,2.833,0.019,-0.381,0.003,1.731,0.008,4.246,0.012,1.502,0.010,0.381,0.003,1.731,0.008,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.89,0.36,59.78,0.24,131.80,0.57,47.4,0.2,52.6,0.2,0.0,0.0,0.1,11.5,35.7,29.9,10.4,3.8,2.1,2.1,4.3,,,,,,,
16CCT03-GB230M,2-3,Muddy Sand,N=8,57.27,0.55,2.809,0.041,-0.385,0.008,1.735,0.010,4.126,0.014,1.490,0.021,0.385,0.008,1.735,0.010,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,12.45,0.35,64.94,0.51,141.68,4.12,52.2,0.4,47.8,0.4,0.0,0.1,0.4,13.9,37.9,27.1,9.2,3.5,2.0,2.0,4.1,,,,,,,
16CCT03-GB230M,3-4,Muddy Sand,N=8,53.45,0.74,3.152,0.029,-0.419,0.002,1.694,0.016,4.226,0.020,1.656,0.013,0.419,0.002,1.694,0.016,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,8.01,0.24,64.60,0.52,148.20,0.48,51.8,0.4,48.2,0.4,0.0,0.5,1.2,13.8,36.3,25.0,9.1,4.2,2.6,2.5,4.8,,,,,,,
16CCT03-GB230M,4-5,Sandy Mud,N=8,49.38,0.25,3.163,0.016,-0.449,0.003,1.679,0.005,4.340,0.007,1.661,0.007,0.449,0.003,1.679,0.005,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.92,0.22,61.20,0.20,135.08,0.36,48.8,0.2,51.2,0.2,0.0,0.0,0.2,12.3,36.3,26.4,9.7,4.5,2.8,2.6,5.2,,,,,,,
16CCT03-GB230M,5-6,Sandy Mud,N=8,47.07,0.86,3.373,0.011,-0.457,0.010,1.613,0.018,4.409,0.027,1.754,0.005,0.457,0.010,1.613,0.018,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.56,0.21,60.68,0.51,139.13,2.67,48.4,0.4,51.6,0.4,0.0,0.4,0.8,12.2,35.1,25.4,9.7,4.9,3.1,2.9,5.6,,,,,,,
16CCT03-GB230M,6-7,Sandy Mud,N=8,44.68,0.74,3.405,0.033,-0.477,0.005,1.571,0.024,4.485,0.024,1.768,0.014,0.477,0.005,1.571,0.024,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.09,0.25,58.92,0.35,132.53,0.82,46.9,0.3,53.1,0.3,0.0,0.0,0.2,11.6,35.1,25.7,10.0,5.2,3.3,3.0,5.9,,,,,,,
16CCT03-GB230M,7-8,Sandy Mud,N=8,41.00,1.30,3.562,0.073,-0.488,0.004,1.494,0.036,4.609,0.046,1.832,0.029,0.488,0.004,1.494,0.036,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,4.05,0.31,56.18,0.85,128.17,0.85,44.6,0.7,55.4,0.7,0.0,0.0,0.2,10.6,33.8,26.0,10.5,5.5,3.6,3.4,6.5,,,,,,,
16CCT03-GB230M,8-9,Sandy Mud,N=8,41.48,0.37,3.544,0.017,-0.485,0.001,1.480,0.016,4.592,0.013,1.825,0.007,0.485,0.001,1.480,0.016,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,4.27,0.10,56.50,0.38,129.42,0.70,44.9,0.3,55.1,0.3,0.0,0.0,0.1,10.9,33.8,25.7,10.6,5.7,3.6,3.3,6.4,,,,,,,
16CCT03-GB230M,9-10,Sandy Mud,N=8,39.87,0.26,3.657,0.019,-0.493,0.002,1.438,0.006,4.649,0.009,1.871,0.008,0.493,0.002,1.438,0.006,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.82,0.08,55.74,0.11,129.04,0.25,44.3,0.1,55.7,0.1,0.0,0.0,0.1,10.9,33.3,25.4,10.6,5.8,3.8,3.4,6.7,,,,,,,
16CCT03-GB230M,10-11,Sandy Mud,N=8,38.56,1.04,3.700,0.039,-0.499,0.006,1.422,0.027,4.697,0.039,1.887,0.015,0.499,0.006,1.422,0.027,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.61,0.23,54.74,0.77,126.57,2.11,43.4,0.6,56.6,0.6,0.0,0.0,0.1,10.3,33.0,25.7,10.6,5.9,3.9,3.5,6.9,,,,,,,
16CCT03-GB230M,11-12,Sandy Mud,N=8,39.41,0.53,3.747,0.011,-0.491,0.012,1.444,0.014,4.665,0.019,1.906,0.004,0.491,0.012,1.444,0.014,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.62,0.10,55.94,0.23,131.77,3.08,44.5,0.2,55.5,0.2,0.0,0.3,0.7,10.5,33.0,25.3,10.3,5.8,3.9,3.5,6.8,,,,,,,
16CCT03-GB230M,12-13,Sandy Mud,N=8,40.02,0.25,3.684,0.018,-0.495,0.008,1.474,0.009,4.643,0.009,1.881,0.007,0.495,0.008,1.474,0.009,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.69,0.08,56.28,0.18,130.20,1.88,44.7,0.2,55.3,0.2,0.0,0.1,0.5,10.6,33.5,25.5,10.2,5.5,3.7,3.5,6.8,,,,,,,
16CCT03-GB230M,13-14,Sandy Mud,N=8,41.69,0.55,3.601,0.032,-0.496,0.002,1.519,0.027,4.584,0.019,1.848,0.013,0.496,0.002,1.519,0.027,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.94,0.11,57.95,0.44,131.98,0.48,46.1,0.3,53.9,0.3,0.0,0.0,0.3,11.4,34.5,25.4,9.7,5.2,3.6,3.5,6.5,,,,,,,
16CCT03-GB230M,14-15,Sandy Mud,N=8,40.88,1.35,3.618,0.090,-0.500,0.001,1.489,0.042,4.613,0.048,1.855,0.036,0.500,0.001,1.489,0.042,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.89,0.28,57.16,1.03,129.69,0.33,45.4,0.8,54.6,0.8,0.0,0.0,0.1,11.0,34.3,25.4,10.0,5.5,3.7,3.4,6.6,,,,,,,
