study_id,site_id,plot_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,fraction_organic_matter,salinity,pH,percent_silt,percent_clay,percent_sand,depth_interval_notes
Adotey_et_al_2024,Amanzule,AM_A,AM_A_4,single set of methods,30,50,0.57284999999999997,0.029731209999999998,NA,10.304,2.48,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_4,single set of methods,50,100,0.49609599999999998,0.01908587,NA,14.4,2.19,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_5,single set of methods,0,15,0.36705500000000002,0.06268945000000001,NA,38.591999999999999,2.67,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_5,single set of methods,15,30,0.31753300000000001,0.09297620000000001,NA,40.256,3.03,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_5,single set of methods,30,50,0.31546299999999999,0.09966993,NA,38.591999999999999,3.09,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_5,single set of methods,50,100,0.43862299999999999,0.07485214,NA,28.352,2.73,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_6,single set of methods,0,15,0.31801600000000002,0.1152411,NA,38.463999999999999,3.66,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_6,single set of methods,15,30,0.31897199999999998,0.1410728,NA,39.744,3.72,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_6,single set of methods,30,50,0.39068399999999998,0.08247363,NA,32.768000000000001,3.32,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_6,single set of methods,50,100,0.37095800000000001,0.09094592,NA,32,2.7,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_1,single set of methods,0,15,0.513378,0.1384268,0.022661969613477998,13.312000000000001,2.2400000000000002,9.289144296623578,25.840352672596254,64.87050303078017,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B,AM_B_1,single set of methods,15,30,0.34276099999999998,0.2083897,0.1617069630863057,17.535999999999998,2.2200000000000002,16.133568848936232,38.79257000776298,45.07386114330079,Sandy clay
Adotey_et_al_2024,Amanzule,AM_B,AM_B_1,single set of methods,30,50,0.29845300000000002,0.2837111,0.26121352968800743,20.8,2.2400000000000002,38.00257685407013,36.50944645803025,25.48797668789963,Clay loam
Adotey_et_al_2024,Amanzule,AM_B,AM_B_1,single set of methods,50,100,0.38555,0.28840340000000003,0.06466980787112084,17.984000000000002,2.35,8.044547990430681,30.840916451622423,61.11453555794689,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B,AM_B_2,single set of methods,0,15,0.42755100000000001,0.2738869,0.03852131330211954,17.28,2.69,10.45871738981685,30.63328999970689,58.90799261047626,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B,AM_B_2,single set of methods,15,30,0.31660899999999997,0.27736879999999997,0.11678986719759411,19.904,3.54,12.64482240060988,30.2882680617628,57.06690953762732,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B,AM_B_2,single set of methods,30,50,0.33643000000000001,0.25177109999999997,0.11660317460316837,17.792000000000002,3.54,14.878306878307459,30.7089947089944,54.41269841269814,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B,AM_B_2,single set of methods,50,100,0.49893399999999999,0.16583279999999997,0.32157215873781236,10.112,2.4300000000000002,20.038809339606402,53.95259172828447,26.00859893210913,Clay
Adotey_et_al_2024,Amanzule,AM_B,AM_B_3,single set of methods,0,15,0.41267399999999999,0.162748,0.08399240093336553,19.135999999999999,2.4300000000000002,20.773535424452607,31.86239081504182,47.364073760505576,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B,AM_B_3,single set of methods,15,30,0.42125200000000002,0.2055792,0.16019647696477354,11.135999999999999,2.57,20.551038843721283,43.27009936766074,36.17886178861797,Clay
Adotey_et_al_2024,Amanzule,AM_B,AM_B_3,single set of methods,30,50,0.46623399999999998,0.1378344,0.49099452958736306,15.68,2.61,23.024295487980943,65.38785654092798,11.587847971091078,Clay
Adotey_et_al_2024,Amanzule,AM_B,AM_B_3,single set of methods,50,100,0.28893099999999999,0.2349342,0.6647279699608518,24.64,2.76,18.662618838379437,75.32156267476269,6.015818486857869,Clay
Adotey_et_al_2024,Amanzule,AM_B,AM_B_4,single set of methods,0,15,0.365707,0.114528181,NA,18.495999999999999,2.75,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_4,single set of methods,15,30,0.31975199999999998,0.13759912500000002,NA,21.888000000000002,3.31,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_4,single set of methods,30,50,0.246613,0.262446142,NA,23.808000000000003,3.61,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_4,single set of methods,50,100,0.20914099999999999,0.27660966800000003,NA,26.624000000000002,3.61,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_5,single set of methods,0,15,0.398783,0.27297740000000004,NA,19.776,2.57,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_5,single set of methods,15,30,0.30257800000000001,0.2352985,NA,23.488000000000003,2.2400000000000002,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_5,single set of methods,30,50,0.224027,0.3143457,NA,32.576000000000001,2.93,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_5,single set of methods,50,100,0.208232,0.3765153,NA,32,2.93,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_6,single set of methods,0,15,0.224027,0.2218171,NA,26.944000000000003,2.84,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_6,single set of methods,15,30,0.27510299999999999,0.3015505,NA,23.936,3.33,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_6,single set of methods,30,50,0.22909299999999999,0.4024741,NA,25.344000000000001,4.74,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_B,AM_B_6,single set of methods,50,100,0.20610899999999999,0.5057902,NA,27.648000000000003,4.95,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_1,single set of methods,0,15,0.290605,0.1766517,0.08848093769782708,19.391999999999999,3.38,20.889914439157177,30.405750342039564,48.70433521880326,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_1,single set of methods,15,30,0.35907499999999998,0.07355524,0.015851720758522817,19.904,3.28,23.52068050124163,24.053511451108054,52.42580804765032,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_1,single set of methods,30,50,0.75815900000000003,0.07597456,0.04464294308458484,11.52,3.34,8.451165163488158,27.29784100643958,64.25099383007226,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_1,single set of methods,50,100,0.76969299999999996,0.01984019,0.08254283175233354,8.3840000000000003,3.54,25.1100502201,29.202058404117125,45.687891375782876,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_2,single set of methods,0,15,0.51492499999999997,0.07812880999999999,0.00850409241307366,6.7839999999999998,3.9,19.38816973355731,29.624039782512373,50.98779048393031,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_2,single set of methods,15,30,0.46393600000000002,0.053654349999999996,0.022202409218209564,7.7439999999999998,3.94,21.16545688894932,38.551367904871874,40.28317520617881,Clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_2,single set of methods,30,50,0.57097900000000001,0.0542119,0.05041738239460162,7.68,3.81,8.880049021085114,25.49498237049079,65.6249686084241,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_2,single set of methods,50,100,0.53382300000000005,0.07792832,0.1471680351446082,11.584000000000001,3.55,21.777103707964905,36.692641598242815,41.53025469379228,Clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_3,single set of methods,0,15,0.33620899999999998,0.09540203,0.09267748478700882,13.120000000000001,3.63,7.342799188641814,26.288032454360817,66.36916835699736,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_3,single set of methods,15,30,0.41422900000000001,0.08964012999999998,0.0665185771232059,11.52,3.66,14.281512136242215,20.854253517127013,64.86423434663078,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_3,single set of methods,30,50,0.61599800000000005,0.0677803,0.012885264712241254,4.992,4.1100000000000003,17.68196909417546,25.751718819070234,56.5663120867543,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_3,single set of methods,50,100,0.37315999999999999,0.1396961,0.016045053660610285,15.295999999999999,3.56,7.747220370745825,19.358391051091274,72.8943885781629,Sandy loam
Adotey_et_al_2024,Amanzule,AM_C,AM_C_4,single set of methods,0,15,0.37395800000000001,0.1992956,NA,9.3439999999999994,3.68,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_4,single set of methods,15,30,0.32947199999999999,0.2200765,NA,14.784000000000001,3.37,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_4,single set of methods,30,50,0.455789,0.1362401,NA,9.0879999999999992,3.62,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_4,single set of methods,50,100,0.34600799999999998,0.19789500000000002,NA,12.096,3.58,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_5,single set of methods,0,15,0.43826300000000001,0.12117330000000001,NA,9.0879999999999992,4.24,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_5,single set of methods,15,30,0.49360999999999999,0.141871,NA,9.6,4,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_5,single set of methods,30,50,1.167408,0.1034737,NA,5.5039999999999996,3.72,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_5,single set of methods,50,100,1.3189280000000001,0.10660299999999999,NA,3.7760000000000002,3.81,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_6,single set of methods,0,15,0.52967200000000003,0.1463179,NA,4.4800000000000004,4.26,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_6,single set of methods,15,30,0.62175000000000002,0.06711666,NA,4.2240000000000002,3.35,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_6,single set of methods,30,50,0.82015099999999996,0.08527872999999998,NA,8.8960000000000008,3.5,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_C,AM_C_6,single set of methods,50,100,1.307617,0.03109204,NA,4.8,3.72,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_1,single set of methods,0,15,0.59140000000000004,0.07109311104120793,0.06510632151295602,14.592000000000001,6.1,50.720675175138965,18.571443310669306,30.70788151419173,Silt loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_1,single set of methods,15,30,0.53869999999999996,0.07465460774751209,0.022922344709756796,17.152000000000001,6.24,51.214253752593024,17.53244111784596,31.253305129561017,Silt loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_1,single set of methods,30,50,0.65110000000000001,0.07918152921756201,0.0619740828004045,8.7679999999999989,6.05,53.64355435880157,28.799225849882358,17.55721979131607,Silty clay loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_1,single set of methods,50,100,0.64190000000000003,0.11433449688875401,0.01023695540902914,22.335999999999999,2.72,44.540792260058524,29.32586637762341,26.13334136231807,Clay loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_2,single set of methods,0,15,0.4667,0.08246468719926396,0.08457474404176002,13.76,5.67,50.99048163559106,19.777869538058162,29.231648826350774,Silt loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_2,single set of methods,15,30,0.63249999999999995,0.08139162685834968,0.055869121506226783,9.7279999999999998,5.1100000000000003,54.94230849335604,21.55621277127511,23.501478735368856,Silt loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_2,single set of methods,30,50,0.64739999999999998,0.08924501266596735,0.030192767636294197,18.047999999999998,3.64,43.82755166704158,32.40049878370361,23.771949549254806,Clay loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_2,single set of methods,50,100,0.6361,0.1073595640602282,0.12545351662616883,22.591999999999999,4.22,43.53759611223856,41.69579158761388,14.76661230014756,Silty clay
Adotey_et_al_2024,Kakum,KA_A,KA_A_3,single set of methods,0,15,0.62529999999999997,0.08028127777856167,0.007791435368754934,18.495999999999999,5.69,60.963521015067606,16.375892149087893,22.66058683584451,Silt loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_3,single set of methods,15,30,0.60389999999999999,0.0897223739206134,0.0519972129493828,19.968,4.03,58.091286307054354,16.618309258623384,25.29040443432227,Silt loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_3,single set of methods,30,50,0.60980000000000001,0.11489601901366608,0.03957565041677399,22.080000000000002,3.02,59.93432685021442,15.92321293255898,24.142460217226603,Silt loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_3,single set of methods,50,100,0.41120000000000001,0.18782080935551324,0.0028724042613887334,32.96,2.6,26.54022841516044,34.941027179633814,38.518744405205744,Clay loam
Adotey_et_al_2024,Kakum,KA_A,KA_A_4,single set of methods,0,15,0.62270000000000003,0.06448617370251199,NA,14.4,5.68,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_4,single set of methods,15,30,0.6794,0.05571008967301443,NA,14.208,5.7,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_4,single set of methods,30,50,0.5998,0.06640069843242558,NA,19.135999999999999,4.8600000000000003,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_4,single set of methods,50,100,0.69479999999999997,0.07645846749632516,NA,18.815999999999999,3.83,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_5,single set of methods,0,15,0.5133375,0.06621666965057452,NA,10.56,5.52,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_5,single set of methods,15,30,0.71678999999999993,0.07556544188085539,NA,15.36,5.86,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_5,single set of methods,30,50,0.63547833333333337,0.07988849117707747,NA,17.152000000000001,5.78,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_5,single set of methods,50,100,0.61450250000000006,0.12267108933671768,NA,29.76,1.96,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_6,single set of methods,0,15,0.55289250000000001,0.05063034544368139,NA,15.808,5.43,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_6,single set of methods,15,30,0.74459416666666667,0.037552694711277444,NA,9.7919999999999998,5.6,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_6,single set of methods,30,50,0.69950749999999995,0.04345578219059225,NA,16.832000000000001,5.38,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_A,KA_A_6,single set of methods,50,100,0.83217666666666668,0.011836140411111284,NA,13.888,2.13,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_1,single set of methods,0,15,0.96188799999999997,0.04934017080293433,0.015804727378480238,15.68,2.59,21.220052749280867,17.268870904659828,61.511076346059305,Sandy loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_1,single set of methods,15,30,1.081413,0.048111387203798026,0.011622910024887767,17.920000000000002,1.98,4.017549294929973,15.890306912783139,80.09214379228689,Sandy loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_1,single set of methods,30,50,1.482548,0.036874511523284886,0.008109968378106494,13.952,2.11,3.8704400131676717,19.272397178967694,76.85716280786463,Sandy loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_1,single set of methods,50,100,1.5028820000000001,0.044465125650318654,0.016244132395184723,14.847999999999999,2.2999999999999998,2.1818982514786813,16.454315254271282,81.36378649425004,Sandy loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_2,single set of methods,0,15,1.494121,0.007715590726339526,0.024606114486104287,7.8079999999999998,3.72,1.1260927544809332,10.944831333037536,87.92907591248154,Loamy sand
Adotey_et_al_2024,Kakum,KA_B,KA_B_2,single set of methods,15,30,1.604867,0.005155524690229928,0.0071287089878535196,11.712000000000002,2.4300000000000002,1.608126924359622,11.845227589182585,86.54664548645779,Loamy sand
Adotey_et_al_2024,Kakum,KA_B,KA_B_2,single set of methods,30,50,1.5168219999999999,0.09067478119019982,0.03589105121899373,9.92,2.8,1.163372146421079,10.837729995612007,87.99889785796691,Loamy sand
Adotey_et_al_2024,Kakum,KA_B,KA_B_2,single set of methods,50,100,1.503563,0.040539503117099675,0.008525621371424938,15.744000000000002,2.11,1.0483942753713078,9.47511052647172,89.47649519815697,Sand
Adotey_et_al_2024,Kakum,KA_B,KA_B_3,single set of methods,0,15,0.82942899999999997,0.045124166306573746,0.00994662307222353,16,4.95,5.790707293534194,18.711469145771918,75.49782356069389,Sandy loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_3,single set of methods,15,30,0.77699600000000002,0.0618697504564821,0.01721714346650752,19.135999999999999,4.2,6.533983500236789,21.211210531928593,72.25480596783463,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_3,single set of methods,30,50,0.80510666666666664,0.08006191096467702,0.0035478762853546563,21.888000000000002,2.29,6.995530076770514,24.233799033854968,68.77067088937453,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_3,single set of methods,50,100,1.0101366666666667,0.06425448028673837,0.005620838034005488,16.128,1.91,7.1084132863430165,23.381887523337113,69.50969919031986,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_B,KA_B_4,single set of methods,0,15,0.73500750000000004,0.04236033837969722,NA,17.920000000000002,4.18,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_4,single set of methods,15,30,0.66987416666666666,0.06494705973144005,NA,18.559999999999999,3.64,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_4,single set of methods,30,50,0.88811166666666674,0.05371281652665253,NA,14.912000000000001,3.28,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_4,single set of methods,50,100,0.88117416666666659,0.06793963575330167,NA,16.32,3.16,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_5,single set of methods,0,15,1.3130791666666668,0.03702631890151765,NA,8.7679999999999989,5,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_5,single set of methods,15,30,1.2105825000000001,0.05739789214870213,NA,11.584000000000001,4.2,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_5,single set of methods,30,50,1.2673008333333333,0.0585029471190692,NA,14.847999999999999,2.37,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_5,single set of methods,50,100,0.86290666666666671,0.08719373342379574,NA,18.240000000000002,1.9,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_6,single set of methods,0,15,1.7872824999999999,0.033684543835345374,NA,4.7360000000000007,4.3099999999999996,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_6,single set of methods,15,30,1.95408,0.026370881490426084,NA,4.7360000000000007,4.3099999999999996,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_6,single set of methods,30,50,1.7216400000000001,0.034089434294201665,NA,6.4639999999999995,2.73,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_B,KA_B_6,single set of methods,50,100,1.8209458333333333,0.04351083581369159,NA,8.9600000000000009,2.2999999999999998,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_1,single set of methods,0,15,0.31768416666666671,0.15284764642472157,0.0065665855732932425,37.119999999999997,4.1500000000000004,11.155283925710586,24.842263494135352,64.00245258015406,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_1,single set of methods,15,30,0.34663083333333333,0.13330653625421499,0.01632537319479458,43.583999999999996,4.04,13.104859127827812,28.13392477365258,58.761216098519604,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_1,single set of methods,30,50,0.42625583333333333,0.09829008420690842,0.0034273662008960314,33.664000000000001,2.82,9.491167940943923,23.239691048813064,67.269141010243,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_1,single set of methods,50,100,0.43352916666666663,0.08839381961911612,0.002938702910665118,30.911999999999999,2.48,9.860121608166834,22.388276122072106,67.75160226976107,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_2,single set of methods,0,15,0.97215249999999997,0.07310474663960495,0.02389724695527426,13.696,3.18,7.430150445195089,23.723262716200946,68.84658683860397,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_2,single set of methods,15,30,1.1230499999999999,0.07081093123080848,0.01232332377647258,17.600000000000001,2.2000000000000002,5.713998289824019,19.21432523514944,75.07167647502655,Sandy loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_2,single set of methods,30,50,1.1764891666666666,0.07029363928288444,0.007670843891431539,16.896000000000001,5.72,6.1524506275693955,20.567326937676697,73.28022243475391,Sandy loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_2,single set of methods,50,100,1.3581333333333334,0.07194425400492473,0.023526532210691693,16.32,5.5,13.37380066575303,19.483062463285506,67.14313687096147,Sandy loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_3,single set of methods,0,15,1.1103958333333332,0.06385356901465758,0.011904879323775574,10.304,3.49,5.523390572756299,24.401550494639164,70.07505893260453,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_3,single set of methods,15,30,1.1957774999999999,0.07147055842708018,0.0022433201137652767,11.52,2.89,3.7455434042387825,23.895365140407545,72.35909145535368,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_3,single set of methods,30,50,1.1513666666666666,0.06554238032498906,0.01589673101057729,10.56,2.68,10.936472838103619,19.72150839658234,69.34201876531404,Sandy loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_3,single set of methods,50,100,1.3890441666666669,0.054526643203527826,0.0043190125707066335,9.0879999999999992,2.89,18.048717669318386,13.155157554804543,68.79612477587708,Sandy loam
Adotey_et_al_2024,Kakum,KA_C,KA_C_4,single set of methods,0,15,0.91380416666666664,0.04375286303252404,NA,8.4480000000000004,2.97,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_4,single set of methods,15,30,1.2208183333333333,0.045932230106653565,NA,10.495999999999999,2.25,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_4,single set of methods,30,50,1.3967416666666668,0.03800391134289436,NA,9.7919999999999998,2.16,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_4,single set of methods,50,100,1.6676791666666666,0.0322749147473678,NA,7.6160000000000005,2.2200000000000002,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_5,single set of methods,0,15,1.0873824999999999,0.023424921841148545,NA,2.8160000000000003,4.33,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_5,single set of methods,15,30,1.0416624999999999,0.02591269893809097,NA,3.6480000000000001,4.28,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_5,single set of methods,30,50,1.0468741666666666,0.026914141594653086,NA,3.9680000000000004,3.64,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_5,single set of methods,50,100,1.1506516666666669,0.02889360763862256,NA,3.9680000000000004,2.7,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_6,single set of methods,0,15,1.05278,0.015902677310514278,NA,8,4.79,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_6,single set of methods,15,30,1.0841266666666667,0.01733239918896475,NA,9.2799999999999994,4.95,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_6,single set of methods,30,50,1.2949925,0.01692331316877836,NA,8.9600000000000009,4.0999999999999996,NA,NA,NA,NA
Adotey_et_al_2024,Kakum,KA_C,KA_C_6,single set of methods,50,100,1.532915,0.0214123581336696,NA,11.072000000000001,2.2400000000000002,NA,NA,NA,NA
