study_id,DOI,
SWAMP_Data-Soil carbon-Salina-2017-Brazil,10.17528/cifor/data.00170,
SWAMP_Data-Soil carbon-Sang-2014-Senegal,10.17528/cifor/data.00152,
SWAMP_Data-Soil carbon-Tanjung Puting 2009,10.17528/cifor/data.00145,
SWAMP_Data-Soil carbon-Timika-2011,10.17528/cifor/data.00147,
SWAMP_Data-Soil carbon-Arguni Bay-West Papua-2015-Indonesia,10.17528/cifor/data.00192,
SWAMP_Data-Soil carbon-Bintuni Bay-West Papua-2018-Indonesia,10.17528/cifor/data.00192,
SWAMP_Data-Soil carbon-Buruway-West Papua-2016-Indonesia,10.17528/cifor/data.00192,
SWAMP_Data-Soil carbon-Etna Bay-West Papua-2017-Indonesia,10.17528/cifor/data.00192,
SWAMP_Data-Soil carbon-Kaimana City-West Papua-2017-Indonesia,10.17528/cifor/data.00192,
SWAMP_Data-Soil carbon-BRM10-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-MRM8-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-MRT7-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-MRT9-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-NCM1-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-NCM4-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-NCM5-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-NCT2-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-NCT3-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-NCT6-2014,10.17528/cifor/data.00216,
SWAMP_Data-Soil carbon-Boca Grande-2017-Brazil,10.17528/cifor/data.00162,
SWAMP_Data-Trees-Boca Grande-Brazil-2017,10.17528/cifor/data.00131,
SWAMP_Data-Soil carbon-Case Shell-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Jardin Du Elephant-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Lac Simba Deux-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Lac Simba-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Lac Sounga Deux-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Lac Sounga-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Mwana Mouele South-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Mwana Mouele-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Ndougou-2014,10.17528/cifor/data.00215,
SWAMP_Data-Soil carbon-Ndougou-2014,10.17528/cifor/data.00215,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
