study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_organic_matter,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,th234_activity,th234_activity_se,k40_activity,k40_activity_se
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,2.04,0.02,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,1.97,0.002,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,1.98,0.072,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",51,52,NA,NA,NA,2.18,0.068,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",55,56,NA,NA,NA,2.36,0.077,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",59,60,NA,NA,NA,2.4,0.029,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",59,60,NA,NA,NA,2.31,0.017,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",63,64,NA,NA,NA,2.46,0.094,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",67,68,NA,NA,NA,2.46,0.048,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",71,72,NA,NA,NA,2.49,0.101,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,1.0295504943176568,0.03821042233918061,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,1.4631933756192077,0.02681957129235459,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,1.5468440616464363,0.004675880210033496,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,1.1472719926505446,0.05811417300621108,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",7,8,NA,NA,NA,1.0187706191010355,0.004911050247901883,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,1.0624449371766445,0.0032277098895846673,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,1.0189754445711467,0.07300615458887791,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,0.99085163292145,0.03177636048486097,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,0.941982461982462,0.04572451176024363,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,0.975896842975909,0.028161333883719313,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,0.9725563198425263,0.05511339830978977,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,0.9617611078073232,0.009324366203022367,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,0.9656944405623726,0.021932425722746708,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,0.9237765184045168,0.055230230162968075,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,0.9537865892733253,0.014104237315691914,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,0.9518390739904703,0.006680987877094824,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",31,32,NA,NA,NA,0.9287221150449693,0.02866008323670214,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,1.1079166044055633,0.02359126667773575,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",39,40,NA,NA,NA,1.060709389150776,0.049308949439086217,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,0.9357711703127481,0.018457517308509273,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,0.8981826023676946,0.03621738434878069,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,0.9140671633131425,0.01728472302648402,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",51,52,NA,NA,NA,0.9420820925705111,0.0029185030626052567,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",55,56,NA,NA,NA,1.1453723693949085,0.01928638213921009,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",59,60,NA,NA,NA,1.0782174301131984,0.029362130693608695,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",63,64,NA,NA,NA,1.1172506863976917,0.06466593356544294,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",67,68,NA,NA,NA,0.7883637802457214,0.050326207320808225,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, alpha spectroscopy",71,72,NA,NA,NA,0.9109931084453091,0.01722353613390718,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",1,2,0.08252923774503047,NA,NA,2.5518869852778123,0.13489070313938464,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",5,6,0.14172774869109933,NA,NA,2.7908362690823685,0.13081060274340964,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",5,6,0.14172774869109933,NA,NA,2.8141048145951117,0.0926892583239313,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",7,8,0.15827913751718195,NA,NA,2.978271723714658,0.0948783165606652,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",9,10,0.1581783601014371,NA,NA,3.021065672670861,0.15647091407700758,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",9,10,0.1581783601014371,NA,NA,3.1351326866782534,0.016206608669997645,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",11,12,0.18744919525280468,NA,NA,2.881950952925228,0.0627273427547737,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",13,14,0.2083868756960512,NA,NA,3.0550456030824753,0.13218547875587966,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",15,16,0.18371002132196204,NA,NA,2.7153193535314686,0.09527162717866522,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",17,18,0.17771451809678734,NA,NA,2.581022339734159,0.12891192780177665,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",19,20,0.15638533854441708,NA,NA,2.4125127231133208,0.04913756045784695,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",23,24,0.1629348143817601,NA,NA,1.9130009867979165,0.0475330229425988,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",23,24,0.1629348143817601,NA,NA,2.0006323024054984,0.06698804035653168,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",27,28,0.1337165453841291,NA,NA,2.0276783817239563,0.05109950582937467,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",31,32,0.11178049630130536,NA,NA,1.515978151022256,0.02446223497807603,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",35,36,0.09781511867678637,NA,NA,1.2457327633673376,0.0405679057916674,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",35,36,0.09781511867678637,NA,NA,1.260542045100356,0.09470338079945921,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",39,40,0.0687829618703144,NA,NA,0.6690841201308027,0.004365866335841112,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",43,44,0.02402782804520019,NA,NA,0.23007618360002136,0.0058743060618640635,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",47,48,0.022348033373063302,NA,NA,0.258402600282473,0.010921615828357895,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",51,52,0.016784169203653283,NA,NA,0.1843090034784049,6.044695686827498e-4,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",55,56,0.010658219778468335,NA,NA,0.14965540353561232,0.008957775636084752,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, alpha spectroscopy",59,60,0.033515593357634266,NA,NA,0.46487267896118684,0.011091643015682965,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,5.83764705882353,0.01580591628534605,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,4.984984403245006,0.04082402951631306,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,5.36253194877429,0.06781085714684285,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,5.10711203265182,0.02656775652058227,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",7,8,NA,NA,NA,4.597462240264576,0.1088428073313363,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,3.9175631180172075,0.0156302653181044,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,3.3763344411018883,0.0049526765304322715,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,3.542580735154496,0.12878412013780968,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,2.9268764275310746,0.05636693706965331,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,3.5293584128809505,0.03767030843196896,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,3.2352670720574026,0.0016809683866060166,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,3.0763286496844215,0.02769891802461154,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,2.5890708030381866,0.0181476284630329,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,2.513443795255847,0.05112131217626613,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,2.3068971024271274,0.04501245091021898,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",31,32,NA,NA,NA,2.265766900575133,0.02382682782808645,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,2.187404058536908,0.0519891163260496,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",39,40,NA,NA,NA,1.6989579963215284,0.036975522297625615,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",39,40,NA,NA,NA,1.7324825834407278,0.023900396741063624,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,1.4195525256786603,0.021293769713530614,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,1.3690996304539307,0.04940119617898101,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",51,52,NA,NA,NA,1.2760771631334213,0.018036887832338235,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",55,56,NA,NA,NA,1.2222720045128423,0.012919410671236541,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",55,56,NA,NA,NA,1.1650385117045379,0.016822996014433926,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",59,60,NA,NA,NA,0.9645379498440658,0.05427067052305259,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",63,64,NA,NA,NA,0.8868652400231347,0.033261419614749585,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",67,68,NA,NA,NA,0.8691354010747674,0.015134441388117838,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_A,"Serrated Push Core, alpha spectroscopy",71,72,NA,NA,NA,0.8311818822636325,0.002366948793098302,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,5.494047463502871,0.2392151110549571,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,4.691183228294555,0.3247492610455236,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,4.849721715370298,0.08369147314724974,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,2.9351015021054616,0.029437969446167417,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",7,8,NA,NA,NA,2.007858368443479,0.04292457204710953,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,2.5517635403553287,0.04039187595406298,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,4.775115556725455,0.009282661066421605,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,4.673464034111976,0.11584149969060362,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,4.116768948324433,0.06879568988931191,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,2.643299978772152,0.003822568130718692,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,2.4374567944499606,0.100133835081222,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,1.772840308817554,0.017123359149535913,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,1.507097594729138,0.0015212651717383273,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,1.587582074468251,0.06109880062372236,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,1.8391874452689314,0.10981224589611797,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",31,32,NA,NA,NA,1.3750810633409913,0.02896827083063233,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,1.1409093387682874,0.07446509876369405,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,1.1217870158656928,0.013773556220391083,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",39,40,NA,NA,NA,0.8876132418357383,0.02975590798719398,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,0.7013758575637519,0.007968318031321583,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,0.7349991478171946,0.019945538360512643,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,0.552021693288476,0.026838715103851794,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",51,52,NA,NA,NA,1.2091624037250923,0.03825348046282821,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",51,52,NA,NA,NA,1.172345244671881,0.10244567486707182,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",55,56,NA,NA,NA,0.5467205791500762,0.005634694814320519,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",59,60,NA,NA,NA,0.47513598950256475,0.03260721321761706,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",63,64,NA,NA,NA,0.6094928272094055,0.021157275685550456,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",67,68,NA,NA,NA,0.6190975739876585,0.045333869291557395,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, alpha spectroscopy",71,72,NA,NA,NA,0.41247346009870905,0.005177426917983065,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,6.05,0.143,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",2,3,NA,NA,NA,5.91,0.139,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,5.86,0.135,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,6.26,0.155,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",4,5,NA,NA,NA,6.02,0.128,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,6.19,0.137,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",6,7,NA,NA,NA,5.82,0.127,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",6,7,NA,NA,NA,5.93,0.129,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",7,8,NA,NA,NA,6,0.133,NA,NA,NA,NA,NA,NA
