study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Rovai_et_al_2022,SC3,S25L3MG1,single set of methods,37.5,42.5,1.164,0.0243,0.004
Rovai_et_al_2022,SC3,S25L3MG1,single set of methods,67.5,72.5,0.771,0.055,0.011
Rovai_et_al_2022,SC3,S25L3MG2,single set of methods,5,10,0.537,0.1178,0.039
Rovai_et_al_2022,SC3,S25L3MG2,single set of methods,20,25,0.487,0.1038,0.03
Rovai_et_al_2022,SC3,S25L3MG2,single set of methods,37.5,42.5,0.42,0.1273,0.044
Rovai_et_al_2022,SC3,S25L3MG2,single set of methods,67.5,72.5,0.597,0.0668,0.023
Rovai_et_al_2022,SC3,S25L3MG3,single set of methods,5,10,0.387,0.1484,0.048
Rovai_et_al_2022,SC3,S25L3MG3,single set of methods,20,25,0.675,0.0633,0.016
Rovai_et_al_2022,SC3,S25L3MG3,single set of methods,37.5,42.5,0.954,0.0833,0.014
Rovai_et_al_2022,SC3,S25L3MG3,single set of methods,67.5,72.5,0.81,0.0858,0.012
Rovai_et_al_2022,BA1,S10L1MG1,single set of methods,5,10,0.529,0.1293,0.027
Rovai_et_al_2022,BA1,S10L1MG1,single set of methods,20,25,0.762,0.1982,0.024
Rovai_et_al_2022,BA1,S10L1MG1,single set of methods,37.5,42.5,0.704,0.1348,0.031
Rovai_et_al_2022,BA1,S10L1MG1,single set of methods,67.5,72.5,0.7,0.1737,0.026
Rovai_et_al_2022,BA1,S10L1MG2,single set of methods,5,10,0.738,0.1754,0.028
Rovai_et_al_2022,BA1,S10L1MG2,single set of methods,20,25,0.718,0.1744,0.032
Rovai_et_al_2022,BA1,S10L1MG2,single set of methods,37.5,42.5,0.684,0.1749,0.043
Rovai_et_al_2022,BA1,S10L1MG2,single set of methods,67.5,72.5,0.858,0.1376,0.012
Rovai_et_al_2022,BA1,S10L1MG3,single set of methods,5,10,0.736,0.1759,0.025
Rovai_et_al_2022,BA1,S10L1MG3,single set of methods,20,25,0.734,0.1784,0.032
Rovai_et_al_2022,BA1,S10L1MG3,single set of methods,37.5,42.5,0.745,0.1717,0.026
Rovai_et_al_2022,BA1,S10L1MG3,single set of methods,67.5,72.5,0.85,0.1334,0.013
Rovai_et_al_2022,BA2,S10L2MG1,single set of methods,5,10,0.298,0.2978,0.088
Rovai_et_al_2022,BA2,S10L2MG1,single set of methods,20,25,0.377,0.2849,0.078
Rovai_et_al_2022,BA2,S10L2MG1,single set of methods,37.5,42.5,0.363,0.238,0.068
Rovai_et_al_2022,BA2,S10L2MG1,single set of methods,67.5,72.5,0.408,0.2505,0.064
Rovai_et_al_2022,BA2,S10L2MG2,single set of methods,5,10,0.27,0.2945,0.092
Rovai_et_al_2022,BA2,S10L2MG2,single set of methods,20,25,0.312,0.3078,0.098
Rovai_et_al_2022,BA2,S10L2MG2,single set of methods,37.5,42.5,0.399,0.3266,0.084
Rovai_et_al_2022,BA2,S10L2MG2,single set of methods,67.5,72.5,0.366,0.2986,0.072
Rovai_et_al_2022,BA2,S10L2MG3,single set of methods,5,10,0.347,0.3756,0.09
Rovai_et_al_2022,BA2,S10L2MG3,single set of methods,20,25,0.302,0.416,0.115
Rovai_et_al_2022,BA2,S10L2MG3,single set of methods,37.5,42.5,0.386,0.3737,0.088
Rovai_et_al_2022,BA2,S10L2MG3,single set of methods,67.5,72.5,0.444,0.299,0.074
Rovai_et_al_2022,BA3,S10L3MG1,single set of methods,5,10,0.778,0.2211,0.025
Rovai_et_al_2022,BA3,S10L3MG1,single set of methods,20,25,0.795,0.1848,0.025
Rovai_et_al_2022,BA3,S10L3MG1,single set of methods,37.5,42.5,0.798,0.1925,0.032
Rovai_et_al_2022,BA3,S10L3MG1,single set of methods,67.5,72.5,1.136,0.1045,0.009
Rovai_et_al_2022,BA3,S10L3MG2,single set of methods,5,10,0.604,0.16,0.029
Rovai_et_al_2022,BA3,S10L3MG2,single set of methods,20,25,0.79,0.1821,0.021
Rovai_et_al_2022,BA3,S10L3MG2,single set of methods,37.5,42.5,0.863,0.111,0.025
Rovai_et_al_2022,BA3,S10L3MG2,single set of methods,67.5,72.5,1.336,0.076,0.008
Rovai_et_al_2022,BA3,S10L3MG3,single set of methods,5,10,0.542,0.1416,0.03
Rovai_et_al_2022,BA3,S10L3MG3,single set of methods,20,25,0.727,0.1133,0.023
Rovai_et_al_2022,BA3,S10L3MG3,single set of methods,37.5,42.5,0.77,0.1185,0.034
Rovai_et_al_2022,BA3,S10L3MG3,single set of methods,67.5,72.5,0.756,0.1344,0.037
Rovai_et_al_2022,PA1,S0L1MG1,single set of methods,5,10,0.733,0.0802,0.026
Rovai_et_al_2022,PA1,S0L1MG1,single set of methods,20,25,0.784,0.0795,0.03
Rovai_et_al_2022,PA1,S0L1MG1,single set of methods,37.5,42.5,1.002,0.0837,0.012
Rovai_et_al_2022,PA1,S0L1MG1,single set of methods,67.5,72.5,0.736,0.1113,0.026
Rovai_et_al_2022,PA1,S0L1MG2,single set of methods,5,10,1.036,0.1416,0.012
Rovai_et_al_2022,PA1,S0L1MG2,single set of methods,20,25,1.03,0.1015,0.011
Rovai_et_al_2022,PA1,S0L1MG2,single set of methods,37.5,42.5,0.813,0.1513,0.026
Rovai_et_al_2022,PA1,S0L1MG2,single set of methods,67.5,72.5,0.863,0.1282,0.022
Rovai_et_al_2022,PA1,S0L1MG3,single set of methods,5,10,1.031,0.0501,0.016
Rovai_et_al_2022,PA1,S0L1MG3,single set of methods,20,25,1.091,0.0994,0.011
Rovai_et_al_2022,PA1,S0L1MG3,single set of methods,37.5,42.5,0.893,0.0538,0.018
Rovai_et_al_2022,PA1,S0L1MG3,single set of methods,67.5,72.5,1.07,0.0876,0.016
Rovai_et_al_2022,PA2,S0L2MG1,single set of methods,5,10,0.604,0.1307,0.035
Rovai_et_al_2022,PA2,S0L2MG1,single set of methods,20,25,0.794,0.1093,0.031
Rovai_et_al_2022,PA2,S0L2MG1,single set of methods,37.5,42.5,0.519,0.1039,0.025
Rovai_et_al_2022,PA2,S0L2MG1,single set of methods,67.5,72.5,0.959,0.0412,0.01
Rovai_et_al_2022,PA2,S0L2MG2,single set of methods,5,10,0.565,0.1586,0.039
Rovai_et_al_2022,PA2,S0L2MG2,single set of methods,20,25,0.657,0.1444,0.037
Rovai_et_al_2022,PA2,S0L2MG2,single set of methods,37.5,42.5,0.659,0.1142,0.033
Rovai_et_al_2022,PA2,S0L2MG2,single set of methods,67.5,72.5,1.026,0.042,0.012
Rovai_et_al_2022,PA2,S0L2MG3,single set of methods,5,10,0.622,0.131,0.033
Rovai_et_al_2022,PA2,S0L2MG3,single set of methods,20,25,0.586,0.1308,0.036
Rovai_et_al_2022,PA2,S0L2MG3,single set of methods,37.5,42.5,0.958,0.1096,0.014
Rovai_et_al_2022,PA2,S0L2MG3,single set of methods,67.5,72.5,0.693,0.1557,0.034
Rovai_et_al_2022,PA3,S0L3MG1,single set of methods,5,10,0.608,0.116,0.026
Rovai_et_al_2022,PA3,S0L3MG1,single set of methods,20,25,0.594,0.1177,0.027
Rovai_et_al_2022,PA3,S0L3MG1,single set of methods,37.5,42.5,0.554,0.1137,0.027
Rovai_et_al_2022,PA3,S0L3MG1,single set of methods,67.5,72.5,0.592,0.1083,0.027
Rovai_et_al_2022,PA3,S0L3MG2,single set of methods,5,10,0.64,0.1162,0.024
Rovai_et_al_2022,PA3,S0L3MG2,single set of methods,20,25,0.607,0.1321,0.035
Rovai_et_al_2022,PA3,S0L3MG2,single set of methods,37.5,42.5,0.664,0.1374,0.026
Rovai_et_al_2022,PA3,S0L3MG2,single set of methods,67.5,72.5,0.645,0.103,0.029
Rovai_et_al_2022,PA3,S0L3MG3,single set of methods,5,10,0.592,0.1164,0.029
Rovai_et_al_2022,PA3,S0L3MG3,single set of methods,20,25,0.47,0.1142,0.027
Rovai_et_al_2022,PA3,S0L3MG3,single set of methods,37.5,42.5,0.607,0.1538,0.029
Rovai_et_al_2022,PA3,S0L3MG3,single set of methods,67.5,72.5,0.578,0.1458,0.03
Rovai_et_al_2022,LG1,N10L1MG1,single set of methods,5,10,0.174,0.1281,0.239
Rovai_et_al_2022,LG1,N10L1MG1,single set of methods,20,25,0.22,0.2087,0.216
Rovai_et_al_2022,LG1,N10L1MG1,single set of methods,37.5,42.5,0.177,0.1231,0.235
Rovai_et_al_2022,LG1,N10L1MG1,single set of methods,67.5,72.5,0.164,0.0903,0.175
Rovai_et_al_2022,LG1,N10L1MG2,single set of methods,5,10,0.159,0.0552,0.316
Rovai_et_al_2022,LG1,N10L1MG2,single set of methods,20,25,0.232,0.1643,0.226
Rovai_et_al_2022,LG1,N10L1MG2,single set of methods,37.5,42.5,0.227,0.5366,0.212
Rovai_et_al_2022,LG1,N10L1MG2,single set of methods,67.5,72.5,0.208,0.4795,0.167
Rovai_et_al_2022,LG1,N10L1MG3,single set of methods,5,10,0.158,0.6358,0.283
Rovai_et_al_2022,LG1,N10L1MG3,single set of methods,20,25,0.18,0.5998,0.265
Rovai_et_al_2022,LG1,N10L1MG3,single set of methods,37.5,42.5,0.203,0.5356,0.244
Rovai_et_al_2022,LG1,N10L1MG3,single set of methods,67.5,72.5,0.175,0.5534,0.227
Rovai_et_al_2022,LG2,N10L2MG1,single set of methods,5,10,0.173,0.6762,0.286
Rovai_et_al_2022,LG2,N10L2MG1,single set of methods,20,25,0.183,0.6073,0.259
Rovai_et_al_2022,LG2,N10L2MG1,single set of methods,37.5,42.5,0.175,0.6313,0.247
Rovai_et_al_2022,LG2,N10L2MG1,single set of methods,67.5,72.5,0.179,0.1104,0.175
Rovai_et_al_2022,LG2,N10L2MG2,single set of methods,5,10,0.174,0.152,0.256
Rovai_et_al_2022,LG2,N10L2MG2,single set of methods,20,25,0.196,0.0106,0.211
Rovai_et_al_2022,LG2,N10L2MG2,single set of methods,37.5,42.5,0.19,0.1102,0.242
Rovai_et_al_2022,LG2,N10L2MG2,single set of methods,67.5,72.5,0.313,0.1173,0.089
Rovai_et_al_2022,LG2,N10L2MG3,single set of methods,5,10,0.225,0.1161,0.226
Rovai_et_al_2022,LG2,N10L2MG3,single set of methods,20,25,0.206,0.0156,0.176
Rovai_et_al_2022,LG2,N10L2MG3,single set of methods,37.5,42.5,0.191,0.104,0.144
Rovai_et_al_2022,LG2,N10L2MG3,single set of methods,67.5,72.5,0.26,0.1488,0.098
Rovai_et_al_2022,LG3,N10L3MG1,single set of methods,5,10,0.101,0.7797,0.384
Rovai_et_al_2022,LG3,N10L3MG1,single set of methods,20,25,0.152,0.6953,0.333
Rovai_et_al_2022,LG3,N10L3MG1,single set of methods,37.5,42.5,0.153,0.6763,0.336
Rovai_et_al_2022,LG3,N10L3MG1,single set of methods,67.5,72.5,0.146,0.613,0.272
Rovai_et_al_2022,LG3,N10L3MG2,single set of methods,5,10,0.201,0.5495,0.208
Rovai_et_al_2022,LG3,N10L3MG2,single set of methods,20,25,0.156,0.7242,0.36
Rovai_et_al_2022,LG3,N10L3MG2,single set of methods,37.5,42.5,0.148,0.6941,0.327
Rovai_et_al_2022,LG3,N10L3MG2,single set of methods,67.5,72.5,0.12,0.6642,0.319
Rovai_et_al_2022,LG3,N10L3MG3,single set of methods,5,10,0.119,0.7716,0.366
Rovai_et_al_2022,LG3,N10L3MG3,single set of methods,20,25,0.15,0.7157,0.33
Rovai_et_al_2022,LG3,N10L3MG3,single set of methods,37.5,42.5,0.136,0.7319,0.33
Rovai_et_al_2022,LG3,N10L3MG3,single set of methods,67.5,72.5,0.259,0.3885,0.109
Rovai_et_al_2022,GN1,N11L1MG1,single set of methods,5,10,1.25,NA,0.004
Rovai_et_al_2022,GN1,N11L1MG1,single set of methods,20,25,0.696,NA,0.069
Rovai_et_al_2022,GN1,N11L1MG1,single set of methods,37.5,42.5,0.862,NA,0.047
Rovai_et_al_2022,GN1,N11L1MG1,single set of methods,67.5,72.5,0.792,NA,0.031
Rovai_et_al_2022,GN1,N11L1MG2,single set of methods,5,10,1.266,NA,0.005
Rovai_et_al_2022,GN1,N11L1MG2,single set of methods,20,25,1.154,NA,0.007
Rovai_et_al_2022,GN1,N11L1MG2,single set of methods,37.5,42.5,0.978,NA,0.024
Rovai_et_al_2022,GN1,N11L1MG2,single set of methods,67.5,72.5,0.716,NA,0.038
Rovai_et_al_2022,GN1,N11L1MG3,single set of methods,5,10,0.986,NA,0.022
Rovai_et_al_2022,GN1,N11L1MG3,single set of methods,20,25,0.544,NA,0.055
Rovai_et_al_2022,GN1,N11L1MG3,single set of methods,37.5,42.5,0.606,NA,0.049
Rovai_et_al_2022,GN1,N11L1MG3,single set of methods,67.5,72.5,0.718,NA,0.04
Rovai_et_al_2022,GN2,N11L2MG1,single set of methods,5,10,0.926,NA,0.025
Rovai_et_al_2022,GN2,N11L2MG1,single set of methods,20,25,0.613,NA,0.07
Rovai_et_al_2022,GN2,N11L2MG1,single set of methods,37.5,42.5,0.928,NA,0.021
Rovai_et_al_2022,GN2,N11L2MG1,single set of methods,67.5,72.5,1.047,NA,0.011
Rovai_et_al_2022,GN2,N11L2MG2,single set of methods,5,10,0.828,NA,0.047
Rovai_et_al_2022,GN2,N11L2MG2,single set of methods,20,25,0.777,NA,0.043
Rovai_et_al_2022,GN2,N11L2MG2,single set of methods,37.5,42.5,0.864,NA,0.024
Rovai_et_al_2022,GN2,N11L2MG2,single set of methods,67.5,72.5,1.051,NA,0.013
Rovai_et_al_2022,GN2,N11L2MG3,single set of methods,5,10,0.515,NA,0.086
Rovai_et_al_2022,GN2,N11L2MG3,single set of methods,20,25,0.445,NA,0.103
Rovai_et_al_2022,GN2,N11L2MG3,single set of methods,37.5,42.5,1.116,NA,0.01
Rovai_et_al_2022,GN2,N11L2MG3,single set of methods,67.5,72.5,1.106,NA,0.012
Rovai_et_al_2022,GN3,N11L3MG1,single set of methods,5,10,0.681,NA,0.039
Rovai_et_al_2022,GN3,N11L3MG1,single set of methods,20,25,0.628,NA,0.039
Rovai_et_al_2022,GN3,N11L3MG1,single set of methods,37.5,42.5,0.723,NA,0.037
Rovai_et_al_2022,GN3,N11L3MG1,single set of methods,67.5,72.5,0.616,NA,0.043
Rovai_et_al_2022,GN3,N11L3MG2,single set of methods,5,10,0.749,NA,0.033
Rovai_et_al_2022,GN3,N11L3MG2,single set of methods,20,25,0.843,NA,0.026
Rovai_et_al_2022,GN3,N11L3MG2,single set of methods,37.5,42.5,0.916,NA,0.024
Rovai_et_al_2022,GN3,N11L3MG2,single set of methods,67.5,72.5,0.517,NA,0.043
Rovai_et_al_2022,GN3,N11L3MG3,single set of methods,5,10,0.922,NA,0.019
Rovai_et_al_2022,GN3,N11L3MG3,single set of methods,20,25,0.864,NA,0.029
Rovai_et_al_2022,GN3,N11L3MG3,single set of methods,37.5,42.5,0.88,NA,0.029
Rovai_et_al_2022,GN3,N11L3MG3,single set of methods,67.5,72.5,0.732,NA,0.028
Rovai_et_al_2022,ES1,N13L1MG1,single set of methods,5,10,0.206,NA,0.178
Rovai_et_al_2022,ES1,N13L1MG1,single set of methods,20,25,0.175,NA,0.157
Rovai_et_al_2022,ES1,N13L1MG1,single set of methods,37.5,42.5,0.232,NA,0.116
Rovai_et_al_2022,ES1,N13L1MG1,single set of methods,67.5,72.5,0.248,NA,0.138
Rovai_et_al_2022,ES1,N13L1MG2,single set of methods,5,10,0.141,NA,0.122
Rovai_et_al_2022,ES1,N13L1MG2,single set of methods,20,25,0.189,NA,0.128
Rovai_et_al_2022,ES1,N13L1MG2,single set of methods,37.5,42.5,0.155,NA,0.117
Rovai_et_al_2022,ES1,N13L1MG2,single set of methods,67.5,72.5,0.289,NA,0.15
Rovai_et_al_2022,ES1,N13L1MG3,single set of methods,5,10,0.125,NA,0.136
Rovai_et_al_2022,ES1,N13L1MG3,single set of methods,20,25,0.172,NA,0.096
Rovai_et_al_2022,ES1,N13L1MG3,single set of methods,37.5,42.5,0.259,NA,0.107
Rovai_et_al_2022,ES1,N13L1MG3,single set of methods,67.5,72.5,0.172,NA,0.075
Rovai_et_al_2022,ES2,N13L2MG1,single set of methods,5,10,0.241,NA,0.073
Rovai_et_al_2022,ES2,N13L2MG1,single set of methods,20,25,0.274,NA,0.06
Rovai_et_al_2022,ES2,N13L2MG1,single set of methods,37.5,42.5,0.291,NA,0.053
Rovai_et_al_2022,ES2,N13L2MG1,single set of methods,67.5,72.5,0.327,NA,0.057
Rovai_et_al_2022,ES2,N13L2MG2,single set of methods,5,10,0.215,NA,0.078
Rovai_et_al_2022,ES2,N13L2MG2,single set of methods,20,25,0.27,NA,0.07
Rovai_et_al_2022,ES2,N13L2MG2,single set of methods,37.5,42.5,0.277,NA,0.06
Rovai_et_al_2022,ES2,N13L2MG2,single set of methods,67.5,72.5,0.275,NA,0.048
Rovai_et_al_2022,ES2,N13L2MG3,single set of methods,5,10,0.257,NA,0.075
Rovai_et_al_2022,ES2,N13L2MG3,single set of methods,20,25,0.307,NA,0.038
Rovai_et_al_2022,ES2,N13L2MG3,single set of methods,37.5,42.5,0.585,NA,0.036
Rovai_et_al_2022,ES2,N13L2MG3,single set of methods,67.5,72.5,0.636,NA,0.012
Rovai_et_al_2022,ES3,N13L3MG1,single set of methods,5,10,0.16,NA,0.165
Rovai_et_al_2022,ES3,N13L3MG1,single set of methods,20,25,0.171,NA,0.125
Rovai_et_al_2022,ES3,N13L3MG1,single set of methods,37.5,42.5,0.127,NA,0.121
Rovai_et_al_2022,ES3,N13L3MG1,single set of methods,67.5,72.5,0.178,NA,0.091
Rovai_et_al_2022,ES3,N13L3MG2,single set of methods,5,10,0.123,NA,0.167
Rovai_et_al_2022,ES3,N13L3MG2,single set of methods,20,25,0.113,NA,0.127
Rovai_et_al_2022,ES3,N13L3MG2,single set of methods,37.5,42.5,0.165,NA,0.145
Rovai_et_al_2022,ES3,N13L3MG2,single set of methods,67.5,72.5,0.172,NA,0.177
Rovai_et_al_2022,ES3,N13L3MG3,single set of methods,5,10,0.104,NA,0.179
Rovai_et_al_2022,ES3,N13L3MG3,single set of methods,20,25,0.147,NA,0.11
Rovai_et_al_2022,ES3,N13L3MG3,single set of methods,37.5,42.5,0.2,NA,0.141
Rovai_et_al_2022,ES3,N13L3MG3,single set of methods,67.5,72.5,0.184,NA,0.102
Rovai_et_al_2022,SB1,SB-C1,single set of methods,5,10,0.196,0.6874,0.333
Rovai_et_al_2022,SB1,SB-C1,single set of methods,20,25,0.15,0.6639,0.31
Rovai_et_al_2022,SB1,SB-C1,single set of methods,37.5,42.5,0.203,0.6137,0.306
Rovai_et_al_2022,SB1,SB-C1,single set of methods,67.5,72.5,0.51,0.2047,0.138
Rovai_et_al_2022,SB1,SB-C2,single set of methods,5,10,0.234,0.7268,0.361
Rovai_et_al_2022,SB1,SB-C2,single set of methods,20,25,0.189,0.628,0.313
Rovai_et_al_2022,SB1,SB-C2,single set of methods,37.5,42.5,0.249,0.5648,0.254
Rovai_et_al_2022,SB1,SB-C2,single set of methods,67.5,72.5,0.381,0.3612,0.208
Rovai_et_al_2022,SB1,SB-C3,single set of methods,5,10,0.165,0.7205,0.352
Rovai_et_al_2022,SB1,SB-C3,single set of methods,20,25,0.134,0.586,0.283
Rovai_et_al_2022,SB1,SB-C3,single set of methods,37.5,42.5,0.508,0.3133,0.139
Rovai_et_al_2022,SB1,SB-C3,single set of methods,67.5,72.5,0.942,0.1506,0.04
Rovai_et_al_2022,RB12,RB1-C1,single set of methods,5,10,0.211,0.6932,0.308
Rovai_et_al_2022,RB12,RB1-C1,single set of methods,20,25,0.207,0.5788,0.253
Rovai_et_al_2022,RB12,RB1-C1,single set of methods,37.5,42.5,0.195,0.6423,0.252
Rovai_et_al_2022,RB12,RB1-C1,single set of methods,67.5,72.5,0.331,0.3867,0.135
Rovai_et_al_2022,RB12,RB1-C2,single set of methods,5,10,0.209,0.6844,0.301
Rovai_et_al_2022,RB12,RB1-C2,single set of methods,20,25,0.195,0.6418,0.268
Rovai_et_al_2022,RB12,RB1-C2,single set of methods,37.5,42.5,0.257,0.4912,0.234
Rovai_et_al_2022,RB12,RB1-C2,single set of methods,67.5,72.5,0.336,0.2652,0.326
Rovai_et_al_2022,RB12,RB1-C3,single set of methods,5,10,0.278,0.7146,0.331
Rovai_et_al_2022,RB12,RB1-C3,single set of methods,20,25,0.397,0.3388,0.169
Rovai_et_al_2022,RB12,RB1-C3,single set of methods,37.5,42.5,0.715,0.4555,0.069
Rovai_et_al_2022,RB12,RB1-C3,single set of methods,67.5,72.5,0.762,0.1922,0.055
Rovai_et_al_2022,RB23,RB2-C1,single set of methods,5,10,0.195,0.7067,0.298
Rovai_et_al_2022,RB23,RB2-C1,single set of methods,20,25,0.217,0.6024,0.296
Rovai_et_al_2022,RB23,RB2-C1,single set of methods,37.5,42.5,0.232,0.5936,0.291
Rovai_et_al_2022,RB23,RB2-C1,single set of methods,67.5,72.5,0.273,0.3299,0.129
Rovai_et_al_2022,RB23,RB2-C2,single set of methods,5,10,0.161,0.628,0.301
Rovai_et_al_2022,RB23,RB2-C2,single set of methods,20,25,0.162,0.647,0.301
Rovai_et_al_2022,RB23,RB2-C2,single set of methods,37.5,42.5,0.203,0.6249,0.295
Rovai_et_al_2022,RB23,RB2-C2,single set of methods,67.5,72.5,0.284,0.3125,0.118
Rovai_et_al_2022,RB23,RB2-C3,single set of methods,5,10,0.16,0.6223,0.287
Rovai_et_al_2022,RB23,RB2-C3,single set of methods,20,25,0.173,0.6148,0.287
Rovai_et_al_2022,RB23,RB2-C3,single set of methods,37.5,42.5,0.223,0.5882,0.269
Rovai_et_al_2022,RB23,RB2-C3,single set of methods,67.5,72.5,0.309,0.3927,0.148
Rovai_et_al_2022,SRS61,SRS6-C1,single set of methods,5,10,0.324,0.4801,0.161
Rovai_et_al_2022,SRS61,SRS6-C1,single set of methods,20,25,0.207,0.5631,0.245
Rovai_et_al_2022,SRS61,SRS6-C1,single set of methods,37.5,42.5,0.263,0.4657,0.192
Rovai_et_al_2022,SRS61,SRS6-C1,single set of methods,67.5,72.5,0.223,0.5693,0.214
Rovai_et_al_2022,SRS61,SRS6-C2,single set of methods,5,10,0.502,0.3231,0.101
Rovai_et_al_2022,SRS61,SRS6-C2,single set of methods,20,25,0.314,0.4782,0.173
Rovai_et_al_2022,SRS61,SRS6-C2,single set of methods,37.5,42.5,0.253,0.5021,0.199
Rovai_et_al_2022,SRS61,SRS6-C2,single set of methods,67.5,72.5,0.239,0.5073,0.203
Rovai_et_al_2022,SRS61,SRS6-C3,single set of methods,5,10,0.209,0.4734,0.213
Rovai_et_al_2022,SRS61,SRS6-C3,single set of methods,20,25,0.252,0.4813,0.19
Rovai_et_al_2022,SRS61,SRS6-C3,single set of methods,37.5,42.5,0.276,0.4145,0.197
Rovai_et_al_2022,SRS61,SRS6-C3,single set of methods,67.5,72.5,0.313,0.3878,0.165
Rovai_et_al_2022,NR2,NR-C1,single set of methods,5,10,0.367,0.3856,0.125
Rovai_et_al_2022,NR2,NR-C1,single set of methods,20,25,0.434,0.3841,0.104
Rovai_et_al_2022,NR2,NR-C1,single set of methods,37.5,42.5,0.328,0.3617,0.153
Rovai_et_al_2022,NR2,NR-C1,single set of methods,67.5,72.5,0.322,0.354,0.14
Rovai_et_al_2022,NR2,NR-C2,single set of methods,5,10,0.249,0.4405,0.177
Rovai_et_al_2022,NR2,NR-C2,single set of methods,20,25,0.339,0.3345,0.123
Rovai_et_al_2022,NR2,NR-C2,single set of methods,37.5,42.5,0.3,0.3771,0.148
Rovai_et_al_2022,NR2,NR-C2,single set of methods,67.5,72.5,0.346,0.3378,0.131
Rovai_et_al_2022,NR2,NR-C3,single set of methods,5,10,0.185,0.542,0.252
Rovai_et_al_2022,NR2,NR-C3,single set of methods,20,25,0.289,0.3985,0.182
Rovai_et_al_2022,NR2,NR-C3,single set of methods,37.5,42.5,0.164,0.5676,0.269
Rovai_et_al_2022,NR2,NR-C3,single set of methods,67.5,72.5,0.305,0.3449,0.134
Rovai_et_al_2022,CB3,CB-C1,single set of methods,5,10,0.139,0.7546,0.308
Rovai_et_al_2022,CB3,CB-C1,single set of methods,20,25,0.183,0.6655,0.27
Rovai_et_al_2022,CB3,CB-C1,single set of methods,37.5,42.5,0.339,0.4072,0.129
Rovai_et_al_2022,CB3,CB-C1,single set of methods,67.5,72.5,0.321,0.4908,0.207
Rovai_et_al_2022,CB3,CB-C2,single set of methods,5,10,0.174,0.7376,0.299
Rovai_et_al_2022,CB3,CB-C2,single set of methods,20,25,0.168,0.7368,0.331
Rovai_et_al_2022,CB3,CB-C2,single set of methods,37.5,42.5,0.174,0.7666,0.328
Rovai_et_al_2022,CB3,CB-C2,single set of methods,67.5,72.5,0.703,0.2791,0.06
Rovai_et_al_2022,CB3,CB-C3,single set of methods,5,10,0.136,0.7175,0.31
Rovai_et_al_2022,CB3,CB-C3,single set of methods,20,25,0.19,0.6662,0.313
Rovai_et_al_2022,CB3,CB-C3,single set of methods,37.5,42.5,0.293,0.4598,0.168
Rovai_et_al_2022,CB3,CB-C3,single set of methods,67.5,72.5,0.989,0.1572,0.03
