study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,depth_interval_notes
Adotey_et_al_2024,Amanzule,AM_B_5,single set of methods,0,15,0.398783,NA,0.27297740000000004,NA
Adotey_et_al_2024,Amanzule,AM_B_5,single set of methods,15,30,0.302578,NA,0.2352985,NA
Adotey_et_al_2024,Amanzule,AM_B_5,single set of methods,30,50,0.224027,NA,0.3143457,NA
Adotey_et_al_2024,Amanzule,AM_B_5,single set of methods,50,100,0.208232,NA,0.3765153,NA
Adotey_et_al_2024,Amanzule,AM_B_6,single set of methods,0,15,0.224027,NA,0.2218171,NA
Adotey_et_al_2024,Amanzule,AM_B_6,single set of methods,15,30,0.275103,NA,0.3015505,NA
Adotey_et_al_2024,Amanzule,AM_B_6,single set of methods,30,50,0.229093,NA,0.4024741,NA
Adotey_et_al_2024,Amanzule,AM_B_6,single set of methods,50,100,0.206109,NA,0.5057902,NA
Adotey_et_al_2024,Amanzule,AM_C_1,single set of methods,0,15,0.290605,0.08848093769782708,0.1766517,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_1,single set of methods,15,30,0.359075,0.015851720758522817,0.07355524,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_1,single set of methods,30,50,0.758159,0.04464294308458484,0.07597456,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_1,single set of methods,50,100,0.7696929999999998,0.08254283175233354,0.01984019,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_2,single set of methods,0,15,0.514925,0.00850409241307366,0.07812880999999999,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_2,single set of methods,15,30,0.463936,0.022202409218209564,0.05365435,Clay loam
Adotey_et_al_2024,Amanzule,AM_C_2,single set of methods,30,50,0.570979,0.05041738239460162,0.0542119,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_2,single set of methods,50,100,0.533823,0.1471680351446082,0.07792832,Clay loam
Adotey_et_al_2024,Amanzule,AM_C_3,single set of methods,0,15,0.336209,0.09267748478700882,0.09540203,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_3,single set of methods,15,30,0.414229,0.0665185771232059,0.08964012999999998,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_3,single set of methods,30,50,0.615998,0.012885264712241254,0.0677803,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_C_3,single set of methods,50,100,0.37316,0.016045053660610285,0.1396961,Sandy loam
Adotey_et_al_2024,Amanzule,AM_C_4,single set of methods,0,15,0.373958,NA,0.1992956,NA
Adotey_et_al_2024,Amanzule,AM_C_4,single set of methods,15,30,0.329472,NA,0.2200765,NA
Adotey_et_al_2024,Amanzule,AM_C_4,single set of methods,30,50,0.455789,NA,0.1362401,NA
Adotey_et_al_2024,Amanzule,AM_C_4,single set of methods,50,100,0.346008,NA,0.197895,NA
Adotey_et_al_2024,Amanzule,AM_C_5,single set of methods,0,15,0.438263,NA,0.1211733,NA
Adotey_et_al_2024,Amanzule,AM_C_5,single set of methods,15,30,0.49361,NA,0.141871,NA
Adotey_et_al_2024,Amanzule,AM_C_5,single set of methods,30,50,1.167408,NA,0.1034737,NA
Adotey_et_al_2024,Amanzule,AM_C_5,single set of methods,50,100,1.318928,NA,0.106603,NA
Adotey_et_al_2024,Amanzule,AM_C_6,single set of methods,0,15,0.529672,NA,0.1463179,NA
Adotey_et_al_2024,Amanzule,AM_C_6,single set of methods,15,30,0.62175,NA,0.06711666,NA
Adotey_et_al_2024,Amanzule,AM_C_6,single set of methods,30,50,0.8201509999999999,NA,0.08527872999999998,NA
Adotey_et_al_2024,Amanzule,AM_C_6,single set of methods,50,100,1.307617,NA,0.03109204,NA
Adotey_et_al_2024,Kakum,KA_A_1,single set of methods,0,15,0.5914,0.06510632151295602,0.07109311104120793,Silt loam
Adotey_et_al_2024,Kakum,KA_A_1,single set of methods,15,30,0.5387,0.0229223447097568,0.07465460774751209,Silt loam
Adotey_et_al_2024,Kakum,KA_A_1,single set of methods,30,50,0.6511,0.0619740828004045,0.07918152921756201,Silty clay loam
Adotey_et_al_2024,Kakum,KA_A_1,single set of methods,50,100,0.6419,0.01023695540902914,0.114334496888754,Clay loam
Adotey_et_al_2024,Kakum,KA_A_2,single set of methods,0,15,0.4667,0.08457474404176002,0.08246468719926396,Silt loam
Adotey_et_al_2024,Kakum,KA_A_2,single set of methods,15,30,0.6325,0.055869121506226783,0.08139162685834968,Silt loam
Adotey_et_al_2024,Kakum,KA_A_2,single set of methods,30,50,0.6474,0.0301927676362942,0.08924501266596735,Clay loam
Adotey_et_al_2024,Kakum,KA_A_2,single set of methods,50,100,0.6361,0.12545351662616883,0.1073595640602282,Silty clay
Adotey_et_al_2024,Kakum,KA_A_3,single set of methods,0,15,0.6253,0.007791435368754934,0.08028127777856167,Silt loam
Adotey_et_al_2024,Kakum,KA_A_3,single set of methods,15,30,0.6039,0.0519972129493828,0.0897223739206134,Silt loam
Adotey_et_al_2024,Kakum,KA_A_3,single set of methods,30,50,0.6098,0.03957565041677399,0.11489601901366608,Silt loam
Adotey_et_al_2024,Kakum,KA_A_3,single set of methods,50,100,0.4112,0.002872404261388733,0.18782080935551324,Clay loam
Adotey_et_al_2024,Kakum,KA_A_4,single set of methods,0,15,0.6227,NA,0.06448617370251199,NA
Adotey_et_al_2024,Kakum,KA_A_4,single set of methods,15,30,0.6794,NA,0.05571008967301443,NA
Adotey_et_al_2024,Kakum,KA_A_4,single set of methods,30,50,0.5998,NA,0.06640069843242558,NA
Adotey_et_al_2024,Kakum,KA_A_4,single set of methods,50,100,0.6948,NA,0.07645846749632516,NA
Adotey_et_al_2024,Kakum,KA_A_5,single set of methods,0,15,0.5133375,NA,0.06621666965057452,NA
Adotey_et_al_2024,Kakum,KA_A_5,single set of methods,15,30,0.7167899999999999,NA,0.07556544188085539,NA
Adotey_et_al_2024,Kakum,KA_A_5,single set of methods,30,50,0.6354783333333334,NA,0.07988849117707747,NA
Adotey_et_al_2024,Kakum,KA_A_5,single set of methods,50,100,0.6145025000000001,NA,0.12267108933671768,NA
Adotey_et_al_2024,Kakum,KA_A_6,single set of methods,0,15,0.5528925,NA,0.05063034544368139,NA
Adotey_et_al_2024,Kakum,KA_A_6,single set of methods,15,30,0.7445941666666666,NA,0.03755269471127744,NA
Adotey_et_al_2024,Kakum,KA_A_6,single set of methods,30,50,0.6995075,NA,0.04345578219059225,NA
Adotey_et_al_2024,Kakum,KA_A_6,single set of methods,50,100,0.8321766666666666,NA,0.011836140411111284,NA
Adotey_et_al_2024,Kakum,KA_B_1,single set of methods,0,15,0.961888,0.015804727378480238,0.04934017080293433,Sandy loam
Adotey_et_al_2024,Kakum,KA_B_1,single set of methods,15,30,1.081413,0.011622910024887767,0.048111387203798026,Sandy loam
Adotey_et_al_2024,Kakum,KA_B_1,single set of methods,30,50,1.482548,0.008109968378106494,0.036874511523284886,Sandy loam
Adotey_et_al_2024,Kakum,KA_B_1,single set of methods,50,100,1.502882,0.016244132395184723,0.044465125650318654,Sandy loam
Adotey_et_al_2024,Kakum,KA_B_2,single set of methods,0,15,1.494121,0.024606114486104287,0.007715590726339526,Loamy sand
Adotey_et_al_2024,Kakum,KA_B_2,single set of methods,15,30,1.604867,0.0071287089878535204,0.005155524690229928,Loamy sand
Adotey_et_al_2024,Kakum,KA_B_2,single set of methods,30,50,1.516822,0.03589105121899373,0.09067478119019982,Loamy sand
Adotey_et_al_2024,Kakum,KA_B_2,single set of methods,50,100,1.503563,0.008525621371424938,0.04053950311709968,Sand
Adotey_et_al_2024,Kakum,KA_B_3,single set of methods,0,15,0.8294289999999999,0.00994662307222353,0.04512416630657375,Sandy loam
Adotey_et_al_2024,Kakum,KA_B_3,single set of methods,15,30,0.776996,0.01721714346650752,0.0618697504564821,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_B_3,single set of methods,30,50,0.8051066666666665,0.0035478762853546563,0.08006191096467702,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_B_3,single set of methods,50,100,1.010136666666667,0.005620838034005488,0.06425448028673837,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_B_4,single set of methods,0,15,0.7350075,NA,0.04236033837969722,NA
Adotey_et_al_2024,Kakum,KA_B_4,single set of methods,15,30,0.6698741666666667,NA,0.06494705973144005,NA
Adotey_et_al_2024,Kakum,KA_B_4,single set of methods,30,50,0.8881116666666667,NA,0.05371281652665253,NA
Adotey_et_al_2024,Kakum,KA_B_4,single set of methods,50,100,0.8811741666666667,NA,0.06793963575330167,NA
Adotey_et_al_2024,Kakum,KA_B_5,single set of methods,0,15,1.3130791666666668,NA,0.03702631890151765,NA
Adotey_et_al_2024,Kakum,KA_B_5,single set of methods,15,30,1.2105825,NA,0.05739789214870213,NA
Adotey_et_al_2024,Kakum,KA_B_5,single set of methods,30,50,1.267300833333333,NA,0.0585029471190692,NA
Adotey_et_al_2024,Kakum,KA_B_5,single set of methods,50,100,0.8629066666666667,NA,0.08719373342379574,NA
Adotey_et_al_2024,Kakum,KA_B_6,single set of methods,0,15,1.7872825,NA,0.033684543835345374,NA
Adotey_et_al_2024,Kakum,KA_B_6,single set of methods,15,30,1.95408,NA,0.026370881490426084,NA
Adotey_et_al_2024,Kakum,KA_B_6,single set of methods,30,50,1.72164,NA,0.034089434294201665,NA
Adotey_et_al_2024,Kakum,KA_B_6,single set of methods,50,100,1.8209458333333333,NA,0.04351083581369159,NA
Adotey_et_al_2024,Kakum,KA_C_1,single set of methods,0,15,0.3176841666666667,0.0065665855732932425,0.15284764642472157,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C_1,single set of methods,15,30,0.34663083333333333,0.01632537319479458,0.133306536254215,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C_1,single set of methods,30,50,0.4262558333333333,0.0034273662008960314,0.09829008420690842,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C_1,single set of methods,50,100,0.4335291666666666,0.002938702910665118,0.08839381961911612,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C_2,single set of methods,0,15,0.9721525,0.02389724695527426,0.07310474663960495,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C_2,single set of methods,15,30,1.12305,0.01232332377647258,0.07081093123080848,Sandy loam
Adotey_et_al_2024,Kakum,KA_C_2,single set of methods,30,50,1.1764891666666666,0.007670843891431539,0.07029363928288444,Sandy loam
Adotey_et_al_2024,Kakum,KA_C_2,single set of methods,50,100,1.3581333333333334,0.023526532210691693,0.07194425400492473,Sandy loam
Adotey_et_al_2024,Kakum,KA_C_3,single set of methods,0,15,1.1103958333333332,0.011904879323775574,0.06385356901465758,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C_3,single set of methods,15,30,1.1957775,0.0022433201137652767,0.07147055842708018,Sandy clay loam
Adotey_et_al_2024,Kakum,KA_C_3,single set of methods,30,50,1.1513666666666666,0.01589673101057729,0.06554238032498906,Sandy loam
Adotey_et_al_2024,Kakum,KA_C_3,single set of methods,50,100,1.3890441666666669,0.0043190125707066335,0.05452664320352783,Sandy loam
Adotey_et_al_2024,Kakum,KA_C_4,single set of methods,0,15,0.9138041666666665,NA,0.04375286303252404,NA
Adotey_et_al_2024,Kakum,KA_C_4,single set of methods,15,30,1.2208183333333331,NA,0.045932230106653565,NA
Adotey_et_al_2024,Kakum,KA_C_4,single set of methods,30,50,1.3967416666666668,NA,0.03800391134289436,NA
Adotey_et_al_2024,Kakum,KA_C_4,single set of methods,50,100,1.6676791666666666,NA,0.0322749147473678,NA
Adotey_et_al_2024,Kakum,KA_C_5,single set of methods,0,15,1.0873825,NA,0.023424921841148545,NA
Adotey_et_al_2024,Kakum,KA_C_5,single set of methods,15,30,1.0416625,NA,0.02591269893809097,NA
Adotey_et_al_2024,Kakum,KA_C_5,single set of methods,30,50,1.0468741666666666,NA,0.02691414159465309,NA
Adotey_et_al_2024,Kakum,KA_C_5,single set of methods,50,100,1.1506516666666669,NA,0.02889360763862256,NA
Adotey_et_al_2024,Kakum,KA_C_6,single set of methods,0,15,1.05278,NA,0.015902677310514278,NA
Adotey_et_al_2024,Kakum,KA_C_6,single set of methods,15,30,1.084126666666667,NA,0.01733239918896475,NA
Adotey_et_al_2024,Kakum,KA_C_6,single set of methods,30,50,1.2949925,NA,0.01692331316877836,NA
Adotey_et_al_2024,Kakum,KA_C_6,single set of methods,50,100,1.532915,NA,0.0214123581336696,NA
