"ID","AUTHOR","YEAR","CITATION","DOI"
46,"Duke et al.","2010f","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S.; Miyagi, T.; Ellison, J.; Koedam, N.E.; Wang, Y.; Primavera, J.; Jin Eong, O.; Wan-Hong Yong, J.; Ngoc Nam, V. 2010f. Avicennia marina. The IUCN Red List of Threatened Species 2010: e.T178828A7619457. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178828A7619457.en (March1, 2018)."," http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178828A7619457.en#http:// http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178828A7619457.en#"
47,"Duke et al.","2010g","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S.; Miyagi, T. 2010g. Bruguiera parviflora. The IUCN Red List of Threatened Species 2010: e.T178821A7617234. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178821A7617234.en (March 6, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178821A7617234.en#"
48,"Duke et al.","2010h","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S.; Miyagi, T. 2010h. Ceriops tagal. The IUCN Red List of Threatened Species 2010: e.T178822A7617531. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178822A7617531.en (March 6, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178822A7617531.en#"
49,"Duke et al.","2010i","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S. & Miyagi, T. 2010. Ceriops australis. The IUCN Red List of Threatened Species 2010: e.T178824A7618310. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178824A7618310.en (March 8, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178824A7618310.en#"
50,"Dwiyono and Rachman","2009","Dwiyono, A.; Rachman, S. 2006. Management and conservation of tropical peat forest of Indonesia. In Maltby E, Immirzi CP and Safford RJ, eds. Tropical Lowland Peatlands of Southeast Asia, Proceedings of a Workshop on Integrated Planning and Management of Tropical Lowland Peatlands. Cisarua, Indonesia, 3–8 July. Gland, Switzerland: International Union for the Conservation of Nature. 103–117.",
51,"Ellison and Stoddart","1991","Ellison, J.C.; Stoddart, D.R. 1991. Mangrove ecosystem collapse during predicted sea-level rise: Holocene analogues and implications, J. Coastal Res., 7, 151–165.",
52,"Ellison et al.","2010a","Ellison, A.; Farnsworth, E.; Moore, G. 2010a. Avicennia germinans. The IUCN Red List of Threatened Species 2010: e.T178811A7613866. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178811A7613866.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178811A7613866.en#"
53,"Ellison et al.","2010b","Ellison, J.; Koedam, N.E.; Wang, Y.; Primavera, J.; Jin Eong, O.; Wan-Hong Yong, J.; Ngoc Nam, V. 2010b. Excoecaria agallocha. The IUCN Red List of Threatened Species 2010: e.T178842A7623953. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178842A7623953.en (February 12, 2018)."," http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178842A7623953.en#http:// http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178842A7623953.en#"
54,"Ellison et al.","2010c","Ellison, A.; Farnsworth, E.; Moore, G. 2010c. Laguncularia racemosa. The IUCN Red List of Threatened Species 2010: e.T178798A7609219. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178798A7609219.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178803A7610926.en.#"
55,"Ellison et al.","2010d","Ellison, J.; Koedam, N.E.; Wang, Y.; Primavera, J.; Jin Eong, O.; Wan-Hong Yong, J.; Ngoc Nam, V. 2010d. Xylocarpus granatum. The IUCN Red List of Threatened Species 2010: e.T178845A7624881. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178845A7624881.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178845A7624881.en#"
56,"Ellison et al.","2010e","Ellison, J.; Koedam, N.E.; Wang, Y.; Primavera, J.; Jin Eong, O.; Wan-Hong Yong, J.; Ngoc Nam, V. 2010e. Xylocarpus moluccensis. The IUCN Red List of Threatened Species 2010: e.T178805A7611857. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178805A7611857.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178805A7611857.en#"
57,"Ellison et al.","2010f","Ellison, J.; Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S; Miyagi, T. 2010f. Rhizophora stylosa. The IUCN Red List of Threatened Species 2010: e.T178850A7626520. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178850A7626520.en (March 6, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178850A7626520.en#"
58,"Ellison et al.","2015","Ellison, A.; Farnsworth, E.; Moore, G. 2015. Rhizophora mangle. The IUCN Red List of Threatened Species 2015: e.T178851A69024847. http://dx.doi.org/10.2305/IUCN.UK.2015-1.RLTS.T178851A69024847.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2015-1.RLTS.T178851A69024847.en#"
59,"FAO","2007","[FAO] Food and Agriculture Organization of the United Nations. 2007. The world’s mangroves 1980-2005. FAO Forestry Paper 153. FAO, Rome. 77p.",
60,"FAO","2015","[FAO] Food and Agriculture Organization of the United Nations . 2015. FAOSTAT Oil palm production by countries. http://faostat3.fao.org/browse/Q/QC/E (October 22, 2016).",
61,"Farmer et al.","2014","Farmer, J.; Matthews, R.; Smith, P.; Langan, C; Hergoualc'h, K.; Verchot, L.; Smith, J. 2014. Comparison of methods for quantifying soil carbon in tropical peats. Geoderma 214–215:177–83.",
62,"Field et al.","2009","Field, R.D.; van der Werf, G.R.; Shen, S.P. 2009. Human amplification of drought-induced biomass burning in Indonesia since 1960. Nat. Geosci., 2, 185–188. doi:10.1038/ngeo443.","10.1038/ngeo443.#http://10.1038/ngeo443.#"
63,"Fourqurean et al.","2014","Fourqurean, J.; Johnson, B.; Kauffman, J.B. 2014. Coastal blue carbon: methods for assessing carbon stocks and emissions factors in mangroves, tidal salt marshes, and seagrasses. Arlington, Virginia, USA. Conservation International, Intergovernmental Oceanographic Commission of UNESCO, International Union for Conservation of Nature.",
64,"Fromard et al.","1998","Fromard, F.; Puig, H.; Mougin, E.; Marty, G.; Betoulle, J.L.; Cadamuro, L. 1998. Structure, above-ground biomass and dynamics of mangrove ecosystems: new data from French Guiana. Oecologia 115: 39-53.",
65,"Gehring et al.","2004","Gehring C.; Park, S.; Denich, M. 2004. Liana allometric biomass equations for Amazonian primary and secondary forest. Forest Ecology and Management 195(1):69–83.",
66,"Gerwing et al.","2006","Gerwing, J.J.; Schnitzer, S.A.; Burnham, R.J.; Bongers, F.; Chave, J.; DeWalt, S.J.; Ewango, C.E.N.; Foster, R.; Kenfack, D.; Martínez-Ramos, M. et al. 2006. A standard protocol for liana censuses. Biotropica 38: 256-261.",
67,"Giesen et al.","2007","Giesen W.; Wulffraat, S.; Zieren, M.; Scholten, L. 2007. Mangrove guidebook for Southeast Asia. Food and Agricultural Organisation and Wetlands International, Bangkok, Thailand. 769p.",
68,"Gilman et al.","2008","Gilman, E.; Ellison, J.; Duke, N.C.; Field, C. 2008. Threats to mangroves from climate change and adaptation options: a review. Aquatic Botany 89: 237-250.",
69,"Giri et al.","2011","Giri, C.; Ochieng, E.; Tieszen, L.L.; Zhu, Z.; Singh, A.; Loveland, T.; Masek, J.; Duke, N. 2011. Status and distribution of mangrove forests of the world using earth observation satellite data. Global Ecology and Biogeography 20: 154-159.",
70,"GOFC-GOLD","2011","GOFC-GOLD, 2011. A sourcebook of methods and procedures for monitoring and reporting anthropogenic greenhouse gas emissions and removals caused by deforestation, gains and losses of carbon stocks in forests remaining forests, and forestation. GOFC-GOLD Report version COP17-1. GOFC-GOLD Project Office, Natural Resources Canada, Alberta, Canada.",
71,"GOFC-GOLD","2015","GOFC-GOLD. 2015. A sourcebook of methods and procedures for monitoring and reporting anthropogenic greenhouse gas emissions and removals associated with deforestation, gains and losses of carbon stocks in forests remaining forests, and forestation. GOFC-GOLD Report version COP21-1. Wageningen University, The Netherlands: GOFC-GOLD Land Cover Project Office.",
72,"Guild et al.","2004","Guild, L.S.; Kauffman, J.B.; Cohen, W.B.; Hlavka, C.B.; Ward, D. 2004. Modeling biomass burning emissions from Amazon forest and pastures in Rondonia, Brazil. Ecological Applications 14: 232-236.",
73,"Hadi and Furukawa","2005","Hadi, A.; Inubushi, K.; Furukawa, Y. 2005. Greenhouse gas emissions from tropical peatlands of Kalimantan, Indonesia. Nutrient Cycling in Agroecosystems 71(1):73–80.",
74,"Hairiah et al.","2011","Hairiah, K.; Dewi, S.; Agus, F.; Velarde, S.; Ekadinata, A.; Rahayu, S.; van Noordwijk, M. 2011. Measuring Carbon Stocks Across Land Use Systems: A Manual. Bogor, Indonesia: World Agroforestry Centre (ICRAF), SEA Regional Office.",
75,"Harmon and Sexton","1996","Harmon, M.E.; Sexton, J. 1996. Guidelines for measurements of woody detritus in forest ecosystems. US LTER Publication No. 20. US LTER Network Office, University of Washington, College of Forest Resources, Seattle, USA. 73p.",
76,"Hergoualc’h and Verchot","2011","Hergoualc’h, K.; Verchot, L.V. 2011. Stocks and fluxes of carbon associated with land use change in Southeast Asian tropical peatlands: A review, Global Biogeochem. Cy., 25 GB2001, doi:10.1029/2009GB003718.","10.1029/2009GB003718#http://10.1029/2009GB003718#"
77,"Hidayat and Simpson","1994","Hidayat, S.; Simpson, W.T. 1994. Use of green moisture content and basic specific gravity to group tropical woods for kiln drying. US Department of Agriculture, Forest Service, Forest Products Laboratory, Madison, USA.",
78,"Hooijer et al.","2006","Hooijer, A.; Silvius, M.; Wösten, H.; Page, S. 2006. PEAT-CO2: assessment of CO2 emissions from drained peatlands in SE Asia. Delft Hydraulics report Q3943. Delft Hydraulics, Delft, the Netherlands. 41p",
79,"Hooijer et al.","2010","Hooijer, A.; Page, S.; Canadell, J.G.; Silvius, M.; Kwadijk, J.; W¨osten, H.; Jauhiainen, J. 2010. Current and future CO2 emissions from drained peatlands in Southeast Asia, Biogeosciences, 7, 1505–1514, doi:10.5194/bg-7-1505-2010.","10.5194/bg-7-1505-2010#http://10.5194/bg-7-1505-2010#"
80,"Hooijer et al.","2012","Hooijer, A.; Page, S.; Jauhiainen, J.; Lee, W.A.; Lu, X.X.; Idris, A.; Anshari, G. 2012. Subsidence and carbon loss in drained tropical peatlands, Biogeosciences, 9, 1053–1071, doi:10.5194/bg-9-1053-2012."," doi:10.5194/bg-9-1053-2012#http:// doi:10.5194/bg-9-1053-2012#"
81,"Hughes et al.","1999","Hughes, R.F.; Kauffman, J.B.; Jaramillo, V.J. 1999. Biomass, carbon and nutrient dynamics of secondary forests in a humid tropical region of Mexico. Ecology 80:1892–907.",
82,"Hughes et al.","2000","Hughes, R.F.; Kauffman, J.B.; Jaramillo, V.J. 2000. Ecosystem-scale impacts of deforestation and land use in a humid tropical region of Mexico. Ecological Applications 10: 515-527.",
83,"IPCC","2003","[IPCC] Intergovernmental Panel on Climate Change. 2003. Good practice guidance for land use, landuse change, and forestry. Penman, J., Gytarsky, M. Hiraishi, T., Krug, T., Kruger, D., Pipatti, R., Buendia, L., Miwa, K., Ngara, K., Tanabe, K., Wagner, F. (eds.) IPCC, Geneva. http://www.ipcc-nggip.iges.or.jp/public/gpglulucf/gpglulucf.html (June 13, 2011).",
84,"IPCC","2006a","[IPCC] Intergovernmental Panel on Climate Change. 2006a. Guidelines, Volume 1 and Volume 4 (Agriculture, forestry, & other land use), Annex 2 (Summary of equations). IPCC, Geneva. http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html (June 13, 2011).",
85,"IPCC","2006b","[IPCC] Intergovernmental Panel on Climate Change. 2006b. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Prepared by the National Greenhouse Gas Inventories Programme, Eggleston HS, Buendia L, Miwa K, Ngara T and Tanabe K, eds. Hayama, Japan: Institute for Global Environmental Strategies (IGES).",
86,"IPCC","2007","[IPCC] Intergovernmental Panel on Climate Change. 2007. The Fourth Assessment Report: Climate Change 2007. Pachauri, R.K. and Reisinger, A. IPCC, Geneva. http://www.ipcc.ch/publications_and_data/publications_ipcc_fourth_assessment_report_synthesis_report.htm (June 13, 2011).",
87,"IPCC","2014","[IPCC] Intergovernmental Panel on Climate Change. 2014. 2013 Supplement to the 2006 guidelines: for National Greenhouse Gas Inventories: Wetlands. Hiraishi T, Krug T, Tanabe K, Srivastava N, Baasansuren J, Fukuda M and Troxler TG, eds. Switzerland: IPCC.",
88,"Jaenicke et al.","2008","Jaenicke, J.; Rieley, J.O.; Mott, C.; Kimman, P.; Siegert, F. 2008. Determination of the amount of carbon stored in Indonesian peatlands, Geoderma, 147, 151–158.",
89,"Jaramillo et al.","2003a","Jaramillo, V.J.; Ahedo-Hernandez, R.; Kauffman, J.B. 2003a. Root biomass and carbon in a tropical evergreen forest of Mexico: changes with secondary succession and forest conversion to pasture. Journal of Tropical Ecology 19: 457- w464.",
90,"Jaramillo et al.","2003b","Jaramillo, V.J.; Kauffman, J.B.; Rentería-Rodríguez, L.; Cummings, D.L.; Ellingson, L.J. 2003b. Biomass, carbon, and nitrogen pools in Mexican tropical dry forest landscapes. Ecosystems 6: 609-629.",
91,"Jowsey","1966","Jowsey, P.C. 1966. An improved peat sampler, New Phytol., 65, 245–248.",
92,"Kathiresan et al.","2010a","Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S.; Miyagi, T.; Ellison, J.; Koedam, N.E.; Wang, Y.; Primavera, J.; Jin Eong, O.; Wan-Hong Yong, J.; Ngoc Nam, V. 2010a. Heritiera fomes. The IUCN Red List of Threatened Species 2010: e.T178815A7615342. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178815A7615342.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178815A7615342.en#"
