study_id,site_id,core_id,Class,Sedimentar
Akther_et_al_2021,Sundarbans,S4,Delta,Terrigenous
Akther_et_al_2021,Sundarbans,S5,Delta,Terrigenous
Akther_et_al_2021,Sundarbans,S6,Delta,Terrigenous
Akther_et_al_2021,Sundarbans,S10,Delta,Terrigenous
Along_et_al_2000_MEPS,DMA00MEPS M6,M0273,Delta,Terrigenous
Along_et_al_2000_MEPS,DMA00MEPS M35,M0275,Delta,Terrigenous
Alongi_1996,DMA96 Low,M0022,OpenCoast,Terrigenous
Alongi_1996,DMA96 Med,M0023,OpenCoast,Terrigenous
Alongi_1996,DMA96 High,M0024,OpenCoast,Terrigenous
Alongi_1996,DMA96 Creek Bank,M0025,OpenCoast,Terrigenous
Alongi_et_al_1999,DMA99 HM1,M0016,Estuary,Terrigenous
Alongi_et_al_1999,DMA99 HM2,M0017,Estuary,Terrigenous
Alongi_et_al_2000,DMA00 PH1,M0026,OpenCoast,Terrigenous
Alongi_et_al_2000,DMA00 PH2,M0027,OpenCoast,Terrigenous
Alongi_et_al_2000,DMA00 D1,M0028,Lagoon,Terrigenous
Alongi_et_al_2000,DMA00 D2,M0029,Lagoon,Terrigenous
Alongi_et_al_2000,DMA00 BR1,M0031,OpenCoast,Terrigenous
Alongi_et_al_2001,DMA01 S1,M0732,OpenCoast,Carbonate
Alongi_et_al_2001,DMA01 S2,M0733,OpenCoast,Carbonate
Alongi_et_al_2001,DMA01 S3,M0734,OpenCoast,Carbonate
Alongi_et_al_2001,DMA01 S4,M0735,OpenCoast,Carbonate
Alongi_et_al_2004,DMA04 M2/5,M0270,Delta,Terrigenous
Alongi_et_al_2004,DMA04 M15,M0271,Delta,Terrigenous
Alongi_et_al_2004,DMA04 MVR,M0272,Delta,Terrigenous
Alongi_et_al_2005,DMA05 JJ1,M0084,Estuary,Terrigenous
Alongi_et_al_2005,DMA05 JJ2,M0085,Estuary,Terrigenous
Andreetta_et_al_2014,AA14 AV1,M0180,OpenCoast,Terrigenous
Andreetta_et_al_2014,AA14 AV2,M0181,OpenCoast,Terrigenous
Andreetta_et_al_2014,AA14 AV3,M0182,OpenCoast,Terrigenous
Andreetta_et_al_2014,AA14 CER,M0183,OpenCoast,Terrigenous
Andreetta_et_al_2014,AA14 RHI,M0184,OpenCoast,Terrigenous
Andreetta_et_al_2016,AA16 Cacheu,M0636,Estuary,Terrigenous
Andreetta_et_al_2016,AA16 Oio,M0637,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 1,M0697,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 2,M0698,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 3,M0699,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 4,M0700,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 5,M0701,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 6,M0702,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 7,M0703,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 8,M0704,Estuary,Terrigenous
Ashton_and_Macintosh_2002,ECA02 Plot 9,M0705,Estuary,Terrigenous
AU_NatSoil,AU_399_BAC_T481,M1707,Estuary,Terrigenous
AU_NatSoil,AU_399_REG_T276,M1708,Estuary,Terrigenous
AU_NatSoil,AU_399_REG_T360,M1709,Estuary,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 2,M0186,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 4,M0188,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 5,M0189,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 8,M0192,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 9,M0193,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 10,M0194,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 11,M0195,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 12,M0196,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 13,M0197,Delta,Terrigenous
Banerjee_et_al_2012,KB12 Stn. 14,M0198,Delta,Terrigenous
Beers_et_al_2023,Indian_River_Lagoon,IRL-1,Lagoon,Terrigenous
Beers_et_al_2023,Indian_River_Lagoon,IRL-2,Lagoon,Terrigenous
Beers_et_al_2023,Indian_River_Lagoon,IRL-3,Lagoon,Terrigenous
Beers_et_al_2023,Indian_River_Lagoon,IRL-4,Lagoon,Terrigenous
Beers_et_al_2023,Indian_River_Lagoon,IRL-5,Lagoon,Terrigenous
Beers_et_al_2023,Indian_River_Lagoon,IRL-6,Lagoon,Terrigenous
Bhomia_et_al_2016_Honduras,RKB16 Chismuyo,M0490,Estuary,Terrigenous
Bhomia_et_al_2016_Honduras,RKB16 Isla de Pajaros,M0491,Estuary,Terrigenous
Bhomia_et_al_2016_Honduras,RKB16 San Lorenzo,M0493,Estuary,Terrigenous
Bhomia_et_al_2016_Honduras,RKB16 El Canalito,M0494,Lagoon,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 El Marion,M0495,Lagoon,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 La Diamante,M0496,Lagoon,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Laguna Quemada,M0497,Lagoon,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Manglon,M0498,Lagoon,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Milton Bight,M0499,OpenCoast,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Politily,M0500,OpenCoast,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 West End,M0501,OpenCoast,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Big Bight,M0503,OpenCoast,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Iron Bound,M0504,OpenCoast,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Western Path,M0505,OpenCoast,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Oyster Bed,M0506,OpenCoast,Carbonate
Bhomia_et_al_2016_Honduras,RKB16 Turtle Harbor,M0507,OpenCoast,Carbonate
Bhomia_et_al_2016_India,RKBEA16 D1,M0440,Delta,Terrigenous
Bhomia_et_al_2016_India,RKBEA16 D2,M0441,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ3,M1027,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ4,M1028,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ5,M1029,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ6,M1030,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ7,M1031,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ8,M1032,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ9,M1033,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ10,M1034,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ14,M1038,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ15,M1039,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ18,M1042,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ23,M1047,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ25,M1049,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ29,M1053,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ30,M1054,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ32,M1056,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ33,M1057,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ34,M1058,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ35,M1059,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ36,M1060,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ37,M1061,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ38,M1062,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ43,M1067,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ44,M1068,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ45,M1069,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ46,M1070,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ47,M1071,Delta,Terrigenous
Blue_Ventures_Unpublished,BV_Unpubl_MHJ48,M1072,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 1,M0117,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 2,M0118,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 3,M0119,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 4,M0120,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 5,M0121,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 6,M0122,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 7,M0123,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 8,M0124,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 9,M0125,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 10,M0126,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 11,M0127,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 12,M0128,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 13,M0129,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 14,M0130,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 15,M0131,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 16,M0132,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 17,M0133,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 18,M0134,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 19,M0135,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 20,M0136,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 21,M0137,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 22,M0138,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Coringa 23,M0139,Delta,Terrigenous
Bouillon_et_al_2003,SB03 Galle Excoecarcia 1,M0140,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Excoecarcia 2,M0141,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Excoecarcia 3,M0142,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Excoecarcia 4,M0143,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Excoecarcia 5,M0144,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Excoecarcia 6,M0145,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Excoecarcia 7,M0146,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Excoecarcia 8,M0147,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 1,M0148,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 2,M0149,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 3,M0150,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 4,M0151,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 5,M0152,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 6,M0153,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 7,M0154,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Galle Rhizophora 8,M0155,OpenCoast,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 1,M0156,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 2,M0157,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 3,M0158,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 4,M0159,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 5,M0160,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 6,M0161,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 7,M0162,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Avicennia 8,M0163,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 1,M0164,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 2,M0165,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 3,M0166,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 4,M0167,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 5,M0168,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 6,M0169,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 7,M0170,Lagoon,Carbonate
Bouillon_et_al_2003,SB03 Pambala Rhizophora 8,M0171,Lagoon,Carbonate
Bouillon_et_al_2004_FEMS,SB04FEMS Pambala Rhizophora,M0665,Lagoon,Carbonate
Bouillon_et_al_2004_FEMS,SB04FEMS Pambala Bruguiera,M0666,Lagoon,Carbonate
Bouillon_et_al_2004_FEMS,SB04FEMS Pambala Avicennia,M0667,Lagoon,Carbonate
Bouillon_et_al_2004_FEMS,SB04FEMS Pambala Planted Rhizophora,M0668,Lagoon,Carbonate
Bouillon_et_al_2004_FEMS,SB04FEMS Pambala Excoecaria,M0669,Lagoon,Carbonate
Bouillon_et_al_2004_FEMS,SB04FEMS Pambala Lumnitzera,M0670,Lagoon,Carbonate
Bouillon_et_al_2004_FEMS,SB04FEMS Pichavaram Mixed,M0671,Delta,Terrigenous
Bouillon_et_al_2004_FEMS,SB04FEMS Pichavaram Avicennia,M0672,Delta,Terrigenous
Breithaupt_et_al_2014,WSC-5,SH3-1,Lagoon,Carbonate
Breithaupt_et_al_2014,WSC-5,SH3-3,Lagoon,Carbonate
Breithaupt_et_al_2014,WSC-5,SH3-5,Lagoon,Carbonate
Breithaupt_et_al_2014,WSC-5,SH3-7,Lagoon,Carbonate
Breithaupt_et_al_2014,WSC-5,SH3-8,Lagoon,Carbonate
Breithaupt_et_al_2014,WSC-5,SH3-9,Lagoon,Carbonate
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI1,Lagoon,Terrigenous
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,Lagoon,Terrigenous
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,Lagoon,Terrigenous
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,Lagoon,Terrigenous
Breithaupt_et_al_2017,Broad_River,WSC11,Lagoon,Carbonate
Breithaupt_et_al_2017,Broad_River,WSC12,Lagoon,Carbonate
Breithaupt_et_al_2017,Broad_River,WSC13_2,Lagoon,Carbonate
Breithaupt_et_al_2017,Harney_River,WSC07,Lagoon,Carbonate
Breithaupt_et_al_2017,Harney_River,WSC08A,Lagoon,Carbonate
Breithaupt_et_al_2017,Harney_River,WSC08B,Lagoon,Carbonate
Breithaupt_et_al_2017,Shark_River,WSC03,Lagoon,Carbonate
Breithaupt_et_al_2017,Shark_River,WSC05,Lagoon,Carbonate
Breithaupt_et_al_2017,Shark_River,WSC06_2,Lagoon,Carbonate
Breithaupt_et_al_2020,NMg,BWB1A,Lagoon,Terrigenous
Breithaupt_et_al_2020,SMg,WSC8A,Lagoon,Carbonate
Brunskill_et_al_2002,GJB02 586,M1306,OpenCoast,Terrigenous
Brunskill_et_al_2002,GJB02 584,M1307,Estuary,Terrigenous
Brunskill_et_al_2002,GJB02 582,M1308,Estuary,Terrigenous
Brunskill_et_al_2004,GJB04 1,M0961,Delta,Terrigenous
Brunskill_et_al_2004,GJB04 3,M0962,Delta,Terrigenous
Brunskill_et_al_2004,GJB04 4,M0963,Delta,Terrigenous
Brunskill_et_al_2004,GJB04 5,M0964,Delta,Terrigenous
Bukoski_et_al_2017,QN1 Core 1,M1566,Estuary,Terrigenous
Bukoski_et_al_2017,QN1 Core 2,M1567,Estuary,Terrigenous
Bukoski_et_al_2017,QN2 Core 1,M1568,Estuary,Terrigenous
Bukoski_et_al_2017,QN2 Core 2,M1569,Estuary,Terrigenous
Bukoski_et_al_2017,QN3 Core 1,M1570,Estuary,Terrigenous
Bukoski_et_al_2017,QN3 Core 2,M1571,Estuary,Terrigenous
Bukoski_et_al_2017,KL3 Core 1,M1579,OpenCoast,Carbonate
Bukoski_et_al_2017,KL3 Core 2,M1580,OpenCoast,Carbonate
Bukoski_et_al_2017,KL5 Core 1,M1581,OpenCoast,Carbonate
Bukoski_et_al_2017,KL5 Core 2,M1582,OpenCoast,Carbonate
Bukoski_et_al_2017,KL8 Core 1,M1583,OpenCoast,Carbonate
Bukoski_et_al_2017,KL8 Core 2,M1584,OpenCoast,Carbonate
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_564,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_565,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_566,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_568,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_569,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_570,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_571,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_573,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_574,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_575,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_576,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_578,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_579,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_580,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_581,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_583,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_584,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_586,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_587,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_588,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_589,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_590,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_591,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_184,Krabi_River_Estuary_184_596,Estuary,Terrigenous
Bukoski_et_al_2020,Krabi_River_Estuary_184,Krabi_River_Estuary_184_597,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_599,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_600,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_601,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_602,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_603,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_605,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_606,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_607,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_609,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_610,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_612,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_613,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_614,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_615,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_617,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_618,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_620,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_621,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_622,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_623,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_624,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_626,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_627,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_628,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_629,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_630,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_631,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_634,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_635,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_636,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_637,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_638,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_639,Estuary,Terrigenous
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_641,Estuary,Terrigenous
