Date,Core.ID,Latitude,Longitude,Elevation,Name.per.Vegetation,section,section.depth..paren.cm.paren.,bulk.density..paren.g.per.cm3.paren.,C.percent.,N.percent.,v_137Cs..paren.mBq.per.g.paren.,v_210Pb..paren.Bq.per.g.paren.,v_214Pb..paren.Bq.per.g.paren.,v_214.Bi..paren.Bq.per.g.paren.
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,39,2.2,0.34,10.09,0.71,0.013,0.043,0.028,0.024
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,1,1.53,0.16,14.81,1.05,0.03,0.331,NaN,0.019
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,3,1.7,0.25,12.82,0.83,0.026,0.24,0.018,0.02
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,5,2.53,0.19,15.69,0.86,0.029,0.124,0.017,0.015
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,7,1.95,0.19,18.28,0.95,0.036,0.209,0.015,0.014
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,9,1.75,0.25,12.75,0.8,0.048,0.277,0.019,0.017
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,11,2,0.24,15.41,0.89,0.046,0.156,0.018,0.018
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,13,2.13,0.2,16.09,0.83,0.057,0.138,0.016,0.016
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,15,2.33,0.23,13.24,0.76,0.07,0.159,0.019,0.018
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,17,1.83,0.21,14.92,0.86,0.084,0.138,0.016,0.017
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,19,2.05,0.22,13.92,0.84,0.188,0.112,0.018,0.017
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,21,2.15,0.24,11.93,0.68,0.374,0.105,0.02,0.018
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,23,1.6,0.26,10.56,0.66,0.235,0.076,0.022,0.02
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,25,2.43,0.26,9.46,0.61,0.093,0.069,0.023,0.021
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,27,1.83,0.24,11.14,0.69,0.037,0.07,0.022,0.021
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,29,1.68,0.22,12.04,0.75,0.03,0.063,0.02,0.019
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,31,2.18,0.25,11.96,0.73,0.023,0.055,0.021,0.018
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,33,2.15,0.2,15.85,0.94,0.008,0.043,0.018,0.018
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,35,2.1,0.22,12.41,0.82,0.007,0.04,0.019,0.019
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,37,2.05,0.27,8.76,0.58,0.002,0.045,0.023,0.021
2014-10-30,Core 2,42.742317,-70.830782,1.36,S. alterniflora,39,1.6,0.26,12.3,0.75,0.005,0.035,0.022,0.021
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,1,1.3,0.13,15.23,1.1,0.022,0.25,0.019,0.018
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,3,1.9,0.25,15.23,0.95,0.029,0.25,0.02,0.018
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,5,2.18,0.18,22.25,1.05,0.02,0.1,0.015,0.014
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,7,1.88,0.2,18.46,1,0.028,0.079,0.013,0.013
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,9,2.03,0.19,19.69,0.88,0.021,0.078,0.016,0.015
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,11,1.93,0.15,23.92,0.99,0.018,0.075,0.013,0.014
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,13,2.05,0.17,21.59,0.91,0.035,0.108,0.013,0.011
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,15,1.95,0.19,17.71,0.82,0.049,0.125,0.015,0.015
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,17,2.05,0.2,17.41,0.84,0.067,0.117,0.015,0.015
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,19,1.95,0.21,17.53,0.82,0.117,0.106,0.018,0.017
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,21,2.18,0.24,NaN,NaN,0.332,0.107,0.021,0.02
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,23,2.2,0.24,18.69,0.67,0.296,0.07,0.023,0.022
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,25,2.15,0.23,10.28,0.64,0.16,0.067,0.024,0.024
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,27,1.95,0.21,13.51,0.71,0.062,0.066,0.022,0.021
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,29,2.15,0.19,15.77,0.75,0.021,0.056,0.018,0.017
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,31,2.03,0.19,13.87,0.7,0.02,0.061,0.02,0.018
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,33,2.33,0.19,14.07,0.75,0.016,0.05,0.019,0.018
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,35,1.88,0.16,16.31,0.83,0.004,0.047,0.017,0.016
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,37,2.05,0.15,18.47,0.93,0.005,0.039,0.015,0.015
2014-10-30,Core 3,42.742438,-70.830618,1.38,S. alterniflora,39,2.55,0.16,18.6,0.93,0.002,0.039,0.017,0.017
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,1,1.83,0.24,14.26,0.96,0.029,0.264,0.02,0.021
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,3,2.13,0.27,13.55,0.78,0.04,0.209,0.02,0.019
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,5,2,0.26,15.98,0.82,0.046,0.189,0.018,0.02
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,7,2.1,0.27,15.32,1.36,0.056,0.167,0.019,0.016
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,9,1.98,0.25,15.09,1.4,0.088,0.139,0.018,0.017
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,11,2.08,0.26,14.57,1.47,0.098,0.139,0.02,0.019
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,13,2.18,0.26,15.13,1.4,0.176,0.096,0.02,0.019
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,15,1.85,0.31,11.23,0.66,0.407,0.108,0.022,0.021
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,17,1.85,0.32,12.34,0.7,0.164,0.068,0.022,0.018
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,19,2.03,0.3,13.14,0.72,0.055,0.062,0.021,0.019
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,21,2.08,0.26,14.78,0.87,0.019,0.052,0.019,0.019
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,23,2.15,0.28,14.83,1.09,0.015,0.061,0.019,0.017
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,25,1.98,0.42,10.99,0.82,0.005,0.04,0.025,0.024
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,27,1.8,0.33,13.8,0.87,0.006,0.041,0.023,0.021
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,29,2.15,0.36,13.31,0.9,0.009,0.039,0.022,0.021
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,31,2.03,0.36,10.09,0.83,0.015,0.037,0.024,0.022
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,33,2.23,0.38,9.39,0.78,0.008,0.033,0.024,0.023
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,35,2.08,0.31,11.37,0.95,0.005,0.033,0.022,0.02
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,37,1.75,0.29,11.15,0.9,0.006,0.029,0.022,0.02
2014-10-30,Core 4,42.742393,-70.83063,1.38,S. patens,39,2.15,0.34,11.02,0.74,0.009,0.032,0.025,0.023
