Location,Longitude,Latitude,Year,AT_C,AB_g_m2,SM_perc,pH,SOC_g_kg,Sailinity_ppt,SO4_2_mg_L,CH4,CO2,N2O,References
Yellow River Estuary,118.97,38.01,2011-2012,14.73,902.08,31.57,7.9,4.76,5.15,NA,NA,NA,14.9,"Sun et al., 2017"
Yellow River Estuary,118.97,38.01,2011-2012,14.47,564.89,33.73,8.55,6.21,6.92,NA,NA,NA,11.5,"Sun et al., 2017"
Yellow River Estuary,118.97,38.01,2011-2012,14.3,252.97,34.93,8.86,5.39,5.74,NA,NA,NA,6.7,"Sun et al., 2017"
Yellow River Estuary,118.97,38.01,2011-2012,14.38,573.31,35.79,8.33,5.45,4.46,NA,NA,NA,11.1,"Sun et al., 2017"
Min River Estuary,119.41,25.96,2013-2014,24.33,1080,86.13,4.98,22.71,0.2,12.08,14.75,1456.6,NA,"Hu et al., 2017a"
Min River Estuary,119.63,26.03,2013-2014,21.82,1010,89.12,6.71,21.03,3.79,272.61,3.86,1435.23,NA,"Hu et al., 2017a"
Min River Estuary,119.62,26.03,2011,27.8,1037.99,61,6.6,21.43,4.2,NA,3.67,NA,23.51,"Mou et al., 2014"
Min River Estuary,119.62,26.03,2011,27.89,2265.27,61.5,6.62,18.93,4.2,NA,7.79,NA,23.4,"Mou et al., 2014"
Yancheng coastal,120.61,33.61,2012-2013,12.6,1851.5,48.2,8.28,10.34,18.93,NA,0.185,664.7,4.392,"Xu et al., 2014"
Yancheng coastal,120.6,33.61,2012-2013,12.6,463.5,27.8,8.68,3.28,14.25,NA,0.23,248.6,3.418,"Xu et al., 2014"
Yancheng coastal,120.58,33.6,2012-2013,12.6,1373.75,29.6,8.37,3.9,21.27,NA,0.752,569.7,3.956,"Xu et al., 2014"
Yellow River Estuary,118.97,38.01,2013-2014,11.48,1279.35,29.5,8.2,4.48,10.2,3422,NA,NA,8.11,"Song et al., 2018"
Yellow River Estuary,119.23,37.8,2010-2011,11.48,573.31,39.5,8.25,4.65,2.65,NA,0.026,NA,NA,"Sun et al., 2013"
Yellow River Estuary,119.23,37.8,2010-2011,11.48,573.31,39,8.3,4.55,2.65,NA,-0.022,NA,NA,"Sun et al., 2013"
Yellow River Estuary,119.23,37.8,2010-2011,11.48,573.31,38.2,8.35,4.5,2.65,NA,-0.035,NA,NA,"Sun et al., 2013"
Yellow River Estuary,119.23,37.8,2010-2011,11.48,0,38.4,8.4,4.54,2.65,NA,0.055,NA,NA,"Sun et al., 2013"
Yellow River Estuary,119.23,37.8,2012,22.44,1405,43.4,7.95,4.5,8.1,NA,NA,NA,51.2,"Zhang et al., 2013"
Yellow River Estuary,119.25,37.82,2012,21.69,573.31,43.1,8,4.54,7.33,NA,NA,NA,10.3,"Zhang et al., 2013"
Yellow River Estuary,119.27,37.83,2012,20.26,1015.69,40.3,8.05,4.5,5.74,NA,NA,NA,2.1,"Zhang et al., 2013"
Yellow River Estuary,119.28,37.85,2012,21.64,0,45.5,8.1,4.61,4.87,NA,NA,NA,44.2,"Zhang et al., 2013"
Yangtze River Estuary,122.02,31.17,2004,15.7,2717.23,38.25,8.01,6.32,11.7,NA,0.119,NA,NA,"Cheng et al., 2010"
Yangtze River Estuary,122.03,31.18,2004,15.7,587.08,33.98,7.55,7.02,11.7,NA,0.099,NA,NA,"Cheng et al., 2010"
Min River Estuary,119.41,25.96,2013-2014,19.85,1080,61,4.98,19.36,0.2,12.92,NA,NA,48.81,"Wang et al., 2018"
Min River Estuary,119.63,26.03,2013-2014,19.85,1010,61.5,6.71,19.69,3.79,383.09,NA,NA,27.69,"Wang et al., 2018"
Min River Estuary,119.63,26.03,2011,29.09,1768.2,62,6.82,20.48,4.2,NA,NA,NA,22.3,"Mou et al., 2018"
Min River Estuary,119.63,26.03,2011,29.05,2172.2,62.5,6.77,21.17,4.2,NA,NA,NA,12.2,"Mou et al., 2018"
Yellow River Estuary,119.18,37.8,2011-2012,13.25,902.08,31.57,7.9,4.76,5.28,NA,-0.009,62.89,NA,"Sun et al., 2018"
Yellow River Estuary,119.18,37.8,2011-2012,12.99,564.89,33.73,8.55,6.21,4.87,NA,0.001,38.68,NA,"Sun et al., 2018"
Yellow River Estuary,119.18,37.8,2011-2012,13.59,252.97,34.93,8.86,5.39,6.51,NA,-0.02,26.03,NA,"Sun et al., 2018"
Yellow River Estuary,119.18,37.8,2011-2012,13.99,0,35.79,8.33,5.45,8.15,NA,-0.005,9.78,NA,"Sun et al., 2018"
Yancheng coastal,120.6,33.6,2013,12.6,780.3,30,8.4,4.56,15.42,NA,0.113,NA,NA,"Wang aNA Wang, 2017"
Yancheng coastal,120.6,33.6,2013,12.6,383.5,30.5,9.13,5.68,8.4,NA,-0.023,NA,NA,"Wang aNA Wang, 2017"
Yancheng coastal,120.6,33.6,2013,12.6,875.4,31,8.05,5.63,7.23,NA,1.078,NA,NA,"Wang aNA Wang, 2017"
Yancheng coastal,120.6,33.6,2013,12.6,0,31.5,9.2,4.89,11.91,NA,0.01,NA,NA,"Wang aNA Wang, 2017"
Yangtze River Estuary,121.95,31.45,2008-2009,15.7,3360,69.87,8.8,7.07,9.71,NA,0.524,NA,NA,"Bu et al., 2018"
Yangtze River Estuary,121.96,31.46,2008-2009,15.7,2030,57.05,8.76,5.73,8.15,NA,0.11,NA,NA,"Bu et al., 2018"
Yangtze River Estuary,121.97,31.47,2009-2010,15.7,3770,93.92,8.66,5.52,8.15,NA,8.478,NA,NA,"Bu et al., 2018"
Yangtze River Estuary,121.98,31.48,2009-2010,15.7,660,85.31,8.65,2.94,10.75,NA,3.942,NA,NA,"Bu et al., 2018"
Yancheng coastal,120.6,33.6,2011-2012,19.33,1533.9,26.97,8.87,0.42,3.09,NA,5.238,NA,-17.71,"Yin et al., 2015"
Yancheng coastal,120.62,33.62,2011-2012,19.33,508.5,24.24,9.23,0.43,3.09,NA,0.159,NA,10.931,"Yin et al., 2015"
Yancheng coastal,120.63,33.63,2011-2012,19.33,1177.1,38.82,8.55,1.23,3.09,NA,2.937,NA,-9.312,"Yin et al., 2015"
Yellow River Estuary,119.09,37.81,2010-2011,19.69,902.08,38.76,7.95,4.53,6.92,NA,NA,NA,25.6,"Sun et al., 2014"
Yellow River Estuary,119.09,37.81,2010-2011,17.9,564.89,38.03,8,4.5,7.33,NA,NA,NA,2.6,"Sun et al., 2014"
Yellow River Estuary,119.1,37.81,2010-2011,15.74,252.97,38.17,8.05,4.54,8.97,NA,NA,NA,7.3,"Sun et al., 2014"
Yellow River Estuary,119.1,37.81,2010-2011,15,0,39.32,8.1,4.58,10.61,NA,NA,NA,10.7,"Sun et al., 2014"
Jiulong River Estuary,117.91,24.46,2011-2013,21,2886.6,53.21,7.26,11.25,18.08,NA,6.41,46.4,18.62,"Wang et al., 2016"
Min River Estuary,119.63,26.03,2008-2009,21.93,1435.31,56.3,6.62,20.11,4.2,NA,NA,576.3,NA,"Yang et al., 2018"
Min River Estuary,119.63,26.03,2008-2009,21.93,935.98,55,6.73,20.36,4.2,NA,NA,686.84,NA,"Yang et al., 2018"
Min River Estuary,119.63,26.03,2008-2009,21.93,2377.36,55.7,6.78,21.65,4.2,NA,NA,611.92,NA,"Yang et al., 2018"
Min River Estuary,119.63,26.03,2008-2009,21.93,1435.31,56.3,6.62,20.89,4.2,NA,NA,556.9,NA,"Yang et al., 2018"
Min River Estuary,119.63,26.03,2008-2009,21.93,935.98,55,6.73,21.45,4.2,NA,NA,658.4,NA,"Yang et al., 2018"
Min River Estuary,119.63,26.03,2008-2009,21.93,2377.36,55.7,6.78,23.65,4.2,NA,NA,515.06,NA,"Yang et al., 2018"
Min River Estuary,119.63,26.03,2012-2013,19.6,3037.2,57.5,6.12,19.3,4.2,206.9,15.1,NA,NA,"Tong et al., 2018"
Min River Estuary,119.63,26.03,2012-2013,19.6,1062.4,58,6.16,19.71,4.2,332.8,5.1,NA,NA,"Tong et al., 2018"
Yancheng coastal,120.63,30.63,2013,12.6,1074.92,30,8.75,9.35,10.74,NA,1.076,NA,NA,"Yan et al., 2017"
Yancheng coastal,120.62,30.61,2013,12.6,343.1,30.5,8.93,2.58,9.57,NA,-0.023,NA,NA,"Yan et al., 2017"
Yancheng coastal,120.59,30.6,2013,12.6,653.9,31,9.4,3.41,14.25,NA,0.112,NA,NA,"Yan et al., 2017"
Yancheng coastal,120.67,30.66,2013,12.6,0,31.5,8.8,6.98,23.61,NA,0.011,NA,NA,"Yan et al., 2017"
Yangtze River Estuary,121.96,31.46,2012,17.49,1340.35,39.34,8.33,8.95,9.71,NA,0.074,NA,2.22,"Hu et al., 2014"
Hangzhou Bay,121.07,30.31,2013,16,460.23,40.75,8.77,5.97,2.35,NA,0.218,NA,NA,"Wang et al., 2014"
Hangzhou Bay,121.08,30.3,2013,16,4237,38.81,8.87,5.89,4.35,NA,0.722,NA,NA,"Wang et al., 2014"
Hangzhou Bay,121.08,30.31,2013,16,3786.43,50,8.69,7.95,2.68,NA,1.589,NA,NA,"Wang et al., 2014"
Hangzhou Bay,121.07,30.32,2013,16,0,48.3,8.89,6.52,3.58,NA,-0.068,NA,NA,"Wang et al., 2014"
Yancheng coastal,120.55,33.63,2005,18.7,803.8,32,8.87,5.93,30.85,NA,NA,NA,13.064,"Zhou et al., 2009"
Yancheng coastal,120.62,33.67,2005,18.7,201,32.5,9.03,1.58,30.85,NA,NA,NA,11.035,"Zhou et al., 2009"
Yancheng coastal,120.65,33.68,2005,18.7,882.8,33,8.25,4.18,30.85,NA,NA,NA,21.78,"Zhou et al., 2009"
Yancheng coastal,120.67,33.7,2005,18.7,0,33.5,9.1,0.44,30.85,NA,NA,NA,10.01,"Zhou et al., 2009"
Taizhou coastal,121.55,28.9,2013,17.5,1210.4,34,4.61,4.53,3.56,NA,0.68,NA,NA,"Pan et al., 2016"
Taizhou coastal,121.52,28.63,2013,17.5,2072.63,34.5,7.81,6.19,3.58,NA,5.88,NA,NA,"Pan et al., 2016"
Liaohe Delta,121.58,40.87,2013,9,323.53,43,7.98,10.58,15.22,NA,0.52,NA,NA,"Huang et al., 2001"
Yellow River Delta,118.91,37.79,2012,12.1,1410,38.62,8.05,4.61,9.38,NA,-0.008,140.989,NA,"Song et al., 2014"
Yellow River Delta,118.91,37.79,2012,12.1,432.5,37.66,7.95,4.63,6.51,NA,-0.004,52.549,NA,"Song et al., 2014"
Yellow River Delta,118.91,37.8,2012,12.1,1015.69,35.68,8,4.54,6.92,NA,-0.006,99.856,NA,"Song et al., 2014"
Yellow River Delta,118.91,37.8,2012,12.1,0,39.82,8.05,4.52,8.56,NA,0.029,15.017,NA,"Song et al., 2014"
Liaohe Estuary,121.83,40.82,2008,8.5,737.4,43.5,7.21,8.43,12.91,NA,0.027,NA,NA,"Wang et al., 2012"
Jiaozhou Bay,120.12,36.24,2009-2010,12.2,1089.04,34,8.06,10.18,7.1,NA,2.159,NA,NA,"Du et al., 2014"
Jiaozhou Bay,120.11,36.24,2009-2010,12.2,518.06,33.5,7.88,8.72,6.99,NA,0.684,NA,NA,"Du et al., 2015"
Jiaozhou Bay,120.17,36.17,2009-2012,12.2,1089.04,33,8.24,9.54,8.12,NA,NA,NA,17.935,"Xie et al., 2011"
Liaohe Estuary,121.84,41.23,2016,9.2,323.53,44,7.45,14.56,15.55,NA,NA,1187.7,NA,"Liu et al., 2017"
Liaohe Estuary,121.83,40.93,2016,9.2,428.86,44.5,7.39,7.54,14.89,NA,NA,362.4,NA,"Liu et al., 2017"
Liaohe Estuary,121.71,40.95,2016,9.2,0,45,7.38,9.44,16.54,NA,NA,91.1,NA,"Liu et al., 2017"
Liaohe Estuary,121.83,40.93,2016,9.2,428.86,45.5,7.39,7.54,17.86,NA,NA,127.9,NA,"Liu et al., 2017"
Liaohe Estuary,121.71,40.95,2016,9.2,0,46,7.38,9.44,15.55,NA,NA,45.8,NA,"Liu et al., 2017"
Min River Estuary,119.63,26.03,2007,19.6,1351.28,58.5,6.23,19.98,4.2,322.5,4.34,NA,NA,"Tong et al., 2010"
Min River Estuary,119.63,26.03,2007,19.6,1037.99,59,6.45,20.56,4.2,322.5,0.71,NA,NA,"Tong et al., 2010"
Min River Estuary,119.63,26.03,2007,19.6,663.89,59.5,6.85,22.36,4.2,322.5,4.65,NA,NA,"Tong et al., 2010"
Min River Estuary,119.63,26.03,2007,19.6,0,60,6.23,23.56,4.2,322.5,5.54,NA,NA,"Tong et al., 2010"
Min River Estuary,119.62,26.03,2013,19.6,2265.27,53,6.3,21.36,4.2,NA,15.9,NA,NA,"Wan et al., 2015"
Min River Estuary,119.62,26.03,2013,19.6,1037.99,44,6.2,23.12,4.2,NA,5.38,NA,NA,"Wan et al., 2015"
Min River Estuary,119.63,26.03,2009,19.6,1062.4,57.5,7.01,19.21,3.97,NA,NA,373.4,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,1524.8,58,6.89,20.93,3.98,NA,NA,620.5,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,3037.2,58.5,6.45,19.48,3.99,NA,NA,377.7,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,1062.4,59,6.32,19.21,4.26,NA,NA,161.5,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,1524.8,59.5,5.89,20.93,4.08,NA,NA,256,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,3037.2,60,7.23,19.48,3.93,NA,NA,60.4,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,1062.4,60.5,7.11,19.21,4.18,NA,NA,493.3,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,1524.8,61,7.09,20.93,4.02,NA,NA,542.6,NA,"Tong et al., 2011"
Min River Estuary,119.63,26.03,2009,19.6,3037.2,61.5,6.98,19.48,4.03,NA,NA,376.3,NA,"Tong et al., 2011"
Min River Estuary,119.61,26.03,2007-2008,19.3,1037.99,62,7.65,19.54,4.22,NA,0.73,NA,NA,"Zeng et al., 2010"
Min River Estuary,119.61,26.03,2007-2008,19.3,1037.99,57.5,5.99,20.63,3.9,NA,0.47,NA,NA,"Zeng et al., 2010"
Min River Estuary,119.61,26.03,2007-2008,19.3,1037.99,58,6.35,20.43,3.86,NA,0.72,NA,NA,"Zeng et al., 2010"
Min River Estuary,119.63,26.03,2016-2017,19.6,1037.99,58.5,6.6,18.58,4.2,NA,11.67,NA,NA,"Tan et al., 2018"
Min River Estuary,119.63,26.03,2007,19.6,1062.4,59,6.58,21.43,4.2,NA,11.02,NA,NA,"Tong et al., 2009"
Min River Estuary,119.63,26.03,2007,19.6,1524.8,59.5,6.49,20.11,4.2,NA,4.98,NA,NA,"Tong et al., 2009"
Min River Estuary,119.63,26.03,2008-2009,19.6,1037.99,60,6.95,23.21,4.2,NA,0.46,520.48,NA,"Liu et al., 2010"
Min River Estuary,119.63,26.03,2008-2009,19.6,1037.99,60.5,6.32,19.7,4.2,NA,0.13,404.02,NA,"Liu et al., 2010"
Min River Estuary,119.63,26.03,2008-2009,19.6,1037.99,61,7.21,25.33,4.2,NA,0.34,1070.83,NA,"Liu et al., 2010"
Min River Estuary,119.63,26.03,2008-2009,19.6,1524.8,61.5,6.54,22.1,4.2,NA,7.53,NA,NA,"Tong et al., 2012"
Min River Estuary,119.63,26.03,2008-2009,19.6,1524.8,62,6.53,22.1,4.2,NA,2.19,NA,NA,"Tong et al., 2012"
Min River Estuary,119.63,26.03,2008-2009,19.6,1524.8,58.5,6.66,22.1,4.2,NA,4.93,NA,NA,"Tong et al., 2012"
Min River Estuary,119.32,25.97,2015-2016,24.59,125,55.3,5.3,20.42,4.2,9.01,NA,NA,58.06,"He et al., 2018"
Min River Estuary,119.32,25.97,2015-2016,24.59,125,55.3,5.3,22.58,4.2,9.01,7.88,NA,NA,"Zhang et al., 2018"
Yellow River Estuary,119.15,37.78,2009,12.1,1015.69,35.28,8.1,4.52,5.28,NA,0.089,NA,NA,"Jiang et al., 2012"
Yellow River Estuary,119.15,37.77,2009,12.1,1420,34.26,8.1,4.56,7.74,NA,0.038,NA,NA,"Jiang et al., 2012"
Yellow River Estuary,119.15,37.79,2009,12.1,573.31,34.67,8,4.54,8.56,NA,0.197,NA,NA,"Jiang et al., 2012"
Yellow River Estuary,119.17,37.79,2009,12.1,0,35.76,7.95,4.59,10.2,NA,0.169,NA,NA,"Jiang et al., 2012"
Yancheng coastal,120.63,33.57,2013-2014,18.7,1074.92,32,8.45,12.54,17.76,NA,0.069,766.3,15.7,"Xu et al., 2016"
Yancheng coastal,120.6,33.58,2013-2014,18.7,463.5,32.5,8.1,11.05,18.93,NA,0.088,258,6.7,"Xu et al., 2016"
Yancheng coastal,120.55,33.61,2013-2014,18.7,1237.15,33,8.87,3.56,13.08,NA,0.42,558.9,17.4,"Xu et al., 2016"
Yancheng coastal,120.64,33.59,2013-2014,18.7,0,33.5,9.1,8.87,20.1,NA,-0.004,57.1,6.1,"Xu et al., 2016"
Yancheng coastal,120.64,33.59,2003-2004,18.7,527.5,34,9.4,5.48,15.42,NA,-0.017,NA,NA,"Wang et al., 2009"
Yancheng coastal,120.65,33.59,2003-2004,18.7,212.5,30,9.13,6.41,22.44,NA,0.11,NA,NA,"Wang et al., 2009"
Yancheng coastal,120.65,33.59,2003-2004,18.7,587.8,30.5,8.15,3.21,20.1,NA,0.589,NA,NA,"Wang et al., 2009"
Yancheng coastal,120.65,33.59,2003-2004,18.7,0,31,9.15,4.58,15.42,NA,0.044,NA,NA,"Wang et al., 2009"
Min River Estuary,119.6,26.04,2014,19.6,1037.99,76.9,6.99,23.47,3.94,NA,NA,NA,7.16,"Rao et al., 2018"
Min River Estuary,119.61,26.04,2014,19.6,1037.99,113.39,7.36,21.59,4.02,NA,NA,NA,8.54,"Rao et al., 2018"
Yancheng coastal,120.58,33.6,2011,13.8,1074.92,29.41,8.05,9.57,13.08,NA,-0.14,865.2,18.56,"Xu et al., 2013"
Yancheng coastal,120.57,33.6,2011,13.8,653.9,17.66,9.4,1.43,18.93,NA,-0.02,100.87,25.64,"Xu et al., 2013"
Yancheng coastal,120.6,33.61,2011,13.8,0,20.07,9.19,0.67,22.44,NA,-0.13,26.99,-12.29,"Xu et al., 2013"
Yangtze River Estuary,122.05,31.5,2011,18.9,587.08,63.5,7.82,8.42,6.59,NA,NA,NA,0.6,"Li et al., 2015"
Yangtze River Estuary,122.06,31.6,2011,18.9,0,64,8.92,5.43,9.19,NA,NA,NA,5.99,"Li et al., 2015"
Yangtze River Estuary,122.05,31.48,2004,15.7,717.5,64.5,8.21,6.33,9.71,NA,0.394,730.27,109.72,"Yang et al., 2006"
Yangtze River Estuary,122.06,31.49,2004,15.7,717.5,65,7.59,5.53,11.27,NA,0.085,-13.56,-17.82,"Yang et al., 2006"
Min River Estuary,119.63,26.03,2008-2009,19.6,1062.4,57.5,6.74,19.7,3.5,714,1.82,NA,NA,"Tong et al., 2012"
Min River Estuary,119.63,26.03,2008-2009,19.6,1062.4,58,5.23,20.23,3.3,NA,0.98,NA,NA,"Tong et al., 2012"
Min River Estuary,119.63,26.03,2008-2009,19.6,1062.4,58.5,6.5,19.7,3.2,NA,2.1,NA,NA,"Tong et al., 2012"
Min River Estuary,119.63,26.03,2007,19.6,1862,59.5,6.54,20.83,4.2,NA,13.12,NA,NA,"Tong et al., 2008"
Min River Estuary,119.63,26.03,2007,19.6,1862,60,5.87,20.03,4.2,NA,5.42,NA,NA,"Tong et al., 2008"
Min River Estuary,119.63,26.03,2007,19.6,1862,60.5,6.21,21.63,4.2,NA,12.94,NA,NA,"Tong et al., 2008"
Min River Estuary,119.62,26.04,2007-2009,19.6,1524.8,61,7.25,19.3,4.2,NA,5.931,NA,NA,"Wang et al., 2015"
Min River Estuary,119.62,26.04,2007-2009,19.6,1062.4,61.5,6.28,22.06,4.2,NA,1.558,NA,NA,"Wang et al., 2015"
Liaohe Delta,121.6,40.87,2012-2014,8,308,62,8.41,11.25,7.6,NA,1.28,476,NA,"Ye et al., 2016"
Liaohe Delta,121.61,40.87,2012-2014,8,239,47,7.87,10.42,28.5,NA,0.002,335,NA,"Ye et al., 2016"
