"","Source","Original_source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","DOI"
"11","Hu et al 2020","Chen et al 2018","MH China 7","Jiulong River Estuary","China 7","Coastal wetland",24.39,117.91,"direct from dataset","2","China","2013",0,0.2,NA,1.878,"https://doi.org/10.1016/j.envres.2020.109576"
"12","Hu et al 2020","Wang et al 2016","MH China 90","Jiulong River Estuary","China 90","Coastal wetland",24.46,117.91,"direct from dataset","2","China","2011-2013",0,0.2,NA,1.125,"https://doi.org/10.1016/j.envres.2020.109576"
"13","Hu et al 2020","Chang and Yan 2003","MH China 41","Kuan-du wetlaNA","China 41","Coastal wetland",25.12,120.45,"direct from dataset","2","China","1995-1999",0,0.2,NA,2.07,"https://doi.org/10.1016/j.envres.2020.109576"
"14","Hu et al 2020","Olsson et al 2015","MH China 23","Liaohe Delta","China 23","Coastal wetland",40.87,121.61,"direct from dataset","2","China","2012",0,0.2,NA,0.53,"https://doi.org/10.1016/j.envres.2020.109576"
"15","Hu et al 2020","Olsson et al 2015","MH China 24","Liaohe Delta","China 24","Coastal wetland",40.96,121.81,"direct from dataset","2","China","2012",0,0.2,NA,0.69,"https://doi.org/10.1016/j.envres.2020.109576"
"16","Hu et al 2020","Olsson et al 2015","MH China 25","Liaohe Delta","China 25","Coastal wetland",40.87,121.6,"direct from dataset","2","China","2012",0,0.2,NA,1.67,"https://doi.org/10.1016/j.envres.2020.109576"
"17","Hu et al 2020","Olsson et al 2015","MH China 26","Liaohe Delta","China 26","Coastal wetland",40.16,121.8,"direct from dataset","2","China","2012",0,0.2,NA,1.181,"https://doi.org/10.1016/j.envres.2020.109576"
"18","Hu et al 2020","Huang et al 2005","MH China 37","Liaohe Delta","China 37","Coastal wetland",40.8,121.87,"direct from dataset","2","China","2003",0,0.2,NA,1.867,"https://doi.org/10.1016/j.envres.2020.109576"
"19","Hu et al 2020","Huang et al 2001","MH China 114","Liaohe Delta","China 114","Coastal wetland",40.87,121.58,"direct from dataset","2","China","2013",0,0.2,NA,1.058,"https://doi.org/10.1016/j.envres.2020.109576"
"20","Hu et al 2020","Ye et al 2016","MH China 186","Liaohe Delta","China 186","Coastal wetland",40.87,121.6,"direct from dataset","2","China","2012-2014",0,0.2,NA,1.125,"https://doi.org/10.1016/j.envres.2020.109576"
"21","Hu et al 2020","Ye et al 2016","MH China 187","Liaohe Delta","China 187","Coastal wetland",40.87,121.61,"direct from dataset","2","China","2012-2014",0,0.2,NA,1.042,"https://doi.org/10.1016/j.envres.2020.109576"
"22","Hu et al 2020","Wang et al 2012","MH China 119","Liaohe Estuary","China 119","Coastal wetland",40.82,121.83,"direct from dataset","2","China","2008",0,0.2,NA,0.843,"https://doi.org/10.1016/j.envres.2020.109576"
"23","Hu et al 2020","Liu et al 2017","MH China 123","Liaohe Estuary","China 123","Coastal wetland",41.23,121.84,"direct from dataset","2","China","2016",0,0.2,NA,1.456,"https://doi.org/10.1016/j.envres.2020.109576"
"24","Hu et al 2020","Liu et al 2017","MH China 124","Liaohe Estuary","China 124","Coastal wetland",40.93,121.83,"direct from dataset","2","China","2016",0,0.2,NA,0.754,"https://doi.org/10.1016/j.envres.2020.109576"
"25","Hu et al 2020","Liu et al 2017","MH China 125","Liaohe Estuary","China 125","Coastal wetland",40.95,121.71,"direct from dataset","2","China","2016",0,0.2,NA,0.944,"https://doi.org/10.1016/j.envres.2020.109576"
"26","Hu et al 2020","Liu et al 2017","MH China 126","Liaohe Estuary","China 126","Coastal wetland",40.93,121.83,"direct from dataset","2","China","2016",0,0.2,NA,0.754,"https://doi.org/10.1016/j.envres.2020.109576"
"27","Hu et al 2020","Liu et al 2017","MH China 127","Liaohe Estuary","China 127","Coastal wetland",40.95,121.71,"direct from dataset","2","China","2016",0,0.2,NA,0.944,"https://doi.org/10.1016/j.envres.2020.109576"
"28","Hu et al 2020","Tong et al.,2014","MH China 9","Min River Estuary","China 9","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.93,"https://doi.org/10.1016/j.envres.2020.109576"
"29","Hu et al 2020","Tong et al.,2015","MH China 10","Min River Estuary","China 10","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,2.21,"https://doi.org/10.1016/j.envres.2020.109576"
"30","Hu et al 2020","Tong et al.,2016","MH China 11","Min River Estuary","China 11","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.97,"https://doi.org/10.1016/j.envres.2020.109576"
"31","Hu et al 2020","Hu et al 2017","MH China 17","Min River Estuary","China 17","Coastal wetland",26.06,119.58,"direct from dataset","2","China","2014-2015",0,0.2,NA,2.043,"https://doi.org/10.1016/j.envres.2020.109576"
"32","Hu et al 2020","Tong et al 2012","MH China 34","Min River Estuary","China 34","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007-2009",0,0.2,NA,1.897,"https://doi.org/10.1016/j.envres.2020.109576"
"33","Hu et al 2020","Tong et al 2012","MH China 35","Min River Estuary","China 35","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007-2009",0,0.2,NA,2.141,"https://doi.org/10.1016/j.envres.2020.109576"
"34","Hu et al 2020","Tong et al 2012","MH China 36","Min River Estuary","China 36","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007-2009",0,0.2,NA,1.867,"https://doi.org/10.1016/j.envres.2020.109576"
"35","Hu et al 2020","Tong et al 2010","MH China 38","Min River Estuary","China 38","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,1.867,"https://doi.org/10.1016/j.envres.2020.109576"
"36","Hu et al 2020","Tong et al 2010","MH China 39","Min River Estuary","China 39","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,1.867,"https://doi.org/10.1016/j.envres.2020.109576"
"37","Hu et al 2020","Tong et al 2010","MH China 40","Min River Estuary","China 40","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,1.867,"https://doi.org/10.1016/j.envres.2020.109576"
"38","Hu et al 2020","Hu et al 2017a","MH China 49","Min River Estuary","China 49","Coastal wetland",25.96,119.41,"direct from dataset","2","China","2013-2014",0,0.2,NA,2.271,"https://doi.org/10.1016/j.envres.2020.109576"
"39","Hu et al 2020","Hu et al 2017a","MH China 50","Min River Estuary","China 50","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2013-2014",0,0.2,NA,2.103,"https://doi.org/10.1016/j.envres.2020.109576"
"40","Hu et al 2020","Mou et al 2014","MH China 51","Min River Estuary","China 51","Coastal wetland",26.03,119.62,"direct from dataset","2","China","2011",0,0.2,NA,2.143,"https://doi.org/10.1016/j.envres.2020.109576"
"41","Hu et al 2020","Mou et al 2014","MH China 52","Min River Estuary","China 52","Coastal wetland",26.03,119.62,"direct from dataset","2","China","2011",0,0.2,NA,1.893,"https://doi.org/10.1016/j.envres.2020.109576"
"42","Hu et al 2020","Wang et al 2018","MH China 67","Min River Estuary","China 67","Coastal wetland",25.96,119.41,"direct from dataset","2","China","2013-2014",0,0.2,NA,1.936,"https://doi.org/10.1016/j.envres.2020.109576"
"43","Hu et al 2020","Wang et al 2018","MH China 68","Min River Estuary","China 68","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2013-2014",0,0.2,NA,1.969,"https://doi.org/10.1016/j.envres.2020.109576"
"44","Hu et al 2020","Mou et al 2018","MH China 69","Min River Estuary","China 69","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2011",0,0.2,NA,2.048,"https://doi.org/10.1016/j.envres.2020.109576"
"45","Hu et al 2020","Mou et al 2018","MH China 70","Min River Estuary","China 70","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2011",0,0.2,NA,2.117,"https://doi.org/10.1016/j.envres.2020.109576"
"46","Hu et al 2020","Yang et al 2018","MH China 91","Min River Estuary","China 91","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.011,"https://doi.org/10.1016/j.envres.2020.109576"
"47","Hu et al 2020","Yang et al 2018","MH China 92","Min River Estuary","China 92","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.036,"https://doi.org/10.1016/j.envres.2020.109576"
"48","Hu et al 2020","Yang et al 2018","MH China 93","Min River Estuary","China 93","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.165,"https://doi.org/10.1016/j.envres.2020.109576"
"49","Hu et al 2020","Yang et al 2018","MH China 94","Min River Estuary","China 94","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.089,"https://doi.org/10.1016/j.envres.2020.109576"
"50","Hu et al 2020","Yang et al 2018","MH China 95","Min River Estuary","China 95","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.145,"https://doi.org/10.1016/j.envres.2020.109576"
"51","Hu et al 2020","Yang et al 2018","MH China 96","Min River Estuary","China 96","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.365,"https://doi.org/10.1016/j.envres.2020.109576"
"52","Hu et al 2020","Tong et al 2018","MH China 97","Min River Estuary","China 97","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2012-2013",0,0.2,NA,1.93,"https://doi.org/10.1016/j.envres.2020.109576"
"53","Hu et al 2020","Tong et al 2018","MH China 98","Min River Estuary","China 98","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2012-2013",0,0.2,NA,1.971,"https://doi.org/10.1016/j.envres.2020.109576"
"54","Hu et al 2020","Tong et al 2010","MH China 128","Min River Estuary","China 128","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,1.998,"https://doi.org/10.1016/j.envres.2020.109576"
"55","Hu et al 2020","Tong et al 2010","MH China 129","Min River Estuary","China 129","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.056,"https://doi.org/10.1016/j.envres.2020.109576"
"56","Hu et al 2020","Tong et al 2010","MH China 130","Min River Estuary","China 130","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.236,"https://doi.org/10.1016/j.envres.2020.109576"
"57","Hu et al 2020","Tong et al 2010","MH China 131","Min River Estuary","China 131","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.356,"https://doi.org/10.1016/j.envres.2020.109576"
"58","Hu et al 2020","Wan et al 2015","MH China 132","Min River Estuary","China 132","Coastal wetland",26.03,119.62,"direct from dataset","2","China","2013",0,0.2,NA,2.136,"https://doi.org/10.1016/j.envres.2020.109576"
"59","Hu et al 2020","Wan et al 2015","MH China 133","Min River Estuary","China 133","Coastal wetland",26.03,119.62,"direct from dataset","2","China","2013",0,0.2,NA,2.312,"https://doi.org/10.1016/j.envres.2020.109576"
"60","Hu et al 2020","Tong et al 2011","MH China 134","Min River Estuary","China 134","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.921,"https://doi.org/10.1016/j.envres.2020.109576"
"61","Hu et al 2020","Tong et al 2011","MH China 135","Min River Estuary","China 135","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,2.093,"https://doi.org/10.1016/j.envres.2020.109576"
"62","Hu et al 2020","Tong et al 2011","MH China 136","Min River Estuary","China 136","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.948,"https://doi.org/10.1016/j.envres.2020.109576"
"63","Hu et al 2020","Tong et al 2011","MH China 137","Min River Estuary","China 137","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.921,"https://doi.org/10.1016/j.envres.2020.109576"
"64","Hu et al 2020","Tong et al 2011","MH China 138","Min River Estuary","China 138","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,2.093,"https://doi.org/10.1016/j.envres.2020.109576"
"65","Hu et al 2020","Tong et al 2011","MH China 139","Min River Estuary","China 139","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.948,"https://doi.org/10.1016/j.envres.2020.109576"
"66","Hu et al 2020","Tong et al 2011","MH China 140","Min River Estuary","China 140","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.921,"https://doi.org/10.1016/j.envres.2020.109576"
"67","Hu et al 2020","Tong et al 2011","MH China 141","Min River Estuary","China 141","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,2.093,"https://doi.org/10.1016/j.envres.2020.109576"
"68","Hu et al 2020","Tong et al 2011","MH China 142","Min River Estuary","China 142","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.948,"https://doi.org/10.1016/j.envres.2020.109576"
"69","Hu et al 2020","Zeng et al 2010","MH China 143","Min River Estuary","China 143","Coastal wetland",26.03,119.61,"direct from dataset","2","China","2007-2008",0,0.2,NA,1.954,"https://doi.org/10.1016/j.envres.2020.109576"
"70","Hu et al 2020","Zeng et al 2010","MH China 144","Min River Estuary","China 144","Coastal wetland",26.03,119.61,"direct from dataset","2","China","2007-2008",0,0.2,NA,2.063,"https://doi.org/10.1016/j.envres.2020.109576"
"71","Hu et al 2020","Zeng et al 2010","MH China 145","Min River Estuary","China 145","Coastal wetland",26.03,119.61,"direct from dataset","2","China","2007-2008",0,0.2,NA,2.043,"https://doi.org/10.1016/j.envres.2020.109576"
"72","Hu et al 2020","Tan et al 2018","MH China 146","Min River Estuary","China 146","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2016-2017",0,0.2,NA,1.858,"https://doi.org/10.1016/j.envres.2020.109576"
"73","Hu et al 2020","Tong et al 2009","MH China 147","Min River Estuary","China 147","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.143,"https://doi.org/10.1016/j.envres.2020.109576"
"74","Hu et al 2020","Tong et al 2009","MH China 148","Min River Estuary","China 148","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.011,"https://doi.org/10.1016/j.envres.2020.109576"
"75","Hu et al 2020","Liu et al 2010","MH China 149","Min River Estuary","China 149","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.321,"https://doi.org/10.1016/j.envres.2020.109576"
"76","Hu et al 2020","Liu et al 2010","MH China 150","Min River Estuary","China 150","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,1.97,"https://doi.org/10.1016/j.envres.2020.109576"
"77","Hu et al 2020","Liu et al 2010","MH China 151","Min River Estuary","China 151","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.533,"https://doi.org/10.1016/j.envres.2020.109576"
"78","Hu et al 2020","Tong et al 2012","MH China 152","Min River Estuary","China 152","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.21,"https://doi.org/10.1016/j.envres.2020.109576"
"79","Hu et al 2020","Tong et al 2012","MH China 153","Min River Estuary","China 153","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.21,"https://doi.org/10.1016/j.envres.2020.109576"
"80","Hu et al 2020","Tong et al 2012","MH China 154","Min River Estuary","China 154","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.21,"https://doi.org/10.1016/j.envres.2020.109576"
"81","Hu et al 2020","He et al 2018","MH China 155","Min River Estuary","China 155","Coastal wetland",25.97,119.32,"direct from dataset","2","China","2015-2016",0,0.2,NA,2.042,"https://doi.org/10.1016/j.envres.2020.109576"
"82","Hu et al 2020","Zhang et al 2018","MH China 156","Min River Estuary","China 156","Coastal wetland",25.97,119.32,"direct from dataset","2","China","2015-2016",0,0.2,NA,2.258,"https://doi.org/10.1016/j.envres.2020.109576"
"83","Hu et al 2020","Rao et al 2018","MH China 169","Min River Estuary","China 169","Coastal wetland",26.04,119.6,"direct from dataset","2","China","2014",0,0.2,NA,2.347,"https://doi.org/10.1016/j.envres.2020.109576"
"84","Hu et al 2020","Rao et al 2018","MH China 170","Min River Estuary","China 170","Coastal wetland",26.04,119.61,"direct from dataset","2","China","2014",0,0.2,NA,2.159,"https://doi.org/10.1016/j.envres.2020.109576"
"85","Hu et al 2020","Tong et al 2012","MH China 178","Min River Estuary","China 178","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,1.97,"https://doi.org/10.1016/j.envres.2020.109576"
"86","Hu et al 2020","Tong et al 2012","MH China 179","Min River Estuary","China 179","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,2.023,"https://doi.org/10.1016/j.envres.2020.109576"
"87","Hu et al 2020","Tong et al 2012","MH China 180","Min River Estuary","China 180","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2008-2009",0,0.2,NA,1.97,"https://doi.org/10.1016/j.envres.2020.109576"
"88","Hu et al 2020","Tong et al 2008","MH China 181","Min River Estuary","China 181","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.083,"https://doi.org/10.1016/j.envres.2020.109576"
"89","Hu et al 2020","Tong et al 2008","MH China 182","Min River Estuary","China 182","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.003,"https://doi.org/10.1016/j.envres.2020.109576"
"90","Hu et al 2020","Tong et al 2008","MH China 183","Min River Estuary","China 183","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007",0,0.2,NA,2.163,"https://doi.org/10.1016/j.envres.2020.109576"
"91","Hu et al 2020","Wang et al 2015","MH China 184","Min River Estuary","China 184","Coastal wetland",26.04,119.62,"direct from dataset","2","China","2007-2009",0,0.2,NA,1.93,"https://doi.org/10.1016/j.envres.2020.109576"
"92","Hu et al 2020","Wang et al 2015","MH China 185","Min River Estuary","China 185","Coastal wetland",26.04,119.62,"direct from dataset","2","China","2007-2009",0,0.2,NA,2.206,"https://doi.org/10.1016/j.envres.2020.109576"
"93","Hu et al 2020","Pan et al 2016","MH China 112","Taizhou coastal","China 112","Coastal wetland",28.9,121.55,"direct from dataset","2","China","2013",0,0.2,NA,0.453,"https://doi.org/10.1016/j.envres.2020.109576"
"94","Hu et al 2020","Pan et al 2016","MH China 113","Taizhou coastal","China 113","Coastal wetland",28.63,121.52,"direct from dataset","2","China","2013",0,0.2,NA,0.619,"https://doi.org/10.1016/j.envres.2020.109576"
"95","Hu et al 2020","Yuan et al 2015","MH China 18","Yancheng coastal","China 18","Coastal wetland",33.37,120.68,"direct from dataset","2","China","2012",0,0.2,NA,1.355,"https://doi.org/10.1016/j.envres.2020.109576"
"96","Hu et al 2020","Yuan et al 2015","MH China 19","Yancheng coastal","China 19","Coastal wetland",33.37,120.68,"direct from dataset","2","China","2012",0,0.2,NA,0.542,"https://doi.org/10.1016/j.envres.2020.109576"
"97","Hu et al 2020","Yuan et al 2015","MH China 20","Yancheng coastal","China 20","Coastal wetland",33.37,120.68,"direct from dataset","2","China","2012",0,0.2,NA,0.395,"https://doi.org/10.1016/j.envres.2020.109576"
"98","Hu et al 2020","Yuan et al 2015","MH China 21","Yancheng coastal","China 21","Coastal wetland",33.37,120.68,"direct from dataset","2","China","2012",0,0.2,NA,0.188,"https://doi.org/10.1016/j.envres.2020.109576"
"99","Hu et al 2020","Xu et al 2014","MH China 53","Yancheng coastal","China 53","Coastal wetland",33.61,120.61,"direct from dataset","2","China","2012-2013",0,0.2,NA,1.034,"https://doi.org/10.1016/j.envres.2020.109576"
"100","Hu et al 2020","Xu et al 2014","MH China 54","Yancheng coastal","China 54","Coastal wetland",33.61,120.6,"direct from dataset","2","China","2012-2013",0,0.2,NA,0.328,"https://doi.org/10.1016/j.envres.2020.109576"
"101","Hu et al 2020","Xu et al 2014","MH China 55","Yancheng coastal","China 55","Coastal wetland",33.6,120.58,"direct from dataset","2","China","2012-2013",0,0.2,NA,0.39,"https://doi.org/10.1016/j.envres.2020.109576"
"102","Hu et al 2020","Wang and Wan 2017","MH China 75","Yancheng coastal","China 75","Coastal wetland",33.6,120.6,"direct from dataset","2","China","2013",0,0.2,NA,0.456,"https://doi.org/10.1016/j.envres.2020.109576"
"103","Hu et al 2020","Wang and Wan 2017","MH China 76","Yancheng coastal","China 76","Coastal wetland",33.6,120.6,"direct from dataset","2","China","2013",0,0.2,NA,0.568,"https://doi.org/10.1016/j.envres.2020.109576"
"104","Hu et al 2020","Wang and Wan 2017","MH China 77","Yancheng coastal","China 77","Coastal wetland",33.6,120.6,"direct from dataset","2","China","2013",0,0.2,NA,0.563,"https://doi.org/10.1016/j.envres.2020.109576"
"105","Hu et al 2020","Wang and Wan 2017","MH China 78","Yancheng coastal","China 78","Coastal wetland",33.6,120.6,"direct from dataset","2","China","2013",0,0.2,NA,0.489,"https://doi.org/10.1016/j.envres.2020.109576"
"106","Hu et al 2020","Yin et al 2015","MH China 83","Yancheng coastal","China 83","Coastal wetland",33.6,120.6,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.042,"https://doi.org/10.1016/j.envres.2020.109576"
"107","Hu et al 2020","Yin et al 2015","MH China 84","Yancheng coastal","China 84","Coastal wetland",33.62,120.62,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.043,"https://doi.org/10.1016/j.envres.2020.109576"
"108","Hu et al 2020","Yin et al 2015","MH China 85","Yancheng coastal","China 85","Coastal wetland",33.63,120.63,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.123,"https://doi.org/10.1016/j.envres.2020.109576"
"109","Hu et al 2020","Yan et al 2017","MH China 99","Yancheng coastal","China 99","Coastal wetland",30.63,120.63,"direct from dataset","2","China","2013",0,0.2,NA,0.935,"https://doi.org/10.1016/j.envres.2020.109576"
"110","Hu et al 2020","Yan et al 2017","MH China 100","Yancheng coastal","China 100","Coastal wetland",30.61,120.62,"direct from dataset","2","China","2013",0,0.2,NA,0.258,"https://doi.org/10.1016/j.envres.2020.109576"
"111","Hu et al 2020","Yan et al 2017","MH China 101","Yancheng coastal","China 101","Coastal wetland",30.6,120.59,"direct from dataset","2","China","2013",0,0.2,NA,0.341,"https://doi.org/10.1016/j.envres.2020.109576"
"112","Hu et al 2020","Yan et al 2017","MH China 102","Yancheng coastal","China 102","Coastal wetland",30.66,120.67,"direct from dataset","2","China","2013",0,0.2,NA,0.698,"https://doi.org/10.1016/j.envres.2020.109576"
"113","Hu et al 2020","Zhou et al 2009","MH China 108","Yancheng coastal","China 108","Coastal wetland",33.63,120.55,"direct from dataset","2","China","2005",0,0.2,NA,0.593,"https://doi.org/10.1016/j.envres.2020.109576"
"114","Hu et al 2020","Zhou et al 2009","MH China 109","Yancheng coastal","China 109","Coastal wetland",33.67,120.62,"direct from dataset","2","China","2005",0,0.2,NA,0.158,"https://doi.org/10.1016/j.envres.2020.109576"
"115","Hu et al 2020","Zhou et al 2009","MH China 110","Yancheng coastal","China 110","Coastal wetland",33.68,120.65,"direct from dataset","2","China","2005",0,0.2,NA,0.418,"https://doi.org/10.1016/j.envres.2020.109576"
"116","Hu et al 2020","Zhou et al 2009","MH China 111","Yancheng coastal","China 111","Coastal wetland",33.7,120.67,"direct from dataset","2","China","2005",0,0.2,NA,0.044,"https://doi.org/10.1016/j.envres.2020.109576"
"117","Hu et al 2020","Xu et al 2016","MH China 161","Yancheng coastal","China 161","Coastal wetland",33.57,120.63,"direct from dataset","2","China","2013-2014",0,0.2,NA,1.254,"https://doi.org/10.1016/j.envres.2020.109576"
"118","Hu et al 2020","Xu et al 2016","MH China 162","Yancheng coastal","China 162","Coastal wetland",33.58,120.6,"direct from dataset","2","China","2013-2014",0,0.2,NA,1.105,"https://doi.org/10.1016/j.envres.2020.109576"
"119","Hu et al 2020","Xu et al 2016","MH China 163","Yancheng coastal","China 163","Coastal wetland",33.61,120.55,"direct from dataset","2","China","2013-2014",0,0.2,NA,0.356,"https://doi.org/10.1016/j.envres.2020.109576"
"120","Hu et al 2020","Xu et al 2016","MH China 164","Yancheng coastal","China 164","Coastal wetland",33.59,120.64,"direct from dataset","2","China","2013-2014",0,0.2,NA,0.887,"https://doi.org/10.1016/j.envres.2020.109576"
"121","Hu et al 2020","Wang et al 2009","MH China 165","Yancheng coastal","China 165","Coastal wetland",33.59,120.64,"direct from dataset","2","China","2003-2004",0,0.2,NA,0.548,"https://doi.org/10.1016/j.envres.2020.109576"
"122","Hu et al 2020","Wang et al 2009","MH China 166","Yancheng coastal","China 166","Coastal wetland",33.59,120.65,"direct from dataset","2","China","2003-2004",0,0.2,NA,0.641,"https://doi.org/10.1016/j.envres.2020.109576"
"123","Hu et al 2020","Wang et al 2009","MH China 167","Yancheng coastal","China 167","Coastal wetland",33.59,120.65,"direct from dataset","2","China","2003-2004",0,0.2,NA,0.321,"https://doi.org/10.1016/j.envres.2020.109576"
"124","Hu et al 2020","Wang et al 2009","MH China 168","Yancheng coastal","China 168","Coastal wetland",33.59,120.65,"direct from dataset","2","China","2003-2004",0,0.2,NA,0.458,"https://doi.org/10.1016/j.envres.2020.109576"
"125","Hu et al 2020","Xu et al 2013","MH China 171","Yancheng coastal","China 171","Coastal wetland",33.6,120.58,"direct from dataset","2","China","2011",0,0.2,NA,0.957,"https://doi.org/10.1016/j.envres.2020.109576"
