"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","SOM_perc_Heiri","DOI"
"12","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",3.08,1.28,1.78,"https://doi.org/10.3390/biology7020027"
"13","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",3.14,0.82,1.4,"https://doi.org/10.3390/biology7020027"
"14","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",3.26,0.59,0.85,"https://doi.org/10.3390/biology7020027"
"15","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",2.07,0.57,1.2,"https://doi.org/10.3390/biology7020027"
"16","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",2.21,0.28,0.52,"https://doi.org/10.3390/biology7020027"
"17","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",2.15,0.37,0.56,"https://doi.org/10.3390/biology7020027"
"18","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",2.35,0.54,0.8,"https://doi.org/10.3390/biology7020027"
"19","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",1.82,0.5,0.88,"https://doi.org/10.3390/biology7020027"
"20","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",2.44,0.34,0.82,"https://doi.org/10.3390/biology7020027"
"21","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",7.16,1.42,3.36,"https://doi.org/10.3390/biology7020027"
"22","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",1.82,1.34,1.84,"https://doi.org/10.3390/biology7020027"
"23","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",1.07,1.07,2.33,"https://doi.org/10.3390/biology7020027"
"24","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",0.98,0.65,1.26,"https://doi.org/10.3390/biology7020027"
"25","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",1.19,0.53,1.25,"https://doi.org/10.3390/biology7020027"
"26","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",0.43,0.7,1.04,"https://doi.org/10.3390/biology7020027"
"27","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",0.17,1.16,1.3,"https://doi.org/10.3390/biology7020027"
"28","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",0.19,1.29,1.76,"https://doi.org/10.3390/biology7020027"
"29","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",0.29,0.71,1.54,"https://doi.org/10.3390/biology7020027"
"30","Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary","Site 1.1","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",0.34,0.88,1.07,"https://doi.org/10.3390/biology7020027"
"31","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",1.47,0.71,2.1,"https://doi.org/10.3390/biology7020027"
"32","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",2.44,0.78,2.26,"https://doi.org/10.3390/biology7020027"
"33","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",1.7,3.41,2.13,"https://doi.org/10.3390/biology7020027"
"34","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",0.66,0.75,2.01,"https://doi.org/10.3390/biology7020027"
"35","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",0.41,1.73,1.74,"https://doi.org/10.3390/biology7020027"
"36","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",0.19,0.69,1.82,"https://doi.org/10.3390/biology7020027"
"37","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",0.17,0.82,1.65,"https://doi.org/10.3390/biology7020027"
"38","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",0.23,0.84,2.03,"https://doi.org/10.3390/biology7020027"
"39","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",0.22,0.77,1.39,"https://doi.org/10.3390/biology7020027"
"40","Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary","Site 1.2","Salt marsh",-41.1583009,146.6007821,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",0.3,0.65,1.27,"https://doi.org/10.3390/biology7020027"
