"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"23","Ruranska et al 2020","PR Belhaven 3","Belhaven","Belhaven 3","Salt marsh","Not Sandy",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",8.51,NA,0.28,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"24","Ruranska et al 2020","PR Belhaven 4","Belhaven","Belhaven 4","Salt marsh","Not Sandy",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",8.32,NA,0.28,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"25","Ruranska et al 2020","PR Belhaven 5","Belhaven","Belhaven 5","Salt marsh","Not Sandy",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",7.93,NA,0.55,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"26","Ruranska et al 2020","PR Belhaven 6","Belhaven","Belhaven 6","Salt marsh","Not Sandy",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",7.4,NA,0.54,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"27","Ruranska et al 2020","PR Belhaven 7","Belhaven","Belhaven 7","Salt marsh","Not Sandy",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",13.26,NA,0.27,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"28","Ruranska et al 2020","PR Belhaven 8","Belhaven","Belhaven 8","Salt marsh","Not Sandy",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",9.73,NA,0.3,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"29","Ruranska et al 2020","PR Belhaven 9","Belhaven","Belhaven 9","Salt marsh","Not Sandy",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",8.15,NA,0.61,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"30","Ruranska et al 2020","PR Belhaven 10","Belhaven","Belhaven 10","Salt marsh","Not Sandy",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",7.91,NA,0.43,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"31","Ruranska et al 2020","PR Belhaven 11","Belhaven","Belhaven 11","Salt marsh","Not Sandy",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",7.76,NA,0.47,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"32","Ruranska et al 2020","PR Belhaven 12","Belhaven","Belhaven 12","Salt marsh","Not Sandy",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",6.77,NA,0.7,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"33","Ruranska et al 2020","PR Belhaven 13","Belhaven","Belhaven 13","Salt marsh","Not Sandy",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",12.93,NA,0.3,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"34","Ruranska et al 2020","PR Belhaven 14","Belhaven","Belhaven 14","Salt marsh","Not Sandy",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",11.23,NA,0.35,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"35","Ruranska et al 2020","PR Belhaven 15","Belhaven","Belhaven 15","Salt marsh","Not Sandy",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",7.02,NA,0.77,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"36","Ruranska et al 2020","PR Belhaven 16","Belhaven","Belhaven 16","Salt marsh","Not Sandy",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",10.02,NA,0.51,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"37","Ruranska et al 2020","PR Belhaven 17","Belhaven","Belhaven 17","Salt marsh","Not Sandy",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",12.29,NA,0.44,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"38","Ruranska et al 2020","PR Belhaven 18","Belhaven","Belhaven 18","Salt marsh","Not Sandy",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",8.89,NA,0.51,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"39","Ruranska et al 2020","PR Belhaven 19","Belhaven","Belhaven 19","Salt marsh","Not Sandy",56.00325372,-2.59876978,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.57,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"40","Ruranska et al 2020","PR Belhaven 20","Belhaven","Belhaven 20","Salt marsh","Not Sandy",56.00319275,-2.5989909,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.46,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"41","Ruranska et al 2020","PR Belhaven 21","Belhaven","Belhaven 21","Salt marsh","Not Sandy",56.00314484,-2.59941866,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.51,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"42","Ruranska et al 2020","PR Belhaven 22","Belhaven","Belhaven 22","Salt marsh","Not Sandy",56.00309173,-2.59983048,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.31,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"43","Ruranska et al 2020","PR Belhaven 23","Belhaven","Belhaven 23","Salt marsh","Not Sandy",56.00307417,-2.60026727,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.19,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"44","Ruranska et al 2020","PR Belhaven 24","Belhaven","Belhaven 24","Salt marsh","Not Sandy",56.00307417,-2.60026727,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.71,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"45","Ruranska et al 2020","PR Belhaven 25","Belhaven","Belhaven 25","Salt marsh","Not Sandy",56.00310657,-2.60085342,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.45,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"46","Ruranska et al 2020","PR Belhaven 26","Belhaven","Belhaven 26","Salt marsh","Not Sandy",56.00310657,-2.60085342,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.94,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"47","Ruranska et al 2020","PR Belhaven 27","Belhaven","Belhaven 27","Salt marsh","Not Sandy",56.00316974,-2.60141202,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.28,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"48","Ruranska et al 2020","PR Belhaven 28","Belhaven","Belhaven 28","Salt marsh","Not Sandy",56.00316974,-2.60141202,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.7,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"49","Ruranska et al 2020","PR Belhaven 29","Belhaven","Belhaven 29","Salt marsh","Not Sandy",56.00312718,-2.60187292,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.35,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"50","Ruranska et al 2020","PR Belhaven 30","Belhaven","Belhaven 30","Salt marsh","Not Sandy",56.00312718,-2.60187292,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.35,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"51","Ruranska et al 2020","PR Belhaven 31","Belhaven","Belhaven 31","Salt marsh","Not Sandy",56.00309109,-2.6020246,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.2,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"52","Ruranska et al 2020","PR Belhaven 32","Belhaven","Belhaven 32","Salt marsh","Not Sandy",56.00388108,-2.60157871,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.32,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"53","Ruranska et al 2020","PR Belhaven 33","Belhaven","Belhaven 33","Salt marsh","Not Sandy",56.00388108,-2.60157871,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.39,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"54","Ruranska et al 2020","PR Belhaven 34","Belhaven","Belhaven 34","Salt marsh","Not Sandy",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.29,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"55","Ruranska et al 2020","PR Belhaven 35","Belhaven","Belhaven 35","Salt marsh","Not Sandy",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.8,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"56","Ruranska et al 2020","PR Belhaven 36","Belhaven","Belhaven 36","Salt marsh","Not Sandy",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.27,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"57","Ruranska et al 2020","PR Belhaven 37","Belhaven","Belhaven 37","Salt marsh","Not Sandy",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.32,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"58","Ruranska et al 2020","PR Belhaven 38","Belhaven","Belhaven 38","Salt marsh","Not Sandy",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.36,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"59","Ruranska et al 2020","PR Belhaven 39","Belhaven","Belhaven 39","Salt marsh","Not Sandy",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.55,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"60","Ruranska et al 2020","PR Belhaven 40","Belhaven","Belhaven 40","Salt marsh","Not Sandy",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.18,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"61","Ruranska et al 2020","PR Belhaven 41","Belhaven","Belhaven 41","Salt marsh","Not Sandy",56.00265462,-2.60056717,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.21,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"62","Ruranska et al 2020","PR Belhaven 42","Belhaven","Belhaven 42","Salt marsh","Not Sandy",56.00265462,-2.60056717,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.51,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"63","Ruranska et al 2020","PR Belhaven 43","Belhaven","Belhaven 43","Salt marsh","Not Sandy",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.3,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"64","Ruranska et al 2020","PR Belhaven 44","Belhaven","Belhaven 44","Salt marsh","Sandy",56.009254,-2.572521,"direct from dataset","1","UK",2018,0,0.1,"EA",0.6,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"65","Ruranska et al 2020","PR Belhaven 45","Belhaven","Belhaven 45","Salt marsh","Sandy",56.008256,-2.57163,"direct from dataset","1","UK",2018,0,0.1,"EA",0.39,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"66","Ruranska et al 2020","PR Belhaven 46","Belhaven","Belhaven 46","Salt marsh","Sandy",56.008142,-2.569925,"direct from dataset","1","UK",2018,0,0.1,"EA",0.69,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"67","Ruranska et al 2020","PR Belhaven 47","Belhaven","Belhaven 47","Salt marsh","Sandy",56.006219,-2.5683,"direct from dataset","1","UK",2018,0,0.1,"EA",0.45,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"68","Ruranska et al 2020","PR Belhaven 48","Belhaven","Belhaven 48","Salt marsh","Sandy",56.005111,-2.566979,"direct from dataset","1","UK",2018,0,0.1,"EA",1.32,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"69","Ruranska et al 2020","PR Belhaven 49","Belhaven","Belhaven 49","Salt marsh","Sandy",56.004328,-2.565323,"direct from dataset","1","UK",2018,0,0.1,"EA",0.77,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"70","Ruranska et al 2020","PR Belhaven 50","Belhaven","Belhaven 50","Salt marsh","Sandy",56.003884,-2.562017,"direct from dataset","1","UK",2018,0,0.1,"EA",0.47,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"71","Ruranska et al 2020","PR Belhaven 51","Belhaven","Belhaven 51","Salt marsh","Sandy",56.001625,-2.598591,"direct from dataset","1","UK",2018,0,0.1,"EA",0.96,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"72","Ruranska et al 2020","PR Belhaven 52","Belhaven","Belhaven 52","Salt marsh","Not Sandy",56.001909,-2.600013,"direct from dataset","1","UK",2018,0,0.1,"EA",6.05,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"73","Ruranska et al 2020","PR Belhaven 53","Belhaven","Belhaven 53","Salt marsh","Not Sandy",56.00177,-2.600683,"direct from dataset","1","UK",2018,0,0.1,"EA",6.95,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"74","Ruranska et al 2020","PR Belhaven 54","Belhaven","Belhaven 54","Salt marsh","Not Sandy",56.001546,-2.600974,"direct from dataset","1","UK",2018,0,0.1,"EA",6.54,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"75","Ruranska et al 2020","PR Belhaven 55","Belhaven","Belhaven 55","Salt marsh","Not Sandy",56.001444,-2.601098,"direct from dataset","1","UK",2018,0,0.1,"EA",7.31,NA,NA,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"76","Ruranska et al 2020","PR Bogside Flats 1","Bogside Flats","Bogside Flats 1","Salt marsh","Not Sandy",55.618858,-4.6842816,"direct from dataset","1","UK",2019,0,0.1,"EA",16.47,27.43,0.42,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"77","Ruranska et al 2020","PR Bogside Flats 2","Bogside Flats","Bogside Flats 2","Salt marsh","Not Sandy",55.618861,-4.6847677,"direct from dataset","1","UK",2019,0,0.1,"EA",14.79,22.97,0.57,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"78","Ruranska et al 2020","PR Bogside Flats 3","Bogside Flats","Bogside Flats 3","Salt marsh","Not Sandy",55.618862,-4.6841062,"direct from dataset","1","UK",2019,0,0.1,"EA",17.43,35.21,0.36,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"79","Ruranska et al 2020","PR Bogside Flats 4","Bogside Flats","Bogside Flats 4","Salt marsh","Not Sandy",55.618877,-4.6850279,"direct from dataset","1","UK",2019,0,0.1,"EA",16.29,24.43,0.55,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"80","Ruranska et al 2020","PR Bogside Flats 5","Bogside Flats","Bogside Flats 5","Salt marsh","Not Sandy",55.618855,-4.6844995,"direct from dataset","1","UK",2019,0,0.1,"EA",13.05,25.1,0.46,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"81","Ruranska et al 2020","PR Burgh (Solway) 1","Burgh (Solway)","Burgh (Solway) 1","Salt marsh","Not Sandy",54.923122,-3.0853725,"direct from dataset","1","UK",2019,0,0.1,"EA",10.53,19.53,0.73,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"82","Ruranska et al 2020","PR Burgh (Solway) 2","Burgh (Solway)","Burgh (Solway) 2","Salt marsh","Not Sandy",54.925459,-3.0863717,"direct from dataset","1","UK",2019,0,0.1,"EA",26.15,42.25,0.42,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"83","Ruranska et al 2020","PR Burgh (Solway) 3","Burgh (Solway)","Burgh (Solway) 3","Salt marsh","Not Sandy",54.927685,-3.0907387,"direct from dataset","1","UK",2019,0,0.1,"EA",16.33,31.83,0.45,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"84","Ruranska et al 2020","PR Burgh (Solway) 4","Burgh (Solway)","Burgh (Solway) 4","Salt marsh","Not Sandy",54.930157,-3.0906028,"direct from dataset","1","UK",2019,0,0.1,"EA",10.11,19.48,0.67,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"85","Ruranska et al 2020","PR Burgh (Solway) 5","Burgh (Solway)","Burgh (Solway) 5","Salt marsh","Sandy",54.932706,-3.0919828,"direct from dataset","1","UK",2019,0,0.1,"EA",2.21,3.65,1.17,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"86","Ruranska et al 2020","PR Caerlaverock East 1","Caerlaverock East","Caerlaverock East 1","Salt marsh","Not Sandy",54.971146,-3.4762266,"direct from dataset","1","UK",2019,0,0.1,"EA",11.43,20.33,0.62,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"87","Ruranska et al 2020","PR Caerlaverock East 2","Caerlaverock East","Caerlaverock East 2","Salt marsh","Sandy",54.972158,-3.475811,"direct from dataset","1","UK",2019,0,0.1,"EA",5.63,7.31,0.73,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"88","Ruranska et al 2020","PR Caerlaverock East 3","Caerlaverock East","Caerlaverock East 3","Salt marsh","Not Sandy",54.96999,-3.4752625,"direct from dataset","1","UK",2019,0,0.1,"EA",10.74,24.24,0.43,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"89","Ruranska et al 2020","PR Caerlaverock East 4","Caerlaverock East","Caerlaverock East 4","Salt marsh","Not Sandy",54.971778,-3.476781,"direct from dataset","1","UK",2019,0,0.1,"EA",12.87,25.94,0.44,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"90","Ruranska et al 2020","PR Caerlaverock East 5","Caerlaverock East","Caerlaverock East 5","Salt marsh","Sandy",54.969268,-3.472549,"direct from dataset","1","UK",2019,0,0.1,"EA",1.06,3.14,1.2,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"91","Ruranska et al 2020","PR Carthagena Bank 1","Carthagena Bank","Carthagena Bank 1","Salt marsh","Not Sandy",56.38500278,-3.194788889,"direct from dataset","1","UK",2019,0,0.1,"EA",3.32,11.4,0.68,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"92","Ruranska et al 2020","PR Carthagena Bank 2","Carthagena Bank","Carthagena Bank 2","Salt marsh","Not Sandy",56.38565556,-3.197808333,"direct from dataset","1","UK",2019,0,0.1,"EA",8.85,16.76,0.69,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"93","Ruranska et al 2020","PR Carthagena Bank 3","Carthagena Bank","Carthagena Bank 3","Salt marsh","Not Sandy",56.38466389,-3.193727778,"direct from dataset","1","UK",2019,0,0.1,"EA",7.01,13.58,0.52,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"94","Ruranska et al 2020","PR Carthagena Bank 4","Carthagena Bank","Carthagena Bank 4","Salt marsh","Not Sandy",56.38430833,-3.192663889,"direct from dataset","1","UK",2019,0,0.1,"EA",5.12,8.96,0.71,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
