Core_type,Marsh_type,Marsh_zone,delta_c13,Source,Site_name,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,State,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,N_perc,BD_reported_g_cm3,DOI
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C11,Cambusmore Lodge (Loch Fleet),Fleet C11,Salt marsh,57.94631,-4.08114,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.552,NA,2.607099102,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-28.602,Miller et al 2022,LCM Fleet C12,Cambusmore Lodge (Loch Fleet),Fleet C12,Salt marsh,57.945934,-4.080732,direct from dataset,1,UK,Highland,2020,0,0.05,EA,14.958,2.059,0.380707364,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C12,Cambusmore Lodge (Loch Fleet),Fleet C12,Salt marsh,57.945934,-4.080732,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,1.974,NA,2.273690316,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-27.796,Miller et al 2022,LCM Fleet C2,Cambusmore Lodge (Loch Fleet),Fleet C2,Salt marsh,57.94985787,-4.08245143,direct from dataset,1,UK,Highland,2020,0,0.05,EA,25.192,1.948,0.419470892,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C2,Cambusmore Lodge (Loch Fleet),Fleet C2,Salt marsh,57.94985787,-4.08245143,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.874,NA,1.411088633,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C2,Cambusmore Lodge (Loch Fleet),Fleet C2,Salt marsh,57.94985787,-4.08245143,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,3.445,NA,1.730279409,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-27.62,Miller et al 2022,LCM Fleet C3,Cambusmore Lodge (Loch Fleet),Fleet C3,Salt marsh,57.94945356,-4.08246358,direct from dataset,1,UK,Highland,2020,0,0.05,EA,20.012,1.671,0.468731697,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C3,Cambusmore Lodge (Loch Fleet),Fleet C3,Salt marsh,57.94945356,-4.08246358,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,4.587,NA,1.526947726,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C3,Cambusmore Lodge (Loch Fleet),Fleet C3,Salt marsh,57.94945356,-4.08246358,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.606,NA,2.354138785,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-28.07,Miller et al 2022,LCM Fleet C4,Cambusmore Lodge (Loch Fleet),Fleet C4,Salt marsh,57.9490505,-4.08242105,direct from dataset,1,UK,Highland,2020,0,0.05,EA,25.873,2.09,0.413175355,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C4,Cambusmore Lodge (Loch Fleet),Fleet C4,Salt marsh,57.9490505,-4.08242105,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,1.494,NA,2.343733465,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C4,Cambusmore Lodge (Loch Fleet),Fleet C4,Salt marsh,57.9490505,-4.08242105,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.762,NA,2.413111693,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-27.306,Miller et al 2022,LCM Fleet C5,Cambusmore Lodge (Loch Fleet),Fleet C5,Salt marsh,57.9486629,-4.08234419,direct from dataset,1,UK,Highland,2020,0,0.05,EA,7.867,0.397,0.988368112,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C5,Cambusmore Lodge (Loch Fleet),Fleet C5,Salt marsh,57.9486629,-4.08234419,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,5.378,NA,1.416973898,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C5,Cambusmore Lodge (Loch Fleet),Fleet C5,Salt marsh,57.9486629,-4.08234419,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,4.807,NA,1.465668812,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C5,Cambusmore Lodge (Loch Fleet),Fleet C5,Salt marsh,57.9486629,-4.08234419,direct from dataset,1,UK,Highland,2020,0.4,0.45,EA,0.36,NA,2.453961944,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C5,Cambusmore Lodge (Loch Fleet),Fleet C5,Salt marsh,57.9486629,-4.08234419,direct from dataset,1,UK,Highland,2020,0.3,0.35,EA,0.351,NA,2.654832001,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-28.346,Miller et al 2022,LCM Fleet C6,Cambusmore Lodge (Loch Fleet),Fleet C6,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0,0.05,EA,17.89,1.871,0.468477046,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C6,Cambusmore Lodge (Loch Fleet),Fleet C6,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,4.703,NA,1.532783476,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C6,Cambusmore Lodge (Loch Fleet),Fleet C6,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.617,NA,1.86653887,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-27.496,Miller et al 2022,LCM Fleet C7,Cambusmore Lodge (Loch Fleet),Fleet C7,Salt marsh,57.94784114,-4.08195521,direct from dataset,1,UK,Highland,2020,0,0.05,EA,23.261,2.151,0.358772017,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C7,Cambusmore Lodge (Loch Fleet),Fleet C7,Salt marsh,57.94784114,-4.08195521,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,3.922,NA,1.613925161,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C7,Cambusmore Lodge (Loch Fleet),Fleet C7,Salt marsh,57.94784114,-4.08195521,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,2.72,NA,2.077573743,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C7,Cambusmore Lodge (Loch Fleet),Fleet C7,Salt marsh,57.94784114,-4.08195521,direct from dataset,1,UK,Highland,2020,0.3,0.35,EA,0.817,NA,2.595745915,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-27.866,Miller et al 2022,LCM Fleet C8,Cambusmore Lodge (Loch Fleet),Fleet C8,Salt marsh,57.94747381,-4.08166883,direct from dataset,1,UK,Highland,2020,0,0.05,EA,24.163,1.934,0.343846644,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C8,Cambusmore Lodge (Loch Fleet),Fleet C8,Salt marsh,57.94747381,-4.08166883,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,0.25,NA,2.452469407,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C8,Cambusmore Lodge (Loch Fleet),Fleet C8,Salt marsh,57.94747381,-4.08166883,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.403,NA,2.5870029,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-28.219,Miller et al 2022,LCM Fleet C9,Cambusmore Lodge (Loch Fleet),Fleet C9,Salt marsh,57.94710131,-4.08153539,direct from dataset,1,UK,Highland,2020,0,0.05,EA,24.418,1.726,0.3541883,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C9,Cambusmore Lodge (Loch Fleet),Fleet C9,Salt marsh,57.94710131,-4.08153539,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,1.234,NA,1.072622197,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C9,Cambusmore Lodge (Loch Fleet),Fleet C9,Salt marsh,57.94710131,-4.08153539,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,1.767,NA,2.288771309,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0,0.02,EA,27.056,NA,0.2,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.02,0.03,EA,2.017,NA,0.18,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.03,0.04,EA,18.161,NA,0.21,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.04,0.05,EA,0.365,NA,0.17,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.05,0.06,EA,20.821,NA,0.19,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.06,0.07,EA,20.469,NA,0.2,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.07,0.08,EA,16.646,NA,0.22,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.08,0.09,EA,16.442,NA,0.25,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.09,0.1,EA,19.279,NA,0.22,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.1,0.11,EA,16.558,NA,0.18,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.11,0.12,EA,13.151,NA,0.22,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.12,0.13,EA,13.401,NA,0.28,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.13,0.14,EA,28.199,NA,0.25,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.14,0.15,EA,9.486,NA,0.39,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.15,0.16,EA,7.818,NA,0.37,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.16,0.17,EA,7.625,NA,0.4,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.17,0.18,EA,7.306,NA,0.47,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.18,0.19,EA,6.389,NA,0.4,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.19,0.2,EA,8.577,NA,0.4,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.2,0.21,EA,7.353,NA,0.41,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.21,0.22,EA,3.54,NA,0.49,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.22,0.23,EA,6.701,NA,0.42,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.23,0.24,EA,3.863,NA,0.55,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.24,0.25,EA,5.991,NA,0.38,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.25,0.26,EA,5.091,NA,0.48,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.26,0.27,EA,6.946,NA,0.45,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.27,0.28,EA,7.605,NA,0.25,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P55,Cambusmore Lodge (Loch Fleet),Fleet P55,Salt marsh,57.94829416,-4.08216892,direct from dataset,1,UK,Highland,2020,0.28,0.29,EA,7.164,NA,0.1,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0,0.02,EA,31.45,NA,0.14,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.02,0.03,EA,25.931,NA,0.15,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.03,0.04,EA,23.057,NA,0.2,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.04,0.05,EA,23.682,NA,0.26,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.05,0.06,EA,19.256,NA,0.26,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.06,0.07,EA,12.755,NA,0.17,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.07,0.08,EA,16.244,NA,0.23,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.08,0.09,EA,13.081,NA,0.26,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.09,0.1,EA,14.769,NA,0.34,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.1,0.11,EA,7.919,NA,0.42,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.11,0.12,EA,8.889,NA,0.4,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.12,0.13,EA,6.8,NA,0.4,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.13,0.14,EA,4.867,NA,0.52,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.14,0.15,EA,2.951,NA,0.73,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.15,0.16,EA,1.922,NA,0.95,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.16,0.17,EA,4.279,NA,1.23,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.17,0.18,EA,1.814,NA,1.05,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.18,0.19,EA,1.39,NA,0.92,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.19,0.2,EA,1.086,NA,1.03,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.2,0.21,EA,0.706,NA,0.99,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.21,0.22,EA,0.607,NA,0.71,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.22,0.23,EA,0.592,NA,0.69,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.23,0.24,EA,0.579,NA,0.84,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.24,0.25,EA,0.46,NA,0.89,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.25,0.26,EA,0.583,NA,0.69,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.26,0.27,EA,0.752,NA,0.81,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.27,0.28,EA,0.527,NA,0.56,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.28,0.29,EA,0.589,NA,0.6,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.29,0.3,EA,0.418,NA,0.63,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.3,0.31,EA,0.614,NA,0.61,https://doi.org/10.7489/12422-1
Wide,Embayment,High,NA,Miller et al 2022,LCM Fleet P59,Cambusmore Lodge (Loch Fleet),Fleet P59,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.31,0.32,EA,1.018,NA,0.48,https://doi.org/10.7489/12422-1
