"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"11","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 11","Agua Amarga",11,"Salt marsh",38.29692406,-0.520850528,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.261,1.9,"https://doi.org/10.1016/j.catena.2014.11.012"
"12","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 13","Agua Amarga",13,"Salt marsh",38.28701582,-0.522508545,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.416,1.5,"https://doi.org/10.1016/j.catena.2014.11.012"
"13","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 14","Agua Amarga",14,"Salt marsh",38.28438059,-0.523037959,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.344,1.51,"https://doi.org/10.1016/j.catena.2014.11.012"
"14","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 15","Agua Amarga",15,"Salt marsh",38.28241399,-0.524110782,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.87,1.9,"https://doi.org/10.1016/j.catena.2014.11.012"
"15","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 16","Agua Amarga",16,"Salt marsh",38.2806567,-0.527942759,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.421,1.85,"https://doi.org/10.1016/j.catena.2014.11.012"
"16","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 17","Agua Amarga",17,"Salt marsh",38.29635959,-0.526224876,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.775,1.46,"https://doi.org/10.1016/j.catena.2014.11.012"
"17","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 18","Agua Amarga",18,"Salt marsh",38.2887713,-0.533499341,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.276,1.5,"https://doi.org/10.1016/j.catena.2014.11.012"
"18","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 19","Agua Amarga",19,"Salt marsh",38.28712986,-0.528706599,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.875,1.51,"https://doi.org/10.1016/j.catena.2014.11.012"
"19","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 20","Agua Amarga",20,"Salt marsh",38.28374301,-0.52445064,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.491,1.49,"https://doi.org/10.1016/j.catena.2014.11.012"
"20","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 21","Agua Amarga",21,"Salt marsh",38.29353138,-0.531101476,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.684,1.42,"https://doi.org/10.1016/j.catena.2014.11.012"
"21","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 24","Agua Amarga",24,"Salt marsh",38.28190619,-0.529512171,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.566,1.55,"https://doi.org/10.1016/j.catena.2014.11.012"
"22","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 51","Agua Amarga",51,"Salt marsh",38.28330365,-0.529979198,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.368,1.66,"https://doi.org/10.1016/j.catena.2014.11.012"
"23","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 25","Agua Amarga",25,"Salt marsh",38.29311487,-0.525221868,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.193,1.67,"https://doi.org/10.1016/j.catena.2014.11.012"
"24","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 26","Agua Amarga",26,"Salt marsh",38.29049461,-0.523173008,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",NA,1.72,"https://doi.org/10.1016/j.catena.2014.11.012"
"25","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 27","Agua Amarga",27,"Salt marsh",38.28924036,-0.533489242,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.076,1.56,"https://doi.org/10.1016/j.catena.2014.11.012"
"26","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 28","Agua Amarga",28,"Salt marsh",38.28757024,-0.525924716,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",NA,NA,"https://doi.org/10.1016/j.catena.2014.11.012"
"27","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 29","Agua Amarga",29,"Salt marsh",38.29402135,-0.521518911,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",NA,1.94,"https://doi.org/10.1016/j.catena.2014.11.012"
"28","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 62","Agua Amarga",62,"Salt marsh",38.29193082,-0.527182824,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.572,1.55,"https://doi.org/10.1016/j.catena.2014.11.012"
"29","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 30","Agua Amarga",30,"Salt marsh",38.29376716,-0.521448609,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.656,NA,"https://doi.org/10.1016/j.catena.2014.11.012"
"30","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 31","Agua Amarga",31,"Salt marsh",38.29299839,-0.524825671,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.872,1.57,"https://doi.org/10.1016/j.catena.2014.11.012"
"31","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 32","Agua Amarga",32,"Salt marsh",38.29071504,-0.523058759,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",NA,NA,"https://doi.org/10.1016/j.catena.2014.11.012"
"32","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 33","Agua Amarga",33,"Salt marsh",38.28915999,-0.533728081,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.181,1.72,"https://doi.org/10.1016/j.catena.2014.11.012"
"33","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 34","Agua Amarga",34,"Salt marsh",38.28756557,-0.526130654,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.576,NA,"https://doi.org/10.1016/j.catena.2014.11.012"
"34","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 35","Agua Amarga",35,"Salt marsh",38.28368097,-0.526356925,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.028,1.51,"https://doi.org/10.1016/j.catena.2014.11.012"
"35","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 36","Agua Amarga",36,"Salt marsh",38.28360741,-0.52643655,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.073,1.59,"https://doi.org/10.1016/j.catena.2014.11.012"
"36","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 37","Agua Amarga",37,"Salt marsh",38.2816738,-0.526182129,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.547,1.41,"https://doi.org/10.1016/j.catena.2014.11.012"
"37","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 38","Agua Amarga",38,"Salt marsh",38.28654049,-0.528990129,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.949,1.6,"https://doi.org/10.1016/j.catena.2014.11.012"
"38","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 39","Agua Amarga",39,"Salt marsh",38.29020544,-0.526121015,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.537,1.74,"https://doi.org/10.1016/j.catena.2014.11.012"
"39","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 40","Agua Amarga",40,"Salt marsh",38.29040601,-0.527085974,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",NA,NA,"https://doi.org/10.1016/j.catena.2014.11.012"
"40","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 41","Agua Amarga",41,"Salt marsh",38.28907014,-0.52526785,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.269,1.87,"https://doi.org/10.1016/j.catena.2014.11.012"
"41","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 42","Agua Amarga",42,"Salt marsh",38.29119845,-0.526636055,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.122,1.79,"https://doi.org/10.1016/j.catena.2014.11.012"
"42","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 43","Agua Amarga",43,"Salt marsh",38.29572719,-0.521348616,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.06,1.46,"https://doi.org/10.1016/j.catena.2014.11.012"
"43","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 46","Agua Amarga",46,"Salt marsh",38.28461828,-0.530792001,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.037,1.71,"https://doi.org/10.1016/j.catena.2014.11.012"
"44","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 47","Agua Amarga",47,"Salt marsh",38.2829519,-0.524926462,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.459,1.57,"https://doi.org/10.1016/j.catena.2014.11.012"
"45","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 48","Agua Amarga",48,"Salt marsh",38.28224951,-0.528700336,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.457,1.49,"https://doi.org/10.1016/j.catena.2014.11.012"
"46","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 49","Agua Amarga",49,"Salt marsh",38.28317115,-0.528394715,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.272,1.53,"https://doi.org/10.1016/j.catena.2014.11.012"
"47","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 50","Agua Amarga",50,"Salt marsh",38.28308941,-0.527708935,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.302,2.19,"https://doi.org/10.1016/j.catena.2014.11.012"
"48","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 52","Agua Amarga",52,"Salt marsh",38.28811601,-0.529587364,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.426,1.63,"https://doi.org/10.1016/j.catena.2014.11.012"
"49","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 53","Agua Amarga",53,"Salt marsh",38.28862313,-0.529707352,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.382,1.58,"https://doi.org/10.1016/j.catena.2014.11.012"
"50","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 54","Agua Amarga",54,"Salt marsh",38.28917849,-0.529551327,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.319,1.51,"https://doi.org/10.1016/j.catena.2014.11.012"
"51","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 55","Agua Amarga",55,"Salt marsh",38.28910872,-0.529233585,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.112,1.49,"https://doi.org/10.1016/j.catena.2014.11.012"
"52","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 56","Agua Amarga",56,"Salt marsh",38.28968257,-0.529099793,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.834,1.5,"https://doi.org/10.1016/j.catena.2014.11.012"
"53","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 57","Agua Amarga",57,"Salt marsh",38.28944967,-0.529164857,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.212,1.55,"https://doi.org/10.1016/j.catena.2014.11.012"
"54","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 58","Agua Amarga",58,"Salt marsh",38.28934097,-0.526573379,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.343,1.95,"https://doi.org/10.1016/j.catena.2014.11.012"
"55","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 59","Agua Amarga",59,"Salt marsh",38.28919869,-0.524954807,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.574,2.08,"https://doi.org/10.1016/j.catena.2014.11.012"
"56","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 60","Agua Amarga",60,"Salt marsh",38.28386345,-0.529605838,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.376,1.6,"https://doi.org/10.1016/j.catena.2014.11.012"
"57","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 61","Agua Amarga",61,"Salt marsh",38.28484927,-0.528497822,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.998,1.57,"https://doi.org/10.1016/j.catena.2014.11.012"
"58","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 63","Agua Amarga",63,"Salt marsh",38.29119258,-0.52678488,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.276,1.69,"https://doi.org/10.1016/j.catena.2014.11.012"
