"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","DOI"
"11","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010",0.4,0.7,"EA",5.67,"https://doi.org/10.1007/s11368-016-1500-8"
"12","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010",0.7,1,"EA",7.13,"https://doi.org/10.1007/s11368-016-1500-8"
"13","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010",0,0.18,"EA",2.78,"https://doi.org/10.1007/s11368-016-1500-8"
"14","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010",0.18,0.3,"EA",3.53,"https://doi.org/10.1007/s11368-016-1500-8"
"15","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010",0.3,0.6,"EA",2.51,"https://doi.org/10.1007/s11368-016-1500-8"
"16","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010",0.6,1,"EA",3,"https://doi.org/10.1007/s11368-016-1500-8"
"17","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010",0,0.05,"EA",5.57,"https://doi.org/10.1007/s11368-016-1500-8"
"18","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010",0.05,0.23,"EA",3.2,"https://doi.org/10.1007/s11368-016-1500-8"
"19","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010",0.23,0.5,"EA",1.08,"https://doi.org/10.1007/s11368-016-1500-8"
"20","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010",0.5,0.85,"EA",1.14,"https://doi.org/10.1007/s11368-016-1500-8"
"21","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010",0.85,1,"EA",0.51,"https://doi.org/10.1007/s11368-016-1500-8"
"22","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010",0,0.05,"EA",6.53,"https://doi.org/10.1007/s11368-016-1500-8"
"23","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010",0.05,0.3,"EA",2.51,"https://doi.org/10.1007/s11368-016-1500-8"
"24","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010",0.3,0.62,"EA",1.52,"https://doi.org/10.1007/s11368-016-1500-8"
"25","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010",0.62,1,"EA",0.87,"https://doi.org/10.1007/s11368-016-1500-8"
"26","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010",0,0.05,"EA",6.95,"https://doi.org/10.1007/s11368-016-1500-8"
"27","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010",0.05,0.2,"EA",4.66,"https://doi.org/10.1007/s11368-016-1500-8"
"28","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010",0.2,0.55,"EA",1.82,"https://doi.org/10.1007/s11368-016-1500-8"
"29","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010",0.55,1,"EA",0.78,"https://doi.org/10.1007/s11368-016-1500-8"
"30","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010",0,0.04,"EA",3.95,"https://doi.org/10.1007/s11368-016-1500-8"
"31","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010",0.04,0.2,"EA",0.76,"https://doi.org/10.1007/s11368-016-1500-8"
"32","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010",0.2,0.36,"EA",0.18,"https://doi.org/10.1007/s11368-016-1500-8"
"33","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010",0.36,0.6,"EA",1.36,"https://doi.org/10.1007/s11368-016-1500-8"
"34","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010",0.6,0.8,"EA",1.69,"https://doi.org/10.1007/s11368-016-1500-8"
"35","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010",0.8,1,"EA",1.07,"https://doi.org/10.1007/s11368-016-1500-8"
"36","Hansen et al 2016","KH 3b","Elbe Estuary","3b","Salt marsh",53.8640975049816,9.20956642309561,"estimated from GEE","2","Germany","2010",0,0.05,"EA",3.8,"https://doi.org/10.1007/s11368-016-1500-8"
"37","Hansen et al 2016","KH 3b","Elbe Estuary","3b","Salt marsh",53.8640975049816,9.20956642309561,"estimated from GEE","2","Germany","2010",0.05,0.2,"EA",1.82,"https://doi.org/10.1007/s11368-016-1500-8"
"38","Hansen et al 2016","KH 3b","Elbe Estuary","3b","Salt marsh",53.8640975049816,9.20956642309561,"estimated from GEE","2","Germany","2010",0.2,0.5,"EA",1.18,"https://doi.org/10.1007/s11368-016-1500-8"
"39","Hansen et al 2016","KH 3b","Elbe Estuary","3b","Salt marsh",53.8640975049816,9.20956642309561,"estimated from GEE","2","Germany","2010",0.5,1,"EA",0.59,"https://doi.org/10.1007/s11368-016-1500-8"
"40","Hansen et al 2016","KH 3c","Elbe Estuary","3c","Salt marsh",53.8638758765474,9.20962152549155,"estimated from GEE","2","Germany","2010",0,0.2,"EA",2.94,"https://doi.org/10.1007/s11368-016-1500-8"
"41","Hansen et al 2016","KH 3c","Elbe Estuary","3c","Salt marsh",53.8638758765474,9.20962152549155,"estimated from GEE","2","Germany","2010",0.2,0.9,"EA",0.86,"https://doi.org/10.1007/s11368-016-1500-8"
"42","Hansen et al 2016","KH 3c","Elbe Estuary","3c","Salt marsh",53.8638758765474,9.20962152549155,"estimated from GEE","2","Germany","2010",0.9,1,"EA",1.18,"https://doi.org/10.1007/s11368-016-1500-8"
"43","Hansen et al 2016","KH 4a","Elbe Estuary","4a","Salt marsh",53.8982285221914,9.03338216918107,"estimated from GEE","2","Germany","2010",0,0.1,"EA",2.21,"https://doi.org/10.1007/s11368-016-1500-8"
"44","Hansen et al 2016","KH 4a","Elbe Estuary","4a","Salt marsh",53.8982285221914,9.03338216918107,"estimated from GEE","2","Germany","2010",0.1,0.2,"EA",0.47,"https://doi.org/10.1007/s11368-016-1500-8"
"45","Hansen et al 2016","KH 4a","Elbe Estuary","4a","Salt marsh",53.8982285221914,9.03338216918107,"estimated from GEE","2","Germany","2010",0.2,0.4,"EA",1.37,"https://doi.org/10.1007/s11368-016-1500-8"
"46","Hansen et al 2016","KH 4a","Elbe Estuary","4a","Salt marsh",53.8982285221914,9.03338216918107,"estimated from GEE","2","Germany","2010",0.4,0.7,"EA",0.85,"https://doi.org/10.1007/s11368-016-1500-8"
"47","Hansen et al 2016","KH 4a","Elbe Estuary","4a","Salt marsh",53.8982285221914,9.03338216918107,"estimated from GEE","2","Germany","2010",0.7,1,"EA",0.41,"https://doi.org/10.1007/s11368-016-1500-8"
"48","Hansen et al 2016","KH 4b","Elbe Estuary","4b","Salt marsh",53.8988816172873,9.03324791733341,"estimated from GEE","2","Germany","2010",0,0.1,"EA",1.27,"https://doi.org/10.1007/s11368-016-1500-8"
"49","Hansen et al 2016","KH 4b","Elbe Estuary","4b","Salt marsh",53.8988816172873,9.03324791733341,"estimated from GEE","2","Germany","2010",0.1,0.2,"EA",2.13,"https://doi.org/10.1007/s11368-016-1500-8"
"50","Hansen et al 2016","KH 4b","Elbe Estuary","4b","Salt marsh",53.8988816172873,9.03324791733341,"estimated from GEE","2","Germany","2010",0.2,0.34,"EA",1.19,"https://doi.org/10.1007/s11368-016-1500-8"
"51","Hansen et al 2016","KH 4b","Elbe Estuary","4b","Salt marsh",53.8988816172873,9.03324791733341,"estimated from GEE","2","Germany","2010",0.34,0.45,"EA",1.79,"https://doi.org/10.1007/s11368-016-1500-8"
"52","Hansen et al 2016","KH 4b","Elbe Estuary","4b","Salt marsh",53.8988816172873,9.03324791733341,"estimated from GEE","2","Germany","2010",0.45,0.7,"EA",1.82,"https://doi.org/10.1007/s11368-016-1500-8"
"53","Hansen et al 2016","KH 4b","Elbe Estuary","4b","Salt marsh",53.8988816172873,9.03324791733341,"estimated from GEE","2","Germany","2010",0.7,1,"EA",0.86,"https://doi.org/10.1007/s11368-016-1500-8"
"54","Hansen et al 2016","KH 4c","Elbe Estuary","4c","Salt marsh",53.8992030613075,9.03319220150781,"estimated from GEE","2","Germany","2010",0,0.17,"EA",4.1,"https://doi.org/10.1007/s11368-016-1500-8"
"55","Hansen et al 2016","KH 4c","Elbe Estuary","4c","Salt marsh",53.8992030613075,9.03319220150781,"estimated from GEE","2","Germany","2010",0.17,0.4,"EA",2.12,"https://doi.org/10.1007/s11368-016-1500-8"
"56","Hansen et al 2016","KH 4c","Elbe Estuary","4c","Salt marsh",53.8992030613075,9.03319220150781,"estimated from GEE","2","Germany","2010",0.4,0.5,"EA",1.81,"https://doi.org/10.1007/s11368-016-1500-8"
"57","Hansen et al 2016","KH 4c","Elbe Estuary","4c","Salt marsh",53.8992030613075,9.03319220150781,"estimated from GEE","2","Germany","2010",0.5,0.7,"EA",2.25,"https://doi.org/10.1007/s11368-016-1500-8"
"58","Hansen et al 2016","KH 4c","Elbe Estuary","4c","Salt marsh",53.8992030613075,9.03319220150781,"estimated from GEE","2","Germany","2010",0.7,1,"EA",2.72,"https://doi.org/10.1007/s11368-016-1500-8"
"59","Hansen et al 2016","KH 4d","Elbe Estuary","4d","Salt marsh",53.9000582894316,9.03338453643778,"estimated from GEE","2","Germany","2010",0,0.09,"EA",4.56,"https://doi.org/10.1007/s11368-016-1500-8"
"60","Hansen et al 2016","KH 4d","Elbe Estuary","4d","Salt marsh",53.9000582894316,9.03338453643778,"estimated from GEE","2","Germany","2010",0.09,0.26,"EA",2.01,"https://doi.org/10.1007/s11368-016-1500-8"
"61","Hansen et al 2016","KH 4d","Elbe Estuary","4d","Salt marsh",53.9000582894316,9.03338453643778,"estimated from GEE","2","Germany","2010",0.26,0.39,"EA",3.05,"https://doi.org/10.1007/s11368-016-1500-8"
"62","Hansen et al 2016","KH 4d","Elbe Estuary","4d","Salt marsh",53.9000582894316,9.03338453643778,"estimated from GEE","2","Germany","2010",0.39,0.54,"EA",2.04,"https://doi.org/10.1007/s11368-016-1500-8"
"63","Hansen et al 2016","KH 4d","Elbe Estuary","4d","Salt marsh",53.9000582894316,9.03338453643778,"estimated from GEE","2","Germany","2010",0.54,0.71,"EA",1.49,"https://doi.org/10.1007/s11368-016-1500-8"
"64","Hansen et al 2016","KH 4d","Elbe Estuary","4d","Salt marsh",53.9000582894316,9.03338453643778,"estimated from GEE","2","Germany","2010",0.71,1,"EA",1.04,"https://doi.org/10.1007/s11368-016-1500-8"
"65","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0,0.06,"EA",5.18,"https://doi.org/10.1007/s11368-016-1500-8"
"66","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.06,0.15,"EA",2.96,"https://doi.org/10.1007/s11368-016-1500-8"
"67","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.15,0.26,"EA",2.71,"https://doi.org/10.1007/s11368-016-1500-8"
"68","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.26,0.33,"EA",1.51,"https://doi.org/10.1007/s11368-016-1500-8"
"69","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.33,0.4,"EA",2.1,"https://doi.org/10.1007/s11368-016-1500-8"
"70","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.4,0.49,"EA",1.75,"https://doi.org/10.1007/s11368-016-1500-8"
"71","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.49,0.63,"EA",3.19,"https://doi.org/10.1007/s11368-016-1500-8"
"72","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.63,0.8,"EA",3.92,"https://doi.org/10.1007/s11368-016-1500-8"
"73","Hansen et al 2016","KH 4e","Elbe Estuary","4e","Salt marsh",53.9004778427768,9.033192864916,"estimated from GEE","2","Germany","2010",0.8,1,"EA",3.18,"https://doi.org/10.1007/s11368-016-1500-8"
"74","Hansen et al 2016","KH 5a","Elbe Estuary","5a","Salt marsh",53.971110902912,8.87265086909591,"estimated from GEE","2","Germany","2010",0,0.1,"EA",2.38,"https://doi.org/10.1007/s11368-016-1500-8"
"75","Hansen et al 2016","KH 5a","Elbe Estuary","5a","Salt marsh",53.971110902912,8.87265086909591,"estimated from GEE","2","Germany","2010",0.1,0.2,"EA",0.97,"https://doi.org/10.1007/s11368-016-1500-8"
"76","Hansen et al 2016","KH 5a","Elbe Estuary","5a","Salt marsh",53.971110902912,8.87265086909591,"estimated from GEE","2","Germany","2010",0.2,0.46,"EA",0.44,"https://doi.org/10.1007/s11368-016-1500-8"
"77","Hansen et al 2016","KH 5a","Elbe Estuary","5a","Salt marsh",53.971110902912,8.87265086909591,"estimated from GEE","2","Germany","2010",0.46,0.55,"EA",0.2,"https://doi.org/10.1007/s11368-016-1500-8"
"78","Hansen et al 2016","KH 5a","Elbe Estuary","5a","Salt marsh",53.971110902912,8.87265086909591,"estimated from GEE","2","Germany","2010",0.55,0.7,"EA",0.15,"https://doi.org/10.1007/s11368-016-1500-8"
"79","Hansen et al 2016","KH 5a","Elbe Estuary","5a","Salt marsh",53.971110902912,8.87265086909591,"estimated from GEE","2","Germany","2010",0.7,1,"EA",0.17,"https://doi.org/10.1007/s11368-016-1500-8"
"80","Hansen et al 2016","KH 5b","Elbe Estuary","5b","Salt marsh",53.972034688639,8.87259236853923,"estimated from GEE","2","Germany","2010",0,0.12,"EA",1.53,"https://doi.org/10.1007/s11368-016-1500-8"
"81","Hansen et al 2016","KH 5b","Elbe Estuary","5b","Salt marsh",53.972034688639,8.87259236853923,"estimated from GEE","2","Germany","2010",0.12,0.3,"EA",0.52,"https://doi.org/10.1007/s11368-016-1500-8"
"82","Hansen et al 2016","KH 5b","Elbe Estuary","5b","Salt marsh",53.972034688639,8.87259236853923,"estimated from GEE","2","Germany","2010",0.3,0.5,"EA",0.29,"https://doi.org/10.1007/s11368-016-1500-8"
"83","Hansen et al 2016","KH 5b","Elbe Estuary","5b","Salt marsh",53.972034688639,8.87259236853923,"estimated from GEE","2","Germany","2010",0.5,0.7,"EA",0.28,"https://doi.org/10.1007/s11368-016-1500-8"
"84","Hansen et al 2016","KH 5b","Elbe Estuary","5b","Salt marsh",53.972034688639,8.87259236853923,"estimated from GEE","2","Germany","2010",0.7,1,"EA",0.18,"https://doi.org/10.1007/s11368-016-1500-8"
"85","Hansen et al 2016","KH 5c","Elbe Estuary","5c","Salt marsh",53.9739189888915,8.87870279391589,"estimated from GEE","2","Germany","2010",0,0.06,"EA",2.3,"https://doi.org/10.1007/s11368-016-1500-8"
"86","Hansen et al 2016","KH 5c","Elbe Estuary","5c","Salt marsh",53.9739189888915,8.87870279391589,"estimated from GEE","2","Germany","2010",0.06,0.1,"EA",0.51,"https://doi.org/10.1007/s11368-016-1500-8"
"87","Hansen et al 2016","KH 5c","Elbe Estuary","5c","Salt marsh",53.9739189888915,8.87870279391589,"estimated from GEE","2","Germany","2010",0.1,0.3,"EA",0.75,"https://doi.org/10.1007/s11368-016-1500-8"
"88","Hansen et al 2016","KH 5c","Elbe Estuary","5c","Salt marsh",53.9739189888915,8.87870279391589,"estimated from GEE","2","Germany","2010",0.3,0.57,"EA",0.76,"https://doi.org/10.1007/s11368-016-1500-8"
"89","Hansen et al 2016","KH 5c","Elbe Estuary","5c","Salt marsh",53.9739189888915,8.87870279391589,"estimated from GEE","2","Germany","2010",0.57,0.75,"EA",0.23,"https://doi.org/10.1007/s11368-016-1500-8"
"90","Hansen et al 2016","KH 5c","Elbe Estuary","5c","Salt marsh",53.9739189888915,8.87870279391589,"estimated from GEE","2","Germany","2010",0.75,1,"EA",0.22,"https://doi.org/10.1007/s11368-016-1500-8"
"91","Hansen et al 2016","KH 5d","Elbe Estuary","5d","Salt marsh",53.9740167544808,8.88228735036056,"estimated from GEE","2","Germany","2010",0,0.02,"EA",4.44,"https://doi.org/10.1007/s11368-016-1500-8"
"92","Hansen et al 2016","KH 5d","Elbe Estuary","5d","Salt marsh",53.9740167544808,8.88228735036056,"estimated from GEE","2","Germany","2010",0.02,0.13,"EA",1.51,"https://doi.org/10.1007/s11368-016-1500-8"
"93","Hansen et al 2016","KH 5d","Elbe Estuary","5d","Salt marsh",53.9740167544808,8.88228735036056,"estimated from GEE","2","Germany","2010",0.13,0.28,"EA",1.18,"https://doi.org/10.1007/s11368-016-1500-8"
"94","Hansen et al 2016","KH 5d","Elbe Estuary","5d","Salt marsh",53.9740167544808,8.88228735036056,"estimated from GEE","2","Germany","2010",0.28,0.45,"EA",0.58,"https://doi.org/10.1007/s11368-016-1500-8"
"95","Hansen et al 2016","KH 5d","Elbe Estuary","5d","Salt marsh",53.9740167544808,8.88228735036056,"estimated from GEE","2","Germany","2010",0.45,1,"EA",0.57,"https://doi.org/10.1007/s11368-016-1500-8"
"96","Hansen et al 2016","KH 5e","Elbe Estuary","5e","Salt marsh",53.9773701485272,8.89552719347991,"estimated from GEE","2","Germany","2010",0,0.05,"EA",3.92,"https://doi.org/10.1007/s11368-016-1500-8"
"97","Hansen et al 2016","KH 5e","Elbe Estuary","5e","Salt marsh",53.9773701485272,8.89552719347991,"estimated from GEE","2","Germany","2010",0.05,0.18,"EA",1.5,"https://doi.org/10.1007/s11368-016-1500-8"
"98","Hansen et al 2016","KH 5e","Elbe Estuary","5e","Salt marsh",53.9773701485272,8.89552719347991,"estimated from GEE","2","Germany","2010",0.18,0.4,"EA",1.05,"https://doi.org/10.1007/s11368-016-1500-8"
"99","Hansen et al 2016","KH 5e","Elbe Estuary","5e","Salt marsh",53.9773701485272,8.89552719347991,"estimated from GEE","2","Germany","2010",0.4,0.8,"EA",1.55,"https://doi.org/10.1007/s11368-016-1500-8"
"100","Hansen et al 2016","KH 5e","Elbe Estuary","5e","Salt marsh",53.9773701485272,8.89552719347991,"estimated from GEE","2","Germany","2010",0.8,1,"EA",0.64,"https://doi.org/10.1007/s11368-016-1500-8"
"101","Hansen et al 2016","KH 5f","Elbe Estuary","5f","Salt marsh",53.9718797966746,8.88377043401758,"estimated from GEE","2","Germany","2010",0,0.01,"EA",3.48,"https://doi.org/10.1007/s11368-016-1500-8"
"102","Hansen et al 2016","KH 5f","Elbe Estuary","5f","Salt marsh",53.9718797966746,8.88377043401758,"estimated from GEE","2","Germany","2010",0.01,0.03,"EA",1.35,"https://doi.org/10.1007/s11368-016-1500-8"
"103","Hansen et al 2016","KH 5f","Elbe Estuary","5f","Salt marsh",53.9718797966746,8.88377043401758,"estimated from GEE","2","Germany","2010",0.03,0.06,"EA",1.99,"https://doi.org/10.1007/s11368-016-1500-8"
"104","Hansen et al 2016","KH 5f","Elbe Estuary","5f","Salt marsh",53.9718797966746,8.88377043401758,"estimated from GEE","2","Germany","2010",0.06,0.12,"EA",0.58,"https://doi.org/10.1007/s11368-016-1500-8"
"105","Hansen et al 2016","KH 5f","Elbe Estuary","5f","Salt marsh",53.9718797966746,8.88377043401758,"estimated from GEE","2","Germany","2010",0.12,0.4,"EA",0.62,"https://doi.org/10.1007/s11368-016-1500-8"
"106","Hansen et al 2016","KH 5f","Elbe Estuary","5f","Salt marsh",53.9718797966746,8.88377043401758,"estimated from GEE","2","Germany","2010",0.4,1,"EA",0.6,"https://doi.org/10.1007/s11368-016-1500-8"
"107","Hansen et al 2016","KH 5g","Elbe Estuary","5g","Salt marsh",53.9752156899983,8.89780729531603,"estimated from GEE","2","Germany","2010",0,0.05,"EA",5.99,"https://doi.org/10.1007/s11368-016-1500-8"
"108","Hansen et al 2016","KH 5g","Elbe Estuary","5g","Salt marsh",53.9752156899983,8.89780729531603,"estimated from GEE","2","Germany","2010",0.05,0.18,"EA",1.89,"https://doi.org/10.1007/s11368-016-1500-8"
"109","Hansen et al 2016","KH 5g","Elbe Estuary","5g","Salt marsh",53.9752156899983,8.89780729531603,"estimated from GEE","2","Germany","2010",0.18,0.5,"EA",1.44,"https://doi.org/10.1007/s11368-016-1500-8"
"110","Hansen et al 2016","KH 5g","Elbe Estuary","5g","Salt marsh",53.9752156899983,8.89780729531603,"estimated from GEE","2","Germany","2010",0.5,0.7,"EA",0.99,"https://doi.org/10.1007/s11368-016-1500-8"
"111","Hansen et al 2016","KH 5g","Elbe Estuary","5g","Salt marsh",53.9752156899983,8.89780729531603,"estimated from GEE","2","Germany","2010",0.7,1,"EA",0.44,"https://doi.org/10.1007/s11368-016-1500-8"
