"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","SOM_perc","BD_reported_g_cm3","Conv_factor","DOI"
"11","Yando et al 2016","ESY LASM1","LASM1","LASM1","Saltmarsh","29.106276","-90.201281","direct from dataset","1","United States","Louisiana","2012",0.05,0.15,"LOI","9.05","1.07",NA,"https://doi.org/10.1111/1365-2745.12571"
"12","Yando et al 2016","ESY LASM1","LASM1","LASM1","Saltmarsh","29.106276","-90.201281","direct from dataset","1","United States","Louisiana","2012",0.15,0.3,"LOI","5.66","0.26",NA,"https://doi.org/10.1111/1365-2745.12571"
"13","Yando et al 2016","ESY LASM3","LASM3","LASM3","Saltmarsh","29.151569","-90.227913","direct from dataset","1","United States","Louisiana","2012",0,0.05,"LOI","11.46","0.47",NA,"https://doi.org/10.1111/1365-2745.12571"
"14","Yando et al 2016","ESY LASM3","LASM3","LASM3","Saltmarsh","29.151569","-90.227913","direct from dataset","1","United States","Louisiana","2012",0.05,0.15,"LOI","13.54","0.35",NA,"https://doi.org/10.1111/1365-2745.12571"
"15","Yando et al 2016","ESY LASM3","LASM3","LASM3","Saltmarsh","29.151569","-90.227913","direct from dataset","1","United States","Louisiana","2012",0.15,0.3,"LOI","19.15","0.29",NA,"https://doi.org/10.1111/1365-2745.12571"
"16","Yando et al 2016","ESY LASM4","LASM4","LASM4","Saltmarsh","29.150944","-90.228611","direct from dataset","1","United States","Louisiana","2013",0,0.05,"LOI","12.56","0.31",NA,"https://doi.org/10.1111/1365-2745.12571"
"17","Yando et al 2016","ESY LASM4","LASM4","LASM4","Saltmarsh","29.150944","-90.228611","direct from dataset","1","United States","Louisiana","2013",0.05,0.15,"LOI","13.45","0.38",NA,"https://doi.org/10.1111/1365-2745.12571"
"18","Yando et al 2016","ESY LASM4","LASM4","LASM4","Saltmarsh","29.150944","-90.228611","direct from dataset","1","United States","Louisiana","2013",0.15,0.3,"LOI","15.02","0.37",NA,"https://doi.org/10.1111/1365-2745.12571"
"19","Yando et al 2016","ESY TXSM1","TXSM1","TXSM1","Saltmarsh","27.860902","-97.071617","direct from dataset","1","United States","Texas","2013",0,0.05,"LOI","2.18","1.19",NA,"https://doi.org/10.1111/1365-2745.12571"
"20","Yando et al 2016","ESY TXSM1","TXSM1","TXSM1","Saltmarsh","27.860902","-97.071617","direct from dataset","1","United States","Texas","2013",0.05,0.15,"LOI","2.11","1.26",NA,"https://doi.org/10.1111/1365-2745.12571"
"21","Yando et al 2016","ESY TXSM1","TXSM1","TXSM1","Saltmarsh","27.860902","-97.071617","direct from dataset","1","United States","Texas","2013",0.15,0.3,"LOI","1.36","1.45",NA,"https://doi.org/10.1111/1365-2745.12571"
"22","Yando et al 2016","ESY TXSM2","TXSM2","TXSM2","Saltmarsh","27.877805","-97.05217","direct from dataset","1","United States","Texas","2013",0,0.05,"LOI","1.79","1.2",NA,"https://doi.org/10.1111/1365-2745.12571"
"23","Yando et al 2016","ESY TXSM2","TXSM2","TXSM2","Saltmarsh","27.877805","-97.05217","direct from dataset","1","United States","Texas","2013",0.05,0.15,"LOI","1.75","1.37",NA,"https://doi.org/10.1111/1365-2745.12571"
"24","Yando et al 2016","ESY TXSM2","TXSM2","TXSM2","Saltmarsh","27.877805","-97.05217","direct from dataset","1","United States","Texas","2013",0.15,0.3,"LOI","1.35","1.39",NA,"https://doi.org/10.1111/1365-2745.12571"
"25","Yando et al 2016","ESY TXSM3","TXSM3","TXSM3","Saltmarsh","27.877638","-97.051912","direct from dataset","1","United States","Texas","2013",0,0.05,"LOI","1.78","1.06",NA,"https://doi.org/10.1111/1365-2745.12571"
"26","Yando et al 2016","ESY TXSM3","TXSM3","TXSM3","Saltmarsh","27.877638","-97.051912","direct from dataset","1","United States","Texas","2013",0.05,0.15,"LOI","1.33","1.36",NA,"https://doi.org/10.1111/1365-2745.12571"
"27","Yando et al 2016","ESY TXSM3","TXSM3","TXSM3","Saltmarsh","27.877638","-97.051912","direct from dataset","1","United States","Texas","2013",0.15,0.3,"LOI","1.3","1.32",NA,"https://doi.org/10.1111/1365-2745.12571"
