"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","OC_perc_se","DOI"
"14","Ferronato et al 2019","CF SAS B","Baiona lagoon","SAS B","Subaqueous tidal marsh",44.492528,12.248847,"direct from dataset","1","Italy","2015",0.05,0.8,"CF-IRMS",0.362,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"15","Ferronato et al 2019","CF SAS B","Baiona lagoon","SAS B","Subaqueous tidal marsh",44.492528,12.248847,"direct from dataset","1","Italy","2015",0.8,1.18,"CF-IRMS",0.368,0.054,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"16","Ferronato et al 2019","CF SAS C","Baiona lagoon","SAS C","Subaqueous tidal marsh",44.498739,12.263045,"direct from dataset","1","Italy","2015",0,0.05,"CF-IRMS",7.37,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"17","Ferronato et al 2019","CF SAS C","Baiona lagoon","SAS C","Subaqueous tidal marsh",44.498739,12.263045,"direct from dataset","1","Italy","2015",0.05,0.8,"CF-IRMS",0.746,0.061,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"18","Ferronato et al 2019","CF SAS C","Baiona lagoon","SAS C","Subaqueous tidal marsh",44.498739,12.263045,"direct from dataset","1","Italy","2015",0.8,1.18,"CF-IRMS",0.247,0.036,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"19","Ferronato et al 2019","CF TES A","Baiona lagoon","TES A","Terrestrial tidal marsh",44.51389,12.26304,"direct from dataset","1","Italy","2015",0,0.11,"CF-IRMS",1.22,0.054,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"20","Ferronato et al 2019","CF TES A","Baiona lagoon","TES A","Terrestrial tidal marsh",44.51389,12.26304,"direct from dataset","1","Italy","2015",0.11,0.28,"CF-IRMS",0.343,0.022,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"21","Ferronato et al 2019","CF TES A","Baiona lagoon","TES A","Terrestrial tidal marsh",44.51389,12.26304,"direct from dataset","1","Italy","2015",0.28,1,"CF-IRMS",0.132,0.169,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"22","Ferronato et al 2019","CF TES B","Baiona lagoon","TES B","Terrestrial tidal marsh",44.492892,12.249031,"direct from dataset","1","Italy","2015",0,0.11,"CF-IRMS",8.394,2.304,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"23","Ferronato et al 2019","CF TES B","Baiona lagoon","TES B","Terrestrial tidal marsh",44.492892,12.249031,"direct from dataset","1","Italy","2015",0.11,0.28,"CF-IRMS",0.756,0.104,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"24","Ferronato et al 2019","CF TES B","Baiona lagoon","TES B","Terrestrial tidal marsh",44.492892,12.249031,"direct from dataset","1","Italy","2015",0.28,1,"CF-IRMS",0.533,0.031,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"25","Ferronato et al 2019","CF TES C","Baiona lagoon","TES C","Terrestrial tidal marsh",44.49891,12.263037,"direct from dataset","1","Italy","2015",0,0.11,"CF-IRMS",4.611,2.405,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"26","Ferronato et al 2019","CF TES C","Baiona lagoon","TES C","Terrestrial tidal marsh",44.49891,12.263037,"direct from dataset","1","Italy","2015",0.11,0.28,"CF-IRMS",0.593,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
"27","Ferronato et al 2019","CF TES C","Baiona lagoon","TES C","Terrestrial tidal marsh",44.49891,12.263037,"direct from dataset","1","Italy","2015",0.28,1,"CF-IRMS",0.59,NA,"https://doi.org/10.1016/j.geoderma.2018.12.019"
