"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","N_perc","DOI"
"17","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-0.915533333,-46.72398333,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.35,1.36,0.025,"https://doi.org/10.17528/CIFOR/DATA.00244"
"18","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-0.915533333,-46.72398333,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.45,1.6,0.054,"https://doi.org/10.17528/CIFOR/DATA.00244"
"19","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-0.915533333,-46.72398333,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.29,1.61,0.038,"https://doi.org/10.17528/CIFOR/DATA.00244"
"20","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-0.915533333,-46.72398333,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.19,1.66,0.027,"https://doi.org/10.17528/CIFOR/DATA.00244"
"21","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-0.915466667,-46.67931667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",4.16,0.86,0.436,"https://doi.org/10.17528/CIFOR/DATA.00244"
"22","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-0.915466667,-46.67931667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.44,1.49,0.047,"https://doi.org/10.17528/CIFOR/DATA.00244"
"23","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-0.915466667,-46.67931667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.31,1.74,0.042,"https://doi.org/10.17528/CIFOR/DATA.00244"
"24","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-0.915466667,-46.67931667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.49,1.66,0.057,"https://doi.org/10.17528/CIFOR/DATA.00244"
"25","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-0.915466667,-46.67931667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.15,1.84,0.027,"https://doi.org/10.17528/CIFOR/DATA.00244"
"26","Kauffman et al 2020","JBK Marisma High 6","Marisma High",6,"Marshes",-0.915416667,-46.67918333,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",6.47,0.9,0.638,"https://doi.org/10.17528/CIFOR/DATA.00244"
"27","Kauffman et al 2020","JBK Marisma High 6","Marisma High",6,"Marshes",-0.915416667,-46.67918333,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.55,1.76,0.076,"https://doi.org/10.17528/CIFOR/DATA.00244"
"28","Kauffman et al 2020","JBK Marisma High 6","Marisma High",6,"Marshes",-0.915416667,-46.67918333,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.4,1.6,0.05,"https://doi.org/10.17528/CIFOR/DATA.00244"
"29","Kauffman et al 2020","JBK Marisma High 6","Marisma High",6,"Marshes",-0.915416667,-46.67918333,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.17,1.8,0.03,"https://doi.org/10.17528/CIFOR/DATA.00244"
"30","Kauffman et al 2020","JBK Marisma High 6","Marisma High",6,"Marshes",-0.915416667,-46.67918333,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.18,1.54,0,"https://doi.org/10.17528/CIFOR/DATA.00244"
"31","Kauffman et al 2020","JBK Marisma Low 1","Marisma Low",1,"Marshes",-0.913533333,-46.6791,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",1.193,0.84,0.096,"https://doi.org/10.17528/CIFOR/DATA.00244"
"32","Kauffman et al 2020","JBK Marisma Low 1","Marisma Low",1,"Marshes",-0.913533333,-46.6791,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.552,1.13,0.043,"https://doi.org/10.17528/CIFOR/DATA.00244"
"33","Kauffman et al 2020","JBK Marisma Low 1","Marisma Low",1,"Marshes",-0.913533333,-46.6791,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.693,0.9,0.066,"https://doi.org/10.17528/CIFOR/DATA.00244"
"34","Kauffman et al 2020","JBK Marisma Low 1","Marisma Low",1,"Marshes",-0.913533333,-46.6791,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.593,1.04,0.05,"https://doi.org/10.17528/CIFOR/DATA.00244"
"35","Kauffman et al 2020","JBK Marisma Low 1","Marisma Low",1,"Marshes",-0.913533333,-46.6791,"direct from dataset","1","Brazil","2017",0.04,3,"EA",1.053,1.09,0.048,"https://doi.org/10.17528/CIFOR/DATA.00244"
"36","Kauffman et al 2020","JBK Marisma Low 2","Marisma Low",2,"Marshes",-0.913683333,-46.67901667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",1.346,0.74,0.117,"https://doi.org/10.17528/CIFOR/DATA.00244"
"37","Kauffman et al 2020","JBK Marisma Low 2","Marisma Low",2,"Marshes",-0.913683333,-46.67901667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.831,1.2,0.064,"https://doi.org/10.17528/CIFOR/DATA.00244"
"38","Kauffman et al 2020","JBK Marisma Low 2","Marisma Low",2,"Marshes",-0.913683333,-46.67901667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.856,1.07,0.069,"https://doi.org/10.17528/CIFOR/DATA.00244"
"39","Kauffman et al 2020","JBK Marisma Low 2","Marisma Low",2,"Marshes",-0.913683333,-46.67901667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",1.071,0.91,0.084,"https://doi.org/10.17528/CIFOR/DATA.00244"
"40","Kauffman et al 2020","JBK Marisma Low 2","Marisma Low",2,"Marshes",-0.913683333,-46.67901667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.83,0.9,0.055,"https://doi.org/10.17528/CIFOR/DATA.00244"
"41","Kauffman et al 2020","JBK Marisma Low 3","Marisma Low",3,"Marshes",-0.913866667,-46.67895,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",0.975,1.06,0.086,"https://doi.org/10.17528/CIFOR/DATA.00244"
"42","Kauffman et al 2020","JBK Marisma Low 3","Marisma Low",3,"Marshes",-0.913866667,-46.67895,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.777,1.1,0.07,"https://doi.org/10.17528/CIFOR/DATA.00244"
"43","Kauffman et al 2020","JBK Marisma Low 3","Marisma Low",3,"Marshes",-0.913866667,-46.67895,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.809,0.96,0.069,"https://doi.org/10.17528/CIFOR/DATA.00244"
"44","Kauffman et al 2020","JBK Marisma Low 3","Marisma Low",3,"Marshes",-0.913866667,-46.67895,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.746,0.88,0.055,"https://doi.org/10.17528/CIFOR/DATA.00244"
"45","Kauffman et al 2020","JBK Marisma Low 3","Marisma Low",3,"Marshes",-0.913866667,-46.67895,"direct from dataset","1","Brazil","2017",0.04,3,"EA",1.98,0.84,0.073,"https://doi.org/10.17528/CIFOR/DATA.00244"
"46","Kauffman et al 2020","JBK Marisma Low 4","Marisma Low",4,"Marshes",-0.914016667,-46.67885,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",2.291,0.66,0.183,"https://doi.org/10.17528/CIFOR/DATA.00244"
"47","Kauffman et al 2020","JBK Marisma Low 4","Marisma Low",4,"Marshes",-0.914016667,-46.67885,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.578,0.81,0.143,"https://doi.org/10.17528/CIFOR/DATA.00244"
"48","Kauffman et al 2020","JBK Marisma Low 4","Marisma Low",4,"Marshes",-0.914016667,-46.67885,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",1.501,0.63,0.117,"https://doi.org/10.17528/CIFOR/DATA.00244"
"49","Kauffman et al 2020","JBK Marisma Low 4","Marisma Low",4,"Marshes",-0.914016667,-46.67885,"direct from dataset","1","Brazil","2017",0.05,1,"EA",2.425,0.76,0.165,"https://doi.org/10.17528/CIFOR/DATA.00244"
"50","Kauffman et al 2020","JBK Marisma Low 4","Marisma Low",4,"Marshes",-0.914016667,-46.67885,"direct from dataset","1","Brazil","2017",0.04,3,"EA",1.48,0.92,0.085,"https://doi.org/10.17528/CIFOR/DATA.00244"
"51","Kauffman et al 2020","JBK Marisma Low 5","Marisma Low",5,"Marshes",-0.9142,-46.67876667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",1.454,0.91,0.129,"https://doi.org/10.17528/CIFOR/DATA.00244"
"52","Kauffman et al 2020","JBK Marisma Low 5","Marisma Low",5,"Marshes",-0.9142,-46.67876667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.97,1.08,0.088,"https://doi.org/10.17528/CIFOR/DATA.00244"
"53","Kauffman et al 2020","JBK Marisma Low 5","Marisma Low",5,"Marshes",-0.9142,-46.67876667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",1,1.13,0.084,"https://doi.org/10.17528/CIFOR/DATA.00244"
"54","Kauffman et al 2020","JBK Marisma Low 5","Marisma Low",5,"Marshes",-0.9142,-46.67876667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.925,0.95,0.07,"https://doi.org/10.17528/CIFOR/DATA.00244"
"55","Kauffman et al 2020","JBK Marisma Low 5","Marisma Low",5,"Marshes",-0.9142,-46.67876667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",1.155,1.02,0.061,"https://doi.org/10.17528/CIFOR/DATA.00244"
"56","Kauffman et al 2020","JBK Marisma Low 6","Marisma Low",6,"Marshes",-0.9144,-46.6815,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",1.201,0.93,0.115,"https://doi.org/10.17528/CIFOR/DATA.00244"
"57","Kauffman et al 2020","JBK Marisma Low 6","Marisma Low",6,"Marshes",-0.9144,-46.6815,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.881,1.25,0.084,"https://doi.org/10.17528/CIFOR/DATA.00244"
"58","Kauffman et al 2020","JBK Marisma Low 6","Marisma Low",6,"Marshes",-0.9144,-46.6815,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.661,1.18,0.056,"https://doi.org/10.17528/CIFOR/DATA.00244"
"59","Kauffman et al 2020","JBK Marisma Low 6","Marisma Low",6,"Marshes",-0.9144,-46.6815,"direct from dataset","1","Brazil","2017",0.05,1,"EA",1.05,0.9,0.078,"https://doi.org/10.17528/CIFOR/DATA.00244"
"60","Kauffman et al 2020","JBK Marisma Low 6","Marisma Low",6,"Marshes",-0.9144,-46.6815,"direct from dataset","1","Brazil","2017",0.04,3,"EA",1.621,0.94,0.058,"https://doi.org/10.17528/CIFOR/DATA.00244"
"61","Kauffman et al 2020","JBK Marisma Medium 1","Marisma Medium",1,"Marshes",-0.91235,-46.68168333,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",2.52,0.98,0.174,"https://doi.org/10.17528/CIFOR/DATA.00244"
"62","Kauffman et al 2020","JBK Marisma Medium 1","Marisma Medium",1,"Marshes",-0.91235,-46.68168333,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.47,1.25,0.115,"https://doi.org/10.17528/CIFOR/DATA.00244"
"63","Kauffman et al 2020","JBK Marisma Medium 1","Marisma Medium",1,"Marshes",-0.91235,-46.68168333,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.79,1.27,0.067,"https://doi.org/10.17528/CIFOR/DATA.00244"
"64","Kauffman et al 2020","JBK Marisma Medium 1","Marisma Medium",1,"Marshes",-0.91235,-46.68168333,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.56,1.12,0.046,"https://doi.org/10.17528/CIFOR/DATA.00244"
"65","Kauffman et al 2020","JBK Marisma Medium 1","Marisma Medium",1,"Marshes",-0.91235,-46.68168333,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.92,0.88,0.058,"https://doi.org/10.17528/CIFOR/DATA.00244"
"66","Kauffman et al 2020","JBK Marisma Medium 2","Marisma Medium",2,"Marshes",-0.912316667,-46.68183333,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",2.02,1.2,0.134,"https://doi.org/10.17528/CIFOR/DATA.00244"
"67","Kauffman et al 2020","JBK Marisma Medium 2","Marisma Medium",2,"Marshes",-0.912316667,-46.68183333,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.89,1.33,0.064,"https://doi.org/10.17528/CIFOR/DATA.00244"
"68","Kauffman et al 2020","JBK Marisma Medium 2","Marisma Medium",2,"Marshes",-0.912316667,-46.68183333,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.46,1.27,0.048,"https://doi.org/10.17528/CIFOR/DATA.00244"
"69","Kauffman et al 2020","JBK Marisma Medium 2","Marisma Medium",2,"Marshes",-0.912316667,-46.68183333,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.46,1.08,0.048,"https://doi.org/10.17528/CIFOR/DATA.00244"
"70","Kauffman et al 2020","JBK Marisma Medium 2","Marisma Medium",2,"Marshes",-0.912316667,-46.68183333,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.66,0.94,0.051,"https://doi.org/10.17528/CIFOR/DATA.00244"
"71","Kauffman et al 2020","JBK Marisma Medium 3","Marisma Medium",3,"Marshes",-0.912266667,-46.682,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",2.26,1.05,0.154,"https://doi.org/10.17528/CIFOR/DATA.00244"
"72","Kauffman et al 2020","JBK Marisma Medium 3","Marisma Medium",3,"Marshes",-0.912266667,-46.682,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.47,1.27,0.098,"https://doi.org/10.17528/CIFOR/DATA.00244"
"73","Kauffman et al 2020","JBK Marisma Medium 3","Marisma Medium",3,"Marshes",-0.912266667,-46.682,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.86,1.34,0.066,"https://doi.org/10.17528/CIFOR/DATA.00244"
"74","Kauffman et al 2020","JBK Marisma Medium 3","Marisma Medium",3,"Marshes",-0.912266667,-46.682,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.51,1.37,0.046,"https://doi.org/10.17528/CIFOR/DATA.00244"
"75","Kauffman et al 2020","JBK Marisma Medium 3","Marisma Medium",3,"Marshes",-0.912266667,-46.682,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.43,1.19,0.035,"https://doi.org/10.17528/CIFOR/DATA.00244"
"76","Kauffman et al 2020","JBK Marisma Medium 4","Marisma Medium",4,"Marshes",-0.912233333,-46.68216667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",1.09,1.29,0.078,"https://doi.org/10.17528/CIFOR/DATA.00244"
"77","Kauffman et al 2020","JBK Marisma Medium 4","Marisma Medium",4,"Marshes",-0.912233333,-46.68216667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.75,1.33,0.058,"https://doi.org/10.17528/CIFOR/DATA.00244"
"78","Kauffman et al 2020","JBK Marisma Medium 4","Marisma Medium",4,"Marshes",-0.912233333,-46.68216667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.45,1.18,0.047,"https://doi.org/10.17528/CIFOR/DATA.00244"
"79","Kauffman et al 2020","JBK Marisma Medium 4","Marisma Medium",4,"Marshes",-0.912233333,-46.68216667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.52,1,0.054,"https://doi.org/10.17528/CIFOR/DATA.00244"
"80","Kauffman et al 2020","JBK Marisma Medium 4","Marisma Medium",4,"Marshes",-0.912233333,-46.68216667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.51,0.91,0.048,"https://doi.org/10.17528/CIFOR/DATA.00244"
"81","Kauffman et al 2020","JBK Marisma Medium 5","Marisma Medium",5,"Marshes",-0.912216667,-46.68236667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",1.64,1.09,0.115,"https://doi.org/10.17528/CIFOR/DATA.00244"
"82","Kauffman et al 2020","JBK Marisma Medium 5","Marisma Medium",5,"Marshes",-0.912216667,-46.68236667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.09,1.13,0.085,"https://doi.org/10.17528/CIFOR/DATA.00244"
"83","Kauffman et al 2020","JBK Marisma Medium 5","Marisma Medium",5,"Marshes",-0.912216667,-46.68236667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.53,1.1,0.048,"https://doi.org/10.17528/CIFOR/DATA.00244"
"84","Kauffman et al 2020","JBK Marisma Medium 5","Marisma Medium",5,"Marshes",-0.912216667,-46.68236667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.73,1.05,0.048,"https://doi.org/10.17528/CIFOR/DATA.00244"
"85","Kauffman et al 2020","JBK Marisma Medium 5","Marisma Medium",5,"Marshes",-0.912216667,-46.68236667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.93,0.8,0.063,"https://doi.org/10.17528/CIFOR/DATA.00244"
"86","Kauffman et al 2020","JBK Marisma Medium 6","Marisma Medium",6,"Marshes",-0.912166667,-46.6523,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",0.9,1.23,0.068,"https://doi.org/10.17528/CIFOR/DATA.00244"
"87","Kauffman et al 2020","JBK Marisma Medium 6","Marisma Medium",6,"Marshes",-0.912166667,-46.6523,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.75,1.39,0.056,"https://doi.org/10.17528/CIFOR/DATA.00244"
"88","Kauffman et al 2020","JBK Marisma Medium 6","Marisma Medium",6,"Marshes",-0.912166667,-46.6523,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.55,1.3,0.047,"https://doi.org/10.17528/CIFOR/DATA.00244"
"89","Kauffman et al 2020","JBK Marisma Medium 6","Marisma Medium",6,"Marshes",-0.912166667,-46.6523,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.59,0.98,0.052,"https://doi.org/10.17528/CIFOR/DATA.00244"
"90","Kauffman et al 2020","JBK Marisma Medium 6","Marisma Medium",6,"Marshes",-0.912166667,-46.6523,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.87,0.77,0.059,"https://doi.org/10.17528/CIFOR/DATA.00244"
