Source,Site_name,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,Season,U_depth_m,L_depth_m,Method,SOM_perc,BD_reported_g_cm3,DOI
Ford et al 2016,HF AH 5,AH,AH_Essex_Winter_5,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,7.43,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 6,AH,AH_Essex_Winter_6,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,6.19,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 6,AH,AH_Essex_Winter_6,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,4.6,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 6,AH,AH_Essex_Winter_6,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,3.76,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 7,AH,AH_Essex_Winter_7,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,7.42,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 7,AH,AH_Essex_Winter_7,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,6.93,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 7,AH,AH_Essex_Winter_7,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,5.57,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 8,AH,AH_Essex_Winter_8,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,5.39,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 8,AH,AH_Essex_Winter_8,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,5.06,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 8,AH,AH_Essex_Winter_8,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,4.9,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 9,AH,AH_Essex_Winter_9,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,8.32,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 9,AH,AH_Essex_Winter_9,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,6.98,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 9,AH,AH_Essex_Winter_9,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,8.85,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 10,AH,AH_Essex_Winter_10,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,10.93,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 10,AH,AH_Essex_Winter_10,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,10.03,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 10,AH,AH_Essex_Winter_10,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,4.94,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 11,AH,AH_Essex_Winter_11,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,6.32,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 11,AH,AH_Essex_Winter_11,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,3.89,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 11,AH,AH_Essex_Winter_11,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,7.53,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 12,AH,AH_Essex_Winter_12,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,9.55,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 12,AH,AH_Essex_Winter_12,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,15.36,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 12,AH,AH_Essex_Winter_12,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,7.57,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 13,AH,AH_Essex_Winter_13,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,5.97,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 13,AH,AH_Essex_Winter_13,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,4.59,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 13,AH,AH_Essex_Winter_13,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,6.68,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 14,AH,AH_Essex_Winter_14,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,10.19,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 14,AH,AH_Essex_Winter_14,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,29.42,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 14,AH,AH_Essex_Winter_14,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,7.34,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 15,AH,AH_Essex_Winter_15,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,10.66,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 15,AH,AH_Essex_Winter_15,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,13.29,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 15,AH,AH_Essex_Winter_15,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,12.09,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 16,AH,AH_Essex_Winter_16,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,18.03,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 16,AH,AH_Essex_Winter_16,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,13.62,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 16,AH,AH_Essex_Winter_16,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,17.29,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 17,AH,AH_Essex_Winter_17,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,11.75,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 17,AH,AH_Essex_Winter_17,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,10.25,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 17,AH,AH_Essex_Winter_17,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,9.51,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 18,AH,AH_Essex_Winter_18,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,5.83,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 18,AH,AH_Essex_Winter_18,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,5.14,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 18,AH,AH_Essex_Winter_18,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,4.45,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 19,AH,AH_Essex_Winter_19,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,6.65,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 19,AH,AH_Essex_Winter_19,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,5.98,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 19,AH,AH_Essex_Winter_19,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,5.72,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 20,AH,AH_Essex_Winter_20,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,8.73,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 20,AH,AH_Essex_Winter_20,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,6.26,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 20,AH,AH_Essex_Winter_20,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,6.26,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 21,AH,AH_Essex_Winter_21,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,11.14,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 21,AH,AH_Essex_Winter_21,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,3.64,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 21,AH,AH_Essex_Winter_21,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,3.15,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 22,AH,AH_Essex_Winter_22,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,13.43,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 22,AH,AH_Essex_Winter_22,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,21.3,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 22,AH,AH_Essex_Winter_22,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,9.58,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 1,AH,AH_Essex_Summer_1,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,11.18,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 1,AH,AH_Essex_Summer_1,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,10.12,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 1,AH,AH_Essex_Summer_1,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,10.14,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 2,AH,AH_Essex_Summer_2,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,14.94,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 2,AH,AH_Essex_Summer_2,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,13.62,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 2,AH,AH_Essex_Summer_2,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,8.28,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 3,AH,AH_Essex_Summer_3,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,16.67,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 3,AH,AH_Essex_Summer_3,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,20.75,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 3,AH,AH_Essex_Summer_3,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,12.93,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 4,AH,AH_Essex_Summer_4,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,12.96,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 4,AH,AH_Essex_Summer_4,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,13.22,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 4,AH,AH_Essex_Summer_4,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,10.73,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 5,AH,AH_Essex_Summer_5,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,11.89,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 5,AH,AH_Essex_Summer_5,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,NA,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 5,AH,AH_Essex_Summer_5,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,8.91,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 6,AH,AH_Essex_Summer_6,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,12.73,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 6,AH,AH_Essex_Summer_6,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,15.47,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 6,AH,AH_Essex_Summer_6,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,17.17,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 7,AH,AH_Essex_Summer_7,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,19.28,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 7,AH,AH_Essex_Summer_7,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,16.91,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 7,AH,AH_Essex_Summer_7,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,12.29,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 8,AH,AH_Essex_Summer_8,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,11.97,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 8,AH,AH_Essex_Summer_8,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,12.32,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 8,AH,AH_Essex_Summer_8,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,11.89,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 9,AH,AH_Essex_Summer_9,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,13.92,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 9,AH,AH_Essex_Summer_9,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,12.39,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 9,AH,AH_Essex_Summer_9,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,11.65,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 10,AH,AH_Essex_Summer_10,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,11.64,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 10,AH,AH_Essex_Summer_10,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,11.98,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 10,AH,AH_Essex_Summer_10,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,10.58,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 11,AH,AH_Essex_Summer_11,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,11.36,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 11,AH,AH_Essex_Summer_11,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,9.99,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF AH 11,AH,AH_Essex_Summer_11,Saltmarsh,51.7833333333333,0.866666666666667,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,10.23,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
