"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"18","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.34,0.36,"EA",1.19,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"19","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.36,0.38,"EA",1.07,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"20","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.38,0.4,"EA",1.06,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"21","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.4,0.42,"EA",1.09,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"22","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.42,0.44,"EA",0.94,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"23","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.44,0.46,"EA",0.92,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"24","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.46,0.48,"EA",0.97,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"25","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.48,0.5,"EA",1.02,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"26","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lacustrine_lagoon_THI","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.5,0.52,"EA",0.84,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"27","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0,0.02,"EA",2.33,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"28","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.02,0.04,"EA",2.06,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"29","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.04,0.06,"EA",2.29,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"30","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.06,0.08,"EA",2.14,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"31","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.08,0.1,"EA",2.76,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"32","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.1,0.12,"EA",2.87,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"33","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.12,0.14,"EA",2.16,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"34","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.14,0.16,"EA",1.97,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"35","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.16,0.18,"EA",2.09,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"36","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.18,0.2,"EA",1.01,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"37","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.2,0.22,"EA",0.66,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"38","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.22,0.24,"EA",0.6,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"39","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.24,0.26,"EA",0.44,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"40","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.26,0.28,"EA",0.29,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"41","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.28,0.3,"EA",0.32,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"42","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.3,0.32,"EA",0.23,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"43","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.32,0.34,"EA",0.24,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"44","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.34,0.36,"EA",0.15,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"45","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.36,0.38,"EA",0.14,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"46","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.38,0.4,"EA",0.08,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
"47","Noguiera et al 2022","JN Lacustrine_lagoon_THIII","Lacustrine lagoon","Lacustrine_lagoon_THIII","Lagoon near marsh",28.0271,-12.2759666666667,"direct from dataset","1","Morocco","2016",0.4,0.42,"EA",0.1,"measured but not in dataset","https://doi.org/10.1594/PANGAEA.925024"
