"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","N_perc","DOI"
"11","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.1,0.11,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"12","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.11,0.12,"EA",13.5143955,36.23202772,1.585,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"13","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.12,0.13,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"14","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.13,0.14,"EA",14.00507996,36.59405941,1.63,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"15","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.14,0.15,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"16","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.15,0.16,"EA",12.6303964,34.76622402,1.63,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"17","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.16,0.17,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"18","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.17,0.18,"EA",11.25571285,32.93838863,1.63,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"19","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.18,0.19,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"20","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.19,0.2,"EA",10.94678886,31.17159873,1.285,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"21","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.2,0.21,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"22","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.21,0.22,"EA",10.63786486,29.40480883,0.94,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"23","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.22,0.23,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"24","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.23,0.24,"EA",9.426891717,26.12584939,0.94,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"25","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.24,0.25,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"26","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.25,0.26,"EA",8.21591857,22.84688995,0.94,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"27","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.26,0.27,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"28","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.27,0.28,"EA",7.88735769,22.13063608,0.925,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"29","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.28,0.29,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"30","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.29,0.3,"EA",7.558796811,21.4143822,0.91,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"31","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.3,0.31,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"32","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.31,0.32,"EA",7.229691646,20.35175979,0.85,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"33","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.32,0.33,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"34","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.33,0.34,"EA",6.900586481,19.28913738,0.79,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"35","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.34,0.35,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"36","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.35,0.36,"EA",8.999870653,24.26270711,1.085,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"37","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.36,0.37,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"38","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.37,0.38,"EA",11.09915482,29.23627685,1.38,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"39","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.38,0.39,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"40","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.39,0.4,"EA",10.79555212,27.97813842,1.335,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"41","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.4,0.41,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"42","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.41,0.42,"EA",10.49194942,26.72,1.29,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"43","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.42,0.43,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"44","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.43,0.44,"EA",10.05554851,26.88491961,1.2,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"45","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.44,0.45,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"46","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.45,0.46,"EA",9.619147589,27.04983923,1.11,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"47","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.46,0.47,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"48","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.47,0.48,"EA",9.895418397,26.62110403,1.115,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"49","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.48,0.49,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"50","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.49,0.5,"EA",10.17168921,26.19236884,1.12,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"51","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.5,0.55,"EA",11.79204392,31.57063931,1.35,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"52","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.55,0.6,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"53","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.6,0.65,"EA",2.707247178,11.51586369,0.28,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"54","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.65,0.7,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"55","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.7,0.75,"EA",4.781184971,16.25246548,0.54,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"56","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.75,0.8,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"57","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.8,0.85,"EA",1.640965251,8.46853977,0.14,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"58","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.85,0.9,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"59","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.9,0.95,"EA",1.362327309,6.954156954,0.11,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"60","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.95,0.98,"EA",2.195327336,8.46581876,0.13,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"61","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0,0.01,"EA",16.6162188,43.43873518,1.85,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"62","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.01,0.02,"EA",19.46985334,48.56355765,1.78,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"63","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.02,0.03,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"64","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.03,0.04,"EA",18.5832904,46.41739847,1.75,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"65","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.04,0.05,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"66","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.05,0.06,"EA",17.69672745,44.27123928,1.72,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"67","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.06,0.07,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"68","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.07,0.08,"EA",13.37282355,34.78431116,1.32,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"69","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.08,0.09,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"70","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.09,0.1,"EA",9.048919649,25.29738303,0.92,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"71","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.1,0.11,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"72","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.11,0.12,"EA",11.25870759,30.790984,1.18,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"73","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.12,0.13,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"74","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.13,0.14,"EA",13.46849553,36.28458498,1.44,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"75","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.14,0.15,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"76","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.15,0.16,"EA",10.28554822,29.44833538,1.145,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"77","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.16,0.17,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"78","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.17,0.18,"EA",7.102600908,22.61208577,0.85,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"79","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.18,0.19,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"80","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.19,0.2,"EA",8.320438301,24.65536343,0.98,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"81","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.2,0.21,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"82","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.21,0.22,"EA",9.538275694,26.69864109,1.11,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"83","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.22,0.23,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"84","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.23,0.24,"EA",10.74267081,29.44629988,1.255,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"85","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.24,0.25,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"86","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.25,0.26,"EA",11.94706593,32.19395866,1.4,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"87","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.26,0.27,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"88","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.27,0.28,"EA",9.793233766,27.6685196,1.13,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"89","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.28,0.29,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"90","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.29,0.3,"EA",7.639401605,23.14308053,0.86,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"91","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.3,0.31,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"92","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.31,0.32,"EA",7.151859808,21.8777829,0.825,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"93","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.32,0.33,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"94","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.33,0.34,"EA",6.664318011,20.61248528,0.79,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"95","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.34,0.35,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"96","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.35,0.36,"EA",10.83182495,30.00796948,1.3,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"97","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.36,0.37,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"98","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.37,0.38,"EA",14.9993319,39.40345369,1.81,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"99","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.38,0.39,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"100","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.39,0.4,"EA",12.03917767,32.55494505,1.435,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"101","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.4,0.41,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"102","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.41,0.42,"EA",9.079023447,25.70643642,1.06,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"103","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.42,0.43,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"104","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.43,0.44,"EA",12.30096342,32.05384517,1.17,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"105","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.44,0.45,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"106","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.45,0.46,"EA",15.52290338,38.40125392,1.28,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
