"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Depth_to_bedrock_m","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"11","Conrad et al 2019","SC Corindi Site 1","Corindi","Site 1","Saltmarsh","-29.98214918238689","153.2255485359246","estimated from GE","2","Australia",2017,3,0.28,0.3,"LOI",0.58,18.77,32.36,0.36,"https://doi.org/10.3389/fmars.2018.00518"
"12","Conrad et al 2019","SC Corindi Site 1","Corindi","Site 1","Saltmarsh","-29.98214918238689","153.2255485359246","estimated from GE","2","Australia",2017,3,0.48,0.5,"LOI",0.58,1.77,3.05,0.92,"https://doi.org/10.3389/fmars.2018.00518"
"13","Conrad et al 2019","SC Corindi Site 2","Corindi","Site 2","Saltmarsh","-29.97604598646839","153.2224732934468","estimated from GE","2","Australia",2017,1.7,0.08,0.1,"LOI",0.58,1.65,2.84,1,"https://doi.org/10.3389/fmars.2018.00518"
"14","Conrad et al 2019","SC Corindi Site 2","Corindi","Site 2","Saltmarsh","-29.97604598646839","153.2224732934468","estimated from GE","2","Australia",2017,1.7,0.26,0.28,"LOI",0.58,1.52,2.62,1.15,"https://doi.org/10.3389/fmars.2018.00518"
"15","Conrad et al 2019","SC Corindi Site 2","Corindi","Site 2","Saltmarsh","-29.97604598646839","153.2224732934468","estimated from GE","2","Australia",2017,1.7,0.48,0.5,"LOI",0.58,1.13,1.95,0.78,"https://doi.org/10.3389/fmars.2018.00518"
"16","Conrad et al 2019","SC Corindi Site 3","Corindi","Site 3","Saltmarsh","-29.97422604374854","153.2163639619591","estimated from GE","2","Australia",2017,3,0.08,0.1,"LOI",0.58,2.04,3.52,0.88,"https://doi.org/10.3389/fmars.2018.00518"
"17","Conrad et al 2019","SC Corindi Site 3","Corindi","Site 3","Saltmarsh","-29.97422604374854","153.2163639619591","estimated from GE","2","Australia",2017,3,0.28,0.3,"LOI",0.58,1.06,1.83,1.2,"https://doi.org/10.3389/fmars.2018.00518"
"18","Conrad et al 2019","SC Corindi Site 3","Corindi","Site 3","Saltmarsh","-29.97422604374854","153.2163639619591","estimated from GE","2","Australia",2017,3,0.48,0.5,"LOI",0.58,1.03,1.78,0.78,"https://doi.org/10.3389/fmars.2018.00518"
"19","Conrad et al 2019","SC Corindi Site 4","Corindi","Site 4","Saltmarsh","-29.97683335444045","153.2086949633706","estimated from GE","2","Australia",2017,1.5,0.08,0.1,"LOI",0.58,6.4,11.03,0.57,"https://doi.org/10.3389/fmars.2018.00518"
"20","Conrad et al 2019","SC Corindi Site 4","Corindi","Site 4","Saltmarsh","-29.97683335444045","153.2086949633706","estimated from GE","2","Australia",2017,1.5,0.28,0.3,"LOI",0.58,1.47,2.53,1.24,"https://doi.org/10.3389/fmars.2018.00518"
"21","Conrad et al 2019","SC Corindi Site 4","Corindi","Site 4","Saltmarsh","-29.97683335444045","153.2086949633706","estimated from GE","2","Australia",2017,1.5,0.48,0.5,"LOI",0.58,1.58,2.72,0.89,"https://doi.org/10.3389/fmars.2018.00518"
"22","Conrad et al 2019","SC Corindi Site 5","Corindi","Site 5","Saltmarsh","-29.98868091031976","153.2097512366367","estimated from GE","2","Australia",2017,0.85,0.08,0.1,"LOI",0.58,1.8,3.1,1.2,"https://doi.org/10.3389/fmars.2018.00518"
"23","Conrad et al 2019","SC Corindi Site 5","Corindi","Site 5","Saltmarsh","-29.98868091031976","153.2097512366367","estimated from GE","2","Australia",2017,0.85,0.28,0.3,"LOI",0.58,1,1.72,1.03,"https://doi.org/10.3389/fmars.2018.00518"
"24","Conrad et al 2019","SC Corindi Site 5","Corindi","Site 5","Saltmarsh","-29.98868091031976","153.2097512366367","estimated from GE","2","Australia",2017,0.85,0.48,0.5,"LOI",0.58,2.2,3.79,0.95,"https://doi.org/10.3389/fmars.2018.00518"
"25","Conrad et al 2019","SC Wooli Site 1","Wooli","Site 1","Saltmarsh","-29.88759127623967","153.2636823400601","estimated from GE","2","Australia",2018,0.97,0.08,0.1,"LOI",0.58,9.3,16.03,1.35,"https://doi.org/10.3389/fmars.2018.00518"
"26","Conrad et al 2019","SC Wooli Site 1","Wooli","Site 1","Saltmarsh","-29.88759127623967","153.2636823400601","estimated from GE","2","Australia",2018,0.97,0.28,0.3,"LOI",0.58,3.3,5.69,1.31,"https://doi.org/10.3389/fmars.2018.00518"
"27","Conrad et al 2019","SC Wooli Site 1","Wooli","Site 1","Saltmarsh","-29.88759127623967","153.2636823400601","estimated from GE","2","Australia",2018,0.97,0.48,0.5,"LOI",0.58,4,6.9,1.12,"https://doi.org/10.3389/fmars.2018.00518"
"28","Conrad et al 2019","SC Wooli Site 3","Wooli","Site 3","Saltmarsh","-29.85863752742738","153.2621673778419","estimated from GE","2","Australia",2018,1.66,0.08,0.1,"LOI",0.58,10.19,17.57,0.49,"https://doi.org/10.3389/fmars.2018.00518"
"29","Conrad et al 2019","SC Wooli Site 3","Wooli","Site 3","Saltmarsh","-29.85863752742738","153.2621673778419","estimated from GE","2","Australia",2018,1.66,0.28,0.3,"LOI",0.58,8.91,15.36,0.52,"https://doi.org/10.3389/fmars.2018.00518"
"30","Conrad et al 2019","SC Wooli Site 3","Wooli","Site 3","Saltmarsh","-29.85863752742738","153.2621673778419","estimated from GE","2","Australia",2018,1.66,0.48,0.5,"LOI",0.58,6.18,10.66,0.43,"https://doi.org/10.3389/fmars.2018.00518"
"31","Conrad et al 2019","SC Wooli Site 5","Wooli","Site 5","Saltmarsh","-29.84363855963511","153.2429509905861","estimated from GE","2","Australia",2018,3,0.08,0.1,"LOI",0.58,5.89,10.16,1.12,"https://doi.org/10.3389/fmars.2018.00518"
"32","Conrad et al 2019","SC Wooli Site 5","Wooli","Site 5","Saltmarsh","-29.84363855963511","153.2429509905861","estimated from GE","2","Australia",2018,3,0.28,0.3,"LOI",0.58,1.32,2.28,1.8,"https://doi.org/10.3389/fmars.2018.00518"
"33","Conrad et al 2019","SC Wooli Site 5","Wooli","Site 5","Saltmarsh","-29.84363855963511","153.2429509905861","estimated from GE","2","Australia",2018,3,0.48,0.5,"LOI",0.58,4.12,7.1,1.04,"https://doi.org/10.3389/fmars.2018.00518"
