"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"13","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",9.676,32.192,0.242,"https://doi.org/10.5194/bg-18-4717-2021"
"14","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",8.612,28.945,0.23,"https://doi.org/10.5194/bg-18-4717-2021"
"15","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",8.508,28.624,0.254,"https://doi.org/10.5194/bg-18-4717-2021"
"16","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",7.596,25.808,0.29,"https://doi.org/10.5194/bg-18-4717-2021"
"17","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.993,14.343,0.277,"https://doi.org/10.5194/bg-18-4717-2021"
"18","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",6.595,22.685,0.293,"https://doi.org/10.5194/bg-18-4717-2021"
"19","Ward et al 2021","MAW Elkhorn Slough SM B","Elkhorn Slough","Elkhorn Slough SM B","Salt Marsh",36.81745,-121.76419,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",7.336,24.998,0.272,"https://doi.org/10.5194/bg-18-4717-2021"
"20","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",10.178,33.72,0.2197,"https://doi.org/10.5194/bg-18-4717-2021"
"21","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",9.021,30.2,0.2368,"https://doi.org/10.5194/bg-18-4717-2021"
"22","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",9.413,31.39,0.2824,"https://doi.org/10.5194/bg-18-4717-2021"
"23","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",6.449,22.22,0.3087,"https://doi.org/10.5194/bg-18-4717-2021"
"24","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",6.574,22.62,0.2879,"https://doi.org/10.5194/bg-18-4717-2021"
"25","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",6.168,21.34,0.3944,"https://doi.org/10.5194/bg-18-4717-2021"
"26","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",6.206,21.46,0.309,"https://doi.org/10.5194/bg-18-4717-2021"
"27","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",9.604,31.97,0.2546,"https://doi.org/10.5194/bg-18-4717-2021"
"28","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",9.234,30.85,0.2243,"https://doi.org/10.5194/bg-18-4717-2021"
"29","Ward et al 2021","MAW Elkhorn Slough SM C","Elkhorn Slough","Elkhorn Slough SM C","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",8.995,30.12,0.2499,"https://doi.org/10.5194/bg-18-4717-2021"
"30","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.207,21.46,0.264,"https://doi.org/10.5194/bg-18-4717-2021"
"31","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",5.94,20.62,0.368,"https://doi.org/10.5194/bg-18-4717-2021"
"32","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.206,18.28,0.393,"https://doi.org/10.5194/bg-18-4717-2021"
"33","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.6,13.05,0.522,"https://doi.org/10.5194/bg-18-4717-2021"
"34","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.826,13.8,0.456,"https://doi.org/10.5194/bg-18-4717-2021"
"35","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",3.606,13.07,0.608,"https://doi.org/10.5194/bg-18-4717-2021"
"36","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",4.593,16.3,0.453,"https://doi.org/10.5194/bg-18-4717-2021"
"37","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.781,10.31,0.665,"https://doi.org/10.5194/bg-18-4717-2021"
"38","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.74,13.51,0.539,"https://doi.org/10.5194/bg-18-4717-2021"
"39","Ward et al 2021","MAW Elkhorn Slough SM D","Elkhorn Slough","Elkhorn Slough SM D","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",4.374,15.59,0.623,"https://doi.org/10.5194/bg-18-4717-2021"
"40","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",5.829,20.26,0.314,"https://doi.org/10.5194/bg-18-4717-2021"
"41","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",4.185,14.97,0.479,"https://doi.org/10.5194/bg-18-4717-2021"
"42","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",3.816,13.76,0.484,"https://doi.org/10.5194/bg-18-4717-2021"
"43","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",4.057,14.55,0.491,"https://doi.org/10.5194/bg-18-4717-2021"
"44","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.147,11.54,0.549,"https://doi.org/10.5194/bg-18-4717-2021"
"45","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",2.858,10.57,0.57,"https://doi.org/10.5194/bg-18-4717-2021"
"46","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",2.944,10.86,0.586,"https://doi.org/10.5194/bg-18-4717-2021"
"47","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",6.51,22.41,0.429,"https://doi.org/10.5194/bg-18-4717-2021"
"48","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",7.71,26.16,0.521,"https://doi.org/10.5194/bg-18-4717-2021"
"49","Ward et al 2021","MAW Elkhorn Slough SM E","Elkhorn Slough","Elkhorn Slough SM E","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",4.202,15.03,0.765,"https://doi.org/10.5194/bg-18-4717-2021"
"50","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",9.132,30.5357,0.2822,"https://doi.org/10.5194/bg-18-4717-2021"
"51","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",2.937,10.8364,0.854,"https://doi.org/10.5194/bg-18-4717-2021"
"52","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",2.228,8.4175,0.4929,"https://doi.org/10.5194/bg-18-4717-2021"
"53","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",1.269,5.0334,0.9025,"https://doi.org/10.5194/bg-18-4717-2021"
"54","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",0.922,3.7597,1.3789,"https://doi.org/10.5194/bg-18-4717-2021"
"55","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",0.517,2.2177,1.6194,"https://doi.org/10.5194/bg-18-4717-2021"
"56","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",0.405,1.7757,1.7041,"https://doi.org/10.5194/bg-18-4717-2021"
"57","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",0.309,1.3856,1.8001,"https://doi.org/10.5194/bg-18-4717-2021"
"58","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",0.152,0.7266,1.6676,"https://doi.org/10.5194/bg-18-4717-2021"
"59","Ward et al 2021","MAW Newport Bay SM A","Newport Bay","Newport Bay SM A","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",0.076,0.3858,1.7516,"https://doi.org/10.5194/bg-18-4717-2021"
"60","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.271,21.662,0.5044,"https://doi.org/10.5194/bg-18-4717-2021"
"61","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",3.894,14.02,0.652,"https://doi.org/10.5194/bg-18-4717-2021"
"62","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.295,18.563,0.3954,"https://doi.org/10.5194/bg-18-4717-2021"
"63","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",1.788,6.886,0.7618,"https://doi.org/10.5194/bg-18-4717-2021"
"64","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",0.403,1.767,1.305,"https://doi.org/10.5194/bg-18-4717-2021"
"65","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",0.287,1.296,1.425,"https://doi.org/10.5194/bg-18-4717-2021"
"66","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",0.32,1.433,1.505,"https://doi.org/10.5194/bg-18-4717-2021"
"67","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",0.214,0.989,1.63,"https://doi.org/10.5194/bg-18-4717-2021"
"68","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",0.058,0.3,1.853,"https://doi.org/10.5194/bg-18-4717-2021"
"69","Ward et al 2021","MAW Newport Bay SM B","Newport Bay","Newport Bay SM B","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",0.111,0.545,1.7811,"https://doi.org/10.5194/bg-18-4717-2021"
"70","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",11.297,37.085,0.288,"https://doi.org/10.5194/bg-18-4717-2021"
"71","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",5.39,18.866,0.495,"https://doi.org/10.5194/bg-18-4717-2021"
"72","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",4.979,17.548,0.479,"https://doi.org/10.5194/bg-18-4717-2021"
"73","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",5.9,20.49,0.399,"https://doi.org/10.5194/bg-18-4717-2021"
"74","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",8.29,27.952,0.418,"https://doi.org/10.5194/bg-18-4717-2021"
"75","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",1.902,7.285,0.424,"https://doi.org/10.5194/bg-18-4717-2021"
"76","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.376,12.304,0.507,"https://doi.org/10.5194/bg-18-4717-2021"
"77","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.874,10.622,0.687,"https://doi.org/10.5194/bg-18-4717-2021"
"78","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",2.264,8.544,0.842,"https://doi.org/10.5194/bg-18-4717-2021"
"79","Ward et al 2021","MAW Newport Bay SM C","Newport Bay","Newport Bay SM C","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",1.76,6.786,0.921,"https://doi.org/10.5194/bg-18-4717-2021"
"80","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",12.683,41.217,0.311,"https://doi.org/10.5194/bg-18-4717-2021"
"81","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",6.829,23.418,0.343,"https://doi.org/10.5194/bg-18-4717-2021"
"82","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",6.882,23.583,0.306,"https://doi.org/10.5194/bg-18-4717-2021"
"83","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",10.102,33.484,0.236,"https://doi.org/10.5194/bg-18-4717-2021"
"84","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",4.907,17.316,0.47,"https://doi.org/10.5194/bg-18-4717-2021"
"85","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",2.847,10.531,0.551,"https://doi.org/10.5194/bg-18-4717-2021"
"86","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",6.186,21.396,0.383,"https://doi.org/10.5194/bg-18-4717-2021"
"87","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",4.735,16.76,0.429,"https://doi.org/10.5194/bg-18-4717-2021"
"88","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.877,13.963,0.593,"https://doi.org/10.5194/bg-18-4717-2021"
"89","Ward et al 2021","MAW Newport Bay SM D","Newport Bay","Newport Bay SM D","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",3.132,11.491,0.552,"https://doi.org/10.5194/bg-18-4717-2021"
"90","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",11.572,37.91,0.417,"https://doi.org/10.5194/bg-18-4717-2021"
"91","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",14.035,45.21,0.387,"https://doi.org/10.5194/bg-18-4717-2021"
"92","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",1.978,7.55,0.97,"https://doi.org/10.5194/bg-18-4717-2021"
"93","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.326,12.14,0.819,"https://doi.org/10.5194/bg-18-4717-2021"
"94","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",5.048,17.77,0.753,"https://doi.org/10.5194/bg-18-4717-2021"
"95","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",3.88,13.97,0.972,"https://doi.org/10.5194/bg-18-4717-2021"
"96","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.275,11.97,0.943,"https://doi.org/10.5194/bg-18-4717-2021"
"97","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.988,11.01,1.145,"https://doi.org/10.5194/bg-18-4717-2021"
