"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","DOI"
"19","Vitti et al 2020","SV F05","Marano and Grado Lagoon","F05","Salt marsh",45.71629305,13.24063838,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.07,0.055,"https://doi.org/10.1093/jpe/rtaa052"
"20","Vitti et al 2020","SV G05","Marano and Grado Lagoon","G05","Salt marsh",45.7141191,13.21733019,"direct from dataset","1","Italy","2018",0,0.12,"EA",13.345,0.94,"https://doi.org/10.1093/jpe/rtaa052"
"21","Vitti et al 2020","SV G06","Marano and Grado Lagoon","G06","Salt marsh",45.71416364,13.21568868,"direct from dataset","1","Italy","2018",0,0.12,"EA",9.02,1.766666667,"https://doi.org/10.1093/jpe/rtaa052"
"22","Vitti et al 2020","SV G07","Marano and Grado Lagoon","G07","Salt marsh",45.71391655,13.21378081,"direct from dataset","1","Italy","2018",0,0.12,"EA",8.313,0.18,"https://doi.org/10.1093/jpe/rtaa052"
"23","Vitti et al 2020","SV H08","Marano and Grado Lagoon","H08","Salt marsh",45.71382827,13.18429655,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.495,0.075,"https://doi.org/10.1093/jpe/rtaa052"
"24","Vitti et al 2020","SV H09","Marano and Grado Lagoon","H09","Salt marsh",45.71373437,13.18445316,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.06,0.065,"https://doi.org/10.1093/jpe/rtaa052"
"25","Vitti et al 2020","SV I17","Marano and Grado Lagoon","I17","Salt marsh",45.70770963,13.17763773,"direct from dataset","1","Italy","2018",0,0.12,"EA",1.03,0.13,"https://doi.org/10.1093/jpe/rtaa052"
"26","Vitti et al 2020","SV I18","Marano and Grado Lagoon","I18","Salt marsh",45.70768974,13.17667896,"direct from dataset","1","Italy","2018",0,0.12,"EA",7.38,0.01,"https://doi.org/10.1093/jpe/rtaa052"
"27","Vitti et al 2020","SV L14","Marano and Grado Lagoon","L14","Salt marsh",45.70364644,13.16002351,"direct from dataset","1","Italy","2018",0,0.12,"EA",7.733,0.09,"https://doi.org/10.1093/jpe/rtaa052"
"28","Vitti et al 2020","SV L15","Marano and Grado Lagoon","L15","Salt marsh",45.70387303,13.15974528,"direct from dataset","1","Italy","2018",0,0.12,"EA",4.025,0.34,"https://doi.org/10.1093/jpe/rtaa052"
