Species,Source,Site_name,Site,Subsite,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,Conv_factor,DOI
Spartina maritima,Raw et al 2020,JLR Knysna 2 2,Knysna Estuary,2,Knysna_2_2,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,1.893312217,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 3,Knysna Estuary,2,Knysna_2_3,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.069447431,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 1,Knysna Estuary,2,Knysna_2_1,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,2.525454983,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 2,Knysna Estuary,2,Knysna_2_2,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,1.531495539,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 3,Knysna Estuary,2,Knysna_2_3,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,2.152050074,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 1,Knysna Estuary,2,Knysna_2_1,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,2.361659395,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 2,Knysna Estuary,2,Knysna_2_2,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,0.906753282,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 2 3,Knysna Estuary,2,Knysna_2_3,Saltmarsh,-34.051631, 23.046969,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,2.371843917,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 1,Knysna Estuary,3,Knysna_3_1,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.035330261,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 2,Knysna Estuary,3,Knysna_3_2,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,8.128145219,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 3,Knysna Estuary,3,Knysna_3_3,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,1.769516064,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 1,Knysna Estuary,3,Knysna_3_1,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,2.286282306,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 2,Knysna Estuary,3,Knysna_3_2,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,1.948192823,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 3,Knysna Estuary,3,Knysna_3_3,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,1.592952835,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 1,Knysna Estuary,3,Knysna_3_1,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,3.20625779,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 2,Knysna Estuary,3,Knysna_3_2,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,2.614306785,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 3 3,Knysna Estuary,3,Knysna_3_3,Saltmarsh,-34.042853, 23.015361,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,0.453153705,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 1,Knysna Estuary,4,Knysna_4_1,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.421529226,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 2,Knysna Estuary,4,Knysna_4_2,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.677932761,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 3,Knysna Estuary,4,Knysna_4_3,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.333696838,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 1,Knysna Estuary,4,Knysna_4_1,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,1.481888035,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 2,Knysna Estuary,4,Knysna_4_2,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,1.465309534,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 3,Knysna Estuary,4,Knysna_4_3,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,2.117550446,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 1,Knysna Estuary,4,Knysna_4_1,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,1.210720163,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 2,Knysna Estuary,4,Knysna_4_2,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,1.449575481,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 4 3,Knysna Estuary,4,Knysna_4_3,Saltmarsh,-34.055256, 23.016786,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,1.131648435,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 1,Knysna Estuary,5,Knysna_5_1,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,4.539255796,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 2,Knysna Estuary,5,Knysna_5_2,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,3.14926892,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 3,Knysna Estuary,5,Knysna_5_3,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.507425572,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 1,Knysna Estuary,5,Knysna_5_1,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,3.23811869,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 2,Knysna Estuary,5,Knysna_5_2,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,3.48440259,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 3,Knysna Estuary,5,Knysna_5_3,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,3.604824502,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 1,Knysna Estuary,5,Knysna_5_1,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,2.161900815,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 2,Knysna Estuary,5,Knysna_5_2,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,2.284464709,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 5 3,Knysna Estuary,5,Knysna_5_3,Saltmarsh,-34.040994, 23.003736,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,2.60084486,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 1,Knysna Estuary,6,Knysna_6_1,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,12.36678274,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 2,Knysna Estuary,6,Knysna_6_2,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,15.35400431,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 3,Knysna Estuary,6,Knysna_6_3,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,10.53755568,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 1,Knysna Estuary,6,Knysna_6_1,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,9.231762427,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 2,Knysna Estuary,6,Knysna_6_2,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,18.23315467,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 3,Knysna Estuary,6,Knysna_6_3,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,24.22686428,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 1,Knysna Estuary,6,Knysna_6_1,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,8.542514699,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 2,Knysna Estuary,6,Knysna_6_2,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,5.021079058,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 6 3,Knysna Estuary,6,Knysna_6_3,Saltmarsh,-34.025847, 22.989842,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,9.887330421,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 1,Knysna Estuary,7,Knysna_7_1,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,1.750836797,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 2,Knysna Estuary,7,Knysna_7_2,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,3.837203009,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 3,Knysna Estuary,7,Knysna_7_3,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0,0.15,LOI,2.379194356,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 1,Knysna Estuary,7,Knysna_7_1,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,1.962116368,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 2,Knysna Estuary,7,Knysna_7_2,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,2.415478289,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 3,Knysna Estuary,7,Knysna_7_3,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0.15,0.3,LOI,2.773455061,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 1,Knysna Estuary,7,Knysna_7_1,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,3.881058927,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 2,Knysna Estuary,7,Knysna_7_2,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,2.897916998,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
Spartina maritima,Raw et al 2020,JLR Knysna 7 3,Knysna Estuary,7,Knysna_7_3,Saltmarsh,-34.025483, 22.989683,direct from dataset,1,SouthAfrica,2018,0.3,0.5,LOI,3.289404323,NA,NA,https://doi.org/10.2989/16085914.2019.1662763
