"","Treatment","Source","Original_source","Publication","Site_name","DataID","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","Soil_OCcon_n","Soil_OCcon_mean","Soil_OCcon_SD","Soil_OCden_n","Soil_OCden_mean","Soil_OCden_SD","Soil_TCcon_n","Soil_TCcon_mean","Soil_TCcon_SD","Soil_TCden_n","Soil_TCden_mean","Soil_TCden_SD","Soil_BD_n","Soil_BD_mean","Soil_BD_SD","Soil_CS_n","Soil_CS_mean","Soil_CS_SD","DOI"
"11","Control","He et al 2020","Di Bella et al 2015","Di Bella CE, Rodríguez AM, Jacobo E, Golluscio RA & Taboada MA. 2015 Impact of cattle grazing on temperate coastal salt marsh soils. Soil Use and Management 31, 299-307. ","QH D172","D172","Marsh",-36.32,-56.83,"direct from dataset","2","Argentina",NA,"2015",0,0.15,NA,10,6.8,7.589466384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"12","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D218","D218","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.005,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.50747,0.034144758,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"13","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D219","D219","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.005,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.38879,0.073700801,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"14","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D220","D220","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.055,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.57332,0.091745869,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"15","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D221","D221","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.005,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.38953,0.057198619,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"16","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D222","D222","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.055,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.56935,0.048746282,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"17","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D223","D223","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.005,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.3643,0.001408723,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"18","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D224","D224","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.055,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.41667,0.037275253,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"19","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D225","D225","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.005,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.33903,0.032042854,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"20","Control","He et al 2020","Elschot et al 2013","Elschot K, Bouma TJ, Temmerman S & Bakker JP. 2013 Effects of long-term grazing on sediment deposition and salt-marsh accretion rates. Estuarine, Coastal and Shelf Science 133, 109-115.","QH D226","D226","Marsh",53.3,6.1,"direct from dataset","2","Netherlands",NA,"2013",0.055,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.5585,0.037275253,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"21","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D238","D238","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.005,0.055,NA,5,5.5481,0.569302907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"22","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D239","D239","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.005,0.055,NA,5,6.1182,0.608657703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"23","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D240","D240","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.055,0.105,NA,5,3.9449,0.824438263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"24","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D241","D241","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.005,0.055,NA,5,5.6084,1.393964777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"25","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D242","D242","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.055,0.105,NA,5,3.6559,1.101039872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"26","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D243","D243","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.005,0.055,NA,5,8.5932,1.452773365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"27","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D244","D244","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.055,0.105,NA,5,6.5194,0.864016667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"28","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D245","D245","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.005,0.055,NA,5,7.7126,0.647788893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"29","Control","He et al 2020","Elschot et al 2015","Elschot K, Bakker JP, Temmerman S, van de Koppel J & Bouma TJ. 2015 Ecosystem engineering by large grazers enhances carbon stocks in a tidal salt marsh. Marine Ecology Progress Series 537, 9-21. ","QH D246","D246","Marsh",53.5,6.17,"direct from dataset","2","Netherlands",NA,"2015",0.055,0.105,NA,5,4.8356,1.008690265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"30","Control","He et al 2020","Ford et al 2012","Ford H, Garbutt A, Jones L & Jones DL. 2012 Methane, carbon dioxide and nitrous oxide fluxes from a temperate salt marsh: Grazing management does not alter Global Warming Potential. Estuarine, Coastal and Shelf Science 113, 182-191. ","QH D320","D320","Marsh",53.69,-2.95,"direct from dataset","2","UK",NA,"2012",0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.7,0,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"31","Control","He et al 2020","Ford et al 2012","Ford H, Garbutt A, Jones L & Jones DL. 2012 Methane, carbon dioxide and nitrous oxide fluxes from a temperate salt marsh: Grazing management does not alter Global Warming Potential. Estuarine, Coastal and Shelf Science 113, 182-191. ","QH D322","D322","Marsh",53.69,-2.95,"direct from dataset","2","UK",NA,"2012",0,0.15,NA,6,6.3,0.999791732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"32","Control","He et al 2020","Kiehl et al 2001","Kiehl K, Esselink P, Gettner S & Bakker JP. 2001 The Impact of Sheep Grazing on Net Nitrogen Mineralization Rate in Two Temperate Salt Marshes. Plant Biology 3, 553-560.","QH D488","D488","Marsh",54.63,8.83,"direct from dataset","2","Germany",NA,"2001",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.825,0.077781746,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"33","Control","He et al 2020","Kiehl et al 2001","Kiehl K, Esselink P, Gettner S & Bakker JP. 2001 The Impact of Sheep Grazing on Net Nitrogen Mineralization Rate in Two Temperate Salt Marshes. Plant Biology 3, 553-560.","QH D489","D489","Marsh",54.03,8.9,"direct from dataset","2","Germany",NA,"2001",0,0.1,NA,NA,NA,NA,NA,NA,NA,2,3.67,0.367695526,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"34","Control","He et al 2020","McLaren Jefferies 2004","MCLAREN JR & JEFFERIES RL. 2004 Initiation and maintenance of vegetation mosaics in an Arctic salt marsh. Journal of Ecology 92, 648-660. ","QH D557","D557","Marsh",58.73,-94.47,"direct from dataset","2","Canada",NA,"2004",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.37349,0.003868398,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"35","Control","He et al 2020","McLaren Jefferies 2004","MCLAREN JR & JEFFERIES RL. 2004 Initiation and maintenance of vegetation mosaics in an Arctic salt marsh. Journal of Ecology 92, 648-660. ","QH D558","D558","Marsh",58.73,-94.47,"direct from dataset","2","Canada",NA,"2004",0,0.03,NA,5,0.223,0.014784881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"36","Control","He et al 2020","McLaren Jefferies 2004","MCLAREN JR & JEFFERIES RL. 2004 Initiation and maintenance of vegetation mosaics in an Arctic salt marsh. Journal of Ecology 92, 648-660. ","QH D559","D559","Marsh",58.73,-94.47,"direct from dataset","2","Canada",NA,"2004",0,0.03,NA,5,0.243,0.010936608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"37","Control","He et al 2020","McLaren Jefferies 2004","MCLAREN JR & JEFFERIES RL. 2004 Initiation and maintenance of vegetation mosaics in an Arctic salt marsh. Journal of Ecology 92, 648-660. ","QH D560","D560","Marsh",58.73,-94.47,"direct from dataset","2","Canada",NA,"2004",0,0.03,NA,5,0.291,0.048952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"38","Control","He et al 2020","Moore 2018","Moore A. 2018 Context-dependent consumer control in New England tidal wetlands. PLOS ONE 13, e0197170. ","QH D567","D567","Marsh",41.26,-72.86,"direct from dataset","2","USA","CT","2018",0,0.2,NA,6,0.23971,0.060992295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"39","Control","He et al 2020","Moore 2018","Moore A. 2018 Context-dependent consumer control in New England tidal wetlands. PLOS ONE 13, e0197170. ","QH D568","D568","Marsh",41.28,-72.59,"direct from dataset","2","USA","CT","2018",0,0.2,NA,6,0.18579,0.034880734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"40","Control","He et al 2020","Moore 2018","Moore A. 2018 Context-dependent consumer control in New England tidal wetlands. PLOS ONE 13, e0197170. ","QH D569","D569","Marsh",41.27,-72.56,"direct from dataset","2","USA","CT","2018",0,0.2,NA,5,0.22191,0.057824718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"41","Control","He et al 2020","Morris Jensen 1998","Morris JT & Jensen A. 1998 The carbon balance of grazed and non-grazed Spartina anglica saltmarshes at Skallingen, Denmark. Journal of Ecology 86, 229-242.","QH D578","D578","Marsh",55.51,8.28,"direct from dataset","2","Denmark",NA,"1998",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.21,0.038,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"42","Control","He et al 2020","Morris Jensen 1998","Morris JT & Jensen A. 1998 The carbon balance of grazed and non-grazed Spartina anglica saltmarshes at Skallingen, Denmark. Journal of Ecology 86, 229-242.","QH D579","D579","Marsh",55.51,8.28,"direct from dataset","2","Denmark",NA,"1998",0,0.1,NA,3,31.56,6.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"43","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D586","D586","Marsh",53.97,8.89,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.8,0.062,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"44","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D587","D587","Marsh",53.97,8.89,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.856,0.058,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"45","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D588","D588","Marsh",54.63,8.83,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.757,0.059,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"46","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D589","D589","Marsh",54.63,8.83,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.761,0.079,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"47","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D590","D590","Marsh",53.97,8.89,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,5,11.711,2.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"48","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D591","D591","Marsh",53.97,8.89,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,5,10.466,2.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"49","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D592","D592","Marsh",54.63,8.83,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,5,13.072,1.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"50","Control","He et al 2020","Mueller et al 2017","Mueller P, Granse D, Nolte S, Do HT, Weingartner M, Hoth S & Jensen K. 2017 Top-down control of carbon sequestration: grazing affects microbial structure and function in salt marsh soils. Ecological Applications 27, 1435-1450.","QH D593","D593","Marsh",54.63,8.83,"direct from dataset","2","Germany",NA,"2017",0,0.05,NA,5,12.269,1.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"51","Control","He et al 2020","Olsen et al 2011","Olsen YS, Dausse A, Garbutt A, Ford H, Thomas DN & Jones DL. 2011 Cattle grazing drives nitrogen and carbon cycling in a temperate salt marsh. Soil Biology and Biochemistry 43, 531-541. ","QH D612","D612","Marsh",53.68,-2.97,"direct from dataset","2","UK",NA,"2011",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.6,0.244948974,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"52","Control","He et al 2020","Olsen et al 2011","Olsen YS, Dausse A, Garbutt A, Ford H, Thomas DN & Jones DL. 2011 Cattle grazing drives nitrogen and carbon cycling in a temperate salt marsh. Soil Biology and Biochemistry 43, 531-541. ","QH D613","D613","Marsh",53.68,-2.97,"direct from dataset","2","UK",NA,"2011",0,0.1,NA,3,12,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"53","Control","He et al 2020","Ruess et al 2019","Ruess RW, McFarland JW, Person B & Sedinger JS. 2019 Geese mediate vegetation state changes with parallel effects on N cycling that leave nutritional legacies for offspring. Ecosphere 10, e02850. ","QH D700","D700","Marsh",61.25,-165.5,"direct from dataset","2","USA","Alaska","2019",0,0.1,NA,NA,NA,NA,NA,NA,NA,8,5.03,1.074802307,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"54","Control","He et al 2020","Ruess et al 2019","Ruess RW, McFarland JW, Person B & Sedinger JS. 2019 Geese mediate vegetation state changes with parallel effects on N cycling that leave nutritional legacies for offspring. Ecosphere 10, e02850. ","QH D701","D701","Marsh",61.25,-165.5,"direct from dataset","2","USA","Alaska","2019",0,0.1,NA,NA,NA,NA,NA,NA,NA,8,3.14,1.046518036,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
