"","Source","Site_name","Site","Core","Habitat_type","Marsh_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"37","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.36,0.37,"EA",2.63,0.58,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"38","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.37,0.38,"EA",2.67,0.63,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"39","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.38,0.39,"EA",2.68,0.59,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"40","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.39,0.4,"EA",2.82,0.46,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"41","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.4,0.41,"EA",2.6,0.56,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"42","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.41,0.42,"EA",2.69,0.66,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"43","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.42,0.43,"EA",2.56,0.53,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"44","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.43,0.44,"EA",2.52,0.62,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"45","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.44,0.45,"EA",2.35,0.59,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"46","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.45,0.46,"EA",2.27,0.57,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"47","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.46,0.47,"EA",2.32,0.58,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"48","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.47,0.48,"EA",2,0.44,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"49","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.48,0.49,"EA",2.2,0.55,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"50","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Peat (Turfa herbacea)",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0,0.01,"EA",7.08,0.3,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"51","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Peat (Turfa herbacea)",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.01,0.02,"EA",6.54,0.35,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"52","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Peat (Turfa herbacea)",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.02,0.03,"EA",7.62,0.37,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"53","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Peat (Turfa herbacea)",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.03,0.04,"EA",8.39,0.39,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"54","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.04,0.05,"EA",5.74,0.4,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"55","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.05,0.06,"EA",6.75,0.36,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"56","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.06,0.07,"EA",5.66,0.36,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"57","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.07,0.08,"EA",6.15,0.37,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"58","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.08,0.09,"EA",5.25,0.36,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"59","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.09,0.1,"EA",5.72,0.38,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"60","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.1,0.11,"EA",5.15,0.38,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"61","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.11,0.12,"EA",6.75,0.4,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"62","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.12,0.13,"EA",5.69,0.42,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"63","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.13,0.14,"EA",5.69,0.33,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"64","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.14,0.15,"EA",5.97,0.34,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"65","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.15,0.16,"EA",5.32,0.29,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"66","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.16,0.17,"EA",5.52,0.38,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"67","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.17,0.18,"EA",5.27,0.44,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"68","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.18,0.19,"EA",5.4,0.47,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"69","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.19,0.2,"EA",5.26,0.51,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"70","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.2,0.21,"EA",6.29,0.51,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"71","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.21,0.22,"EA",5.95,0.54,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"72","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.22,0.23,"EA",5.88,0.57,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"73","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt with Organics ",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.23,0.24,"EA",5.59,0.58,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"74","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.24,0.25,"EA",5.51,0.53,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"75","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.25,0.26,"EA",5.12,0.54,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"76","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.26,0.27,"EA",4.21,0.5,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"77","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.27,0.28,"EA",4.78,0.66,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"78","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.28,0.29,"EA",4.55,0.71,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"79","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.29,0.3,"EA",4.26,0.62,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"80","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.3,0.31,"EA",4.29,0.63,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"81","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.31,0.32,"EA",3.67,0.58,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"82","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.32,0.33,"EA",3.95,0.61,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"83","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.33,0.34,"EA",3.98,0.73,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"84","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.34,0.35,"EA",3.8,0.73,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"85","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.35,0.36,"EA",3.31,0.53,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"86","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.36,0.37,"EA",3.47,0.62,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"87","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt (Black Organic Layer) - Relict",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.37,0.38,"EA",5.98,0.76,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"88","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt (Black Organic Layer) - Relict",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.38,0.39,"EA",4.51,1.22,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
"89","Smeaton unpublished Essex","CS BaH-H-3","Barrow Hill","BaH-H-3","Salt marsh","Historic-Breach","Silt (Black Organic Layer) - Relict",51.79594626,0.92325638,"direct from dataset","1","UK","England",2019,0.39,0.4,"EA",6.29,1.14,"https://doi.org/10.5285/fa3f4087-528e-4c5d-90d8-6bb4675d6317"
