Species,Carbonate_removed,Source,Site_name,Site,Plot,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,DOI
NA,no,Kumar et al 2020,MK PMT T3,Guadiana Estuary,PMT T3,Mudflat,37.1965555555556,-7.33972222222222,direct from dataset,1,Portugal,2015,0,0.1,EA,1.69,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK PMT T3,Guadiana Estuary,PMT T3,Mudflat,37.1965555555556,-7.33972222222222,direct from dataset,1,Portugal,2015,0.3,0.4,EA,0.97,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK PMT T3,Guadiana Estuary,PMT T3,Mudflat,37.1965555555556,-7.33972222222222,direct from dataset,1,Portugal,2015,0.6,0.7,EA,1.02,https://doi.org/10.1016/j.csr.2020.104076
NA,no,Kumar et al 2020,MK PMT T3,Guadiana Estuary,PMT T3,Mudflat,37.1965555555556,-7.33972222222222,direct from dataset,1,Portugal,2015,0.9,1,EA,1.71,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK BT T1,Guadiana Estuary,BT T1,Saltmarsh,37.2403333333333,-7.42502777777778,direct from dataset,1,Portugal,2015,0,0.1,EA,2.21,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK BT T1,Guadiana Estuary,BT T1,Saltmarsh,37.2403333333333,-7.42502777777778,direct from dataset,1,Portugal,2015,0.3,0.4,EA,2.09,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK BT T1,Guadiana Estuary,BT T1,Saltmarsh,37.2403333333333,-7.42502777777778,direct from dataset,1,Portugal,2015,0.6,0.7,EA,2.1,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK BT T1,Guadiana Estuary,BT T1,Saltmarsh,37.2403333333333,-7.42502777777778,direct from dataset,1,Portugal,2015,0.9,1,EA,2.23,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK BT T2,Guadiana Estuary,BT T2,Saltmarsh,37.2405555555556,-7.4255,direct from dataset,1,Portugal,2015,0,0.1,EA,1.34,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK BT T2,Guadiana Estuary,BT T2,Saltmarsh,37.2405555555556,-7.4255,direct from dataset,1,Portugal,2015,0.3,0.4,EA,1.69,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK BT T2,Guadiana Estuary,BT T2,Saltmarsh,37.2405555555556,-7.4255,direct from dataset,1,Portugal,2015,0.6,0.7,EA,1.68,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK BT T2,Guadiana Estuary,BT T2,Saltmarsh,37.2405555555556,-7.4255,direct from dataset,1,Portugal,2015,0.9,1,EA,1.62,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK CMT T1,Guadiana Estuary,CMT T1,Saltmarsh,37.1978888888889,-7.42652777777778,direct from dataset,1,Portugal,2015,0,0.1,EA,0.76,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,yes,Kumar et al 2020,MK CMT T1,Guadiana Estuary,CMT T1,Saltmarsh,37.1978888888889,-7.42652777777778,direct from dataset,1,Portugal,2015,0,0.1,EA,1.34,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK CMT T1,Guadiana Estuary,CMT T1,Saltmarsh,37.1978888888889,-7.42652777777778,direct from dataset,1,Portugal,2015,0.3,0.4,EA,1.77,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK CMT T1,Guadiana Estuary,CMT T1,Saltmarsh,37.1978888888889,-7.42652777777778,direct from dataset,1,Portugal,2015,0.6,0.7,EA,0.82,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK CMT T1,Guadiana Estuary,CMT T1,Saltmarsh,37.1978888888889,-7.42652777777778,direct from dataset,1,Portugal,2015,0.9,1,EA,1.05,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK CMT T2,Guadiana Estuary,CMT T2,Saltmarsh,37.1981944444444,-7.42558333333333,direct from dataset,1,Portugal,2015,0,0.1,EA,2.23,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK CMT T2,Guadiana Estuary,CMT T2,Saltmarsh,37.1981944444444,-7.42558333333333,direct from dataset,1,Portugal,2015,0.3,0.4,EA,1.27,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK CMT T2,Guadiana Estuary,CMT T2,Saltmarsh,37.1981944444444,-7.42558333333333,direct from dataset,1,Portugal,2015,0.6,0.7,EA,0.67,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK CMT T2,Guadiana Estuary,CMT T2,Saltmarsh,37.1981944444444,-7.42558333333333,direct from dataset,1,Portugal,2015,0.9,1,EA,0.78,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK PMT T1,Guadiana Estuary,PMT T1,Saltmarsh,37.1964444444444,-7.34055555555556,direct from dataset,1,Portugal,2015,0,0.1,EA,1.01,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK PMT T1,Guadiana Estuary,PMT T1,Saltmarsh,37.1964444444444,-7.34055555555556,direct from dataset,1,Portugal,2015,0.3,0.4,EA,0.68,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK PMT T1,Guadiana Estuary,PMT T1,Saltmarsh,37.1964444444444,-7.34055555555556,direct from dataset,1,Portugal,2015,0.6,0.7,EA,1.28,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,yes,Kumar et al 2020,MK PMT T1,Guadiana Estuary,PMT T1,Saltmarsh,37.1964444444444,-7.34055555555556,direct from dataset,1,Portugal,2015,0.9,1,EA,0.63,https://doi.org/10.1016/j.csr.2020.104076
Sarcocornia,no,Kumar et al 2020,MK PMT T1,Guadiana Estuary,PMT T1,Saltmarsh,37.1964444444444,-7.34055555555556,direct from dataset,1,Portugal,2015,0.9,1,EA,0.69,https://doi.org/10.1016/j.csr.2020.104076
Spartina,yes,Kumar et al 2020,MK PMT T2,Guadiana Estuary,PMT T2,Saltmarsh,37.1965277777778,-7.34016666666667,direct from dataset,1,Portugal,2015,0,0.1,EA,0.45,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK PMT T2,Guadiana Estuary,PMT T2,Saltmarsh,37.1965277777778,-7.34016666666667,direct from dataset,1,Portugal,2015,0,0.1,EA,1.62,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK PMT T2,Guadiana Estuary,PMT T2,Saltmarsh,37.1965277777778,-7.34016666666667,direct from dataset,1,Portugal,2015,0.3,0.4,EA,1.17,https://doi.org/10.1016/j.csr.2020.104076
Spartina,yes,Kumar et al 2020,MK PMT T2,Guadiana Estuary,PMT T2,Saltmarsh,37.1965277777778,-7.34016666666667,direct from dataset,1,Portugal,2015,0.6,0.7,EA,0.76,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK PMT T2,Guadiana Estuary,PMT T2,Saltmarsh,37.1965277777778,-7.34016666666667,direct from dataset,1,Portugal,2015,0.6,0.7,EA,0.81,https://doi.org/10.1016/j.csr.2020.104076
Spartina,yes ,Kumar et al 2020,MK PMT T2,Guadiana Estuary,PMT T2,Saltmarsh,37.1965277777778,-7.34016666666667,direct from dataset,1,Portugal,2015,0.9,1,EA,0.45,https://doi.org/10.1016/j.csr.2020.104076
Spartina,no,Kumar et al 2020,MK PMT T2,Guadiana Estuary,PMT T2,Saltmarsh,37.1965277777778,-7.34016666666667,direct from dataset,1,Portugal,2015,0.9,1,EA,0.71,https://doi.org/10.1016/j.csr.2020.104076
