"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_interpol_g_cm3","DOI"
"11","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.42,0.45,"EA",1.287676855,0.667834263884807,"https://doi.org/10.17632/2nnv9bw3hh.2"
"12","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.45,0.48,"EA",NA,0.73704378489568,"https://doi.org/10.17632/2nnv9bw3hh.2"
"13","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.48,0.51,"EA",2.546653394,0.806253305906553,"https://doi.org/10.17632/2nnv9bw3hh.2"
"14","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.54,0.57,"EA",1.573573022,0.944672347928299,"https://doi.org/10.17632/2nnv9bw3hh.2"
"15","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.6,0.63,"EA",2.239632322,1.0303261827799,"https://doi.org/10.17632/2nnv9bw3hh.2"
"16","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.63,0.66,"EA",NA,0.994005289450485,"https://doi.org/10.17632/2nnv9bw3hh.2"
"17","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.66,0.69,"EA",1.353321986,0.957684396121069,"https://doi.org/10.17632/2nnv9bw3hh.2"
"18","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.72,0.75,"EA",2.452216561,0.885042609462239,"https://doi.org/10.17632/2nnv9bw3hh.2"
"19","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.78,0.81,"EA",2.532697442,0.812400822803409,"https://doi.org/10.17632/2nnv9bw3hh.2"
"20","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.84,0.87,"EA",2.658575216,0.806347340581839,"https://doi.org/10.17632/2nnv9bw3hh.2"
"21","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.9,0.93,"EA",2.345342362,0.806347340581839,"https://doi.org/10.17632/2nnv9bw3hh.2"
"22","Van de Broek et al 2018","MVdB Appels young","Appels young","Appels young","Freshwater",51.04810278,4.069147222,"direct from dataset","1","Belgium","2016",0.96,0.99,"EA",1.725676908,0.806347340581839,"https://doi.org/10.17632/2nnv9bw3hh.2"
"23","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0,0.03,"EA",6.818467024,0.545,"https://doi.org/10.17632/2nnv9bw3hh.2"
"24","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.03,0.06,"EA",7.178809299,0.4882,"https://doi.org/10.17632/2nnv9bw3hh.2"
"25","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.06,0.09,"EA",6.398025354,0.403,"https://doi.org/10.17632/2nnv9bw3hh.2"
"26","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.09,0.12,"EA",NA,0.413844832100019,"https://doi.org/10.17632/2nnv9bw3hh.2"
"27","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.12,0.15,"EA",5.791413663,0.439149440333396,"https://doi.org/10.17632/2nnv9bw3hh.2"
"28","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.18,0.21,"EA",5.864486452,0.547597761333583,"https://doi.org/10.17632/2nnv9bw3hh.2"
"29","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.24,0.27,"EA",4.977544624,0.574893810274357,"https://doi.org/10.17632/2nnv9bw3hh.2"
"30","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.27,0.3,"EA",NA,0.547965698715038,"https://doi.org/10.17632/2nnv9bw3hh.2"
"31","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.3,0.33,"EA",6.055316387,0.521037587155718,"https://doi.org/10.17632/2nnv9bw3hh.2"
"32","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.36,0.39,"EA",6.231329729,0.576786716075579,"https://doi.org/10.17632/2nnv9bw3hh.2"
"33","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.42,0.45,"EA",5.261976067,0.621240082280341,"https://doi.org/10.17632/2nnv9bw3hh.2"
"34","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.45,0.48,"EA",NA,0.615786071113723,"https://doi.org/10.17632/2nnv9bw3hh.2"
"35","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.48,0.51,"EA",5.66542739,0.610332059947105,"https://doi.org/10.17632/2nnv9bw3hh.2"
"36","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.54,0.57,"EA",5.417787175,0.59942403761387,"https://doi.org/10.17632/2nnv9bw3hh.2"
"37","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.6,0.63,"EA",4.682069482,0.597414046429621,"https://doi.org/10.17632/2nnv9bw3hh.2"
"38","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.63,0.66,"EA",NA,0.609756097560975,"https://doi.org/10.17632/2nnv9bw3hh.2"
"39","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.66,0.69,"EA",6.339079558,0.62209814869233,"https://doi.org/10.17632/2nnv9bw3hh.2"
"40","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.72,0.75,"EA",6.522716448,0.646782250955039,"https://doi.org/10.17632/2nnv9bw3hh.2"
"41","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.78,0.81,"EA",4.807667613,0.671466353217749,"https://doi.org/10.17632/2nnv9bw3hh.2"
"42","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.84,0.87,"EA",5.558536161,0.636996767558037,"https://doi.org/10.17632/2nnv9bw3hh.2"
"43","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.9,0.93,"EA",6.766554606,0.597149573905377,"https://doi.org/10.17632/2nnv9bw3hh.2"
"44","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",0.96,0.99,"EA",7.594177682,0.557302380252718,"https://doi.org/10.17632/2nnv9bw3hh.2"
"45","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.02,1.05,"EA",6.199040535,0.54707610931531,"https://doi.org/10.17632/2nnv9bw3hh.2"
"46","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.08,1.11,"EA",7.030447824,0.558007640317367,"https://doi.org/10.17632/2nnv9bw3hh.2"
"47","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.14,1.17,"EA",6.142798221,0.568939171319424,"https://doi.org/10.17632/2nnv9bw3hh.2"
"48","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.2,1.23,"EA",7.517031276,0.599441669115486,"https://doi.org/10.17632/2nnv9bw3hh.2"
"49","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.26,1.29,"EA",9.304399744,0.688657067293564,"https://doi.org/10.17632/2nnv9bw3hh.2"
"50","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.32,1.35,"EA",9.737391157,0.777872465471643,"https://doi.org/10.17632/2nnv9bw3hh.2"
"51","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.38,1.41,"EA",6.413832476,0.867087863649721,"https://doi.org/10.17632/2nnv9bw3hh.2"
"52","Van de Broek et al 2018","MVdB Grembergen old","Grembergen old","Grembergen old","Freshwater",51.04432222,4.124908333,"direct from dataset","1","Belgium","2016",1.44,1.47,"EA",8.011507668,0.874522480164561,"https://doi.org/10.17632/2nnv9bw3hh.2"
"53","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0,0.03,"EA",6.433778133,0.2562444902,"https://doi.org/10.17632/2nnv9bw3hh.2"
"54","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.03,0.06,"EA",6.192996281,0.3554510726,"https://doi.org/10.17632/2nnv9bw3hh.2"
"55","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.06,0.09,"EA",5.294345015,0.5042609462,"https://doi.org/10.17632/2nnv9bw3hh.2"
"56","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.09,0.12,"EA",NA,0.5162503673,"https://doi.org/10.17632/2nnv9bw3hh.2"
"57","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.12,0.15,"EA",5.391747547,0.52682926827,"https://doi.org/10.17632/2nnv9bw3hh.2"
"58","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.18,0.21,"EA",4.614478212,0.54234498969,"https://doi.org/10.17632/2nnv9bw3hh.2"
"59","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.24,0.27,"EA",3.59805594,0.55786071111,"https://doi.org/10.17632/2nnv9bw3hh.2"
"60","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.27,0.3,"EA",NA,0.56561857182,"https://doi.org/10.17632/2nnv9bw3hh.2"
"61","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.3,0.33,"EA",3.428221504,0.57337643253,"https://doi.org/10.17632/2nnv9bw3hh.2"
"62","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.36,0.39,"EA",3.581296294,0.592082616157143,"https://doi.org/10.17632/2nnv9bw3hh.2"
"63","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.42,0.45,"EA",3.276060824,0.601210696436,"https://doi.org/10.17632/2nnv9bw3hh.2"
"64","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.45,0.48,"EA",NA,0.597261240084,"https://doi.org/10.17632/2nnv9bw3hh.2"
"65","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.48,0.51,"EA",3.226456986,0.593311783732,"https://doi.org/10.17632/2nnv9bw3hh.2"
"66","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.54,0.57,"EA",3.255872094,0.585412871028,"https://doi.org/10.17632/2nnv9bw3hh.2"
"67","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.6,0.63,"EA",3.41261838,0.5807228916075,"https://doi.org/10.17632/2nnv9bw3hh.2"
"68","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.63,0.66,"EA",NA,0.5831913018225,"https://doi.org/10.17632/2nnv9bw3hh.2"
"69","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.66,0.69,"EA",3.943512406,0.5856597120375,"https://doi.org/10.17632/2nnv9bw3hh.2"
"70","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.72,0.75,"EA",3.215110805,0.5905965324675,"https://doi.org/10.17632/2nnv9bw3hh.2"
"71","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.78,0.81,"EA",2.880305674,0.5955333528975,"https://doi.org/10.17632/2nnv9bw3hh.2"
"72","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.84,0.87,"EA",2.466862163,0.753687922435,"https://doi.org/10.17632/2nnv9bw3hh.2"
"73","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.9,0.93,"EA",2.649006024,0.925771378255,"https://doi.org/10.17632/2nnv9bw3hh.2"
"74","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",0.96,0.99,"EA",1.418428423,1.097854834075,"https://doi.org/10.17632/2nnv9bw3hh.2"
"75","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",1.02,1.05,"EA",0.812290192,1.21604466665,"https://doi.org/10.17632/2nnv9bw3hh.2"
"76","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",1.08,1.11,"EA",0.449139987,1.29573905405,"https://doi.org/10.17632/2nnv9bw3hh.2"
"77","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",1.14,1.17,"EA",0.463063271,1.37543344145,"https://doi.org/10.17632/2nnv9bw3hh.2"
"78","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",1.2,1.23,"EA",0.350327178,1.435204232,"https://doi.org/10.17632/2nnv9bw3hh.2"
"79","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",1.26,1.29,"EA",0.410890829,1.435204232,"https://doi.org/10.17632/2nnv9bw3hh.2"
"80","Van de Broek et al 2018","MVdB Hellegat old","Hellegat old","Hellegat old","Saltmarsh",51.36585833,3.952925,"direct from dataset","1","Belgium","2016",1.32,1.35,"EA",0.448523859,1.435204232,"https://doi.org/10.17632/2nnv9bw3hh.2"
"81","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0,0.03,"EA",4.43,0.4078754041,"https://doi.org/10.17632/2nnv9bw3hh.2"
"82","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.03,0.06,"EA",3.63,0.45348222158,"https://doi.org/10.17632/2nnv9bw3hh.2"
"83","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.06,0.09,"EA",3.07,0.5218924478,"https://doi.org/10.17632/2nnv9bw3hh.2"
"84","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.09,0.12,"EA",NA,0.52612400822,"https://doi.org/10.17632/2nnv9bw3hh.2"
"85","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.12,0.15,"EA",2.53,0.53235380548,"https://doi.org/10.17632/2nnv9bw3hh.2"
"86","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.18,0.21,"EA",2.87,0.55280634736,"https://doi.org/10.17632/2nnv9bw3hh.2"
"87","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.24,0.27,"EA",1.29,0.61910079343,"https://doi.org/10.17632/2nnv9bw3hh.2"
"88","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.27,0.3,"EA",NA,0.67516896856,"https://doi.org/10.17632/2nnv9bw3hh.2"
"89","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.3,0.33,"EA",1.2,0.73123714369,"https://doi.org/10.17632/2nnv9bw3hh.2"
"90","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.36,0.39,"EA",1.44,0.902397044885714,"https://doi.org/10.17632/2nnv9bw3hh.2"
"91","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.42,0.45,"EA",1.7,0.990937408576,"https://doi.org/10.17632/2nnv9bw3hh.2"
"92","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.45,0.48,"EA",NA,0.956520717344,"https://doi.org/10.17632/2nnv9bw3hh.2"
"93","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.48,0.51,"EA",2.22,0.922104026112,"https://doi.org/10.17632/2nnv9bw3hh.2"
"94","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.54,0.57,"EA",1.89,0.853270643648,"https://doi.org/10.17632/2nnv9bw3hh.2"
"95","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.6,0.63,"EA",2.05,0.800675874215,"https://doi.org/10.17632/2nnv9bw3hh.2"
"96","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.63,0.66,"EA",NA,0.798736409045,"https://doi.org/10.17632/2nnv9bw3hh.2"
"97","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.66,0.69,"EA",2.02,0.796796943875,"https://doi.org/10.17632/2nnv9bw3hh.2"
"98","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.72,0.75,"EA",2.63,0.792918013535,"https://doi.org/10.17632/2nnv9bw3hh.2"
"99","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.78,0.81,"EA",1.01,0.789039083195,"https://doi.org/10.17632/2nnv9bw3hh.2"
"100","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.84,0.87,"EA",0.43,0.8973258889,"https://doi.org/10.17632/2nnv9bw3hh.2"
"101","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.9,0.93,"EA",0.61,1.0158095797,"https://doi.org/10.17632/2nnv9bw3hh.2"
"102","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",0.96,0.99,"EA",0.47,1.1342932705,"https://doi.org/10.17632/2nnv9bw3hh.2"
"103","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",1.02,1.05,"EA",0.51,1.244343226375,"https://doi.org/10.17632/2nnv9bw3hh.2"
"104","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",1.02,1.05,"EA",0.38,1.244343226375,"https://doi.org/10.17632/2nnv9bw3hh.2"
"105","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",1.08,1.11,"EA",0.26,1.348369085875,"https://doi.org/10.17632/2nnv9bw3hh.2"
"106","Van de Broek et al 2018","MVdB Hellegat young","Hellegat young","Hellegat young","Saltmarsh",51.36669167,3.953547222,"direct from dataset","1","Belgium","2016",1.14,1.17,"EA",0.42,1.452394945375,"https://doi.org/10.17632/2nnv9bw3hh.2"
"107","Van de Broek et al 2018","MVdB Kruispolder old","Kruispolder old","Kruispolder old","Brackish",51.35980833,4.093230556,"direct from dataset","1","Belgium","2016",0,0.03,"EA",11.53303268,0.366735233617396,"https://doi.org/10.17632/2nnv9bw3hh.2"
"108","Van de Broek et al 2018","MVdB Kruispolder old","Kruispolder old","Kruispolder old","Brackish",51.35980833,4.093230556,"direct from dataset","1","Belgium","2016",0.03,0.06,"EA",9.981884212,0.414692918013517,"https://doi.org/10.17632/2nnv9bw3hh.2"
