"","Source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"15","Gorham et al 2021","CG CO10","CO10","Saltmarsh",-34.28232671,119.4522416,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,0.98,"https://doi.org/10.1007/s10021-020-00520-9"
"16","Gorham et al 2021","CG CO11","CO11","Saltmarsh",-34.38548373,119.364264,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.3,"https://doi.org/10.1007/s10021-020-00520-9"
"17","Gorham et al 2021","CG CO11","CO11","Saltmarsh",-34.38548373,119.364264,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.3,"https://doi.org/10.1007/s10021-020-00520-9"
"18","Gorham et al 2021","CG CO11","CO11","Saltmarsh",-34.38548373,119.364264,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.63,"https://doi.org/10.1007/s10021-020-00520-9"
"19","Gorham et al 2021","CG CO11","CO11","Saltmarsh",-34.38548373,119.364264,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,0.75,"https://doi.org/10.1007/s10021-020-00520-9"
"20","Gorham et al 2021","CG CO11","CO11","Saltmarsh",-34.38548373,119.364264,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.48,"https://doi.org/10.1007/s10021-020-00520-9"
"21","Gorham et al 2021","CG CO11","CO11","Saltmarsh",-34.38548373,119.364264,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,0.72,"https://doi.org/10.1007/s10021-020-00520-9"
"22","Gorham et al 2021","CG CO12","CO12","Saltmarsh",-34.38554331,119.364794,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.42,"https://doi.org/10.1007/s10021-020-00520-9"
"23","Gorham et al 2021","CG CO12","CO12","Saltmarsh",-34.38554331,119.364794,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.29,"https://doi.org/10.1007/s10021-020-00520-9"
"24","Gorham et al 2021","CG CO12","CO12","Saltmarsh",-34.38554331,119.364794,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.48,"https://doi.org/10.1007/s10021-020-00520-9"
"25","Gorham et al 2021","CG CO12","CO12","Saltmarsh",-34.38554331,119.364794,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,0.62,"https://doi.org/10.1007/s10021-020-00520-9"
"26","Gorham et al 2021","CG CO12","CO12","Saltmarsh",-34.38554331,119.364794,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.79,"https://doi.org/10.1007/s10021-020-00520-9"
"27","Gorham et al 2021","CG CO12","CO12","Saltmarsh",-34.38554331,119.364794,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,0.6,"https://doi.org/10.1007/s10021-020-00520-9"
"28","Gorham et al 2021","CG CO13","CO13","Saltmarsh",-34.365192,119.365797,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.3,"https://doi.org/10.1007/s10021-020-00520-9"
"29","Gorham et al 2021","CG CO13","CO13","Saltmarsh",-34.365192,119.365797,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.38,"https://doi.org/10.1007/s10021-020-00520-9"
"30","Gorham et al 2021","CG CO13","CO13","Saltmarsh",-34.365192,119.365797,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.82,"https://doi.org/10.1007/s10021-020-00520-9"
"31","Gorham et al 2021","CG CO13","CO13","Saltmarsh",-34.365192,119.365797,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.38,"https://doi.org/10.1007/s10021-020-00520-9"
"32","Gorham et al 2021","CG CO13","CO13","Saltmarsh",-34.365192,119.365797,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.97,"https://doi.org/10.1007/s10021-020-00520-9"
"33","Gorham et al 2021","CG CO13","CO13","Saltmarsh",-34.365192,119.365797,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,0.75,"https://doi.org/10.1007/s10021-020-00520-9"
"34","Gorham et al 2021","CG CO13","CO13","Saltmarsh",-34.365192,119.365797,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.22,"https://doi.org/10.1007/s10021-020-00520-9"
"35","Gorham et al 2021","CG CO14","CO14","Saltmarsh",-34.364622,119.365667,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.3,"https://doi.org/10.1007/s10021-020-00520-9"
"36","Gorham et al 2021","CG CO14","CO14","Saltmarsh",-34.364622,119.365667,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.39,"https://doi.org/10.1007/s10021-020-00520-9"
"37","Gorham et al 2021","CG CO14","CO14","Saltmarsh",-34.364622,119.365667,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.17,"https://doi.org/10.1007/s10021-020-00520-9"
"38","Gorham et al 2021","CG CO14","CO14","Saltmarsh",-34.364622,119.365667,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.28,"https://doi.org/10.1007/s10021-020-00520-9"
"39","Gorham et al 2021","CG CO14","CO14","Saltmarsh",-34.364622,119.365667,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.37,"https://doi.org/10.1007/s10021-020-00520-9"
"40","Gorham et al 2021","CG CO14","CO14","Saltmarsh",-34.364622,119.365667,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.78,"https://doi.org/10.1007/s10021-020-00520-9"
"41","Gorham et al 2021","CG CO14","CO14","Saltmarsh",-34.364622,119.365667,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.28,"https://doi.org/10.1007/s10021-020-00520-9"
"42","Gorham et al 2021","CG CO15","CO15","Saltmarsh",-34.93836672,117.9795476,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.15,"https://doi.org/10.1007/s10021-020-00520-9"
"43","Gorham et al 2021","CG CO15","CO15","Saltmarsh",-34.93836672,117.9795476,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.36,"https://doi.org/10.1007/s10021-020-00520-9"
"44","Gorham et al 2021","CG CO15","CO15","Saltmarsh",-34.93836672,117.9795476,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.43,"https://doi.org/10.1007/s10021-020-00520-9"
"45","Gorham et al 2021","CG CO15","CO15","Saltmarsh",-34.93836672,117.9795476,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.01,"https://doi.org/10.1007/s10021-020-00520-9"
"46","Gorham et al 2021","CG CO15","CO15","Saltmarsh",-34.93836672,117.9795476,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.92,"https://doi.org/10.1007/s10021-020-00520-9"
"47","Gorham et al 2021","CG CO15","CO15","Saltmarsh",-34.93836672,117.9795476,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.03,"https://doi.org/10.1007/s10021-020-00520-9"
"48","Gorham et al 2021","CG CO16","CO16","Saltmarsh",-34.93874399,117.9796733,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.37,"https://doi.org/10.1007/s10021-020-00520-9"
"49","Gorham et al 2021","CG CO16","CO16","Saltmarsh",-34.93874399,117.9796733,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.31,"https://doi.org/10.1007/s10021-020-00520-9"
"50","Gorham et al 2021","CG CO16","CO16","Saltmarsh",-34.93874399,117.9796733,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.27,"https://doi.org/10.1007/s10021-020-00520-9"
"51","Gorham et al 2021","CG CO16","CO16","Saltmarsh",-34.93874399,117.9796733,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"52","Gorham et al 2021","CG CO16","CO16","Saltmarsh",-34.93874399,117.9796733,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.17,"https://doi.org/10.1007/s10021-020-00520-9"
"53","Gorham et al 2021","CG CO16","CO16","Saltmarsh",-34.93874399,117.9796733,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,0.99,"https://doi.org/10.1007/s10021-020-00520-9"
"54","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.15,"https://doi.org/10.1007/s10021-020-00520-9"
"55","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.16,"https://doi.org/10.1007/s10021-020-00520-9"
"56","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.15,"https://doi.org/10.1007/s10021-020-00520-9"
"57","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,0.52,"https://doi.org/10.1007/s10021-020-00520-9"
"58","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.83,"https://doi.org/10.1007/s10021-020-00520-9"
"59","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,0.72,"https://doi.org/10.1007/s10021-020-00520-9"
"60","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,0.93,"https://doi.org/10.1007/s10021-020-00520-9"
"61","Gorham et al 2021","CG CO17","CO17","Saltmarsh",-34.96247843,117.9745172,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.12,"https://doi.org/10.1007/s10021-020-00520-9"
"62","Gorham et al 2021","CG CO18","CO18","Saltmarsh",-34.96148748,117.975667,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.25,"https://doi.org/10.1007/s10021-020-00520-9"
"63","Gorham et al 2021","CG CO18","CO18","Saltmarsh",-34.96148748,117.975667,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.07,"https://doi.org/10.1007/s10021-020-00520-9"
"64","Gorham et al 2021","CG CO18","CO18","Saltmarsh",-34.96148748,117.975667,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.99,"https://doi.org/10.1007/s10021-020-00520-9"
"65","Gorham et al 2021","CG CO18","CO18","Saltmarsh",-34.96148748,117.975667,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.38,"https://doi.org/10.1007/s10021-020-00520-9"
"66","Gorham et al 2021","CG CO18","CO18","Saltmarsh",-34.96148748,117.975667,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.33,"https://doi.org/10.1007/s10021-020-00520-9"
"67","Gorham et al 2021","CG CO19","CO19","Saltmarsh",-34.99236406,117.941191,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.2,"https://doi.org/10.1007/s10021-020-00520-9"
"68","Gorham et al 2021","CG CO19","CO19","Saltmarsh",-34.99236406,117.941191,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.1,"https://doi.org/10.1007/s10021-020-00520-9"
"69","Gorham et al 2021","CG CO19","CO19","Saltmarsh",-34.99236406,117.941191,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.08,"https://doi.org/10.1007/s10021-020-00520-9"
"70","Gorham et al 2021","CG CO19","CO19","Saltmarsh",-34.99236406,117.941191,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1,"https://doi.org/10.1007/s10021-020-00520-9"
"71","Gorham et al 2021","CG CO19","CO19","Saltmarsh",-34.99236406,117.941191,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.9,"https://doi.org/10.1007/s10021-020-00520-9"
"72","Gorham et al 2021","CG CO19","CO19","Saltmarsh",-34.99236406,117.941191,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"73","Gorham et al 2021","CG CO2","CO2","Saltmarsh",-33.887081,120.091164,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.87,"https://doi.org/10.1007/s10021-020-00520-9"
"74","Gorham et al 2021","CG CO2","CO2","Saltmarsh",-33.887081,120.091164,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.31,"https://doi.org/10.1007/s10021-020-00520-9"
"75","Gorham et al 2021","CG CO2","CO2","Saltmarsh",-33.887081,120.091164,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.39,"https://doi.org/10.1007/s10021-020-00520-9"
"76","Gorham et al 2021","CG CO2","CO2","Saltmarsh",-33.887081,120.091164,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.27,"https://doi.org/10.1007/s10021-020-00520-9"
"77","Gorham et al 2021","CG CO2","CO2","Saltmarsh",-33.887081,120.091164,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.08,"https://doi.org/10.1007/s10021-020-00520-9"
"78","Gorham et al 2021","CG CO2","CO2","Saltmarsh",-33.887081,120.091164,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.49,"https://doi.org/10.1007/s10021-020-00520-9"
"79","Gorham et al 2021","CG CO2","CO2","Saltmarsh",-33.887081,120.091164,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.46,"https://doi.org/10.1007/s10021-020-00520-9"
"80","Gorham et al 2021","CG CO20","CO20","Saltmarsh",-34.99180962,117.94173,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.68,"https://doi.org/10.1007/s10021-020-00520-9"
"81","Gorham et al 2021","CG CO20","CO20","Saltmarsh",-34.99180962,117.94173,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.07,"https://doi.org/10.1007/s10021-020-00520-9"
"82","Gorham et al 2021","CG CO20","CO20","Saltmarsh",-34.99180962,117.94173,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,NA,"https://doi.org/10.1007/s10021-020-00520-9"
"83","Gorham et al 2021","CG CO20","CO20","Saltmarsh",-34.99180962,117.94173,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.47,"https://doi.org/10.1007/s10021-020-00520-9"
"84","Gorham et al 2021","CG CO20","CO20","Saltmarsh",-34.99180962,117.94173,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.14,"https://doi.org/10.1007/s10021-020-00520-9"
"85","Gorham et al 2021","CG CO20","CO20","Saltmarsh",-34.99180962,117.94173,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,0.9,"https://doi.org/10.1007/s10021-020-00520-9"
"86","Gorham et al 2021","CG CO21","CO21","Saltmarsh",-34.99812993,117.4787295,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.39,"https://doi.org/10.1007/s10021-020-00520-9"
"87","Gorham et al 2021","CG CO21","CO21","Saltmarsh",-34.99812993,117.4787295,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.45,"https://doi.org/10.1007/s10021-020-00520-9"
"88","Gorham et al 2021","CG CO21","CO21","Saltmarsh",-34.99812993,117.4787295,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.43,"https://doi.org/10.1007/s10021-020-00520-9"
"89","Gorham et al 2021","CG CO21","CO21","Saltmarsh",-34.99812993,117.4787295,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,0.99,"https://doi.org/10.1007/s10021-020-00520-9"
"90","Gorham et al 2021","CG CO21","CO21","Saltmarsh",-34.99812993,117.4787295,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.34,"https://doi.org/10.1007/s10021-020-00520-9"
"91","Gorham et al 2021","CG CO21","CO21","Saltmarsh",-34.99812993,117.4787295,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.43,"https://doi.org/10.1007/s10021-020-00520-9"
"92","Gorham et al 2021","CG CO21","CO21","Saltmarsh",-34.99812993,117.4787295,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.39,"https://doi.org/10.1007/s10021-020-00520-9"
"93","Gorham et al 2021","CG CO22","CO22","Saltmarsh",-34.999286,117.479481,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,1.27,"https://doi.org/10.1007/s10021-020-00520-9"
"94","Gorham et al 2021","CG CO22","CO22","Saltmarsh",-34.999286,117.479481,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.29,"https://doi.org/10.1007/s10021-020-00520-9"
"95","Gorham et al 2021","CG CO22","CO22","Saltmarsh",-34.999286,117.479481,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.31,"https://doi.org/10.1007/s10021-020-00520-9"
"96","Gorham et al 2021","CG CO22","CO22","Saltmarsh",-34.999286,117.479481,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.55,"https://doi.org/10.1007/s10021-020-00520-9"
"97","Gorham et al 2021","CG CO22","CO22","Saltmarsh",-34.999286,117.479481,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.28,"https://doi.org/10.1007/s10021-020-00520-9"
"98","Gorham et al 2021","CG CO22","CO22","Saltmarsh",-34.999286,117.479481,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.13,"https://doi.org/10.1007/s10021-020-00520-9"
"99","Gorham et al 2021","CG CO22","CO22","Saltmarsh",-34.999286,117.479481,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.46,"https://doi.org/10.1007/s10021-020-00520-9"
"100","Gorham et al 2021","CG CO23","CO23","Saltmarsh",-35.008439,117.328619,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.12,"https://doi.org/10.1007/s10021-020-00520-9"
"101","Gorham et al 2021","CG CO23","CO23","Saltmarsh",-35.008439,117.328619,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.74,"https://doi.org/10.1007/s10021-020-00520-9"
"102","Gorham et al 2021","CG CO23","CO23","Saltmarsh",-35.008439,117.328619,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.41,"https://doi.org/10.1007/s10021-020-00520-9"
"103","Gorham et al 2021","CG CO23","CO23","Saltmarsh",-35.008439,117.328619,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.26,"https://doi.org/10.1007/s10021-020-00520-9"
"104","Gorham et al 2021","CG CO23","CO23","Saltmarsh",-35.008439,117.328619,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.17,"https://doi.org/10.1007/s10021-020-00520-9"
"105","Gorham et al 2021","CG CO23","CO23","Saltmarsh",-35.008439,117.328619,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.15,"https://doi.org/10.1007/s10021-020-00520-9"
"106","Gorham et al 2021","CG CO24","CO24","Saltmarsh",-35.008722,117.3288,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.59,"https://doi.org/10.1007/s10021-020-00520-9"
"107","Gorham et al 2021","CG CO24","CO24","Saltmarsh",-35.008722,117.3288,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.09,"https://doi.org/10.1007/s10021-020-00520-9"
"108","Gorham et al 2021","CG CO24","CO24","Saltmarsh",-35.008722,117.3288,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.1,"https://doi.org/10.1007/s10021-020-00520-9"
"109","Gorham et al 2021","CG CO24","CO24","Saltmarsh",-35.008722,117.3288,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.45,"https://doi.org/10.1007/s10021-020-00520-9"
"110","Gorham et al 2021","CG CO24","CO24","Saltmarsh",-35.008722,117.3288,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.12,"https://doi.org/10.1007/s10021-020-00520-9"
"111","Gorham et al 2021","CG CO24","CO24","Saltmarsh",-35.008722,117.3288,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.28,"https://doi.org/10.1007/s10021-020-00520-9"
"112","Gorham et al 2021","CG CO25","CO25","Saltmarsh",-35.024544,117.326672,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.43,"https://doi.org/10.1007/s10021-020-00520-9"
"113","Gorham et al 2021","CG CO25","CO25","Saltmarsh",-35.024544,117.326672,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.01,"https://doi.org/10.1007/s10021-020-00520-9"
"114","Gorham et al 2021","CG CO25","CO25","Saltmarsh",-35.024544,117.326672,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.23,"https://doi.org/10.1007/s10021-020-00520-9"
"115","Gorham et al 2021","CG CO25","CO25","Saltmarsh",-35.024544,117.326672,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.27,"https://doi.org/10.1007/s10021-020-00520-9"
"116","Gorham et al 2021","CG CO25","CO25","Saltmarsh",-35.024544,117.326672,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.13,"https://doi.org/10.1007/s10021-020-00520-9"
"117","Gorham et al 2021","CG CO25","CO25","Saltmarsh",-35.024544,117.326672,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.23,"https://doi.org/10.1007/s10021-020-00520-9"
"118","Gorham et al 2021","CG CO25","CO25","Saltmarsh",-35.024544,117.326672,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.35,"https://doi.org/10.1007/s10021-020-00520-9"
"119","Gorham et al 2021","CG CO26","CO26","Saltmarsh",-35.024508,117.326789,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,1.05,"https://doi.org/10.1007/s10021-020-00520-9"
"120","Gorham et al 2021","CG CO26","CO26","Saltmarsh",-35.024508,117.326789,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.26,"https://doi.org/10.1007/s10021-020-00520-9"
"121","Gorham et al 2021","CG CO26","CO26","Saltmarsh",-35.024508,117.326789,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.19,"https://doi.org/10.1007/s10021-020-00520-9"
"122","Gorham et al 2021","CG CO26","CO26","Saltmarsh",-35.024508,117.326789,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,0.88,"https://doi.org/10.1007/s10021-020-00520-9"
"123","Gorham et al 2021","CG CO26","CO26","Saltmarsh",-35.024508,117.326789,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.95,"https://doi.org/10.1007/s10021-020-00520-9"
"124","Gorham et al 2021","CG CO26","CO26","Saltmarsh",-35.024508,117.326789,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.28,"https://doi.org/10.1007/s10021-020-00520-9"
"125","Gorham et al 2021","CG CO26","CO26","Saltmarsh",-35.024508,117.326789,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"126","Gorham et al 2021","CG CO27","CO27","Saltmarsh",-35.0001405,116.8121519,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.13,"https://doi.org/10.1007/s10021-020-00520-9"
"127","Gorham et al 2021","CG CO27","CO27","Saltmarsh",-35.0001405,116.8121519,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.21,"https://doi.org/10.1007/s10021-020-00520-9"
"128","Gorham et al 2021","CG CO27","CO27","Saltmarsh",-35.0001405,116.8121519,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.29,"https://doi.org/10.1007/s10021-020-00520-9"
"129","Gorham et al 2021","CG CO27","CO27","Saltmarsh",-35.0001405,116.8121519,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.13,"https://doi.org/10.1007/s10021-020-00520-9"
