"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"14","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1715,0.1847,"EA",NA,69.64,0.098,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"15","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1847,0.1979,"EA",NA,71.85,0.129,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"16","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1979,0.2111,"EA",NA,56.52,0.136,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"17","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2111,0.2243,"EA",17.93,46.6,0.114,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"18","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2243,0.2374,"EA",NA,44.32,0.28,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"19","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2374,0.2506,"EA",NA,38.64,0.22,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"20","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2506,0.2638,"EA",NA,47.38,0.205,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"21","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2638,0.277,"EA",NA,49.98,0.205,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"22","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.277,0.2902,"EA",21.82,38.98,0.182,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"23","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2902,0.3034,"EA",NA,31.99,0.356,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"24","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3034,0.3166,"EA",NA,27.67,0.318,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"25","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3166,0.3298,"EA",NA,38.47,0.227,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"26","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3298,0.343,"EA",NA,35.77,0.265,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"27","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.343,0.3562,"EA",NA,35.48,0.242,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"28","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3562,0.3694,"EA",NA,56.68,0.212,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"29","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3694,0.3826,"EA",NA,31.94,0.242,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"30","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3826,0.3957,"EA",NA,25.88,0.25,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"31","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3957,0.4089,"EA",NA,51.88,0.152,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"32","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4089,0.4221,"EA",NA,40.81,0.197,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"33","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4221,0.4353,"EA",16.84,48.84,0.227,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"34","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4353,0.4485,"EA",NA,38.83,0.189,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"35","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4485,0.4617,"EA",NA,43.72,0.182,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"36","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4617,0.4749,"EA",NA,36.72,0.174,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"37","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4749,0.4881,"EA",NA,25.87,0.182,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"38","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4881,0.5013,"EA",11.71,24.6,0.121,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"39","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5013,0.5145,"EA",NA,24.95,0.303,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"40","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5145,0.5277,"EA",NA,14.65,0.477,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"41","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5277,0.5409,"EA",NA,8.23,0.614,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"42","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5409,0.554,"EA",NA,6.35,0.735,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"43","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.554,0.5672,"EA",4.68,10.8,0.591,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"44","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5672,0.5804,"EA",NA,6.03,0.705,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"45","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5804,0.5936,"EA",NA,9.62,0.538,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"46","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5936,0.6068,"EA",NA,5.26,0.674,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"47","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.6068,0.62,"EA",1.44,3.99,0.697,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"48","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0105,"EA",NA,90.92,0.095,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"49","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0105,0.0211,"EA",NA,89.87,0.124,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"50","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0211,0.0316,"EA",NA,97.08,0.095,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"51","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0316,0.0421,"EA",NA,84.24,0.105,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"52","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0421,0.0526,"EA",NA,77,0.105,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"53","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0526,0.0632,"EA",NA,76.31,0.105,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"54","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0632,0.0737,"EA",NA,76.73,0.133,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"55","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0737,0.0842,"EA",NA,62.34,0.133,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"56","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0842,0.0947,"EA",NA,69.17,0.133,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"57","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0947,0.1053,"EA",NA,60.93,0.124,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"58","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1053,0.1158,"EA",NA,60.9,0.143,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"59","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1158,0.1263,"EA",NA,53.37,0.181,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"60","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1263,0.1368,"EA",NA,61,0.143,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"61","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1368,0.1474,"EA",NA,67.66,0.162,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"62","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1474,0.1579,"EA",NA,57.17,0.162,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"63","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1579,0.1684,"EA",NA,48.57,0.171,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"64","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1684,0.1789,"EA",NA,48.97,0.2,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"65","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1789,0.1895,"EA",NA,45.76,0.19,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"66","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1895,0.2,"EA",NA,30.43,0.314,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"67","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2,0.2105,"EA",NA,27.71,0.314,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"68","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2105,0.2211,"EA",NA,15.32,0.438,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"69","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2211,0.2316,"EA",NA,16.36,0.419,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"70","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2316,0.2421,"EA",NA,15.77,0.476,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"71","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2421,0.2526,"EA",NA,17.88,0.41,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"72","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2526,0.2632,"EA",NA,15.71,0.457,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"73","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2632,0.2737,"EA",NA,30.08,0.733,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"74","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2737,0.2842,"EA",NA,25.55,0.267,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"75","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2842,0.2947,"EA",NA,17.62,0.4,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"76","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2947,0.3053,"EA",NA,13.12,0.476,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"77","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3053,0.3158,"EA",NA,11.35,0.59,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"78","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3158,0.3263,"EA",NA,9.06,0.686,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"79","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3263,0.3368,"EA",NA,20.11,0.343,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"80","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3368,0.3474,"EA",NA,24.43,0.362,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"81","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3474,0.3579,"EA",NA,27.36,0.305,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"82","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3579,0.3684,"EA",NA,31.61,0.314,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"83","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3684,0.3789,"EA",NA,18.19,0.39,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"84","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3789,0.3895,"EA",NA,19.63,0.362,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"85","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3895,0.4001,"EA",NA,10.77,0.59,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"86","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0,0.01,"EA",NA,83.33,0.09,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"87","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.01,0.02,"EA",NA,77.85,0.11,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"88","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.02,0.03,"EA",NA,93.62,0.09,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"89","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.03,0.04,"EA",NA,90.02,0.1,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"90","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.04,0.05,"EA",NA,83.8,0.09,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"91","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.06,"EA",NA,84.58,0.11,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"92","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.06,0.07,"EA",NA,77.11,0.13,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"93","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.07,0.08,"EA",NA,83.43,0.09,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"94","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.08,0.09,"EA",NA,82.75,0.09,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"95","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil-peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.09,0.1,"EA",NA,71.6,0.11,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"96","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil-peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.11,"EA",NA,85.2,0.12,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
