"","Source","Site_name","Site","Core","Treatment","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","SOM_perc","DOI"
"57","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.42,0.46,"EA",0.103,1.47,2.3,"https://doi.org/10.1002/lno.12011"
"58","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.46,0.5,"EA",0.106,1.3,1.28,"https://doi.org/10.1002/lno.12011"
"59","Graversen et al 2022","EG Horsens Ungrazed","Horsens","Horsens Ungrazed","Ungrazed","Saltmarsh",55.875676,10.018878,"direct from dataset","1","Denmark",2018,0.5,0.52,"EA",0.362,1.34,1.87,"https://doi.org/10.1002/lno.12011"
"60","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0,0.01,"EA",2.874,0.93,13.9,"https://doi.org/10.1002/lno.12011"
"61","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.01,0.02,"EA",1.06166666666667,1.31,4.88,"https://doi.org/10.1002/lno.12011"
"62","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.02,0.03,"EA",0.765,1.35,5.42,"https://doi.org/10.1002/lno.12011"
"63","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.03,0.04,"EA",0.848,1.47,5.59,"https://doi.org/10.1002/lno.12011"
"64","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.04,0.05,"EA",0.803,1.38,5.65,"https://doi.org/10.1002/lno.12011"
"65","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.05,0.06,"EA",0.987,1.16,8.65,"https://doi.org/10.1002/lno.12011"
"66","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.06,0.07,"EA",1.453,1.32,6.09,"https://doi.org/10.1002/lno.12011"
"67","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.07,0.08,"EA",1.1675,1.265,6.39,"https://doi.org/10.1002/lno.12011"
"68","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.08,0.09,"EA",1.18,1.21,7.28,"https://doi.org/10.1002/lno.12011"
"69","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",0.945,1.34,7.44,"https://doi.org/10.1002/lno.12011"
"70","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",1.667,1.16,9.61,"https://doi.org/10.1002/lno.12011"
"71","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",2.557,1.1,10.7,"https://doi.org/10.1002/lno.12011"
"72","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",1.27266666666667,1.22,7.46333333333333,"https://doi.org/10.1002/lno.12011"
"73","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",3.125,0.85,15.82,"https://doi.org/10.1002/lno.12011"
"74","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",2.374,0.97,16.33,"https://doi.org/10.1002/lno.12011"
"75","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",2.709,0.92,18.58,"https://doi.org/10.1002/lno.12011"
"76","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",4.376,0.69,19.75,"https://doi.org/10.1002/lno.12011"
"77","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",7.37366666666667,0.673333333333333,28.2933333333333,"https://doi.org/10.1002/lno.12011"
"78","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",6.863,0.48,31.95,"https://doi.org/10.1002/lno.12011"
"79","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.28,0.3,"EA",3.627,0.75,18.91,"https://doi.org/10.1002/lno.12011"
"80","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.3,0.32,"EA",2.027,1.03,9.23,"https://doi.org/10.1002/lno.12011"
"81","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.32,0.34,"EA",4.021,0.73,15.11,"https://doi.org/10.1002/lno.12011"
"82","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.34,0.36,"EA",0.284333333333333,1.40666666666667,3.68333333333333,"https://doi.org/10.1002/lno.12011"
"83","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.36,0.38,"EA",0.517,1.26,2.73,"https://doi.org/10.1002/lno.12011"
"84","Graversen et al 2022","EG Mariager Grazed","Mariager","Mariager Grazed","Grazed","Saltmarsh",56.708652,10.166294,"direct from dataset","1","Denmark",2018,0.38,0.4,"EA",0.858,1.2,3.97,"https://doi.org/10.1002/lno.12011"
"85","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0,0.01,"EA",0.366,1.11,5,"https://doi.org/10.1002/lno.12011"
"86","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.01,0.02,"EA",0.896666666666667,1.09333333333333,5.47666666666667,"https://doi.org/10.1002/lno.12011"
"87","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.02,0.03,"EA",1.22,1.08,8.27,"https://doi.org/10.1002/lno.12011"
"88","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.03,0.04,"EA",0.674,1.29,6.34,"https://doi.org/10.1002/lno.12011"
"89","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.04,0.05,"EA",0.463,1.16,4.83,"https://doi.org/10.1002/lno.12011"
"90","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.05,0.06,"EA",0.603,1.16,5.62,"https://doi.org/10.1002/lno.12011"
"91","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.06,0.07,"EA",1.024,1.21,7.26,"https://doi.org/10.1002/lno.12011"
"92","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.07,0.08,"EA",1.08133333333333,1.13,6.35,"https://doi.org/10.1002/lno.12011"
"93","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.08,0.09,"EA",0.939,1.16,6.02,"https://doi.org/10.1002/lno.12011"
"94","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",0.854,1.18,4.9,"https://doi.org/10.1002/lno.12011"
"95","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",0.684,1.08,5.25,"https://doi.org/10.1002/lno.12011"
"96","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",0.436,1.15,4.21,"https://doi.org/10.1002/lno.12011"
"97","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",1.24,1.02,8.13666666666667,"https://doi.org/10.1002/lno.12011"
"98","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",0.766,1.17,5.85,"https://doi.org/10.1002/lno.12011"
"99","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",0.497,1.2,3.81,"https://doi.org/10.1002/lno.12011"
"100","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",0.835,1.19,5.38,"https://doi.org/10.1002/lno.12011"
"101","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",2.894,1.1,8.63,"https://doi.org/10.1002/lno.12011"
"102","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",0.792,1.24333333333333,4.67666666666667,"https://doi.org/10.1002/lno.12011"
"103","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",0.641,1.21,4.92,"https://doi.org/10.1002/lno.12011"
"104","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.28,0.3,"EA",0.522,1.23,4.44,"https://doi.org/10.1002/lno.12011"
"105","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.3,0.32,"EA",1.086,1.14,7.94,"https://doi.org/10.1002/lno.12011"
"106","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.32,0.34,"EA",0.675,1.26,5.72,"https://doi.org/10.1002/lno.12011"
"107","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.34,0.36,"EA",0.515666666666667,1.22666666666667,3.95666666666667,"https://doi.org/10.1002/lno.12011"
"108","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.36,0.38,"EA",1.096,1.13,8.05,"https://doi.org/10.1002/lno.12011"
