"","Source","Site_name","Original_source","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","SOM_perc","SOM_perc_mean","SOM_perc_sd","OC_perc","OC_perc_mean","OC_perc_sd","BD_reported_g_cm3","DOI"
"22","Copertino et al under review","MC 1","Braga et al 2011","Curuça",1,"Salt marsh",-0.6901,-47.8672,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.68,0.11,NA,0.32,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"23","Copertino et al under review","MC 45","Zanin 2003","Floripa/Ratones",45,"Salt marsh",-27.4517,-48.5278,"direct from dataset","1","Brazil",2000,0,0.1,"LOI","0.47*x+0.0008",15.18,NA,NA,7.14,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"24","Copertino et al under review","MC 46","Zanin 2003","Floripa/Ratones",46,"Salt marsh",-27.4517,-48.5278,"direct from dataset","1","Brazil",2000,0,0.1,"LOI","0.47*x+0.0008",15.04,NA,NA,7.07,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"25","Copertino et al under review","MC 47","Zanin 2003","Floripa/Ratones",47,"Salt marsh",-27.4519,-48.5364,"direct from dataset","1","Brazil",2000,0,0.1,"LOI","0.47*x+0.0008",15.65,NA,NA,7.36,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"26","Copertino et al under review","MC 48","Zanin 2003","Floripa/Ratones",48,"Salt marsh",-27.4519,-48.5364,"direct from dataset","1","Brazil",2000,0,0.1,"LOI","0.47*x+0.0008",14,NA,NA,6.58,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"27","Copertino et al under review","MC 49","Zanin 2003","Floripa/Ratones",49,"Salt marsh",-27.4531,-48.5303,"direct from dataset","1","Brazil",2000,0,0.1,"LOI","0.47*x+0.0008",17.78,NA,NA,8.36,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"28","Copertino et al under review","MC 50","Zanin 2003","Floripa/Ratones",50,"Salt marsh",-27.4531,-48.5303,"direct from dataset","1","Brazil",2000,0,0.1,"LOI","0.47*x+0.0008",16.65,NA,NA,7.83,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"29","Copertino et al under review","MC 86","Hidalgo et al 2021","Mar Chiquita",86,"Salt marsh",-37.7492,-57.4211,"direct from dataset","1","Argentina",2011,0,0.07,"LOI","0.47*x+0.0008",NA,6.5,1.21,NA,3.06,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"30","Copertino et al under review","MC 2","Braga et al 2011","Marapanim",2,"Salt marsh",-0.7236,-47.7078,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.67,0.07,NA,0.32,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"31","Copertino et al under review","MC 3","Braga et al 2011","Maruda",3,"Salt marsh",-0.6152,-47.6346,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.1,0.12,NA,0.05,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"32","Copertino et al under review","MC 25","Neto & Lana 1997","Paranaguá Bay",25,"Salt marsh",-25.4944,-48.6411,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",25,NA,NA,11.75,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"33","Copertino et al under review","MC 26","Neto & Lana 1997","Paranaguá Bay",26,"Salt marsh",-25.4543,-48.5939,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",25,NA,NA,11.75,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"34","Copertino et al under review","MC 27","Neto & Lana 1997","Paranaguá Bay",27,"Salt marsh",-25.5129,-48.5911,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",19,NA,NA,8.93,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"35","Copertino et al under review","MC 28","Neto & Lana 1997","Paranaguá Bay",28,"Salt marsh",-25.4534,-48.5329,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",17,NA,NA,7.99,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"36","Copertino et al under review","MC 29","Neto & Lana 1997","Paranaguá Bay",29,"Salt marsh",-25.4762,-48.5027,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",14,NA,NA,6.58,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"37","Copertino et al under review","MC 30","Neto & Lana 1997","Paranaguá Bay",30,"Salt marsh",-25.5104,-48.4614,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",8,NA,NA,3.76,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"38","Copertino et al under review","MC 31","Neto & Lana 1997","Paranaguá Bay",31,"Salt marsh",-25.5528,-48.4393,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",5,NA,NA,2.35,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"39","Copertino et al under review","MC 32","Neto & Lana 1997","Paranaguá Bay",32,"Salt marsh",-25.5133,-48.4274,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",4,NA,NA,1.88,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"40","Copertino et al under review","MC 33","Neto & Lana 1997","Paranaguá Bay",33,"Salt marsh",-25.54,-48.4059,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"41","Copertino et al under review","MC 34","Neto & Lana 1997","Paranaguá Bay",34,"Salt marsh",-25.546,-48.4148,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"42","Copertino et al under review","MC 35","Neto & Lana 1997","Paranaguá Bay",35,"Salt marsh",-25.5507,-48.3917,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",4,NA,NA,1.88,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"43","Copertino et al under review","MC 36","Neto & Lana 1997","Paranaguá Bay",36,"Salt marsh",-25.545,-48.3743,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"44","Copertino et al under review","MC 37","Neto & Lana 1997","Paranaguá Bay",37,"Salt marsh",-25.5119,-48.4403,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",2,NA,NA,0.94,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"45","Copertino et al under review","MC 38","Neto & Lana 1997","Paranaguá Bay",38,"Salt marsh",-25.557,-48.3647,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",2.5,NA,NA,1.18,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"46","Copertino et al under review","MC 39","Neto & Lana 1997","Paranaguá Bay",39,"Salt marsh",-25.5604,-48.3169,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"47","Copertino et al under review","MC 40","Neto & Lana 1997","Paranaguá Bay",40,"Salt marsh",-25.5507,-48.3917,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"48","Copertino et al under review","MC 41","Neto & Lana 1997","Paranaguá Bay",41,"Salt marsh",-25.545,-48.3743,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",1,NA,NA,0.47,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"49","Copertino et al under review","MC 42","Neto & Lana 1997","Paranaguá Bay",42,"Salt marsh",-25.545,-48.3743,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"50","Copertino et al under review","MC 43","Neto & Lana 1997","Paranaguá Bay",43,"Salt marsh",-25.557,-48.3647,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",1,NA,NA,0.47,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"51","Copertino et al under review","MC 44","Neto & Lana 1997","Paranaguá Bay",44,"Salt marsh",-25.5604,-48.3169,"direct from dataset","1","Brazil",1991,0,0.1,"LOI","0.47*x+0.0008",2,NA,NA,0.94,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"52","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0,0.02,"EA","0.47*x+0.0008",NA,NA,NA,4.79,NA,NA,0.35,"https://doi.org/10.1038/s43247-023-00828-z"
"53","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.02,0.04,"EA","0.47*x+0.0008",NA,NA,NA,5.39,NA,NA,0.31,"https://doi.org/10.1038/s43247-023-00828-z"
"54","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.04,0.06,"EA","0.47*x+0.0008",NA,NA,NA,4.87,NA,NA,0.33,"https://doi.org/10.1038/s43247-023-00828-z"
"55","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.06,0.08,"EA","0.47*x+0.0008",NA,NA,NA,4.47,NA,NA,0.32,"https://doi.org/10.1038/s43247-023-00828-z"
"56","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.08,0.1,"EA","0.47*x+0.0008",NA,NA,NA,4.66,NA,NA,0.32,"https://doi.org/10.1038/s43247-023-00828-z"
"57","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.1,0.12,"EA","0.47*x+0.0008",NA,NA,NA,4.87,NA,NA,0.31,"https://doi.org/10.1038/s43247-023-00828-z"
"58","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.12,0.14,"EA","0.47*x+0.0008",NA,NA,NA,3.67,NA,NA,0.3,"https://doi.org/10.1038/s43247-023-00828-z"
"59","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.14,0.16,"EA","0.47*x+0.0008",NA,NA,NA,1.98,NA,NA,0.55,"https://doi.org/10.1038/s43247-023-00828-z"
"60","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.16,0.18,"EA","0.47*x+0.0008",NA,NA,NA,1.47,NA,NA,0.54,"https://doi.org/10.1038/s43247-023-00828-z"
"61","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.18,0.2,"EA","0.47*x+0.0008",NA,NA,NA,1.25,NA,NA,0.64,"https://doi.org/10.1038/s43247-023-00828-z"
"62","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.2,0.25,"EA","0.47*x+0.0008",NA,NA,NA,0.85,NA,NA,0.65,"https://doi.org/10.1038/s43247-023-00828-z"
"63","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.25,0.3,"EA","0.47*x+0.0008",NA,NA,NA,0.57,NA,NA,0.67,"https://doi.org/10.1038/s43247-023-00828-z"
"64","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.3,0.35,"EA","0.47*x+0.0008",NA,NA,NA,0.42,NA,NA,0.74,"https://doi.org/10.1038/s43247-023-00828-z"
"65","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.35,0.4,"EA","0.47*x+0.0008",NA,NA,NA,0.36,NA,NA,0.79,"https://doi.org/10.1038/s43247-023-00828-z"
"66","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.4,0.45,"EA","0.47*x+0.0008",NA,NA,NA,0.32,NA,NA,0.8,"https://doi.org/10.1038/s43247-023-00828-z"
"67","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil",2005,0.45,0.5,"EA","0.47*x+0.0008",NA,NA,NA,0.35,NA,NA,0.69,"https://doi.org/10.1038/s43247-023-00828-z"
"68","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0,0.02,"EA","0.47*x+0.0008",NA,NA,NA,9.05,NA,NA,1.22,"https://doi.org/10.1038/s43247-023-00828-z"
"69","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.02,0.04,"EA","0.47*x+0.0008",NA,NA,NA,8.79,NA,NA,0.47,"https://doi.org/10.1038/s43247-023-00828-z"
"70","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.04,0.06,"EA","0.47*x+0.0008",NA,NA,NA,8.14,NA,NA,0.48,"https://doi.org/10.1038/s43247-023-00828-z"
"71","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.06,0.08,"EA","0.47*x+0.0008",NA,NA,NA,8.91,NA,NA,0.47,"https://doi.org/10.1038/s43247-023-00828-z"
"72","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.08,0.1,"EA","0.47*x+0.0008",NA,NA,NA,6.86,NA,NA,0.58,"https://doi.org/10.1038/s43247-023-00828-z"
"73","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.1,0.12,"EA","0.47*x+0.0008",NA,NA,NA,6.29,NA,NA,0.49,"https://doi.org/10.1038/s43247-023-00828-z"
"74","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.12,0.14,"EA","0.47*x+0.0008",NA,NA,NA,4.86,NA,NA,0.62,"https://doi.org/10.1038/s43247-023-00828-z"
"75","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.14,0.16,"EA","0.47*x+0.0008",NA,NA,NA,4.3,NA,NA,0.78,"https://doi.org/10.1038/s43247-023-00828-z"
"76","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.16,0.18,"EA","0.47*x+0.0008",NA,NA,NA,4.17,NA,NA,0.69,"https://doi.org/10.1038/s43247-023-00828-z"
"77","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.18,0.2,"EA","0.47*x+0.0008",NA,NA,NA,3.94,NA,NA,0.74,"https://doi.org/10.1038/s43247-023-00828-z"
"78","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.2,0.25,"EA","0.47*x+0.0008",NA,NA,NA,3.67,NA,NA,0.82,"https://doi.org/10.1038/s43247-023-00828-z"
"79","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.25,0.3,"EA","0.47*x+0.0008",NA,NA,NA,3.22,NA,NA,1.01,"https://doi.org/10.1038/s43247-023-00828-z"
"80","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.3,0.35,"EA","0.47*x+0.0008",NA,NA,NA,2.31,NA,NA,0.99,"https://doi.org/10.1038/s43247-023-00828-z"
"81","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.35,0.4,"EA","0.47*x+0.0008",NA,NA,NA,1.97,NA,NA,1.32,"https://doi.org/10.1038/s43247-023-00828-z"
"82","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.4,0.45,"EA","0.47*x+0.0008",NA,NA,NA,2.04,NA,NA,1.44,"https://doi.org/10.1038/s43247-023-00828-z"
"83","Copertino et al under review","MC 56","UNPUBLISHED","Patos Lagoon",56,"Salt marsh",-32.004,-52.1944,"direct from dataset","1","Brazil",2005,0.45,0.5,"EA","0.47*x+0.0008",NA,NA,NA,1.55,NA,NA,1.54,"https://doi.org/10.1038/s43247-023-00828-z"
"84","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0,0.02,"EA","0.47*x+0.0008",NA,NA,NA,0.49,NA,NA,1.53,"https://doi.org/10.1038/s43247-023-00828-z"
"85","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.02,0.04,"EA","0.47*x+0.0008",NA,NA,NA,0.19,NA,NA,1.13,"https://doi.org/10.1038/s43247-023-00828-z"
"86","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.04,0.06,"EA","0.47*x+0.0008",NA,NA,NA,0.2,NA,NA,1.33,"https://doi.org/10.1038/s43247-023-00828-z"
"87","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.06,0.08,"EA","0.47*x+0.0008",NA,NA,NA,0.41,NA,NA,1.24,"https://doi.org/10.1038/s43247-023-00828-z"
"88","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.08,0.1,"EA","0.47*x+0.0008",NA,NA,NA,0.53,NA,NA,1.21,"https://doi.org/10.1038/s43247-023-00828-z"
"89","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.1,0.12,"EA","0.47*x+0.0008",NA,NA,NA,0.4,NA,NA,1.25,"https://doi.org/10.1038/s43247-023-00828-z"
"90","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.12,0.14,"EA","0.47*x+0.0008",NA,NA,NA,0.35,NA,NA,1.04,"https://doi.org/10.1038/s43247-023-00828-z"
"91","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.14,0.16,"EA","0.47*x+0.0008",NA,NA,NA,0.29,NA,NA,1.22,"https://doi.org/10.1038/s43247-023-00828-z"
"92","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.16,0.18,"EA","0.47*x+0.0008",NA,NA,NA,0.25,NA,NA,1.24,"https://doi.org/10.1038/s43247-023-00828-z"
"93","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.18,0.2,"EA","0.47*x+0.0008",NA,NA,NA,0.16,NA,NA,1.35,"https://doi.org/10.1038/s43247-023-00828-z"
