"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","DOI"
"19","Li et al 2019","YL Huifuqu","Huifuqu","Huifuqu1-1","Salt marsh","37.58280","118.9510","direct from dataset","1","China","2018",0,0.15,"EA",0.607,"https://doi.org/10.1371/journal.pone.0210768"
"20","Li et al 2019","YL Huifuqu","Huifuqu","Huifuqu1-2","Salt marsh","37.582607","118.95094","direct from dataset","1","China","2018",0,0.15,"EA",0.654,"https://doi.org/10.1371/journal.pone.0210768"
"21","Li et al 2019","YL Huifuqu","Huifuqu","Huifuqu1-3","Salt marsh","37.58242","118.95084","direct from dataset","1","China","2018",0,0.15,"EA",0.743,"https://doi.org/10.1371/journal.pone.0210768"
"22","Li et al 2019","YL Huifuqu","Huifuqu","Huifuqu2-1","Salt marsh","37.582756","118.95122","direct from dataset","1","China","2018",0,0.15,"EA",0.733,"https://doi.org/10.1371/journal.pone.0210768"
"23","Li et al 2019","YL Huifuqu","Huifuqu","Huifuqu2-2","Salt marsh","37.58256","118.95113","direct from dataset","1","China","2018",0,0.15,"EA",0.799,"https://doi.org/10.1371/journal.pone.0210768"
"24","Li et al 2019","YL Huifuqu","Huifuqu","Huifuqu2-3","Salt marsh","37.582288","118.95101","direct from dataset","1","China","2018",0,0.15,"EA",0.506,"https://doi.org/10.1371/journal.pone.0210768"
"25","Li et al 2019","YL Laohekou","Laohekou","Laohekou1-1","Salt marsh","38.076017","118.81435","direct from dataset","1","China","2018",0,0.15,"EA",0.957,"https://doi.org/10.1371/journal.pone.0210768"
"26","Li et al 2019","YL Laohekou","Laohekou","Laohekou1-2","Salt marsh","38.075839","118.81434","direct from dataset","1","China","2018",0,0.15,"EA",1.09,"https://doi.org/10.1371/journal.pone.0210768"
"27","Li et al 2019","YL Laohekou","Laohekou","Laohekou1-3","Salt marsh","38.075535","118.81431","direct from dataset","1","China","2018",0,0.15,"EA",1.013,"https://doi.org/10.1371/journal.pone.0210768"
"28","Li et al 2019","YL Laohekou","Laohekou","Laohekou2-1","Salt marsh","38.076059","118.8141","direct from dataset","1","China","2018",0,0.15,"EA",0.863,"https://doi.org/10.1371/journal.pone.0210768"
"29","Li et al 2019","YL Laohekou","Laohekou","Laohekou2-2","Salt marsh","38.075751","118.81408","direct from dataset","1","China","2018",0,0.15,"EA",0.771,"https://doi.org/10.1371/journal.pone.0210768"
"30","Li et al 2019","YL Laohekou","Laohekou","Laohekou2-3","Salt marsh","38.075434","118.81406","direct from dataset","1","China","2018",0,0.15,"EA",0.712,"https://doi.org/10.1371/journal.pone.0210768"
"31","Li et al 2019","YL Laohekou","Laohekou","Laohekou3-1","Salt marsh","38.076093","118.8139","direct from dataset","1","China","2018",0,0.15,"EA",1.241,"https://doi.org/10.1371/journal.pone.0210768"
"32","Li et al 2019","YL Laohekou","Laohekou","Laohekou3-2","Salt marsh","38.075734","118.81389","direct from dataset","1","China","2018",0,0.15,"EA",1.316,"https://doi.org/10.1371/journal.pone.0210768"
"33","Li et al 2019","YL Laohekou","Laohekou","Laohekou3-3","Salt marsh","38.075404","118.81391","direct from dataset","1","China","2018",0,0.15,"EA",1.086,"https://doi.org/10.1371/journal.pone.0210768"
"34","Li et al 2019","YL Ruhaikou","Ruhaikou","Ruhaikou1-1","Salt marsh","37.731367","118.98476","direct from dataset","1","China","2018",0,0.15,"EA",1.477,"https://doi.org/10.1371/journal.pone.0210768"
"35","Li et al 2019","YL Ruhaikou","Ruhaikou","Ruhaikou1-2","Salt marsh","37.731427","118.9843","direct from dataset","1","China","2018",0,0.15,"EA",1.965,"https://doi.org/10.1371/journal.pone.0210768"
"36","Li et al 2019","YL Ruhaikou","Ruhaikou","Ruhaikou1-3","Salt marsh","37.731588","118.98385","direct from dataset","1","China","2018",0,0.15,"EA",1.566,"https://doi.org/10.1371/journal.pone.0210768"
"37","Li et al 2019","YL Ruhaikou","Ruhaikou","Ruhaikou2-1","Salt marsh","37.7311","118.98473","direct from dataset","1","China","2018",0,0.15,"EA",2.093,"https://doi.org/10.1371/journal.pone.0210768"
"38","Li et al 2019","YL Ruhaikou","Ruhaikou","Ruhaikou2-2","Salt marsh","37.731308","118.98435","direct from dataset","1","China","2018",0,0.15,"EA",2.774,"https://doi.org/10.1371/journal.pone.0210768"
"39","Li et al 2019","YL Ruhaikou","Ruhaikou","Ruhaikou2-3","Salt marsh","37.731376","118.98399","direct from dataset","1","China","2018",0,0.15,"EA",2.387,"https://doi.org/10.1371/journal.pone.0210768"
