"","Source","Site_name","Site","Plot","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","Conv_factor","BD_reported_g_cm3","DOI"
"25","Sammul et al 2012","MS Põgari-Sassi managed","Põgari-Sassi","Põgari-Sassi managed","Salt marsh","Arenic wetland soil",58.80361111,23.51944444,"direct from dataset","1","Estonia",2005,0,0.08,"Tyurin spectrophotometry",14.9,NA,0.36,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"26","Sammul et al 2012","MS Põgari-Sassi managed","Põgari-Sassi","Põgari-Sassi managed","Salt marsh","",58.80361111,23.51944444,"direct from dataset","1","Estonia",2005,0.08,0.11,"Tyurin spectrophotometry",4.6,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"27","Sammul et al 2012","MS Põgari-Sassi managed","Põgari-Sassi","Põgari-Sassi managed","Salt marsh","",58.80361111,23.51944444,"direct from dataset","1","Estonia",2005,0.11,0.28,"Tyurin spectrophotometry",0.3,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"28","Sammul et al 2012","MS Põgari-Sassi managed","Põgari-Sassi","Põgari-Sassi managed","Salt marsh","",58.80361111,23.51944444,"direct from dataset","1","Estonia",2005,0.28,0.45,"Tyurin spectrophotometry",0.2,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"29","Sammul et al 2012","MS Pürksi abandoned","Pürksi","Pürksi abandoned","Salt marsh","Peaty soil, on top with strongly rooted, average to strongly degraded peat",58.9975,23.5675,"direct from dataset","1","Estonia",2005,0,0.14,"Tyurin spectrophotometry",23.7,NA,0.1,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"30","Sammul et al 2012","MS Pürksi abandoned","Pürksi","Pürksi abandoned","Salt marsh","Peaty soil, on top with strongly rooted, average to strongly degraded peat",58.9975,23.5675,"direct from dataset","1","Estonia",2005,0.14,0.2,"Tyurin spectrophotometry",20.2,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"31","Sammul et al 2012","MS Pürksi abandoned","Pürksi","Pürksi abandoned","Salt marsh","Peaty soil, on top with strongly rooted, average to strongly degraded peat",58.9975,23.5675,"direct from dataset","1","Estonia",2005,0.2,0.25,"Tyurin spectrophotometry",0.7,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"32","Sammul et al 2012","MS Saardu abandoned","Saardu","Saardu abandoned","Salt marsh","Wetland soil. On top thin and deelpy rooted humus layer",58.78888889,23.6,"direct from dataset","1","Estonia",2005,0,0.06,"Tyurin spectrophotometry",14,NA,0.3,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"33","Sammul et al 2012","MS Saardu abandoned","Saardu","Saardu abandoned","Salt marsh","",58.78888889,23.6,"direct from dataset","1","Estonia",2005,0.06,0.15,"Tyurin spectrophotometry",1.2,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"34","Sammul et al 2012","MS Saardu abandoned","Saardu","Saardu abandoned","Salt marsh","ls2-3",58.78888889,23.6,"direct from dataset","1","Estonia",2005,0.15,0.3,"Tyurin spectrophotometry",0.5,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"35","Sammul et al 2012","MS Salmi managed","Salmi","Salmi managed","Salt marsh","Wetland soil. On top thin and deelpy rooted humus layer",58.73194444,23.66694444,"direct from dataset","1","Estonia",2005,0,0.08,"Tyurin spectrophotometry",11.2,NA,0.54,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"36","Sammul et al 2012","MS Salmi allpool vähe orgaanikat","Salmi","Salmi allpool vähe orgaanikat","Salt marsh","(ls3 or s1); Deeper very little organic matter ",58.73194444,23.66694444,"direct from dataset","1","Estonia",2005,0.08,0.3,"Tyurin spectrophotometry",0.7,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"37","Sammul et al 2012","MS Suti managed","Suti","Suti managed","Salt marsh","Peaty coastal soil",58.31527778,23.975,"direct from dataset","1","Estonia",2005,0,0.16,"Tyurin spectrophotometry",10.4,NA,0.41,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"38","Sammul et al 2012","MS Suti managed","Suti","Suti managed","Salt marsh","Peat on sand",58.31527778,23.975,"direct from dataset","1","Estonia",2005,0.16,0.26,"Tyurin spectrophotometry",0.4,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"39","Sammul et al 2012","MS Suti managed","Suti","Suti managed","Salt marsh","",58.31527778,23.975,"direct from dataset","1","Estonia",2005,0.26,0.52,"Tyurin spectrophotometry",0.1,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"40","Sammul et al 2012","MS Tahu managed","Tahu","Tahu managed","Salt marsh","Wetland soil. Shallow, deeply rooted humus layer",58.99388889,23.56555556,"direct from dataset","1","Estonia",2005,0,0.05,"Tyurin spectrophotometry",14,NA,0.37,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"41","Sammul et al 2012","MS Tahu managed","Tahu","Tahu managed","Salt marsh","Wetland soil. Shallow, deeply rooted humus layer",58.99388889,23.56555556,"direct from dataset","1","Estonia",2005,0.05,0.1,"Tyurin spectrophotometry",3.3,NA,1.4,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
"42","Sammul et al 2012","MS Tahu managed","Tahu","Tahu managed","Salt marsh","Wetland soil. Shallow, deeply rooted humus layer",58.99388889,23.56555556,"direct from dataset","1","Estonia",2005,0.1,0.45,"Tyurin spectrophotometry",0,NA,1.2,"https://doi.org/10.1111/j.1654-109X.2011.01167.x"
