study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_organic_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,ra226_mda,excess_pb210_activity,excess_pb210_activity_se,excess_pb210_mda,age,age_se,date,fraction_CaCO3,fraction_total_nitrogen,fraction_total_phosphorus,fraction_total_lignin,delta_13C,delta_15N,ratio_ad_al_vanillyls,ratio_ad_al_syringyls,ratio_syringyls_vanillyls,ratio_p-hydroxyls_vanillyls_plus_syringyls,ratio_PON_totalP_phenols,gamma_counting_sedmass,cumulative_sedmass_atdepth,excess_pb210_inventory,excess_pb210_inventory_se
Breithaupt_et_al_2020,SMg,WSC8A,19,20,0.18,0.64,0.31,-0.01,0.01,4.91,0.17,1.23,0.17,0.249366339,3.75,0.24,0.037905595,59.5,1.2,1953.7,0.18,0.014,8.4e-4,0.013,-27.29,1.96,NA,NA,NA,NA,NA,1.11,3.59,0.04,4.52
Breithaupt_et_al_2020,SMg,WSC8A,2,4,0.17,0.64,0.28,0,0.01,10.25,0.34,1.14,0.11,0.268650131,9.23,0.36,0.053549912,8.1,0.6,2005.1,0.19,0.013,9.6e-4,0.007,-27.65,1.91,NA,NA,NA,NA,NA,1.97,0.67,0.12,22.41
Breithaupt_et_al_2020,SMg,WSC8A,20,21,0.18,0.65,0.3,-0.01,0.01,4.7,0.18,1.21,0.19,0.295812334,3.54,0.27,0.045096658,64.5,1.4,1948.7,0.17,0.014,8.2e-4,0.011,-27.29,2.21,NA,NA,NA,NA,NA,0.95,3.77,0.05,3.87
Breithaupt_et_al_2020,SMg,WSC8A,21,22,0.24,0.65,0.31,-0.01,0.01,4.56,0.18,1.22,0.23,0.33825042,3.39,0.3,0.050820837,72,1.5,1941.2,0.16,0.014,8.2e-4,0.006,-27.18,2.17,NA,NA,NA,NA,NA,0.79,4.01,0.07,3.06
Breithaupt_et_al_2020,SMg,WSC8A,22,23,0.21,0.67,0.3,-0.01,0.01,3.66,0.17,1.11,0.19,0.316895729,2.59,0.26,0.050647137,78.2,1.7,1935,0.16,0.014,7.9e-4,0.009,-27.19,2.32,NA,NA,NA,NA,NA,1,4.22,0.05,2.53
Breithaupt_et_al_2020,SMg,WSC8A,23,24,0.18,0.66,0.3,-0.01,0.01,3.45,0.15,1.37,0.15,0.249542701,2.11,0.21,0.040075225,83.4,1.9,1929.8,0.2,0.014,8.5e-4,0.006,-26.93,2.57,NA,NA,NA,NA,NA,1.29,4.4,0.04,2.15
Breithaupt_et_al_2020,SMg,WSC8A,24,25,0.2,0.62,0.31,-0.01,0.01,3.77,0.18,1.29,0.2,0.342465776,2.53,0.28,0.054488692,92,2.1,1921.2,0.16,0.014,8e-4,0.008,-27.07,2.57,NA,NA,NA,NA,NA,0.92,4.6,0.06,1.65
Breithaupt_et_al_2020,SMg,WSC8A,25,26,0.27,0.54,0.29,-0.01,0.01,3.37,0.14,1.42,0.18,0.268412285,1.99,0.24,0.040272228,104.8,2.5,1908.4,0.11,0.014,8.4e-4,0.007,-27.13,3.35,NA,NA,NA,NA,NA,1,4.87,0.06,1.11
Breithaupt_et_al_2020,SMg,WSC8A,26,27,0.25,0.51,0.3,0,0.01,2.96,0.08,1.47,0.11,0.128729991,1.51,0.14,0.017706224,118.3,3.5,1894.9,0.11,0.013,7.8e-4,0.012,-27.3,3.02,NA,NA,NA,NA,NA,1.6,5.12,0.04,0.72
Breithaupt_et_al_2020,SMg,WSC8A,27,28,0.21,0.67,0.32,0,0.01,3.17,0.14,1.63,0.14,0.240770671,1.58,0.21,0.038586019,138.1,5.4,1875.1,0.14,0.014,8.1e-4,0.006,-27.4,2.04,NA,NA,NA,NA,NA,1.33,5.33,0.04,0.39
Breithaupt_et_al_2020,SMg,WSC8A,28,29,0.2,0.64,0.3,-0.01,0.01,2.56,0.09,1.81,0.15,0.179348317,0.77,0.18,0.025263952,154.6,7.5,1858.6,0.12,0.012,7.9e-4,0.01,-27.29,2.13,NA,NA,NA,NA,NA,1.24,5.54,0.04,0.23
Breithaupt_et_al_2020,SMg,WSC8A,29,30,0.23,0.58,0.34,0,0.01,2.26,0.12,1.44,0.14,0.228915469,0.83,0.18,0.036760156,205.9,24.6,1807.3,0.11,NA,7.1e-4,0.006,-27.61,1.34,NA,NA,NA,NA,NA,1.4,5.76,0.04,0.05
Breithaupt_et_al_2020,SMg,WSC8A,30,31,0.25,0.64,NA,0,0.01,2.02,0.07,1.83,0.12,0.137104234,0.19,0.14,0.018819267,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,6.01,0.04,0
Breithaupt_et_al_2020,SMg,WSC8A,4,6,0.22,0.57,0.29,-0.01,0.01,10.34,0.33,1.47,0.16,0.331916677,8.98,0.38,0.058733959,14.4,0.7,1998.8,0.24,0.014,9.7e-4,0.005,-28.18,1.87,NA,NA,NA,NA,NA,1.23,1.11,0.17,18.45
Breithaupt_et_al_2020,SMg,WSC8A,6,8,0.22,0.66,0.28,0.26,0.02,9.82,0.19,1.23,0.11,0.163643256,8.71,0.22,0.024661321,21.7,0.7,1991.5,0.16,0.015,0.00102,0.008,-27.67,1.89,NA,NA,NA,NA,NA,1.66,1.55,0.1,14.67
Breithaupt_et_al_2020,SMg,WSC8A,8,10,0.17,0.63,0.29,0.4,0.04,7.48,0.34,1.29,0.15,0.367242754,6.27,0.37,0.073869098,26.9,0.8,1986.3,0.19,0.015,0.00102,0.004,-27.57,1.9,NA,NA,NA,NA,NA,1.47,1.89,0.13,12.5
Breithaupt_et_al_2020,SMs,WSC8B,0,2,0.08,0.78,0.36,0,0,12.69,0.28,0.2,0.42,0.165491467,12.91,0.52,0.099341513,7.5,1.7,2005.7,0.23,0.022,6.9e-4,0.016,-28.02,0.06,NA,NA,NA,NA,NA,1.55,0.16,2.03,0.08
Breithaupt_et_al_2020,SMs,WSC8B,10,11,0.15,0.79,0.41,0,0,2.64,0.19,0.54,0.45,0.217271263,2.17,0.51,0.13320091,85.1,10.4,1928.1,0.18,0.021,2.3e-4,0.014,-27.43,0.6,NA,NA,NA,NA,NA,1.46,1.07,0.33,0.08
Breithaupt_et_al_2020,SMs,WSC8B,11,12,0.16,0.79,0.4,0,0,1.73,0.15,0.47,0.4,0.162252935,1.3,0.44,0.09763626,96.4,14,1916.8,0.15,0.021,2.4e-4,0.01,-27.4,2.01,NA,NA,NA,NA,NA,1.63,1.22,0.2,0.07
Breithaupt_et_al_2020,SMs,WSC8B,12,13,0.15,0.79,0.4,0,0,1.36,0.18,0.14,0.5,0.231982796,1.26,0.55,0.141527381,112.1,21,1901.1,0.15,0.021,2.5e-4,0.013,-27.47,3.32,NA,NA,NA,NA,NA,1.31,1.37,0.19,0.08
Breithaupt_et_al_2020,SMs,WSC8B,13,14,0.16,0.79,0.39,0,0,1.31,0.16,0.31,0.52,0.156318126,1.04,0.56,0.091751232,137.3,40.9,1875.9,0.15,0.02,2.2e-4,0.007,-27.4,2.13,NA,NA,NA,NA,NA,1.26,1.53,0.16,0.09
Breithaupt_et_al_2020,SMs,WSC8B,2,4,0.09,0.8,0.38,0,0,13.44,0.24,0.37,0.44,0.13022541,13.53,0.52,0.07635704,20.4,2.1,1992.8,0.17,0.021,5.2e-4,0.024,-27.53,1.62,NA,NA,NA,NA,NA,1.49,0.35,2.56,0.1
Breithaupt_et_al_2020,SMs,WSC8B,4,6,0.1,0.79,0.39,1.04,0.06,10.68,0.33,0.14,0.48,0.230902736,10.91,0.6,0.14141462,37.4,3.1,1975.8,0.17,0.02,3e-4,0.011,-26.67,2.24,NA,NA,NA,NA,NA,1.36,0.54,2.12,0.12
Breithaupt_et_al_2020,SMs,WSC8B,6,9,0.07,0.79,0.39,1.48,0.06,6.35,0.25,0.2,0.51,0.203078198,6.36,0.59,0.122020002,54.3,4.6,1958.9,0.17,0.021,3.7e-4,0.015,-26.61,1.49,NA,NA,NA,NA,NA,1.28,0.74,1.25,0.11
Breithaupt_et_al_2020,SMs,WSC8B,9,10,0.18,0.79,0.39,0.2,0.01,4.3,0.16,0.07,0.44,0.11781734,4.38,0.48,0.068592779,72.7,7.5,1940.5,0.17,0.021,2.8e-4,0.012,-27.01,0.06,NA,NA,NA,NA,NA,1.49,0.92,0.78,0.09
