"ID","PLOTID","SUBP","AZI","DIST","SLOPE","LATITUDE","LONGITUDE","ELEVATION","ACCURACY","GEOID","ECOID","TOPOID","SUBP_DESCRIPTION","NOTES"
420,146,2,,,,,,,,100,1,2,,
421,146,3,,,,,,,,100,1,2,,
422,146,4,,,,,,,,100,1,2,,
423,146,5,,,,,,,,100,1,2,,
424,147,1,,,,11.55,103.00,,14.00,100,1,2,,
425,147,2,,,,,,,,100,1,2,,
426,147,3,,,,,,,,100,1,2,,
427,147,4,,,,,,,,100,1,2,,
428,147,5,,,,,,,,100,1,2,,
429,148,1,,,,11.52,102.98,,11.00,100,1,2,,
430,148,2,,,,,,,,100,1,2,,
431,148,3,,,,,,,,100,1,2,,
432,148,4,,,,,,,,100,1,2,,
433,148,5,,,,,,,,100,1,2,,
434,149,1,,,,11.50,103.06,,,100,100,100,,"Subplot data lost"
435,149,2,,,,,,,,100,100,100,,"Subplot data lost"
436,149,3,,,,,,,,100,100,100,,"Subplot data lost"
437,149,4,,,,,,,,100,100,100,,"Subplot data lost"
438,149,5,,,,,,,,100,100,100,,"Subplot data lost"
439,150,1,,,,11.47,103.00,,,100,100,100,,"Subplot data lost"
440,150,2,,,,,,,,100,100,100,,"Subplot data lost"
441,150,3,,,,,,,,100,100,100,,"Subplot data lost"
442,150,4,,,,,,,,100,100,100,,"Subplot data lost"
443,150,5,,,,,,,,100,100,100,,"Subplot data lost"
444,151,1,,,,11.47,103.06,,,100,100,100,,"Subplot data lost"
445,151,2,,,,,,,,100,100,100,,"Subplot data lost"
446,151,3,,,,,,,,100,100,100,,"Subplot data lost"
447,152,1,,,,11.45,103.05,,,100,100,100,,"Subplot data lost"
448,152,2,,,,,,,,100,100,100,,"Subplot data lost"
449,152,3,,,,,,,,100,100,100,,"Subplot data lost"
450,152,4,,,,,,,,100,100,100,,"Subplot data lost"
451,152,5,,,,,,,,100,100,100,,"Subplot data lost"
452,153,1,,,,11.50,103.00,,27.00,100,1,2,,
453,153,2,,,,,,,,100,1,2,,
454,153,3,,,,,,,,100,1,2,,
455,153,4,,,,,,,,100,1,2,,
456,153,5,,,,,,,,100,1,2,,
457,154,1,,,,11.44,103.08,,,100,100,100,,"Subplot data lost"
458,154,2,,,,,,,,100,100,100,,"Subplot data lost"
459,154,3,,,,,,,,100,100,100,,"Subplot data lost"
460,154,4,,,,,,,,100,100,100,,"Subplot data lost"
461,155,1,,,,11.58,103.03,,,100,100,100,,"Subplot data lost"
462,155,2,,,,,,,,100,100,100,,"Subplot data lost"
463,155,3,,,,,,,,100,100,100,,"Subplot data lost"
464,155,4,,,,,,,,100,100,100,,"Subplot data lost"
465,155,5,,,,,,,,100,100,100,,"Subplot data lost"
466,156,1,,,,11.47,103.03,,,100,100,100,,"Subplot data lost"
467,156,2,,,,,,,,100,100,100,,"Subplot data lost"
468,156,3,,,,,,,,100,100,100,,"Subplot data lost"
469,156,4,,,,,,,,100,100,100,,"Subplot data lost"
470,156,5,,,,,,,,100,100,100,,"Subplot data lost"
471,157,1,,,,11.48,103.00,,,100,100,100,,"Subplot data lost"
472,157,2,,,,,,,,100,100,100,,"Subplot data lost"
473,157,3,,,,,,,,100,100,100,,"Subplot data lost"
474,157,4,,,,,,,,100,100,100,,"Subplot data lost"
475,157,5,,,,,,,,100,100,100,,"Subplot data lost"
476,158,1,,,,11.45,103.01,,,100,100,100,,"Subplot data lost"
477,158,2,,,,,,,,100,100,100,,"Subplot data lost"
478,158,3,,,,,,,,100,100,100,,"Subplot data lost"
479,158,4,,,,,,,,100,100,100,,"Subplot data lost"
480,158,5,,,,,,,,100,100,100,,"Subplot data lost"
