"ID","SUBPID","TRANSN","TRANS","SLOPE","AZI","NOTES"
179,395,3,"C",,225,
180,395,4,"D",,315,
181,396,1,"A",,45,
182,396,2,"B",,135,
183,396,3,"C",,225,
184,396,4,"D",,315,
185,397,1,"A",,45,
186,397,2,"B",,135,
187,397,3,"C",,225,
188,397,4,"D",,315,
189,398,1,"A",,45,
190,398,2,"B",,135,
191,398,3,"C",,225,
192,398,4,"D",,315,
193,399,1,"A",,45,
194,399,2,"B",,135,
195,399,3,"C",,225,
196,399,4,"D",,315,
197,400,1,"A",,45,
198,400,2,"B",,135,
199,400,3,"C",,225,
200,400,4,"D",,315,
201,401,1,"A",,45,
202,401,2,"B",,135,
203,401,3,"C",,225,
204,401,4,"D",,315,
205,402,1,"A",,45,
206,402,2,"B",,135,
207,402,3,"C",,225,
208,402,4,"D",,315,
209,403,1,"A",,45,
210,403,2,"B",,135,
211,403,3,"C",,225,
212,403,4,"D",,315,
213,404,1,"A",,45,
214,404,2,"B",,135,
215,404,3,"C",,225,
216,404,4,"D",,315,
217,405,1,"A",,45,
218,405,2,"B",,135,
219,405,3,"C",,225,
220,405,4,"D",,315,
221,406,1,"A",,45,
222,406,2,"B",,135,
223,406,3,"C",,225,
224,406,4,"D",,315,
225,407,1,"A",,45,
226,407,2,"B",,135,
227,407,3,"C",,225,
228,407,4,"D",,315,
229,408,1,"A",,45,
230,408,2,"B",,135,
231,408,3,"C",,225,
232,408,4,"D",,315,
233,409,1,"A",,45,
234,409,2,"B",,135,
235,409,3,"C",,225,
236,409,4,"D",,315,
237,410,1,"A",,45,
238,410,2,"B",,135,
239,410,3,"C",,225,
240,410,4,"D",,315,
241,411,1,"A",,45,
242,411,2,"B",,135,
243,411,3,"C",,225,
244,411,4,"D",,315,
245,412,1,"A",,45,
246,412,2,"B",,135,
247,412,3,"C",,225,
248,412,4,"D",,315,
249,413,1,"A",,45,
250,413,2,"B",,135,
251,413,3,"C",,225,
252,413,4,"D",,315,
253,414,1,"A",,45,
254,414,2,"B",,135,
255,414,3,"C",,225,
256,414,4,"D",,315,
257,415,1,"A",,45,
258,415,2,"B",,135,
259,415,3,"C",,225,
260,415,4,"D",,315,
261,416,1,"A",,45,
262,416,2,"B",,135,
263,416,3,"C",,225,
264,416,4,"D",,315,
265,417,1,"A",,45,
266,417,2,"B",,135,
267,417,3,"C",,225,
268,417,4,"D",,315,
269,418,1,"A",,45,
270,418,2,"B",,135,
271,418,3,"C",,225,
272,418,4,"D",,315,
273,419,1,"A",,45,
274,419,2,"B",,135,
275,419,3,"C",,225,
276,419,4,"D",,315,
277,420,1,"A",,45,
278,420,2,"B",,135,
279,420,3,"C",,225,
280,420,4,"D",,315,
281,421,1,"A",,45,
282,421,2,"B",,135,
283,421,3,"C",,225,
284,421,4,"D",,315,
285,422,1,"A",,45,
286,422,2,"B",,135,
287,422,3,"C",,225,
288,422,4,"D",,315,
289,424,1,"A",,45,
290,424,2,"B",,135,
291,424,3,"C",,225,
292,424,4,"D",,315,
293,425,1,"A",,45,
294,425,2,"B",,135,
295,425,3,"C",,225,
296,425,4,"D",,315,
297,426,1,"A",,45,
298,426,2,"B",,135,
299,426,3,"C",,225,
300,426,4,"D",,315,
301,427,1,"A",,45,
302,427,2,"B",,135,
303,427,3,"C",,225,
304,427,4,"D",,315,
305,428,1,"A",,45,
306,428,2,"B",,135,
307,428,3,"C",,225,
308,428,4,"D",,315,
309,434,1,"A",,45,
310,434,2,"B",,135,
311,434,3,"C",,225,
312,434,4,"D",,315,
313,435,1,"A",,45,
314,435,2,"B",,135,
315,435,3,"C",,225,
316,435,4,"D",,315,
317,436,1,"A",,45,
318,436,2,"B",,135,
319,436,3,"C",,225,
320,436,4,"D",,315,
321,437,1,"A",,45,
322,437,2,"B",,135,
323,437,3,"C",,225,
324,437,4,"D",,315,
325,438,1,"A",,45,
326,438,2,"B",,135,
327,438,3,"C",,225,
328,438,4,"D",,315,
329,439,1,"A",,45,
330,439,2,"B",,135,
331,439,3,"C",,225,
332,439,4,"D",,315,
333,440,1,"A",,45,
334,440,2,"B",,135,
335,440,3,"C",,225,
336,440,4,"D",,315,
337,441,1,"A",,45,
338,441,2,"B",,135,
339,441,3,"C",,225,
340,441,4,"D",,315,
341,442,1,"A",,45,
342,442,2,"B",,135,
343,442,3,"C",,225,
344,442,4,"D",,315,
345,443,1,"A",,45,
346,443,2,"B",,135,
347,443,3,"C",,225,
348,443,4,"D",,315,
349,444,1,"A",,45,
350,444,2,"B",,135,
351,444,3,"C",,225,
352,444,4,"D",,315,
353,445,1,"A",,45,
354,445,2,"B",,135,
355,445,3,"C",,225,
356,445,4,"D",,315,
357,446,1,"A",,45,
358,446,2,"B",,135,
359,446,3,"C",,225,
360,446,4,"D",,315,
361,447,1,"A",,45,
362,447,2,"B",,135,
363,447,3,"C",,225,
364,447,4,"D",,315,
365,448,1,"A",,45,
366,448,2,"B",,135,
367,448,3,"C",,225,
368,448,4,"D",,315,
369,449,1,"A",,45,
370,449,2,"B",,135,
371,449,3,"C",,225,
372,449,4,"D",,315,
373,450,1,"A",,45,
374,450,2,"B",,135,
375,450,3,"C",,225,
376,450,4,"D",,315,
377,451,1,"A",,45,
378,451,2,"B",,135,
379,451,3,"C",,225,
380,451,4,"D",,315,
381,452,1,"A",,45,
382,452,2,"B",,135,
383,452,3,"C",,225,
384,452,4,"D",,315,
385,453,1,"A",,45,
386,453,2,"B",,135,
387,453,3,"C",,225,
388,453,4,"D",,315,
389,454,1,"A",,45,
390,454,2,"B",,135,
391,454,3,"C",,225,
392,454,4,"D",,315,
393,455,1,"A",,45,
394,455,2,"B",,135,
395,455,3,"C",,225,
396,455,4,"D",,315,
397,457,1,"A",,45,
398,457,2,"B",,135,
399,457,3,"C",,225,
400,457,4,"D",,315,
401,458,1,"A",,45,
402,458,2,"B",,135,
403,458,3,"C",,225,
404,458,4,"D",,315,
405,459,1,"A",,45,
406,459,2,"B",,135,
407,459,3,"C",,225,
408,459,4,"D",,315,
409,460,1,"A",,45,
410,460,2,"B",,135,
411,460,3,"C",,225,
412,460,4,"D",,315,
413,461,1,"A",,45,
414,461,2,"B",,135,
415,461,3,"C",,225,
416,461,4,"D",,315,
417,462,1,"A",,45,
418,462,2,"B",,135,
419,462,3,"C",,225,
420,462,4,"D",,315,
421,463,1,"A",,45,
422,463,2,"B",,135,
423,463,3,"C",,225,
424,463,4,"D",,315,
425,464,1,"A",,45,
426,464,2,"B",,135,
427,464,3,"C",,225,
428,464,4,"D",,315,
429,465,1,"A",,45,
430,465,2,"B",,135,
431,465,3,"C",,225,
432,465,4,"D",,315,
433,466,1,"A",,45,
434,466,2,"B",,135,
435,466,3,"C",,225,
436,466,4,"D",,315,
437,467,1,"A",,45,
438,467,2,"B",,135,
439,467,3,"C",,225,
440,467,4,"D",,315,
441,468,1,"A",,45,
442,468,2,"B",,135,
443,468,3,"C",,225,
444,468,4,"D",,315,
445,469,1,"A",,45,
446,469,2,"B",,135,
447,469,3,"C",,225,
448,469,4,"D",,315,
449,470,1,"A",,45,
450,470,2,"B",,135,
451,470,3,"C",,225,
452,470,4,"D",,315,
453,471,1,"A",,45,
454,471,2,"B",,135,
455,471,3,"C",,225,
456,471,4,"D",,315,
457,472,1,"A",,45,
458,472,2,"B",,135,
459,472,3,"C",,225,
460,472,4,"D",,315,
461,473,1,"A",,45,
462,473,2,"B",,135,
463,473,3,"C",,225,
464,473,4,"D",,315,
465,474,1,"A",,45,
466,474,2,"B",,135,
467,474,3,"C",,225,
468,474,4,"D",,315,
469,475,1,"A",,45,
470,475,2,"B",,135,
471,475,3,"C",,225,
472,475,4,"D",,315,
473,476,1,"A",,45,
474,476,2,"B",,135,
475,476,3,"C",,225,
476,476,4,"D",,315,
477,477,1,"A",,45,
478,477,2,"B",,135,
479,477,3,"C",,225,
480,477,4,"D",,315,
481,478,1,"A",,45,
482,478,2,"B",,135,
483,478,3,"C",,225,
484,478,4,"D",,315,
485,479,1,"A",,45,
486,479,2,"B",,135,
487,479,3,"C",,225,
488,479,4,"D",,315,
489,480,1,"A",,45,
490,480,2,"B",,135,
491,480,3,"C",,225,
492,480,4,"D",,315,
