"ID","TRANSID","COMPID","N","L"
249,50,12,0,12.00
250,50,13,0,12.00
251,51,8,26,2.00
252,51,9,4,3.00
253,51,10,1,5.00
254,51,12,3,12.00
255,51,13,0,12.00
256,52,8,10,2.00
257,52,9,0,3.00
258,52,10,0,5.00
259,52,12,0,12.00
260,52,13,0,12.00
261,53,8,11,2.00
262,53,9,3,3.00
263,53,10,1,5.00
264,53,12,3,12.00
265,53,13,0,12.00
266,54,8,14,2.00
267,54,9,6,3.00
268,54,10,1,5.00
269,54,12,0,12.00
270,54,13,0,12.00
271,55,8,15,2.00
272,55,9,6,3.00
273,55,10,0,5.00
274,55,12,0,12.00
275,55,13,0,12.00
276,56,8,17,2.00
277,56,9,1,3.00
278,56,10,0,5.00
279,56,12,0,12.00
280,56,13,0,12.00
281,57,8,22,2.00
282,57,9,3,3.00
283,57,10,2,5.00
284,57,12,3,12.00
285,57,13,0,12.00
286,58,8,13,2.00
287,58,9,5,3.00
288,58,10,3,5.00
289,58,12,0,12.00
290,58,13,0,12.00
291,59,8,6,2.00
292,59,9,0,3.00
293,59,10,13,5.00
294,59,12,0,12.00
295,59,13,0,12.00
296,60,8,20,2.00
297,60,9,5,3.00
298,60,10,9,5.00
299,60,12,1,12.00
300,60,13,1,12.00
301,61,8,8,2.00
302,61,9,1,3.00
303,61,10,0,5.00
304,61,12,0,12.00
305,61,13,0,12.00
306,62,8,3,2.00
307,62,9,6,3.00
308,62,10,0,5.00
309,62,12,0,12.00
310,62,13,0,12.00
311,63,8,5,2.00
312,63,9,4,3.00
313,63,10,2,5.00
314,63,12,0,12.00
315,63,13,1,12.00
316,64,8,10,2.00
317,64,9,7,3.00
318,64,10,5,5.00
319,64,12,1,12.00
320,64,13,3,12.00
321,65,8,10,2.00
322,65,9,3,3.00
323,65,10,5,5.00
324,65,12,2,12.00
325,65,13,0,12.00
326,66,8,5,2.00
327,66,9,4,3.00
328,66,10,0,5.00
329,66,12,0,12.00
330,66,13,0,12.00
331,67,8,14,2.00
332,67,9,5,3.00
333,67,10,5,5.00
334,67,12,0,12.00
335,67,13,0,12.00
336,68,8,6,2.00
337,68,9,1,3.00
338,68,10,4,5.00
339,68,12,0,12.00
340,68,13,0,12.00
341,69,8,21,2.00
342,69,9,6,3.00
343,69,10,0,5.00
344,69,12,0,12.00
345,69,13,0,12.00
346,70,8,15,2.00
347,70,9,4,3.00
348,70,10,1,5.00
349,70,12,0,12.00
350,70,13,0,12.00
351,71,8,11,2.00
352,71,9,14,3.00
353,71,10,0,5.00
354,71,12,0,12.00
355,71,13,0,12.00
356,72,8,8,2.00
357,72,9,11,3.00
358,72,10,0,5.00
359,72,12,0,12.00
360,72,13,0,12.00
361,73,8,3,2.00
362,73,9,5,3.00
363,73,10,0,5.00
364,73,12,1,12.00
365,73,13,0,12.00
366,74,8,6,2.00
367,74,9,6,3.00
368,74,10,0,5.00
369,74,12,1,12.00
370,74,13,0,12.00
371,75,8,0,2.00
372,75,9,0,3.00
373,75,10,0,5.00
374,75,12,0,12.00
375,75,13,0,12.00
376,76,8,5,2.00
377,76,9,1,3.00
378,76,10,0,5.00
379,76,12,0,12.00
380,76,13,0,12.00
381,77,8,4,2.00
382,77,9,3,3.00
383,77,10,3,5.00
384,77,12,0,12.00
385,77,13,0,12.00
386,78,8,1,2.00
387,78,9,2,3.00
388,78,10,6,5.00
389,78,12,6,12.00
390,78,13,0,12.00
391,79,8,3,2.00
392,79,9,2,3.00
393,79,10,3,5.00
394,79,12,1,12.00
395,79,13,0,12.00
396,80,8,4,2.00
397,80,9,2,3.00
398,80,10,1,5.00
399,80,12,0,12.00
400,80,13,0,12.00
401,81,8,1,2.00
402,81,9,1,3.00
403,81,10,4,5.00
404,81,12,2,12.00
405,81,13,0,12.00
406,82,8,1,2.00
407,82,9,0,3.00
408,82,10,4,5.00
409,82,12,1,12.00
410,82,13,0,12.00
411,83,8,1,2.00
412,83,9,3,3.00
413,83,10,2,5.00
414,83,12,1,12.00
415,83,13,0,12.00
416,84,8,0,2.00
417,84,9,0,3.00
418,84,10,2,5.00
419,84,12,2,12.00
420,84,13,0,12.00
421,85,8,29,2.00
422,85,9,11,3.00
423,85,10,0,5.00
424,85,12,0,12.00
425,85,13,0,12.00
426,86,8,42,2.00
427,86,9,25,3.00
428,86,10,4,5.00
429,86,12,0,12.00
430,86,13,0,12.00
431,87,8,2,2.00
432,87,9,15,3.00
433,87,10,0,5.00
434,87,12,0,12.00
435,87,13,0,12.00
436,88,8,23,2.00
437,88,9,33,3.00
438,88,10,2,5.00
439,88,12,0,12.00
440,88,13,0,12.00
441,89,8,0,2.00
442,89,9,5,3.00
443,89,10,1,5.00
444,89,12,1,12.00
445,89,13,0,12.00
446,90,8,13,2.00
447,90,9,19,3.00
448,90,10,5,5.00
449,90,12,1,12.00
450,90,13,0,12.00
451,91,8,1,2.00
452,91,9,2,3.00
453,91,10,3,5.00
454,91,12,1,12.00
455,91,13,1,12.00
456,92,8,1,2.00
457,92,9,0,3.00
458,92,10,0,5.00
459,92,12,1,12.00
460,92,13,1,12.00
461,93,8,3,2.00
462,93,9,4,3.00
463,93,10,0,5.00
464,93,12,0,12.00
465,93,13,0,12.00
466,94,8,4,2.00
467,94,9,0,3.00
468,94,10,0,5.00
469,94,12,0,12.00
470,94,13,0,12.00
471,95,8,2,2.00
472,95,9,4,3.00
473,95,10,1,5.00
474,95,12,0,12.00
475,95,13,0,12.00
476,96,8,2,2.00
477,96,9,5,3.00
478,96,10,1,5.00
479,96,12,0,12.00
480,96,13,0,12.00
481,97,8,3,2.00
482,97,9,2,3.00
483,97,10,0,5.00
484,97,12,0,12.00
485,97,13,0,12.00
486,98,8,2,2.00
487,98,9,2,3.00
488,98,10,0,5.00
489,98,12,0,12.00
490,98,13,0,12.00
491,99,8,0,2.00
492,99,9,2,3.00
493,99,10,0,5.00
494,99,12,0,12.00
495,99,13,0,12.00
496,100,8,2,2.00
497,100,9,0,3.00
498,100,10,0,5.00
499,100,12,0,12.00
500,100,13,0,12.00
501,101,8,1,2.00
502,101,9,10,3.00
503,101,10,0,5.00
504,101,12,1,12.00
505,101,13,0,12.00
506,102,8,5,2.00
507,102,9,1,3.00
508,102,10,1,5.00
509,102,12,0,12.00
510,102,13,0,12.00
511,103,8,0,2.00
512,103,9,2,3.00
513,103,10,0,5.00
514,103,12,0,12.00
515,103,13,0,12.00
516,104,8,3,2.00
517,104,9,4,3.00
518,104,10,3,5.00
519,104,12,1,12.00
520,104,13,0,12.00
521,105,8,1,2.00
522,105,9,13,3.00
523,105,10,1,5.00
524,105,12,0,12.00
525,105,13,0,12.00
526,106,8,0,2.00
527,106,9,3,3.00
528,106,10,0,5.00
529,106,12,1,12.00
530,106,13,1,12.00
531,107,8,0,2.00
532,107,9,3,3.00
533,107,10,1,5.00
534,107,12,0,12.00
535,107,13,0,12.00
536,108,8,1,2.00
537,108,9,0,3.00
538,108,10,0,5.00
539,108,12,0,12.00
540,108,13,0,12.00
541,109,8,21,2.00
542,109,9,9,3.00
543,109,10,2,5.00
544,109,12,0,12.00
545,109,13,1,12.00
546,110,8,5,2.00
547,110,9,9,3.00
548,110,10,0,5.00
549,110,12,0,12.00
550,110,13,0,12.00
551,111,8,146,2.00
552,111,9,26,3.00
553,111,10,13,5.00
554,111,12,0,12.00
555,111,13,1,12.00
556,112,8,7,2.00
557,112,9,3,3.00
558,112,10,9,5.00
559,112,12,0,12.00
560,112,13,0,12.00
561,113,8,3,2.00
562,113,9,5,3.00
563,113,10,3,5.00
564,113,12,0,12.00
565,113,13,0,12.00
566,114,8,5,2.00
567,114,9,3,3.00
568,114,10,11,5.00
569,114,12,1,12.00
570,114,13,0,12.00
571,115,8,0,2.00
572,115,9,20,3.00
573,115,10,7,5.00
574,115,12,0,12.00
575,115,13,0,12.00
576,116,8,33,2.00
577,116,9,12,3.00
578,116,10,9,5.00
579,116,12,0,12.00
580,116,13,0,12.00
581,117,8,152,2.00
582,117,9,7,3.00
583,117,10,3,5.00
584,117,12,0,12.00
585,117,13,0,12.00
586,118,8,31,2.00
587,118,9,11,3.00
588,118,10,6,5.00
589,118,12,0,12.00
590,118,13,0,12.00
591,119,8,21,2.00
592,119,9,7,3.00
593,119,10,8,5.00
594,119,12,0,12.00
595,119,13,0,12.00
596,120,8,47,2.00
597,120,9,16,3.00
598,120,10,9,5.00
599,120,12,0,12.00
600,120,13,0,12.00
601,121,8,11,2.00
602,121,9,6,3.00
603,121,10,9,5.00
604,121,12,1,12.00
605,121,13,1,12.00
606,122,8,15,2.00
607,122,9,5,3.00
608,122,10,6,5.00
609,122,12,0,12.00
610,122,13,1,12.00
611,123,8,52,2.00
612,123,9,30,3.00
613,123,10,32,5.00
614,123,12,2,12.00
615,123,13,5,12.00
616,124,8,0,2.00
617,124,9,10,3.00
618,124,10,5,5.00
619,124,12,0,12.00
620,124,13,1,12.00
621,125,8,8,2.00
622,125,9,17,3.00
623,125,10,1,5.00
624,125,12,0,12.00
625,125,13,0,12.00
626,126,8,23,2.00
627,126,9,5,3.00
628,126,10,7,5.00
629,126,12,0,12.00
630,126,13,0,12.00
631,127,8,26,2.00
632,127,9,9,3.00
633,127,10,3,5.00
634,127,12,0,12.00
635,127,13,1,12.00
636,128,8,18,2.00
637,128,9,4,3.00
638,128,10,1,5.00
639,128,12,1,12.00
640,128,13,0,12.00
641,129,8,7,2.00
642,129,9,3,3.00
643,129,10,0,5.00
644,129,12,0,12.00
645,129,13,0,12.00
646,130,8,2,2.00
647,130,9,1,3.00
648,130,10,1,5.00
649,130,12,0,12.00
650,130,13,0,12.00
651,131,8,23,2.00
652,131,9,7,3.00
653,131,10,0,5.00
654,131,12,0,12.00
655,131,13,0,12.00
656,132,8,4,2.00
657,132,9,1,3.00
658,132,10,1,5.00
659,132,12,0,12.00
660,132,13,0,12.00
661,133,8,4,2.00
662,133,9,5,3.00
663,133,10,0,5.00
664,133,12,0,12.00
665,133,13,0,12.00
666,134,8,5,2.00
667,134,9,4,3.00
668,134,10,1,5.00
669,134,12,0,12.00
670,134,13,0,12.00
671,135,8,2,2.00
672,135,9,4,3.00
673,135,10,0,5.00
674,135,12,0,12.00
675,135,13,0,12.00
676,136,8,2,2.00
677,136,9,2,3.00
678,136,10,1,5.00
679,136,12,0,12.00
680,136,13,0,12.00
681,137,8,4,2.00
682,137,9,4,3.00
683,137,10,1,5.00
684,137,12,0,12.00
685,137,13,0,12.00
686,138,8,7,2.00
687,138,9,10,3.00
688,138,10,1,5.00
689,138,12,0,12.00
690,138,13,0,12.00
691,139,8,10,2.00
692,139,9,9,3.00
693,139,10,2,5.00
694,139,12,0,12.00
695,139,13,0,12.00
696,140,8,4,2.00
697,140,9,18,3.00
698,140,10,3,5.00
699,140,12,0,12.00
700,140,13,0,12.00
701,141,8,4,2.00
702,141,9,11,3.00
703,141,10,0,5.00
704,141,12,0,12.00
705,141,13,0,12.00
706,142,8,9,2.00
707,142,9,30,3.00
708,142,10,2,5.00
709,142,12,0,12.00
710,142,13,0,12.00
711,143,8,4,2.00
712,143,9,11,3.00
713,143,10,2,5.00
714,143,12,0,12.00
715,143,13,0,12.00
716,144,8,2,2.00
717,144,9,9,3.00
718,144,10,3,5.00
719,144,12,0,12.00
720,144,13,0,12.00
721,145,8,1,2.00
722,145,9,1,3.00
723,145,10,1,5.00
724,145,12,0,12.00
725,145,13,1,12.00
726,146,8,3,2.00
727,146,9,2,3.00
728,146,10,1,5.00
729,146,12,0,12.00
730,146,13,0,12.00
731,147,8,4,2.00
732,147,9,7,3.00
733,147,10,1,5.00
734,147,12,0,12.00
735,147,13,0,12.00
736,148,8,18,2.00
737,148,9,3,3.00
738,148,10,1,5.00
739,148,12,0,12.00
740,148,13,0,12.00
741,149,8,2,2.00
742,149,9,6,3.00
743,149,10,3,5.00
744,149,12,0,12.00
745,149,13,0,12.00
746,150,8,4,2.00
747,150,9,9,3.00
748,150,10,2,5.00
749,150,12,0,12.00
750,150,13,0,12.00
751,151,8,9,2.00
752,151,9,5,3.00
753,151,10,0,5.00
754,151,12,0,12.00
755,151,13,1,12.00
756,152,8,9,2.00
757,152,9,34,3.00
758,152,10,0,5.00
759,152,12,0,12.00
760,152,13,0,12.00
761,153,8,11,2.00
762,153,9,18,3.00
763,153,10,0,5.00
764,153,12,0,12.00
765,153,13,0,12.00
766,154,8,10,2.00
767,154,9,16,3.00
768,154,10,2,5.00
769,154,12,0,12.00
770,154,13,0,12.00
771,155,8,17,2.00
772,155,9,20,3.00
773,155,10,0,5.00
774,155,12,0,12.00
775,155,13,1,12.00
776,156,8,12,2.00
777,156,9,21,3.00
778,156,10,1,5.00
779,156,12,0,12.00
780,156,13,0,12.00
781,157,8,7,2.00
782,157,9,8,3.00
783,157,10,3,5.00
784,157,12,0,12.00
785,157,13,0,12.00
786,158,8,16,2.00
787,158,9,8,3.00
788,158,10,1,5.00
789,158,12,0,12.00
790,158,13,0,12.00
791,159,8,25,2.00
792,159,9,28,3.00
793,159,10,2,5.00
794,159,12,0,12.00
795,159,13,1,12.00
796,160,8,10,2.00
797,160,9,67,3.00
798,160,10,2,5.00
799,160,12,0,12.00
800,160,13,0,12.00
801,161,8,2,2.00
802,161,9,3,3.00
803,161,10,0,5.00
804,161,12,0,12.00
805,161,13,0,12.00
806,162,8,37,2.00
807,162,9,19,3.00
808,162,10,0,5.00
809,162,12,0,12.00
810,162,13,0,12.00
811,163,8,9,2.00
812,163,9,65,3.00
813,163,10,3,5.00
814,163,12,0,12.00
815,163,13,2,12.00
816,164,8,5,2.00
817,164,9,36,3.00
818,164,10,9,5.00
819,164,12,0,12.00
820,164,13,0,12.00
821,165,8,9,2.00
822,165,9,22,3.00
823,165,10,1,5.00
824,165,12,0,12.00
825,165,13,1,12.00
826,166,8,7,2.00
827,166,9,31,3.00
828,166,10,0,5.00
829,166,12,0,12.00
830,166,13,0,12.00
831,167,8,6,2.00
832,167,9,22,3.00
833,167,10,0,5.00
834,167,12,0,12.00
835,167,13,0,12.00
836,168,8,15,2.00
837,168,9,54,3.00
838,168,10,1,5.00
839,168,12,0,12.00
840,168,13,0,12.00
841,169,8,9,2.00
842,169,9,5,3.00
843,169,10,1,5.00
844,169,12,0,12.00
845,169,13,1,12.00
846,170,8,11,2.00
847,170,9,21,3.00
848,170,10,0,5.00
849,170,12,0,12.00
850,170,13,0,12.00
851,171,8,9,2.00
852,171,9,6,3.00
853,171,10,2,5.00
854,171,12,0,12.00
855,171,13,0,12.00
856,172,8,37,2.00
857,172,9,7,3.00
858,172,10,0,5.00
859,172,12,0,12.00
860,172,13,0,12.00
861,173,8,8,2.00
862,173,9,52,3.00
863,173,10,1,5.00
864,173,12,0,12.00
865,173,13,0,12.00
866,174,8,5,2.00
867,174,9,6,3.00
868,174,10,0,5.00
869,174,12,0,12.00
870,174,13,0,12.00
871,175,8,20,2.00
872,175,9,9,3.00
873,175,10,3,5.00
874,175,12,0,12.00
875,175,13,0,12.00
876,176,8,4,2.00
877,176,9,6,3.00
878,176,10,0,5.00
879,176,12,0,12.00
880,176,13,0,12.00
881,177,8,4,2.00
882,177,9,2,3.00
883,177,10,1,5.00
884,177,12,0,12.00
885,177,13,0,12.00
886,178,8,0,2.00
887,178,9,3,3.00
888,178,10,0,5.00
889,178,12,1,12.00
890,178,13,0,12.00
891,179,8,5,2.00
892,179,9,3,3.00
893,179,10,0,5.00
894,179,12,0,12.00
895,179,13,0,12.00
896,180,8,0,2.00
897,180,9,0,3.00
898,180,10,5,5.00
899,180,12,0,12.00
900,180,13,0,12.00
901,181,8,2,2.00
902,181,9,4,3.00
903,181,10,0,5.00
904,181,12,0,12.00
905,181,13,0,12.00
906,182,8,2,2.00
907,182,9,4,3.00
908,182,10,1,5.00
909,182,12,0,12.00
910,182,13,0,12.00
911,183,8,3,2.00
912,183,9,5,3.00
913,183,10,0,5.00
914,183,12,0,12.00
915,183,13,0,12.00
916,184,8,1,2.00
917,184,9,3,3.00
918,184,10,0,5.00
919,184,12,0,12.00
920,184,13,0,12.00
921,185,8,5,2.00
922,185,9,7,3.00
923,185,10,0,5.00
924,185,12,0,12.00
925,185,13,0,12.00
926,186,8,1,2.00
927,186,9,4,3.00
928,186,10,0,5.00
929,186,12,0,12.00
930,186,13,0,12.00
931,187,8,5,2.00
932,187,9,4,3.00
933,187,10,0,5.00
934,187,12,0,12.00
935,187,13,0,12.00
936,188,8,8,2.00
937,188,9,1,3.00
938,188,10,0,5.00
939,188,12,0,12.00
940,188,13,0,12.00
941,189,8,5,2.00
942,189,9,6,3.00
943,189,10,0,5.00
944,189,12,0,12.00
945,189,13,0,12.00
946,190,8,7,2.00
947,190,9,3,3.00
948,190,10,0,5.00
949,190,12,0,12.00
950,190,13,0,12.00
951,191,8,3,2.00
952,191,9,8,3.00
953,191,10,0,5.00
954,191,12,0,12.00
955,191,13,0,12.00
956,192,8,7,2.00
957,192,9,4,3.00
958,192,10,0,5.00
959,192,12,0,12.00
960,192,13,0,12.00
961,193,8,0,2.00
962,193,9,12,3.00
963,193,10,0,5.00
964,193,12,0,12.00
965,193,13,0,12.00
966,194,8,2,2.00
967,194,9,4,3.00
968,194,10,0,5.00
969,194,12,0,12.00
970,194,13,0,12.00
971,195,8,3,2.00
972,195,9,1,3.00
973,195,10,0,5.00
974,195,12,0,12.00
975,195,13,0,12.00
976,196,8,3,2.00
977,196,9,4,3.00
978,196,10,0,5.00
979,196,12,0,12.00
980,196,13,0,12.00
981,197,8,7,2.00
982,197,9,8,3.00
983,197,10,1,5.00
984,197,12,0,12.00
985,197,13,0,12.00
986,198,8,8,2.00
987,198,9,10,3.00
988,198,10,0,5.00
989,198,12,0,12.00
990,198,13,0,12.00
991,199,8,12,2.00
992,199,9,5,3.00
993,199,10,0,5.00
994,199,12,1,12.00
995,199,13,0,12.00
996,200,8,4,2.00
997,200,9,11,3.00
998,200,10,0,5.00
999,200,12,0,12.00
1000,200,13,0,12.00
1001,201,8,8,2.00
1002,201,9,5,3.00
1003,201,10,0,5.00
1004,201,12,0,12.00
1005,201,13,0,12.00
1006,202,8,10,2.00
1007,202,9,4,3.00
1008,202,10,17,5.00
1009,202,12,0,12.00
1010,202,13,0,12.00
1011,203,8,11,2.00
1012,203,9,3,3.00
1013,203,10,0,5.00
1014,203,12,0,12.00
1015,203,13,0,12.00
1016,204,8,7,2.00
1017,204,9,5,3.00
1018,204,10,0,5.00
1019,204,12,0,12.00
1020,204,13,0,12.00
1021,205,8,11,2.00
1022,205,9,7,3.00
1023,205,10,0,5.00
1024,205,12,0,12.00
1025,205,13,0,12.00
1026,206,8,9,2.00
1027,206,9,6,3.00
1028,206,10,0,5.00
1029,206,12,0,12.00
1030,206,13,0,12.00
1031,207,8,5,2.00
1032,207,9,7,3.00
1033,207,10,0,5.00
1034,207,12,0,12.00
1035,207,13,0,12.00
1036,208,8,0,2.00
1037,208,9,2,3.00
1038,208,10,0,5.00
1039,208,12,0,12.00
1040,208,13,0,12.00
1041,209,8,1,2.00
1042,209,9,5,3.00
1043,209,10,2,5.00
1044,209,12,0,12.00
1045,209,13,0,12.00
1046,210,8,9,2.00
1047,210,9,6,3.00
1048,210,10,1,5.00
1049,210,12,1,12.00
1050,210,13,0,12.00
1051,211,8,0,2.00
1052,211,9,5,3.00
1053,211,10,0,5.00
1054,211,12,0,12.00
1055,211,13,0,12.00
1056,212,8,7,2.00
1057,212,9,8,3.00
1058,212,10,0,5.00
1059,212,12,0,12.00
1060,212,13,0,12.00
1061,213,8,11,2.00
1062,213,9,5,3.00
1063,213,10,1,5.00
1064,213,12,0,12.00
1065,213,13,0,12.00
1066,214,8,7,2.00
1067,214,9,13,3.00
1068,214,10,3,5.00
1069,214,12,0,12.00
1070,214,13,0,12.00
1071,215,8,10,2.00
1072,215,9,7,3.00
1073,215,10,0,5.00
1074,215,12,0,12.00
1075,215,13,0,12.00
1076,216,8,12,2.00
1077,216,9,8,3.00
1078,216,10,2,5.00
1079,216,12,0,12.00
1080,216,13,0,12.00
1081,217,8,3,2.00
1082,217,9,7,3.00
1083,217,10,4,5.00
1084,217,12,0,12.00
1085,217,13,0,12.00
1086,218,8,5,2.00
1087,218,9,7,3.00
1088,218,10,1,5.00
1089,218,12,0,12.00
1090,218,13,0,12.00
1091,219,8,9,2.00
1092,219,9,3,3.00
1093,219,10,0,5.00
1094,219,12,0,12.00
1095,219,13,0,12.00
1096,220,8,7,2.00
1097,220,9,12,3.00
1098,220,10,1,5.00
1099,220,12,0,12.00
1100,220,13,0,12.00
1101,221,8,18,2.00
1102,221,9,5,3.00
1103,221,10,2,5.00
1104,221,12,0,12.00
1105,221,13,0,12.00
1106,222,8,20,2.00
1107,222,9,18,3.00
1108,222,10,7,5.00
1109,222,12,0,12.00
1110,222,13,0,12.00
1111,223,8,10,2.00
1112,223,9,12,3.00
1113,223,10,5,5.00
1114,223,12,0,12.00
1115,223,13,0,12.00
1116,224,8,22,2.00
1117,224,9,2,3.00
1118,224,10,3,5.00
1119,224,12,0,12.00
1120,224,13,0,12.00
1121,225,8,18,2.00
1122,225,9,7,3.00
1123,225,10,4,5.00
1124,225,12,0,12.00
1125,225,13,1,12.00
1126,226,8,12,2.00
1127,226,9,3,3.00
1128,226,10,2,5.00
1129,226,12,0,12.00
1130,226,13,0,12.00
1131,227,8,9,2.00
1132,227,9,4,3.00
1133,227,10,1,5.00
1134,227,12,0,12.00
1135,227,13,0,12.00
1136,228,8,20,2.00
1137,228,9,3,3.00
1138,228,10,5,5.00
1139,228,12,0,12.00
1140,228,13,0,12.00
1141,229,8,7,2.00
1142,229,9,4,3.00
1143,229,10,2,5.00
1144,229,12,0,12.00
1145,229,13,0,12.00
1146,230,8,4,2.00
1147,230,9,5,3.00
1148,230,10,0,5.00
1149,230,12,0,12.00
1150,230,13,0,12.00
