study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum,core_elevation_method,salinity_class,vegetation_class,inundation_class,cs137_accretion_rate,cs137_mineral_accumulation_rate,cs137_carbon_accumulation_rate,pb210_accretion_rate,pb210_mineral_accumulation_rate,pb210_carbon_accumulation_rate
Callaway_et_al_2019,China_Camp,China_Camp_B_Low,2010-03-08,38.015378,-122.498522,RTK-GPS,1.80399,NAVD88,RTK-GPS,saline,emergent,low,0.41,2308.2008991346734,97.52495866376714,0.34,1972.8825768302152,77.88094970653549
Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,2010-03-08,38.013872,-122.499442,RTK-GPS,1.82896,NAVD88,RTK-GPS,saline,emergent,mid,0.33,1092.0330661700239,86.68420996072709,0.31,1014.2989906897515,78.15209064557375
Callaway_et_al_2019,Cogswell,Cogswell_A_high,2012-02-08,37.640982,-122.148279,RTK-GPS,1.97932,NAVD88,RTK-GPS,saline,emergent,high,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Cogswell,Cogswell_A_low,2012-02-08,37.638647,-122.149693,RTK-GPS,2.03322,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Cogswell,Cogswell_A_mid,2012-02-08,37.639781,-122.148788,RTK-GPS,1.96031,NAVD88,RTK-GPS,saline,emergent,mid,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Cogswell,Cogswell_B_high,2012-02-08,37.635616,-122.150167,RTK-GPS,1.9172,NAVD88,RTK-GPS,saline,emergent,high,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Cogswell,Cogswell_B_low,2012-02-08,37.632828,-122.151611,RTK-GPS,2.04634,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Cogswell,Cogswell_B_mid,2012-02-08,37.63431,-122.15068,RTK-GPS,1.96369,NAVD88,RTK-GPS,saline,emergent,mid,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,2009-01-15,38.193959,-122.323214,RTK-GPS,1.97683,NAVD88,RTK-GPS,saline,emergent,high,0.25,640.1953799680609,72.26023715035672,0.29,838.9915168660701,70.19126753818976
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,2009-08-03,38.196112,-122.321028,RTK-GPS,1.91731,NAVD88,RTK-GPS,saline,emergent,low,0.59,4472.854445457984,142.6067976330708,0.32,2410.2324619940678,73.35774969653868
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,2009-01-15,38.194802,-122.322285,RTK-GPS,1.9415,NAVD88,RTK-GPS,saline,emergent,mid,0.23,466.21106001114697,68.20431610699947,0.15,361.58035888709935,43.21584380045037
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,2009-01-15,38.192405,-122.323331,RTK-GPS,1.94319,NAVD88,RTK-GPS,saline,emergent,high,0.47,1288.7222625563443,124.65555199298528,NA,NA,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,2009-01-15,38.18979,-122.322913,RTK-GPS,2.07285,NAVD88,RTK-GPS,saline,emergent,mid,0.11,320.12808350555844,41.72400165981496,0.11,595.0128202249367,30.88252264915732
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,2009-03-23,38.19595,-122.32569,RTK-GPS,1.97421,NAVD88,RTK-GPS,saline,emergent,high,0.25,918.2507373855626,71.85317916933118,0.14,460.2982032242963,35.263860732150036
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,2009-03-23,38.1986,-122.323662,RTK-GPS,1.95146,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,2009-03-23,38.197805,-122.325346,RTK-GPS,1.97935,NAVD88,RTK-GPS,saline,emergent,mid,0.2,301.07307770785894,46.97698337962449,0.18,301.3529209252605,47.08614354345435
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,2009-07-27,38.189456,-122.320668,RTK-GPS,2.03731,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,2009-07-27,38.186543,-122.319232,RTK-GPS,1.91729,NAVD88,RTK-GPS,saline,emergent,low,0.77,2768.0476828786104,232.43188690507043,0.57,2240.086003014047,148.98449008636928
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,2009-07-27,38.187623,-122.319822,RTK-GPS,1.91114,NAVD88,RTK-GPS,saline,emergent,mid,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Muzzi,Muzzi_A_high,2010-12-10,37.928145,-122.508436,RTK-GPS,1.85719,NAVD88,RTK-GPS,saline,emergent,high,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Muzzi,Muzzi_A_low,2011-01-25,37.929569,-122.503666,RTK-GPS,1.66401,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Muzzi,Muzzi_A_mid,2011-01-25,37.928829,-122.505893,RTK-GPS,1.67901,NAVD88,RTK-GPS,saline,emergent,mid,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Muzzi,Muzzi_B_high,2011-01-25,37.926451,-122.509081,RTK-GPS,1.84023,NAVD88,RTK-GPS,saline,emergent,high,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Muzzi,Muzzi_B_low,2011-01-25,37.927304,-122.503612,RTK-GPS,1.5723,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Muzzi,Muzzi_B_mid,2011-01-25,37.926955,-122.50623,RTK-GPS,1.73542,NAVD88,RTK-GPS,saline,emergent,mid,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,2009-12-09,38.17819,-122.553551,RTK-GPS,1.86839,NAVD88,RTK-GPS,saline,emergent,high,0.2,301.44487081359034,53.52098170009177,0.19,327.0087637691622,47.95439315210934
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,2009-03-26,38.179712,-122.543043,RTK-GPS,1.95513,NAVD88,RTK-GPS,saline,emergent,low,0.34,2584.452199240177,87.65893068888683,0.24,1810.125503002991,57.06912471837671
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,2009-12-09,38.178553,-122.549684,RTK-GPS,1.815,NAVD88,RTK-GPS,saline,emergent,mid,0.2,383.6751748784001,53.621831742143186,0.22,527.7824192226789,49.72946535730787
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,2009-03-12,38.16315,-122.554428,handheld,NA,NA,NA,saline,emergent,high,0.3,541.3196825451122,63.793516879759,NA,NA,NA
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,2009-03-26,38.158771,-122.553676,RTK-GPS,1.92452,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,2009-03-12,38.16128,-122.554058,handheld,NA,NA,NA,saline,emergent,mid,0.34,1403.7031355451,78.77563543883723,0.29,1165.0452109718713,65.36729890661924
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,2010-03-01,38.191488,-122.013634,RTK-GPS,2.00406,NAVD88,RTK-GPS,brackish,emergent,high,0.26,321.1046757151635,79.13979845005493,0.29,623.8291416491983,88.2279046345726
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,2010-08-10,38.18954,-122.011907,RTK-GPS,1.99336,NAVD88,RTK-GPS,brackish,emergent,low,0.41,1423.1203125246825,118.44007006379789,0.23,916.2894039922829,71.00504705222039
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,2010-03-01,38.190525,-122.012788,RTK-GPS,1.96279,NAVD88,RTK-GPS,brackish,emergent,mid,0.28,270.9076548097401,129.09781668740578,0.21,312.66301218925526,92.6809793216356
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,2010-04-09,38.202337,-122.036942,RTK-GPS,1.93257,NAVD88,RTK-GPS,brackish,emergent,high,0.33,720.2802208425005,121.47575001963033,0.24,569.9453558803527,86.9008797963256
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,2010-04-09,38.202419,-122.039424,RTK-GPS,1.98368,NAVD88,RTK-GPS,brackish,emergent,low,0.28,1006.3658853344382,74.9337407905782,0.2,628.196381808282,54.40199292468893
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,2010-04-09,38.202247,-122.038437,RTK-GPS,1.97047,NAVD88,RTK-GPS,brackish,emergent,mid,0.24,339.95541523198006,106.72004694196018,0.21,326.816937646813,89.95264024029727
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_High,2009-06-19,37.600374,-122.142273,RTK-GPS,2.01727,NAVD88,RTK-GPS,saline,emergent,high,0.55,2129.3195454407273,102.4776459251554,NA,NA,NA
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Low,2009-06-19,37.600394,-122.143951,RTK-GPS,2.11721,NAVD88,RTK-GPS,saline,emergent,low,0.86,4747.290478381481,160.8457388655582,NA,NA,NA
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Mid,2009-06-19,37.600351,-122.14556,RTK-GPS,2.18632,NAVD88,RTK-GPS,saline,emergent,mid,0.57,2210.4978683504387,117.9255759380115,NA,NA,NA
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_High,2009-06-30,37.587746,-122.141849,RTK-GPS,1.99464,NAVD88,RTK-GPS,saline,emergent,low,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Low,2009-06-30,37.589494,-122.145483,RTK-GPS,2.09849,NAVD88,RTK-GPS,saline,emergent,low,0.68,3765.7205563889597,132.62361831213656,NA,NA,NA
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Mid,2009-06-30,37.588646,-122.143571,RTK-GPS,2.0321,NAVD88,RTK-GPS,saline,emergent,mid,NA,NA,NA,NA,NA,NA
