study_id,site_id,core_id,genus,species,common_name
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,Bolboschoenus,maritimus,NA
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Muzzi,Muzzi_B_low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Muzzi,Muzzi_B_high,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Muzzi,Muzzi_A_high,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Muzzi,Muzzi_B_mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Muzzi,Muzzi_A_low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Muzzi,Muzzi_A_mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Muzzi,Muzzi_B_mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Muzzi,Muzzi_A_low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Muzzi,Muzzi_A_mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Muzzi,Muzzi_B_low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Muzzi,Muzzi_B_high,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Muzzi,Muzzi_A_high,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Muzzi,Muzzi_A_low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Muzzi,Muzzi_B_high,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Muzzi,Muzzi_A_high,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Muzzi,Muzzi_B_low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Muzzi,Muzzi_B_mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Muzzi,Muzzi_A_mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,Cuscuta,salina,saltmarsh dodder
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,Frankenia,salina,alkali seaheath
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,Frankenia,salina,alkali seaheath
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,Frankenia,salina,alkali seaheath
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,Frankenia,salina,alkali seaheath
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,Frankenia,salina,alkali seaheath
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,Frankenia,salina,alkali seaheath
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,Jaumea,carnosa,marsh jaumea
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,Jaumea,carnosa,marsh jaumea
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,Jaumea,carnosa,marsh jaumea
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,Jaumea,carnosa,marsh jaumea
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,Jaumea,carnosa,marsh jaumea
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,Jaumea,carnosa,marsh jaumea
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_B_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,Distichlis,spicata,saltgrass
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,Grindelia,stricta,Oregon gumweed
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,Juncus,balticus,mountain rush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,Juncus,balticus,mountain rush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,Juncus,balticus,mountain rush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,Juncus,balticus,mountain rush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,Juncus,balticus,mountain rush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,Juncus,balticus,mountain rush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,Scirpus,acutus,tule
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,Scirpus,acutus,tule
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,Scirpus,acutus,tule
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,Scirpus,acutus,tule
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,Scirpus,acutus,tule
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,Scirpus,acutus,tule
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,Scirpus,americanus,chairmaker's bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Mid,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_Low,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Mid,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_Low,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_A_High,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Rush_Ranch,Rush_Ranch_B_High,Schoenoplectus,californicus,California bulrush
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Low,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_High,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Mid,Sarcocornia,pacifica,Pacific swampfire
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Low,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_High,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_A_Mid,Spartina,foliosa,California cordgrass
Callaway_et_al_2019,Whale's_Tail,Whales_Tail_B_Low,Spartina,foliosa,California cordgrass
