study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon
Fell_et_al_2021,GTMNERRSouthern,NM1GC,29,30,NM1GC_30,0.8252229342961216,0.09300000000000001
Fell_et_al_2021,GTMNERRSouthern,NM2GC,4,5,NM2GC_5,1.091372207769176,0.06
Fell_et_al_2021,GTMNERRSouthern,NM2GC,14,15,NM2GC_15,1.1307964081298665,0.07400000000000001
Fell_et_al_2021,GTMNERRSouthern,NM2GC,29,30,NM2GC_30,NA,NA
Fell_et_al_2021,GTMNERRSouthern,NM3GC,4,5,NM3GC_5,0.7789372322446254,0.057999999999999996
Fell_et_al_2021,GTMNERRSouthern,NM3GC,14,15,NM3GC_15,0.4684517620492152,0.031
Fell_et_al_2021,GTMNERRSouthern,NM3GC,29,30,NM3GC_30,NA,NA
Fell_et_al_2021,GTMNERRSouthern,NM4GC,4,5,NM4GC_5,0.7879201737268581,0.034
Fell_et_al_2021,GTMNERRSouthern,NM4GC,14,15,NM4GC_15,0.4326398044827477,NA
Fell_et_al_2021,GTMNERRSouthern,NM4GC,29,30,NM4GC_30,NA,NA
Fell_et_al_2021,GTMNERRSouthern,NM5GC,4,5,NM5GC_5,0.681163508407976,NA
Fell_et_al_2021,GTMNERRSouthern,NM5GC,14,15,NM5GC_15,0.7584951294637963,NA
Fell_et_al_2021,GTMNERRSouthern,NM5GC,29,30,NM5GC_30,1.253389561962033,0.016
Fell_et_al_2021,GTMNERRSouthern,NM6GC,4,5,NM6GC_5,0.6780670737636647,0.033
Fell_et_al_2021,GTMNERRSouthern,NM6GC,14,15,NM6GC_15,0.5545947440975542,0.02
Fell_et_al_2021,GTMNERRSouthern,NM6GC,29,30,NM6GC_30,0.7277378846834099,0.033
Fell_et_al_2021,GTMNERRSouthern,NM1MW,4,5,NM1MW_5,0.6923077453489085,0.06
Fell_et_al_2021,GTMNERRSouthern,NM1MW,14,15,NM1MW_15,0.7300254766437603,0.078
Fell_et_al_2021,GTMNERRSouthern,NM1MW,29,30,NM1MW_30,0.5589798151750973,0.034
Fell_et_al_2021,GTMNERRSouthern,NM2MW,4,5,NM2MW_5,0.6051714090556246,0.03
Fell_et_al_2021,GTMNERRSouthern,NM2MW,14,15,NM2MW_15,0.8214569591543727,0.12
Fell_et_al_2021,GTMNERRSouthern,NM2MW,29,30,NM2MW_30,0.5858443063471498,NA
Fell_et_al_2021,GTMNERRSouthern,NM3MW,4,5,NM3MW_5,0.6340364700804496,0.095
Fell_et_al_2021,GTMNERRSouthern,NM3MW,14,15,NM3MW_15,0.561324506880927,0.066
Fell_et_al_2021,GTMNERRSouthern,NM3MW,29,30,NM3MW_30,0.6805834416948573,0.044000000000000004
Fell_et_al_2021,GTMNERRSouthern,NM4MW,4,5,NM4MW_5,0.5431762523673166,0.043
Fell_et_al_2021,GTMNERRSouthern,NM4MW,14,15,NM4MW_15,0.6358055260778995,0.052000000000000005
Fell_et_al_2021,GTMNERRSouthern,NM4MW,29,30,NM4MW_30,0.5678724481478148,NA
Fell_et_al_2021,GTMNERRSouthern,NM5MW,4,5,NM5MW_5,0.7709316967476262,0.09300000000000001
Fell_et_al_2021,GTMNERRSouthern,NM5MW,14,15,NM5MW_15,0.6222642887917118,0.055
Fell_et_al_2021,GTMNERRSouthern,NM5MW,29,30,NM5MW_30,0.7093116664716433,0.062
Fell_et_al_2021,GTMNERRSouthern,NM6MW,4,5,NM6MW_5,0.758495959533573,0.083
Fell_et_al_2021,GTMNERRSouthern,NM6MW,14,15,NM6MW_15,0.8155348556904977,0.084
Fell_et_al_2021,GTMNERRSouthern,NM6MW,29,30,NM6MW_30,0.8068643365589158,0.059000000000000004
Fell_et_al_2021,GTMNERRSouthern,NM1MC,4,5,NM1MC_5,NA,NA
Fell_et_al_2021,GTMNERRSouthern,NM1MC,14,15,NM1MC_15,NA,NA
Fell_et_al_2021,GTMNERRSouthern,NM1MC,29,30,NM1MC_30,0.7240798073247788,0.063
Fell_et_al_2021,GTMNERRSouthern,NM2MC,4,5,NM2MC_5,0.6318924867562999,0.052000000000000005
Fell_et_al_2021,GTMNERRSouthern,NM2MC,14,15,NM2MC_15,0.8092148492351887,0.113
Fell_et_al_2021,GTMNERRSouthern,NM2MC,29,30,NM2MC_30,0.9935198934511071,0.091
Fell_et_al_2021,GTMNERRSouthern,NM3MC,4,5,NM3MC_5,0.6612949561802247,0.042
Fell_et_al_2021,GTMNERRSouthern,NM3MC,14,15,NM3MC_15,0.7753834331507753,0.075
Fell_et_al_2021,GTMNERRSouthern,NM3MC,29,30,NM3MC_30,0.7264955631373357,0.040999999999999995
Fell_et_al_2021,GTMNERRSouthern,NM4MC,4,5,NM4MC_5,0.7887583793829469,0.057999999999999996
Fell_et_al_2021,GTMNERRSouthern,NM4MC,14,15,NM4MC_15,0.8064314334567302,0.069
Fell_et_al_2021,GTMNERRSouthern,NM4MC,29,30,NM4MC_30,0.5361744274435722,NA
Fell_et_al_2021,GTMNERRSouthern,NM5MC,4,5,NM5MC_5,0.6978475551766219,0.092
Fell_et_al_2021,GTMNERRSouthern,NM5MC,14,15,NM5MC_15,0.7068744436191758,0.096
Fell_et_al_2021,GTMNERRSouthern,NM5MC,29,30,NM5MC_30,0.8300106000759736,0.05
Fell_et_al_2021,GTMNERRSouthern,NM6MC,4,5,NM6MC_5,0.7461420903149587,0.083
Fell_et_al_2021,GTMNERRSouthern,NM6MC,14,15,NM6MC_15,0.7517884221168993,0.08900000000000001
Fell_et_al_2021,GTMNERRSouthern,NM6MC,29,30,NM6MC_30,0.6017246283960114,0.039
Fell_et_al_2021,GTMNERRMiddle,GC1GW,4,5,GC1GW_5,0.7192407830540126,0.076
Fell_et_al_2021,GTMNERRMiddle,GC1GW,14,15,GC1GW_15,0.716693644718374,0.08199999999999999
Fell_et_al_2021,GTMNERRMiddle,GC1GW,29,30,GC1GW_30,0.52775069851685,0.017
Fell_et_al_2021,GTMNERRMiddle,GC2GW,4,5,GC2GW_5,0.6750994343104901,0.036000000000000004
Fell_et_al_2021,GTMNERRMiddle,GC2GW,14,15,GC2GW_15,0.5633221055382693,0.02
Fell_et_al_2021,GTMNERRMiddle,GC2GW,29,30,GC2GW_30,0.6390803708289116,0.021
Fell_et_al_2021,GTMNERRMiddle,GC3GW,4,5,GC3GW_5,0.6604877926773929,0.067
Fell_et_al_2021,GTMNERRMiddle,GC3GW,14,15,GC3GW_15,0.6633742696861281,0.07
Fell_et_al_2021,GTMNERRMiddle,GC3GW,29,30,GC3GW_30,0.8289921255854346,0.048
Fell_et_al_2021,GTMNERRMiddle,GC4GW,4,5,GC4GW_5,0.7997555030544372,0.10099999999999999
Fell_et_al_2021,GTMNERRMiddle,GC4GW,14,15,GC4GW_15,0.7076964194473923,0.057
Fell_et_al_2021,GTMNERRMiddle,GC4GW,29,30,GC4GW_30,0.36928471921986833,NA
Fell_et_al_2021,GTMNERRMiddle,GC5GW,4,5,GC5GW_5,0.633145462406163,0.034
Fell_et_al_2021,GTMNERRMiddle,GC5GW,14,15,GC5GW_15,0.6105331244630855,0.026000000000000002
Fell_et_al_2021,GTMNERRMiddle,GC5GW,29,30,GC5GW_30,0.6146558078567088,0.02
Fell_et_al_2021,GTMNERRMiddle,GC6GW,4,5,GC6GW_5,0.7225469536948137,0.081
Fell_et_al_2021,GTMNERRMiddle,GC6GW,14,15,GC6GW_15,0.716026969836434,0.084
Fell_et_al_2021,GTMNERRMiddle,GC6GW,29,30,GC6GW_30,0.7200048189559269,0.040999999999999995
Fell_et_al_2021,GTMNERRMiddle,GC1GC,4,5,GC1GC_5,0.788765095412516,0.085
Fell_et_al_2021,GTMNERRMiddle,GC1GC,14,15,GC1GC_15,0.7011877359280507,0.047
Fell_et_al_2021,GTMNERRMiddle,GC1GC,29,30,GC1GC_30,0.6905139936714858,0.031
Fell_et_al_2021,GTMNERRMiddle,GC2GC,4,5,GC2GC_5,0.6702240909206096,0.042
Fell_et_al_2021,GTMNERRMiddle,GC2GC,14,15,GC2GC_15,0.71447364883874,0.047
Fell_et_al_2021,GTMNERRMiddle,GC2GC,29,30,GC2GC_30,0.4597223476912194,0.019
Fell_et_al_2021,GTMNERRMiddle,GC3GC,4,5,GC3GC_5,NA,NA
Fell_et_al_2021,GTMNERRMiddle,GC3GC,14,15,GC3GC_15,NA,NA
Fell_et_al_2021,GTMNERRMiddle,GC3GC,29,30,GC3GC_30,0.5720494591433599,0.017
Fell_et_al_2021,GTMNERRMiddle,GC4GC,4,5,GC4GC_5,0.7819241579359729,0.111
Fell_et_al_2021,GTMNERRMiddle,GC4GC,14,15,GC4GC_15,0.7379156107866958,0.11199999999999999
Fell_et_al_2021,GTMNERRMiddle,GC4GC,20,30,GC4GC_30,NA,0.044000000000000004
Fell_et_al_2021,GTMNERRMiddle,GC5GC,4,5,GC5GC_5,0.7145808760236194,0.026000000000000002
Fell_et_al_2021,GTMNERRMiddle,GC5GC,14,15,GC5GC_15,0.3286254163439453,0.006
Fell_et_al_2021,GTMNERRMiddle,GC5GC,29,30,GC5GC_30,0.6127279158761295,0.016
Fell_et_al_2021,GTMNERRMiddle,GC6GC,4,5,GC6GC_5,0.6995263397831076,0.086
Fell_et_al_2021,GTMNERRMiddle,GC6GC,14,15,GC6GC_15,0.5538344022187702,0.1
Fell_et_al_2021,GTMNERRMiddle,GC6GC,29,30,GC6GC_30,0.8229337162430878,0.08900000000000001
Fell_et_al_2021,GTMNERRMiddle,GC1MW,4,5,GC1MW_5,0.8311597804599722,0.032
Fell_et_al_2021,GTMNERRMiddle,GC1MW,14,15,GC1MW_15,0.6000509497273125,0.023
Fell_et_al_2021,GTMNERRMiddle,GC1MW,29,30,GC1MW_30,0.7856329761853599,0.059000000000000004
Fell_et_al_2021,GTMNERRMiddle,GC2MW,4,5,GC2MW_5,0.6698758297093156,0.040999999999999995
Fell_et_al_2021,GTMNERRMiddle,GC2MW,14,15,GC2MW_15,0.7801727724347207,0.07200000000000001
Fell_et_al_2021,GTMNERRMiddle,GC2MW,29,30,GC2MW_30,0.7525128264753032,0.033
Fell_et_al_2021,GTMNERRMiddle,GC3MW,4,5,GC3MW_5,0.7319286523945839,0.061
Fell_et_al_2021,GTMNERRMiddle,GC3MW,14,15,GC3MW_15,0.6455940730259796,0.04
Fell_et_al_2021,GTMNERRMiddle,GC3MW,29,30,GC3MW_30,0.686938450654404,0.033
Fell_et_al_2021,GTMNERRMiddle,GC4MW,4,5,GC4MW_5,0.5847414165809443,0.084
Fell_et_al_2021,GTMNERRMiddle,GC4MW,14,15,GC4MW_15,0.5770661524838683,0.081
Fell_et_al_2021,GTMNERRMiddle,GC4MW,29,30,GC4MW_30,0.626147859922179,0.035
Fell_et_al_2021,GTMNERRMiddle,GC5MW,4,5,GC5MW_5,0.5908045696917291,0.02
Fell_et_al_2021,GTMNERRMiddle,GC5MW,14,15,GC5MW_15,0.6094471334868367,0.018000000000000002
Fell_et_al_2021,GTMNERRMiddle,GC5MW,29,30,GC5MW_30,0.7197182171636579,NA
Fell_et_al_2021,GTMNERRMiddle,GC6MW,4,5,GC6MW_5,0.7358131347530427,0.105
Fell_et_al_2021,GTMNERRMiddle,GC6MW,14,15,GC6MW_15,0.7172741066517865,0.07200000000000001
Fell_et_al_2021,GTMNERRMiddle,GC6MW,29,30,GC6MW_30,0.810737643844689,0.057
Fell_et_al_2021,GTMNERRMiddle,GC1MC,4,5,GC1MC_5,0.7015667034873498,0.077
Fell_et_al_2021,GTMNERRMiddle,GC1MC,14,15,GC1MC_15,0.7098316704402482,0.10300000000000001
Fell_et_al_2021,GTMNERRMiddle,GC1MC,29,30,GC1MC_30,0.6179367126332412,0.023
Fell_et_al_2021,GTMNERRMiddle,GC2MC,4,5,GC2MC_5,0.730519662174503,0.028999999999999998
Fell_et_al_2021,GTMNERRMiddle,GC2MC,14,15,GC2MC_15,0.7884405787637051,0.037000000000000005
Fell_et_al_2021,GTMNERRMiddle,GC2MC,29,30,GC2MC_30,0.5593668403974065,0.023
Fell_et_al_2021,GTMNERRMiddle,GC3MC,4,5,GC3MC_5,0.6566858131060466,0.059000000000000004
Fell_et_al_2021,GTMNERRMiddle,GC3MC,14,15,GC3MC_15,0.5878917314510187,0.086
Fell_et_al_2021,GTMNERRMiddle,GC3MC,29,30,GC3MC_30,0.9000119937740486,0.061
Fell_et_al_2021,GTMNERRMiddle,GC4MC,4,5,GC4MC_5,0.7566601919253978,0.107
Fell_et_al_2021,GTMNERRMiddle,GC4MC,14,15,GC4MC_15,0.7696052614340554,0.141
Fell_et_al_2021,GTMNERRMiddle,GC4MC,29,30,GC4MC_30,0.8691289273001335,0.06
Fell_et_al_2021,GTMNERRMiddle,GC5MC,4,5,GC5MC_5,0.8001512001512,0.049
Fell_et_al_2021,GTMNERRMiddle,GC5MC,14,15,GC5MC_15,0.694011790257524,0.027000000000000003
Fell_et_al_2021,GTMNERRMiddle,GC5MC,29,30,GC5MC_30,0.7210412303235225,0.027000000000000003
Fell_et_al_2021,GTMNERRMiddle,GC6MC,4,5,GC6MC_5,0.8286724102460878,0.11
Fell_et_al_2021,GTMNERRMiddle,GC6MC,14,15,GC6MC_15,0.7914194047904696,0.105
Fell_et_al_2021,GTMNERRMiddle,GC6MC,29,30,GC6MC_30,0.8645755005240652,NA
Fell_et_al_2021,GTMNERRNorthern,SG1GW,4,5,SG1GW_5,0.6175960925283556,NA
Fell_et_al_2021,GTMNERRNorthern,SG1GW,14,15,SG1GW_15,0.6347882084644055,NA
Fell_et_al_2021,GTMNERRNorthern,SG1GW,29,30,SG1GW_30,0.6931421672607854,0.055
Fell_et_al_2021,GTMNERRNorthern,SG2GW,4,5,SG2GW_5,0.5884794582849057,0.059000000000000004
Fell_et_al_2021,GTMNERRNorthern,SG2GW,14,15,SG2GW_15,0.5331044032570179,0.063
Fell_et_al_2021,GTMNERRNorthern,SG2GW,29,30,SG2GW_30,1.379318476594741,NA
Fell_et_al_2021,GTMNERRNorthern,SG3GW,4,5,SG3GW_5,0.5640888734641029,0.045
Fell_et_al_2021,GTMNERRNorthern,SG3GW,14,15,SG3GW_15,0.5454756924685872,0.057
Fell_et_al_2021,GTMNERRNorthern,SG3GW,29,30,SG3GW_30,0.5024818501861302,0.013999999999999999
Fell_et_al_2021,GTMNERRNorthern,SG4GW,4,5,SG4GW_5,0.721452211034125,0.059000000000000004
Fell_et_al_2021,GTMNERRNorthern,SG4GW,14,15,SG4GW_15,0.7404501664467893,0.063
Fell_et_al_2021,GTMNERRNorthern,SG4GW,29,30,SG4GW_30,0.3986883649795794,0.011000000000000001
Fell_et_al_2021,GTMNERRNorthern,SG5GW,4,5,SG5GW_5,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG5GW,14,15,SG5GW_15,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG5GW,29,30,SG5GW_30,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG6GW,4,5,SG6GW_5,0.5645388023292673,0.025
Fell_et_al_2021,GTMNERRNorthern,SG6GW,14,15,SG6GW_15,0.45124278964861453,0.013000000000000001
Fell_et_al_2021,GTMNERRNorthern,SG6GW,29,30,SG6GW_30,0.6124299677751481,0.026000000000000002
Fell_et_al_2021,GTMNERRNorthern,SG1GC,4,5,SG1GC_5,0.5739510000439274,0.061
Fell_et_al_2021,GTMNERRNorthern,SG1GC,14,15,SG1GC_15,0.6763065946181145,NA
Fell_et_al_2021,GTMNERRNorthern,SG1GC,29,30,SG1GC_30,0.9067515185438392,0.059000000000000004
Fell_et_al_2021,GTMNERRNorthern,SG2GC,4,5,SG2GC_5,0.6706534038821609,0.053
Fell_et_al_2021,GTMNERRNorthern,SG2GC,14,15,SG2GC_15,0.5459297677787182,NA
Fell_et_al_2021,GTMNERRNorthern,SG2GC,29,30,SG2GC_30,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG3GC,4,5,SG3GC_5,0.6440667679950469,0.066
Fell_et_al_2021,GTMNERRNorthern,SG3GC,14,15,SG3GC_15,0.6270879428295313,0.045
Fell_et_al_2021,GTMNERRNorthern,SG3GC,29,30,SG3GC_30,0.8593793876937527,NA
Fell_et_al_2021,GTMNERRNorthern,SG4GC,4,5,SG4GC_5,0.7259210293597453,0.077
Fell_et_al_2021,GTMNERRNorthern,SG4GC,14,15,SG4GC_15,0.7442083671115538,0.063
Fell_et_al_2021,GTMNERRNorthern,SG4GC,29,30,SG4GC_30,0.4234382144485459,0.009000000000000001
Fell_et_al_2021,GTMNERRNorthern,SG5GC,4,5,SG5GC_5,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG5GC,14,15,SG5GC_15,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG5GC,29,30,SG5GC_30,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG6GC,4,5,SG6GC_5,0.6237517667057559,0.024
Fell_et_al_2021,GTMNERRNorthern,SG6GC,14,15,SG6GC_15,0.575176103498721,0.024
Fell_et_al_2021,GTMNERRNorthern,SG6GC,29,30,SG6GC_30,0.5733352682769025,NA
Fell_et_al_2021,GTMNERRNorthern,SG1MW,4,5,SG1MW_5,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG1MW,14,15,SG1MW_15,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG1MW,29,30,SG1MW_30,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG2MW,4,5,SG2MW_5,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG2MW,14,15,SG2MW_15,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG2MW,29,30,SG2MW_30,0.5328026253296262,0.008
Fell_et_al_2021,GTMNERRNorthern,SG3MW,4,5,SG3MW_5,0.6922559564773648,0.09699999999999999
Fell_et_al_2021,GTMNERRNorthern,SG3MW,14,15,SG3MW_15,0.5884157347192367,0.049
Fell_et_al_2021,GTMNERRNorthern,SG3MW,29,30,SG3MW_30,0.5537711747828478,0.019
Fell_et_al_2021,GTMNERRNorthern,SG4MW,4,5,SG4MW_5,0.6593579918161822,0.055
Fell_et_al_2021,GTMNERRNorthern,SG4MW,14,15,SG4MW_15,0.7404332494386522,0.067
Fell_et_al_2021,GTMNERRNorthern,SG4MW,29,30,SG4MW_30,0.4177269791441408,0.009000000000000001
Fell_et_al_2021,GTMNERRNorthern,SG5MW,4,5,SG5MW_5,0.6960102866533098,0.035
Fell_et_al_2021,GTMNERRNorthern,SG5MW,14,15,SG5MW_15,0.5801402605034884,0.028999999999999998
Fell_et_al_2021,GTMNERRNorthern,SG5MW,29,30,SG5MW_30,0.5335058909961635,0.019
Fell_et_al_2021,GTMNERRNorthern,SG6MW,4,5,SG6MW_5,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG6MW,14,15,SG6MW_15,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG6MW,29,30,SG6MW_30,NA,NA
Fell_et_al_2021,GTMNERRNorthern,SG1MC,4,5,SG1MC_5,0.7328315096004964,0.094
Fell_et_al_2021,GTMNERRNorthern,SG1MC,14,15,SG1MC_15,0.7051815326392233,0.076
Fell_et_al_2021,GTMNERRNorthern,SG1MC,29,30,SG1MC_30,0.4298540390594457,0.013000000000000001
Fell_et_al_2021,GTMNERRNorthern,SG2MC,4,5,SG2MC_5,0.6898001049717587,0.038
Fell_et_al_2021,GTMNERRNorthern,SG2MC,14,15,SG2MC_15,0.7845347209623127,0.05
Fell_et_al_2021,GTMNERRNorthern,SG2MC,29,30,SG2MC_30,0.4725830298767645,NA
Fell_et_al_2021,GTMNERRNorthern,SG3MC,4,5,SG3MC_5,0.785163880954116,0.051
Fell_et_al_2021,GTMNERRNorthern,SG3MC,14,15,SG3MC_15,0.8022090515967963,0.061
Fell_et_al_2021,GTMNERRNorthern,SG3MC,29,30,SG3MC_30,0.2921767771684393,0.016
Fell_et_al_2021,GTMNERRNorthern,SG4MC,4,5,SG4MC_5,0.7108207522697796,0.073
Fell_et_al_2021,GTMNERRNorthern,SG4MC,14,15,SG4MC_15,0.810377637806163,0.09699999999999999
Fell_et_al_2021,GTMNERRNorthern,SG4MC,29,30,SG4MC_30,0.4773565268962441,NA
Fell_et_al_2021,GTMNERRNorthern,SG5MC,4,5,SG5MC_5,0.8589185515026667,0.054000000000000006
Fell_et_al_2021,GTMNERRNorthern,SG5MC,14,15,SG5MC_15,0.7532314175420249,0.032
Fell_et_al_2021,GTMNERRNorthern,SG5MC,29,30,SG5MC_30,0.4055561709140296,NA
Fell_et_al_2021,GTMNERRNorthern,SG6MC,4,5,SG6MC_5,0.7977495915239107,0.047
Fell_et_al_2021,GTMNERRNorthern,SG6MC,14,15,SG6MC_15,0.7519477615277965,0.037000000000000005
Fell_et_al_2021,GTMNERRNorthern,SG6MC,29,30,SG6MC_30,0.4924834468430675,0.009000000000000001
Fell_et_al_2021,NA,NA,NA,NA,NA,NA,0.048
