study_id,site_id,core_id,core_notes,longitude,latitude,elevation,elevation_datum,position_method,position_notes,year,month,day
Osland_et_al_2016,Grand_Bay,grand_bay_60,SPAL/JURO transition - 1st dom,-88.43934205,30.38157178,0.107,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_61,SPAL/JURO transition - mixed,-88.43935133,30.38157901,0.193,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_62,SPAL/JURO transition - 2nd dom,-88.43936833,30.38159776,0.247,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_63,'JURO dominant',-88.43938986,30.38162694,0.255,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_64,'JURO dominant',-88.43940773,30.38165116,0.259,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_65,JURO/SPPA transition - 1st dom,-88.43944622,30.38170192,0.383,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_66,JURO/SPPA transition - mixed,-88.43945771,30.38171799,0.567,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_67,JURO/SPPA transition - 2nd dom,-88.43946182,30.38172336,0.626,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_68,SPPA/woody transition - 1st dom,-88.439463,30.38172899,0.594,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_69,SPPA/woody transition - mixed,-88.4394671,30.38173488,0.674,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_70,SPPA/woody transition - 2nd dom,-88.43951407,30.38177287,0.93,NAVD88,NA,NA,2013,9,26
Osland_et_al_2016,Grand_Bay,grand_bay_71,water/SPAL transition - 1st dom,-88.43362041,30.38292398,-0.425,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_72,SPAL/JURO transition - 1st dom,-88.43362717,30.38292195,0.066,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_73,SPAL/JURO transition - mixed,-88.43363076,30.38292082,0.197,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_74,SPAL/JURO transition - 2nd dom,-88.43364519,30.38291109,0.345,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_75,20 m into JURO zone,-88.433747640000007,30.38275642,0.354,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_76,JURO/DISP transition - 1st dom,-88.43378178,30.38271076,0.392,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_77,JURO/DISP transition - mixed,-88.43380011,30.38268006,0.405,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_78,JURO/DISP transition - 2nd dom,-88.43381153,30.38267054,0.411,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_79,DISP/unvegetated transition - 1st dom,-88.43385411,30.38260859,0.589,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_80,DISP/unvegetated transition - mixed,-88.43386855,30.3825869,0.596,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_81,DISP/unvegetated transition - 2nd dom,-88.43388858,30.38255695,0.581,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_82,20 m into unvegetated zone,-88.43400135,30.38240502,0.591,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_83,unvegetated/DISP transition - 1st dom,-88.43411121,30.3822673,0.522,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_84,unvegetated/DISP transition - mixed,-88.43413245,30.38224094,0.513,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_85,unvegetated/DISP transition - 2nd dom,-88.43414545,30.38222195,0.506,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_86,DISP/JURO transition - 1st dom,-88.43424657,30.38209356,0.48,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_87,DISP/JURO transition - mixed,-88.4342806,30.38204803,0.5,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_88,DISP/JURO transition - 2nd dom,-88.43430858,30.38201179,0.476,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_89,20 m into JURO zone,-88.43443402,30.38186664,0.527,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Grand_Bay,grand_bay_90,40 m into JURO zone,-88.43455288,30.38172161,0.515,NAVD88,NA,NA,2013,9,27
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_1,water/succulent transition - 1st dom,-97.3635019,26.35445132,-0.036,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_2,water/succulent transition - mixed,-97.36350001,26.35444612,0.005,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_3,water/succulent transition - 2nd dom,-97.36349779,26.35443954,0.282,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_4,succulent/AVGE transition - mixed,-97.36349692,26.35443284,0.251,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_5,succulent/AVGE transition - 2nd dom,-97.36349159,26.35441273,0.223,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_6,AVGE/succulent transition - 1st dom,-97.36344948,26.3543306,0.237,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_7,AVGE/succulent transition - mixed,-97.36338298,26.3541963,0.18,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_8,AVGE/succulent transition - 2nd dom,-97.3633227,26.35406638,0.252,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_9,20 m into succulent zone,-97.36324154,26.35392023,0.238,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_10,succulent/MOLI transition - 1st dom,-97.36323329,26.35390823,0.293,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_11,succulent/MOLI transition - mixed,-97.36322653,26.35389727,0.302,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_12,succulent/MOLI transition - 2nd dom,-97.3632216,26.35388895,0.308,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_13,MOLI/mud flat transition - 1st dom,-97.36321734,26.35388198,0.355,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_14,MOLI/mud flat transition - mixed extra,-97.36321279,26.3538753,0.354,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_15,MOLI/mud flat transition - mixed,-97.36320524,26.35386267,0.405,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_16,MOLI/mud flat transition - 2nd dom,-97.36318498,26.35382876,0.381,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_17,flat/algae transition - 1st dom,-97.36309472,26.35366251,0.391,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_18,flat/algae transition - mixed,-97.3630832,26.3536445,0.275,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_19,flat/algae transition - 2nd dom,-97.36307501,26.3536326,0.262,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_20,flat/MOLI+succulent transition - 1st dom,-97.36305369,26.35359357,0.291,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_21,flat/MOLI+succulent transition - mixed,-97.36304177,26.35357257,0.378,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_22,flat/MOLI+succulent transition - 2nd dom,-97.36303609,26.3535617,0.435,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_23,flat/algae transition - 1st dom,-97.36295424,26.35342079,0.373,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_24,flat/algae transition - mixed,-97.36292741,26.35337257,0.274,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_25,flat/algae transition - 2nd dom,-97.36288533,26.35330188,0.253,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_26,20 m into algae zone,-97.36279479,26.35314004,0.265,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_27,40 m into algae zone,-97.36270611,26.35297687,0.229,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_28,water/AVGE+succulent transition - 1st dom,-97.34921152,26.35752157,-0.036,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_29,water/AVGE+succulent transition - mixed,-97.34921475,26.35750029,0.016,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_30,water/AVGE+succulent transition - 2nd dom,-97.34921599,26.35749029,0.098,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_31,AVGE+succulent/flat transition - 1st dom,-97.34921711,26.3574816,0.164,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_32,AVGE+succulent/flat transition - mixed,-97.34922169,26.35746261,0.284,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_33,AVGE+succulent/flat transition - 2nd dom,-97.34921747,26.35744494,0.329,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_34,flat/upland mix transition - 1st dom,-97.34920387,26.35729796,0.369,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_35,flat/upland mix transition - mixed,-97.34920299,26.35728803,0.4875,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_36,FLIP - flat/upland mix transition - 2nd dom,-97.34920095,26.35728156,0.8885,NAVD88,NA,NA,2013,12,3
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_37,dense seagrass/sparse seagrass transition - 1st dom,-97.18183716,26.04588595,-0.463,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_38,dense seagrass/sparse seagrass transition - mixed,-97.18176475,26.04588894,-0.368,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_39,dense seagrass/sparse seagrass transition - 2nd dom,-97.18171281,26.04589216,-0.245,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_40,sparse seagrass/SPAL transition - 1st dom,-97.18157377,26.04589859,-0.08,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_41,sparse seagrass/SPAL transition - mixed,-97.18154176,26.04589933,-0.117,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_42,sparse seagrass/SPAL transition - 2nd dom,-97.18151791,26.04589875,-0.11,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_43,SPAL/AVGE transition - 1st dom,-97.18146435,26.04590287,-0.043,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_44,SPAL/AVGE transition - mixed,-97.1814334,26.04590503,0.007,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_45,SPAL/AVGE transition - 2nd dom,-97.18135909,26.04591275,0.047,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_46,20 m into AVGE zone,-97.18116746,26.04595973,0.059,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_47,40 m into AVGE zone,-97.18098022,26.04601062,0.149,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_48,seagrass/flat transition - 1st dom,-97.18471397,26.04638141,-0.117,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_49,seagrass/flat transition - mixed,-97.18472485,26.04638537,-0.162,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_50,seagrass/flat transition - 2nd dom,-97.18474499,26.04639059,-0.107,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_51,20 m into flat,-97.18493816,26.04643389,0.045,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_52,flat/AVGE transition - 1st dom,-97.1849556,26.04643956,0.04,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_53,flat/AVGE transition - mixed,-97.18497709,26.04644577,0.076,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_54,flat/AVGE transition - 2nd dom,-97.18499551,26.04644735,0.192,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_55,15 cm elevation gain,-97.1850118,26.04645092,0.436,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_56,AVGE/succulent transition - 1st dom,-97.18502739,26.04645453,0.336,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_57,AVGE/succulent transition - mixed,-97.18504495,26.04645916,0.39,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_58,AVGE/succulent transition - 2nd dom (flip),-97.18505253,26.0464602,0.338,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_59,succulent/algal flat transition - 1st dom (flip),-97.1850614,26.04646155,0.31,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_60,succulent/algal flat transition - mixed,-97.18507218,26.04646612,0.301,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_61,succulent/algal flat transition - 2nd dom,-97.18508788,26.04647013,0.264,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_62,20 m into algal flat,-97.18529627,26.04648827,0.278,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_63,40 m into algal flat,-97.18550598,26.04650437,0.268,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_64,water/SPAL transition - 1st dom,-97.18154988,26.04805651,-0.034,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_65,water/SPAL transition - mixed,-97.18153603,26.04805601,-0.042,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_66,water/SPAL transition - 2nd dom,-97.1815146,26.04805249,-0.037,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_67,SPAL/AVGE transition - 1st dom,-97.18148316,26.04804961,0.05,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_68,SPAL/AVGE transition - mixed,-97.18142637,26.04804278,0.045,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_69,SPAL/AVGE transition - 2nd dom,-97.18135137,26.04803589,0.191,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_70,AVGE/succulent transition - 1st dom,-97.18121711,26.04802326,0.217,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_71,AVGE/succulent transition - mixed,-97.18115667,26.04801355,0.224,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_72,AVGE/succulent transition - 2nd dom,-97.18113353,26.04801346,0.221,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_73,succulent/algal flat transition - mixed (flip?),-97.18112553,26.04801143,0.241,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_74,succulent/algal flat transition - 2nd dom,-97.18108377,26.04800995,0.225,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_75,20 m into algal flat,-97.18088601,26.04798669,0.241,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_76,40 m into algal flat,-97.18068691,26.04796162,0.233,NAVD88,NA,NA,2013,12,4
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_77,water/AVGE transition - 1st dom,-97.30346011,26.17126816,0.059,NAVD88,NA,NA,2013,12,5
