site_id,Vegetation,Depth (cm),TOC(%)
Centla-Términos,Swamp forest,190-200,35.45
Centla-Términos,Swamp forest,250-260,20.34
Centla-Términos,Swamp forest,0-10,33.54
Centla-Términos,Swamp forest,40-50,26.62
Centla-Términos,Swamp forest,90-100,33.38
Centla-Términos,Swamp forest,140-150,35.81
Centla-Términos,Swamp forest,190-200,32.55
Centla-Términos,Swamp forest,240-250,33.17
Centla-Términos,Swamp forest,290-300,18.21
Centla-Términos,Swamp forest,330-340,2.74
Centla-Términos,Grazed,0-10,8.97
Centla-Términos,Grazed,40-50,1.44
Centla-Términos,Grazed,0-10,10.11
Centla-Términos,Grazed,40-50,3
Centla-Términos,Grazed,0-10,9.99
Centla-Términos,Grazed,140-150,5.54
Centla-Términos,Grazed,40-50,2.62
Centla-Términos,Grazed,0-10,23.14
Centla-Términos,Grazed,140-150,2.52
Centla-Términos,Grazed,40-50,4.96
Centla-Términos,Mangrove,0-10,3.25
Centla-Términos,Mangrove,40-50,2.7
Centla-Términos,Mangrove,90-100,2.25
Centla-Términos,Mangrove,140-150,1.31
Centla-Términos,Mangrove,0-10,10.25
Centla-Términos,Mangrove,40-50,10.06
Centla-Términos,Mangrove,90-100,11.83
Centla-Términos,Mangrove,140-150,12.19
Centla-Términos,Mangrove,190-200,1.13
Centla-Términos,Mangrove,0-10,6.78
Centla-Términos,Mangrove,40-50,7.52
Centla-Términos,Mangrove,90-100,3.65
Centla-Términos,Mangrove,130-140,1.9
Centla-Términos,Mangrove,0-10,3.7
Centla-Términos,Mangrove,40-50,3.92
Centla-Términos,Mangrove,90-100,2.97
Centla-Términos,Mangrove,140-150,2.59
Centla-Términos,Mangrove,0-10,0.93
Centla-Términos,Mangrove,40-50,0.67
Centla-Términos,Mangrove,90-100,1.83
Centla-Términos,Mangrove,140-150,3.02
Centla-Términos,Mangrove,170-180,2.62
Centla-Términos,Mangrove,0-10,2.5
Centla-Términos,Mangrove,140-50,2.16
Centla-Términos,Mangrove,190-100,1.23
Centla-Términos,Mangrove,140-150,0.52
Boquilla-Mancha,Marshes, 0-10,25.75
Boquilla-Mancha,Marshes, 40-50,10.61
Boquilla-Mancha,Marshes, 90-100,15.46
Boquilla-Mancha,Marshes, 140-150,13.17
Boquilla-Mancha,Marshes, 190-200,5.69
Boquilla-Mancha,Marshes, 240-250,6.32
Boquilla-Mancha,Marshes, 290-300,0.7
Boquilla-Mancha,Marshes, 0-10,11.24
Boquilla-Mancha,Marshes, 40-50,2.16
Boquilla-Mancha,Marshes, 90-100,0.93
Boquilla-Mancha,Marshes, 140-150,1
Boquilla-Mancha,Marshes, 190-200,3.16
Boquilla-Mancha,Marshes, 240-250,1.79
Boquilla-Mancha,Marshes, 290-300,0.75
Boquilla-Mancha,Marshes, 0-10,17.77
Boquilla-Mancha,Marshes, 40-50,8.02
Boquilla-Mancha,Marshes, 90-100,2.17
Boquilla-Mancha,Marshes, 0-10,12.61
Boquilla-Mancha,Marshes, 40-50,2.99
Boquilla-Mancha,Marshes, 90-100,3.12
Boquilla-Mancha,Marshes,110-120,1.76
Boquilla-Mancha,Marshes, 0-10,11.54
Boquilla-Mancha,Marshes, 40-50,3.16
Boquilla-Mancha,Marshes, 80-90,2.03
Boquilla-Mancha,Marshes, 0-10,18.31
Boquilla-Mancha,Marshes, 90-100,8.83
Boquilla-Mancha,Marshes, 140-150,7.89
Boquilla-Mancha,Marshes, 190-200,2.23
Boquilla-Mancha,Marshes, 240-250,6.75
Boquilla-Mancha,Marshes, 290-300,3.25
Boquilla-Mancha,Marshes, 0-10,10.78
Boquilla-Mancha,Marshes, 40-50,14.63
Boquilla-Mancha,Marshes, 90-100,11.33
Boquilla-Mancha,Marshes, 140-150,7.44
Boquilla-Mancha,Marshes, 190-200,16.84
Boquilla-Mancha,Marshes, 240-250,4.29
Boquilla-Mancha,Marshes, 290-300,8.4
Boquilla-Mancha,Marshes, 0-10,1.76
Boquilla-Mancha,Marshes, 40-50,1.63
Boquilla-Mancha,Marshes, 90-100,1.41
Boquilla-Mancha,Marshes, 120-130,1.33
Boquilla-Mancha,Marshes, 0-10,15.6
Boquilla-Mancha,Marshes, 40-50,19.9
Boquilla-Mancha,Marshes, 90-100,27.5
Boquilla-Mancha,Marshes, 140-150,2.06
Boquilla-Mancha,Marshes, 160-170,1.75
Boquilla-Mancha,Marshes, 0-10,23.42
Boquilla-Mancha,Marshes, 40-50,24.46
Boquilla-Mancha,Marshes, 90-100,17.04
Boquilla-Mancha,Marshes, 140-150,2.37
Boquilla-Mancha,Marshes, 0-10,21.4
Boquilla-Mancha,Marshes, 40-50,31.19
Boquilla-Mancha,Marshes, 90-100,24.42
Boquilla-Mancha,Marshes, 0-10,1.75
Boquilla-Mancha,Marshes, 10-20,0.92
Boquilla-Mancha,Marshes, 40-50,1.3
Boquilla-Mancha,Marshes, 0-10,7.32
Boquilla-Mancha,Marshes, 40-50,3.13
Boquilla-Mancha,Marshes, 90-100,2.8
Boquilla-Mancha,Marshes, 130-140,2.77
Boquilla-Mancha,Marshes, 0-10,4.54
Boquilla-Mancha,Marshes, 10-20,3.02
Boquilla-Mancha,Marshes, 20-30,2.02
Boquilla-Mancha,Marshes,0-10,16.5
Boquilla-Mancha,Marshes,40-50,16.67
Boquilla-Mancha,Marshes,90-100,23.93
Boquilla-Mancha,Swamp forest,0-10,18.78
Boquilla-Mancha,Swamp forest,40-50,8.34
Boquilla-Mancha,Swamp forest,90-100,2.13
Boquilla-Mancha,Swamp forest,0-10,26.42
Boquilla-Mancha,Swamp forest,40-50,23.56
Boquilla-Mancha,Swamp forest,90-100,4.79
Boquilla-Mancha,Swamp forest,0-10,10.65
Boquilla-Mancha,Swamp forest,40-50,11.3
Boquilla-Mancha,Swamp forest,90-100,9.42
Boquilla-Mancha,Swamp forest,140-150,13.08
Boquilla-Mancha,Swamp forest,190-200,4.72
Boquilla-Mancha,Swamp forest,240-250,3.09
Boquilla-Mancha,Swamp forest,290-300,2.34
Boquilla-Mancha,Swamp forest,0-10,28.08
Boquilla-Mancha,Swamp forest,40-50,13.25
Boquilla-Mancha,Swamp forest,90-100,13.08
Boquilla-Mancha,Swamp forest,140-150,10.88
Boquilla-Mancha,Swamp forest,190-200,4.38
Boquilla-Mancha,Swamp forest,240-250,3.79
Boquilla-Mancha,Swamp forest,0-10,15.02
Boquilla-Mancha,Swamp forest,40-50,3.92
Boquilla-Mancha,Swamp forest,90-100,3.2
Boquilla-Mancha,Swamp forest,140-150,5.39
Boquilla-Mancha,Swamp forest,190-200,2.56
Boquilla-Mancha,Swamp forest,240-250,1.66
Boquilla-Mancha,Swamp forest,290-300,0.51
Boquilla-Mancha,Swamp forest,0-10,6.21
Boquilla-Mancha,Swamp forest,40-50,2.72
Boquilla-Mancha,Swamp forest,90-100,2.56
Boquilla-Mancha,Swamp forest,140-150,1.19
Boquilla-Mancha,Swamp forest,190-200,1.47
Boquilla-Mancha,Swamp forest,0-10,4.14
Boquilla-Mancha,Swamp forest,40-50,0.81
Boquilla-Mancha,Swamp forest,90-100,1.02
Boquilla-Mancha,Swamp forest,140-150,0.85
Boquilla-Mancha,Swamp forest,200-210,1.46
Boquilla-Mancha,Swamp forest,220-230,1.19
Boquilla-Mancha,Swamp forest,0-10,9.87
Boquilla-Mancha,Swamp forest,40-50,4.85
Boquilla-Mancha,Swamp forest,90-100,8.76
Boquilla-Mancha,Swamp forest,140-150,5.94
Boquilla-Mancha,Swamp forest,5190-200,0.72
Boquilla-Mancha,Swamp forest,0-10,5.22
Boquilla-Mancha,Swamp forest,40-50,4.26
Boquilla-Mancha,Swamp forest,90-100,2.87
Boquilla-Mancha,Swamp forest,130-140,0.99
Boquilla-Mancha,Swamp forest,0-10,4.45
Boquilla-Mancha,Swamp forest,40-50,1.67
Boquilla-Mancha,Swamp forest,90-100,2.86
Boquilla-Mancha,Swamp forest,140-150,1.92
Boquilla-Mancha,Swamp forest,160-170,0.63
Boquilla-Mancha,Swamp forest,0-10,2.98
Boquilla-Mancha,Swamp forest,40-50,2.97
Boquilla-Mancha,Swamp forest,90-100,8.08
Boquilla-Mancha,Swamp forest,130-140,3.26
Boquilla-Mancha,Swamp forest,0-10,6.64
Boquilla-Mancha,Swamp forest,40-50,5.57
Boquilla-Mancha,Swamp forest,90-100,6.47
Boquilla-Mancha,Swamp forest,130-140,6.22
Boquilla-Mancha,Swamp forest,0-10,15.72
Boquilla-Mancha,Swamp forest,40-50,18.43
Boquilla-Mancha,Swamp forest,70-80,13.18
Boquilla-Mancha,Swamp forest,0-10,10.35
Boquilla-Mancha,Swamp forest,40-50,19.74
Boquilla-Mancha,Swamp forest,90-100,8.67
Boquilla-Mancha,Swamp forest,120-130,8.91
Boquilla-Mancha,Swamp forest,0-10,33.73
Boquilla-Mancha,Swamp forest,40-50,34.25
Boquilla-Mancha,Swamp forest,90-100,25.58
Boquilla-Mancha,Swamp forest,140-150,21.47
Boquilla-Mancha,Swamp forest,190-200,2.58
Boquilla-Mancha,Swamp forest,240-250,1.02
Boquilla-Mancha,Grazed, 0-10,23.07
Boquilla-Mancha,Grazed, 40-50,3.92
Boquilla-Mancha,Grazed, 90-100,1.64
Boquilla-Mancha,Grazed, 140-150,1.99
Boquilla-Mancha,Grazed, 160-170,2.44
Boquilla-Mancha,Grazed, 0-10,7.09
Boquilla-Mancha,Grazed, 40-50,1.95
Boquilla-Mancha,Grazed, 90-100,0.71
Boquilla-Mancha,Grazed, 100-0,0.73
Boquilla-Mancha,Grazed, 0-10,21.55
Boquilla-Mancha,Grazed, 40-50,4.7
Boquilla-Mancha,Grazed, 90-100,5.12
Boquilla-Mancha,Grazed, 140-150,6.52
Boquilla-Mancha,Grazed, 190-200,4.42
Boquilla-Mancha,Grazed, 240-250,6.07
Boquilla-Mancha,Grazed, 0-10,5.3
Boquilla-Mancha,Grazed, 40-50,1.69
Boquilla-Mancha,Grazed, 90-100,1.45
Boquilla-Mancha,Grazed, 100-0,1.17
Boquilla-Mancha,Grazed,0-10,4
Boquilla-Mancha,Grazed,40-50,1.91
Boquilla-Mancha,Grazed,90-100,1.06
Boquilla-Mancha,Grazed,140-150,0.75
Boquilla-Mancha,Grazed,180-190,0.55
Boquilla-Mancha,Grazed,0-10,7.33
Boquilla-Mancha,Grazed,40-50,4.24
Boquilla-Mancha,Grazed,90-100,2.44
Boquilla-Mancha,Grazed,140-150,6.78
Boquilla-Mancha,Grazed,190-200,1.01
Boquilla-Mancha,Grazed,0-10,12.24
Boquilla-Mancha,Grazed,40-50,5.97
Boquilla-Mancha,Grazed,90-100,12.55
Boquilla-Mancha,Grazed,140-150,5.24
Boquilla-Mancha,Grazed,190-200,4.05
Boquilla-Mancha,Grazed,240-250,4.02
Boquilla-Mancha,Grazed,270-280,1.51
Boquilla-Mancha,Grazed, 0-10,7.57
Boquilla-Mancha,Grazed, 40-50,3.03
Boquilla-Mancha,Grazed, 90-100,2.35
Boquilla-Mancha,Grazed, 0-10,5.9
Boquilla-Mancha,Grazed, 40-50,3.58
Boquilla-Mancha,Grazed, 90-100,1.83
Boquilla-Mancha,Grazed, 0-10,3.64
Boquilla-Mancha,Grazed, 10-20,1.77
Boquilla-Mancha,Grazed, 20-30,1.45
Boquilla-Mancha,Grazed, 0-10,9.33
Boquilla-Mancha,Grazed, 10-20,6.18
Boquilla-Mancha,Grazed, 20-30,1.4
Boquilla-Mancha,Grazed, 0-10,1.54
Boquilla-Mancha,Grazed, 10-20,1.9
Boquilla-Mancha,Grazed, 20-30,2.5
Boquilla-Mancha,Grazed,0-10,6.63
Boquilla-Mancha,Grazed,40-50,2.97
Boquilla-Mancha,Grazed,90-100,3.02
Boquilla-Mancha,Grazed,100-0,4.54
Boquilla-Mancha,Grazed, 0-10,7.21
Boquilla-Mancha,Grazed, 40-50,4.59
Boquilla-Mancha,Grazed, 90-100,2.05
Boquilla-Mancha,Mangrove,6-0-10,2.79
Boquilla-Mancha,Mangrove,6-40-50,2.08
Boquilla-Mancha,Mangrove,6-90-100,1.18
Boquilla-Mancha,Mangrove,6-140-150,0.73
Boquilla-Mancha,Mangrove,6-170-180,1.37
Boquilla-Mancha,Mangrove,0-10,4.7
Boquilla-Mancha,Mangrove,40-50,3.69
Boquilla-Mancha,Mangrove,90-100,2.52
Boquilla-Mancha,Mangrove,140-150,3.68
Boquilla-Mancha,Mangrove,190-200,0.29
Boquilla-Mancha,Mangrove,0-10,2.43
Boquilla-Mancha,Mangrove,40-50,0.77
Boquilla-Mancha,Mangrove,90-100,2.09
Boquilla-Mancha,Mangrove,11+L2840-120,1.67
Boquilla-Mancha,Mangrove,0-10,5.74
Boquilla-Mancha,Mangrove,40-50,0.87
Boquilla-Mancha,Mangrove,90-100,0.68
Boquilla-Mancha,Mangrove,130-140,0.86
Boquilla-Mancha,Mangrove,0-10,2.29
Boquilla-Mancha,Mangrove,40-50,1.3
Boquilla-Mancha,Mangrove,90-100,1.27
Boquilla-Mancha,Mangrove,140-150,6
Boquilla-Mancha,Mangrove,190-200,5.33
Boquilla-Mancha,Mangrove,240-250,2.87
Boquilla-Mancha,Mangrove,290-300,1.23
Boquilla-Mancha,Mangrove,0-10,4.11
Boquilla-Mancha,Mangrove,40-50,0.92
Boquilla-Mancha,Mangrove,90-100,1.12
Boquilla-Mancha,Mangrove,140-150,4.52
Boquilla-Mancha,Mangrove,190-200,3.75
Boquilla-Mancha,Mangrove,240-250,1.81
Boquilla-Mancha,Mangrove,0-10,3.24
Boquilla-Mancha,Mangrove,40-50,2.08
Boquilla-Mancha,Mangrove,90-100,2.03
Boquilla-Mancha,Mangrove,140-150,0.98
Boquilla-Mancha,Mangrove,190-200,1.74
Boquilla-Mancha,Mangrove,0-10,1.55
Boquilla-Mancha,Mangrove,40-50,2.05
Boquilla-Mancha,Mangrove,90-100,0.76
Boquilla-Mancha,Mangrove,140-150,1.02
Boquilla-Mancha,Mangrove,190-200,1.24
Boquilla-Mancha,Mangrove,210-220,0.81
Boquilla-Mancha,Mangrove,0-10,2.88
Boquilla-Mancha,Mangrove,40-50,1.28
Boquilla-Mancha,Mangrove,90-100,2.29
Boquilla-Mancha,Mangrove,140-150,3.85
Boquilla-Mancha,Mangrove,190-200,1.33
Boquilla-Mancha,Mangrove,220-230,1.55
Boquilla-Mancha,Mangrove,0-10,4.81
Boquilla-Mancha,Mangrove,40-50,0.79
Boquilla-Mancha,Mangrove,90-100,1
Boquilla-Mancha,Mangrove,140-150,2.74
Boquilla-Mancha,Mangrove,190-200,1.24
Boquilla-Mancha,Mangrove,0-10,30.76
Boquilla-Mancha,Mangrove,40-50,25.94
Boquilla-Mancha,Mangrove,90-100,21.46
Boquilla-Mancha,Mangrove,140-150,10.87
Boquilla-Mancha,Mangrove,190-200,6.8
Boquilla-Mancha,Mangrove,0-10,28.7
Boquilla-Mancha,Mangrove,40-50,36.21
Boquilla-Mancha,Mangrove,90-100,34.11
Boquilla-Mancha,Mangrove,140-50,13.69
Boquilla-Mancha,Mangrove,190-200,5.39
Boquilla-Mancha,Mangrove,240-250,1.72
Boquilla-Mancha,Mangrove,290-300,1.89
Boquilla-Mancha,Mangrove,0-10,27.07
Boquilla-Mancha,Mangrove,40-50,28.19
Boquilla-Mancha,Mangrove,90-100,28.44
Boquilla-Mancha,Mangrove,130-140,15.56
Boquilla-Mancha,Mangrove,0-10,21.09
Boquilla-Mancha,Mangrove,40-50,19.6
Boquilla-Mancha,Mangrove,90-100,16.86
Boquilla-Mancha,Mangrove,140-150,10.2
Boquilla-Mancha,Mangrove,0-10,37.74
Boquilla-Mancha,Mangrove,40-50,42.44
Boquilla-Mancha,Mangrove,90-100,27.02
Boquilla-Mancha,Mangrove,140-150,13.49
Boquilla-Mancha,Mangrove,170-180,20.21
Boquilla-Mancha,Mangrove,0-10,27.01
Boquilla-Mancha,Mangrove,40-50,30.9
Boquilla-Mancha,Mangrove,90-100,21.3
Boquilla-Mancha,Mangrove,140-150,10.53
Boquilla-Mancha,Mangrove,190-200,2.51
Boquilla-Mancha,Mangrove,240-250,1.28
Boquilla-Mancha,Mangrove,0-10,24.2
Boquilla-Mancha,Mangrove,40-50,32.1
Boquilla-Mancha,Mangrove,90-100,22.38
Boquilla-Mancha,Mangrove,140-150,11.01
Boquilla-Mancha,Mangrove,240-250,1.86
