Date sampled,Latitude,Longitude,Sediment core reference,U_depth_cm,L_depth_cm,SITE/TRANSECT,Habitat type,Bulk density (g cm3),% Total C,% Total N,% Organic C,% Organic N,%Organics,Total C (g C cm3),Total N (g N cm3),Organic C (g C cm3),Organic  N (g N cm3),Chla (microg/g sediment),% Gravel/shell hash (>2000 µm),% Coarse and very coarse sand (500 – 2000 µm),% Medium sand (250 – 500 µm),%  Fine and very fine sand (63 – 250 µm),% Silt and clay (≤ 62.9 µm)
23/05/2016,-37.029176,175.832715,3,40,50,TAIRUA UPPER,SALTMARSH,1.45,0.26,0.02,0.05,,21.05,0.00,0.00,0.00,,,,,,,
24/05/2016,-37.030115,175.850659,10,40,50,PAUANUI,SALTMARSH,1.84,0.51,0.03,0.11,,21.05,0.01,0.00,0.00,,,,,,,
24/05/2016,-37.030126,175.850538,11,40,50,PAUANUI,SALTMARSH,1.21,1.12,0.06,0.24,,21.05,0.01,0.00,0.00,,,,,,,
24/05/2016,-37.030039,175.850463,12,40,50,PAUANUI,SALTMARSH,1.38,0.58,0.03,0.12,,21.05,0.01,0.00,0.00,,,,,,,
20/06/2016,-37.021096,175.84111,31,40,50,TAIRUA MID,SALTMARSH,1.08,2.85,0.03,0.60,0.03,21.05,0.03,0.00,0.01,0.00,,,,,,
20/06/2016,-37.02132,175.841643,32,40,50,TAIRUA MID,SALTMARSH,1.03,1.36,0.02,0.29,,21.05,0.01,0.00,0.00,,,,,,,
20/06/2016,-37.021554,175.842077,33,40,50,TAIRUA MID,SALTMARSH,0.89,0.40,0.02,0.08,,21.05,0.00,0.00,0.00,,,,,,,
23/05/2016,-37.028766,175.830954,1,90,100,TAIRUA UPPER,SALTMARSH,1.07,0.64,0.02,0.51,,80.24,0.01,0.00,0.01,,,,,,,
23/05/2016,-37.029026,175.83192,2,90,100,TAIRUA UPPER,SALTMARSH,0.97,0.91,0.03,0.63,0.03,69.23,0.01,0.00,0.01,0.00,,,,,,
23/05/2016,-37.029176,175.832715,3,90,100,TAIRUA UPPER,SALTMARSH,1.13,0.63,0.02,0.51,,80.24,0.01,0.00,0.01,,,,,,,
24/05/2016,-37.030115,175.850659,10,90,100,PAUANUI,SALTMARSH,1.11,0.42,0.02,0.34,,80.24,0.00,0.00,0.00,,,,,,,
24/05/2016,-37.030126,175.850538,11,90,100,PAUANUI,SALTMARSH,1.14,0.34,0.02,0.27,,80.24,0.00,0.00,0.00,,,,,,,
24/05/2016,-37.030039,175.850463,12,90,100,PAUANUI,SALTMARSH,1.12,0.41,0.02,0.37,0.02,90.24,0.00,0.00,0.00,0.00,,,,,,
20/06/2016,-37.021096,175.84111,31,90,100,TAIRUA MID,SALTMARSH,1.29,0.35,0.02,0.28,,80.24,0.00,0.00,0.00,,,,,,,
20/06/2016,-37.02132,175.841643,32,90,100,TAIRUA MID,SALTMARSH,1.31,0.16,0.02,0.13,0.02,81.25,0.00,0.00,0.00,0.00,,,,,,
20/06/2016,-37.021554,175.842077,33,90,100,TAIRUA MID,SALTMARSH,1.12,0.71,0.04,0.57,,80.24,0.01,0.00,0.01,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
