study_id,bib_key,bibtype,title,author,date,journaltitle,shortjournal,volume,number,pages,issn,doi,url,langid,keywords,publisher,shorttitle,series,issue,given,given-i
Camacho_et_al_2014,camachoGeochemicalCharacteristicsSediments2014,Article,"Geochemical Characteristics of Sediments along the Margins of an Atlantic-Mediterranean Estuary (the {{Guadiana}}, {{Southeast Portugal}}): Spatial and Seasonal Variations",Sarita Camacho and Delminda Moura and Simon Connor and Tomasz Boski and Ana Gomes,2014-03,Revista de Gestão Costeira Integrada,RGCI,14,1,129--148,16468872,10.5894/rgci452,http://www.aprh.pt/rgci/rgci452.html,NA,NA,NA,"Geochemical Characteristics of Sediments along the Margins of an Atlantic-Mediterranean Estuary (the {{Guadiana}}, {{Southeast Portugal}})",NA,NA,NA,NA
Chmura_and_Hung_2004,chmuraControlsSaltMarsh2004b,Article,Controls on Salt Marsh Accretion: {{A}} Test in Salt Marshes of {{Eastern Canada}},Gail L. Chmura and Grace A. Hung,2004-02,Estuaries,Estuaries,27,1,70--81,0160-8347,10.1007/BF02803561,http://link.springer.com/10.1007/BF02803561,english,NA,NA,Controls on Salt Marsh Accretion,NA,NA,NA,NA
Connor_et_al_2001,connorCarbonAccumulationBay2001e,Article,Carbon Accumulation in Bay of Fundy Salt Marshes: {{Implications}} for Restoration of Reclaimed Marshes,Richard F. Connor and Gail L. Chmura and C. Beth Beecher,2001-12,Global Biogeochemical Cycles,Global Biogeochem. Cycles,15,4,943--954,8866236,10.1029/2000GB001346,http://doi.wiley.com/10.1029/2000GB001346,english,NA,NA,Carbon Accumulation in Bay of Fundy Salt Marshes,NA,NA,NA,NA
Conrad_et_al_2019,conradDoesRegionalDevelopment2019,Article,Does {{Regional Development Influence Sedimentary Blue Carbon Stocks}}? {{A Case Study From Three Australian Estuaries}},Stephen Conrad and Dylan R. Brown and Paula Gomez Alvarez and Bronte Bates and Nizam Ibrahim and Alex Reid and Luciana Silva Monteiro and Daniela A. Silva and Lea T. Mamo and Jacob R. Bowtell and Huang An Lin and Nathaniel L. Tolentino and Christian Joshua Sanders,2019,Frontiers in Marine Science,NA,5,NA,518,2296-7745,10.3389/fmars.2018.00518,https://www.frontiersin.org/articles/10.3389/fmars.2018.00518,NA,NA,NA,Does {{Regional Development Influence Sedimentary Blue Carbon Stocks}}?,NA,NA,NA,NA
Cott_et_al_2013,cottSaltMarshesSubstrate2013b,Article,Salt {{Marshes}} on {{Substrate Enriched}} in {{Organic Matter}}: {{The Case}} of {{Ombrogenic Atlantic Salt Marshes}},Grace M. Cott and Deborah V. Chapman and Marcel A. K. Jansen,5/1/13,Estuaries and Coasts,Estuaries and Coasts,36,3,595--609,1559-2731,10.1007/s12237-012-9579-7,https://doi.org/10.1007/s12237-012-9579-7,english,"Atriplex portulacoides,Composition,Organic matter,Peat,Zonation",NA,Salt {{Marshes}} on {{Substrate Enriched}} in {{Organic Matter}},NA,NA,NA,NA
Craft_et_al_1993,Craft_et_al_1993,Article,Vertical {{Accretion}} in {{Microtidal Regularly}} and {{Irregularly Flooded Estuarine Marshes}},C.B. Craft and E.D. Seneca and S.W. Broome,1993-10,"Estuarine, Coastal and Shelf Science","Estuarine, Coastal and Shelf Science",37,4,371--386,2727714,10.1006/ecss.1993.1062,https://linkinghub.elsevier.com/retrieve/pii/S0272771483710620,english,NA,NA,NA,NA,NA,NA,NA
Cuellar-Martinez_et_al_2019,cuellar-martinezRelevanceCarbonBurial2019b,Article,Relevance of Carbon Burial and Storage in Two Contrasting Blue Carbon Ecosystems of a North-East {{Pacific}} Coastal Lagoon,Tomasa Cuellar-Martinez and Ana Carolina Ruiz-Fernández and Joan-Albert Sanchez-Cabeza and Libia-Hascibe Pérez-Bernal and Jose Sandoval-Gil,7/20/19,Science of The Total Environment,Science of The Total Environment,675,NA,581--593,0048-9697,10.1016/j.scitotenv.2019.03.388,https://www.sciencedirect.com/science/article/pii/S0048969719313865,english,"Blue carbon ecosystems,California Current Large Marine Ecosystem,Coastal sediments,Pb chronology,salt marsh,seagrass",NA,NA,NA,NA,NA,NA
Ewers_Lewis_et_al_2020,ewerslewisVariabilityVulnerabilityCoastal2018,Article,Variability and {{Vulnerability}} of {{Coastal}} ‘{{Blue Carbon}}’ {{Stocks}}: {{A Case Study}} from {{Southeast Australia}},C.J. {Ewers Lewis} and P.E. Carnell and J. Sanderman and J.A. Baldock and P.I. Macreadie,2018,Ecosystems,NA,21,2,263--279,NA,10.1007/s10021-017-0150-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018679277&doi=10.1007%2fs10021-017-0150-z&partnerID=40&md5=9a126b4e76267e518e0dcbc170266132,NA,NA,NA,NA,NA,NA,NA,NA
Gallagher_et_al_2021,gallagherInorganicBlackCarbon2021b,Article,Inorganic and {{Black Carbon Hotspots Constrain Blue Carbon Mitigation Services Across Tropical Seagrass}} and {{Temperate Tidal Marshes}},John Barry Gallagher and Vishnu Prahalad and John Aalders,6/4/21,Wetlands,Wetlands,41,5,65,1943-6246,10.1007/s13157-021-01460-3,https://doi.org/10.1007/s13157-021-01460-3,english,"Carbon sequestration,Particulate inorganic carbon,Pyrogenic carbon,Salt marsh,Southeast Asia,Tasmania",NA,NA,NA,NA,NA,NA
Gonzalez-Alcaraz_et_al_2015,gonzalez-alcarazContributionSoilProperties2015b,Article,Contribution of Soil Properties to the Assessment of a Seawater Irrigation Programme as a Management Strategy for Abandoned Solar Saltworks,M. N. González-Alcaraz and B. Aránega and H. M. Conesa and M. J. Delgado and J. Álvarez-Rogel,3/1/15,CATENA,CATENA,126,NA,189--200,0341-8162,10.1016/j.catena.2014.11.012,https://www.sciencedirect.com/science/article/pii/S0341816214003440,english,"Ecosystem restoration,Halophytes,Redoximorphic features,Salt marsh,Wetlands",NA,NA,NA,NA,NA,NA
,gonzalez-alcarazStorageOrganicCarbon2012d,Article,"Storage of Organic Carbon, Nitrogen and Phosphorus in the Soil–Plant System of {{{\emph{Phragmites}}}}{\emph{ Australis}} Stands from a Eutrophicated {{Mediterranean}} Salt Marsh",M. N. González-Alcaraz and C. Egea and F. J. Jiménez-Cárceles and I. Párraga and A. María-Cervantes and M. J. Delgado and J. Álvarez-Rogel,9/1/12,Geoderma,Geoderma,185--186,NA,61--72,0016-7061,10.1016/j.geoderma.2012.03.019,https://www.sciencedirect.com/science/article/pii/S0016706112001383,english,"Carbon sequestration,Eutrophication,Net primary productivity,Nutrient stocks",NA,NA,NA,NA,NA,NA
Gorham_et_al_2021,gorhamSoilCarbonStocks2021,Article,Soil {{Carbon Stocks Vary Across Geomorphic Settings}} in {{Australian Temperate Tidal Marsh Ecosystems}},Connor Gorham and Paul Lavery and Jeffrey J. Kelleway and Cristian Salinas and Oscar Serrano,3/1/21,Ecosystems,Ecosystems,24,2,319--334,1435-0629,10.1007/s10021-020-00520-9,https://doi.org/10.1007/s10021-020-00520-9,english,"Biogeochemical cycles,Blue carbon,BLUE CARBON,Carbon storage,Coastal ecosystems,ESTUARINE SALINITY,GLOBALLY SIGNIFICANT,Habitat characteristics,MANGROVE,ORGANIC-CARBON,RATES,SALT-MARSH,Saltmarsh,SEAGRASS,STABLE-ISOTOPES,STORAGE,Temperate ecosystems,Western Australia",NA,NA,NA,NA,NA,NA
Graversen_et_al_2022,graversenCarbonSequestrationNot2022b,Article,Carbon Sequestration Is Not Inhibited by Livestock Grazing in {{Danish}} Salt Marshes,Anna Elizabeth Løvgren Graversen and Gary T. Banta and Pere Masque and Dorte Krause-Jensen,2022,Limnology and Oceanography,NA,67,S2,S19-S35,1939-5590,10.1002/lno.12011,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12011,english,NA,NA,NA,NA,NA,NA,NA
Grey_et_al_2021,greyGeochemicalMappingBlue2021b,Article,Geochemical Mapping of a Blue Carbon Zone: {{Investigation}} of the Influence of Riverine Input on Tidal Affected Zones in {{Bull Island}},Anthony Grey and Aisling Cunningham and Alan Lee and Xavier Monteys and Seamus Coveney and Margaret V. McCaul and Brian T. Murphy and Thomas McCloughlin and Brooks Hidaka and Brian P. Kelleher,6/1/21,Regional Studies in Marine Science,Regional Studies in Marine Science,45,NA,101834,2352-4855,10.1016/j.rsma.2021.101834,https://www.sciencedirect.com/science/article/pii/S2352485521002267,english,"Anthropogenic impacts,Artificially constructed wetlands,Blue carbon,Coastal spit,Geochemical mapping,Mudflats,Polyaromatic hydrocarbons,Salt marshes",NA,Geochemical Mapping of a Blue Carbon Zone,NA,NA,NA,NA
Guerra_et_al_2022,guerraCarbonAccumulationStorage2022,Article,Carbon Accumulation and Storage in a Temperate Coastal Lagoon under the Influence of Recent Climate Change ({{Northwestern Adriatic Sea}}),Roberta Guerra and Simona Simoncelli and Andrea Pasteris,6/1/22,Regional Studies in Marine Science,Regional Studies in Marine Science,53,NA,102439,2352-4855,10.1016/j.rsma.2022.102439,https://www.sciencedirect.com/science/article/pii/S2352485522001426,english,"Carbon isotope ratio,Mediterranean Sea,Mixing models,Organic carbon,Sea level changes,Sediments",NA,NA,NA,NA,NA,NA
Hansen_et_al_2016,hansenFactorsInfluencingOrganic2017d,Article,Factors Influencing the Organic Carbon Pools in Tidal Marsh Soils of the {{Elbe}} Estuary ({{Germany}}),Kerstin Hansen and Christian Butzeck and Annette Eschenbach and Alexander Gröngröft and Kai Jensen and Eva-Maria Pfeiffer,1/1/17,Journal of Soils and Sediments,NA,17,1,47--60,1614-7480,10.1007/s11368-016-1500-8,https://doi.org/10.1007/s11368-016-1500-8,english,"Allochthonous and autochthonous carbon,Elbe estuary,Elevation,Organic carbon,Salinity,Tidal marsh soils",NA,NA,NA,NA,NA,NA
Human_et_al_2022,humanBlueCarbonNutrient2022,Article,Blue Carbon and Nutrient Stocks in Salt Marsh and Seagrass from an Urban {{African}} Estuary,Lucienne R. D. Human and Jessica Els and Johan Wasserman and Janine B. Adams,10/10/22,Science of The Total Environment,Science of The Total Environment,842,NA,156955,0048-9697,10.1016/j.scitotenv.2022.156955,https://www.sciencedirect.com/science/article/pii/S0048969722040529,english,"Eutrophication,Microtidal",NA,NA,NA,NA,NA,NA
Kumar_et_al_2020,kumarCharacteristicsOrganicMatter2020b,Article,Characteristics of Organic Matter Sources from {{Guadiana Estuary}} Salt Marsh Sediments ({{SW Iberian Peninsula}}),Mukesh Kumar and Tomasz Boski and Francisco J. González-Vila and Nicasio T. Jiménez-Morillo and José A. González-Pérez,6/1/20,Continental Shelf Research,Continental Shelf Research,197,NA,104076,0278-4343,10.1016/j.csr.2020.104076,https://www.sciencedirect.com/science/article/pii/S0278434320300327,english,"Analytical pyrolysis,LABs,Lignin,Molecular biomarkers,PAHs,Salt marshes,Stable isotopes",NA,NA,NA,NA,NA,NA
Li_et_al_2019,liPlantBiomassSoil2019c,Article,Plant Biomass and Soil Organic Carbon Are Main Factors Influencing Dry-Season Ecosystem Carbon Rates in the Coastal Zone of the {{Yellow River Delta}},Yong Li and Haidong Wu and Jinzhi Wang and Lijuan Cui and Dashuan Tian and Jinsong Wang and Xiaodong Zhang and Liang Yan and Zhongqing Yan and Kerou Zhang and Xiaoming Kang and Bing Song,1/14/19,PLOS ONE,PLOS ONE,14,1,e0210768,1932-6203,10.1371/journal.pone.0210768,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210768,english,"Biomass,Carbon dioxide,Coastal ecosystems,Delta ecosystems,Ecosystems,Salinity,Wetland ecosystems,Wetlands",{Public Library of Science},NA,NA,NA,NA,NA
Mazarrasa_et_al_2023,mazarrasaDriversVariabilityBlue2023,Article,Drivers of Variability in {{Blue Carbon}} Stocks and Burial Rates across {{European}} Estuarine Habitats,Inés Mazarrasa and Joao M. Neto and Tjeerd J. Bouma and Tim Grandjean and Jordi Garcia-Orellana and Pere Masqué and María Recio and Óscar Serrano and Araceli Puente and José A. Juanes,8/15/23,Science of The Total Environment,Science of The Total Environment,886,NA,163957,0048-9697,10.1016/j.scitotenv.2023.163957,https://www.sciencedirect.com/science/article/pii/S0048969723025780,english,"Carbon storage,Estuaries,Land use,Saltmarshes,Seagrasses,Tidal flats",NA,NA,NA,NA,NA,NA
Orson_et_al_1998,orsonInterpretingSeaLevel1998,Article,Interpreting {{Sea Level Rise}} and {{Rates}} of {{Vertical Marsh Accretion}} in a {{Southern New England Tidal Salt Marsh}},R.A. Orson and R.S. Warren and W.A. Niering,1998-10,"Estuarine, Coastal and Shelf Science","Estuarine, Coastal and Shelf Science",47,4,419--429,2727714,10.1006/ecss.1998.0363,https://linkinghub.elsevier.com/retrieve/pii/S0272771498903638,english,NA,NA,NA,NA,NA,NA,NA
Patrick_and_DeLaune_1990,patrickSubsidenceAccretionSea1990,Article,Subsidence. Accretion. and Sea Level Rise in South {{San Francisco Bay}} Marshes,{family=Patrick},1990-09,Limnology and Oceanography,Limnol. Oceanogr.,35,6,1389--1395,243590,10.4319/lo.1990.35.6.1389,http://doi.wiley.com/10.4319/lo.1990.35.6.1389,english,NA,NA,NA,NA,NA,Wm. H.,"{Wm}}H and DeLaune, R. D."
Pollman_et_al_2021,pollmannYoungSoilsTemperate2021b,Article,Young Soils of a Temperate Barrier Island under the Impact of Formation and Resetting by Tides and Wind,Thomas Pollmann and Michael E. Böttcher and Luise Giani,7/1/21,CATENA,CATENA,202,NA,105275,0341-8162,10.1016/j.catena.2021.105275,https://www.sciencedirect.com/science/article/pii/S034181622100134X,english,"Dune,Organic matter,Saltmarsh,Southern North Sea,Stable isotopes",NA,NA,NA,NA,NA,NA
Raw_et_al_2020,rawSaltMarshElevation2020,Article,"Salt Marsh Elevation and Responses to Future Sea-Level Rise in the {{Knysna Estuary}}, {{South Africa}}",given-i=JL {family=Raw given=JL} and T Riddin and J Wasserman and given-i=TWK {family=Lehman given=TWK} and given-i=TG {family=Bornman given=TG} and given-i=JB {family=Adams given=JB},4/2/20,African Journal of Aquatic Science,NA,45,2-Jan,49--64,1608-5914,10.2989/16085914.2019.1662763,https://doi.org/10.2989/16085914.2019.1662763,NA,"coastal squeeze,Rod Surface Elevation Table,SLAMM,South Africa,Spartina maritima",{Taylor \& Francis},NA,NA,NA,NA,NA
Roman_et_al_1997,romanAccretionNewEngland1997a,Article,"Accretion of a {{New England}} ({{U}}.{{S}}.{{A}}.) {{Salt Marsh}} in {{Response}} to {{Inlet Migration}}, {{Storms}}, and {{Sea-level Rise}}",C.T. Roman and J.A. Peck and J.R. Allen and J.W. King and P.G. Appleby,1997-12,"Estuarine, Coastal and Shelf Science","Estuarine, Coastal and Shelf Science",45,6,717--727,2727714,10.1006/ecss.1997.0236,https://linkinghub.elsevier.com/retrieve/pii/S0272771497902365,english,NA,NA,NA,NA,NA,NA,NA
Russell_et_al_2023,russellDeterminingEnvironmentalDrivers2023,Article,Determining {{Environmental Drivers}} of {{Fine-Scale Variability}} in {{Blue Carbon Soil Stocks}},S. K. Russell and B. M. Gillanders and S. Detmar and D. Fotheringham and A. R. Jones,8/22/23,Estuaries and Coasts,Estuaries and Coasts,NA,NA,NA,1559-2731,10.1007/s12237-023-01260-4,https://doi.org/10.1007/s12237-023-01260-4,english,"Blue carbon,Mangrove,Saltmarsh,Soil organic carbon",NA,NA,NA,NA,NA,NA
Rybczyk_and_Cahoon_2002,rybczykEstimatingPotentialSubmergence2002a,Article,Estimating the Potential for Submergence for Two Wetlands in the {{Mississippi River Delta}},J. M. Rybczyk and D. R. Cahoon,2002-10,Estuaries,Estuaries,25,5,985--998,0160-8347,10.1007/BF02691346,http://link.springer.com/10.1007/BF02691346,english,NA,NA,NA,NA,NA,NA,NA
Sammul_et_al_2012,sammulBiomassAccumulationReed2012b,Article,Biomass Accumulation during Reed Encroachment Reduces Efficiency of Restoration of {{Baltic}} Coastal Grasslands,Marek Sammul and Karin Kauer and Tiina Köster,2012,Applied Vegetation Science,NA,15,2,219--230,1654-109X,10.1111/j.1654-109X.2011.01167.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-109X.2011.01167.x,english,"Boreal Baltic coastal meadows,Coastal salt marsh,Eutrophication,Grazing,Land-use change,Management,Nutrients,Restoration success",NA,NA,NA,NA,NA,NA
Serrano_et_al_2019,serranoAustralianVegetatedCoastal2019,Article,Australian Vegetated Coastal Ecosystems as Global Hotspots for Climate Change Mitigation,Oscar Serrano and Catherine E. Lovelock and Trisha {B. Atwood} and Peter I. Macreadie and Robert Canto and Stuart Phinn and Ariane Arias-Ortiz and Le Bai and Jeff Baldock and Camila Bedulli and Paul Carnell and Rod M. Connolly and Paul Donaldson and Alba Esteban and Carolyn J. {Ewers Lewis} and Bradley D. Eyre and Matthew A. Hayes and Pierre Horwitz and Lindsay B. Hutley and Christopher R. J. Kavazos and Jeffrey J. Kelleway and Gary A. Kendrick and Kieryn Kilminster and Anna Lafratta and Shing Lee and Paul S. Lavery and Damien T. Maher and Núria Marbà and Pere Masque and Miguel A. Mateo and Richard Mount and Peter J. Ralph and Chris Roelfsema and Mohammad Rozaimi and Radhiyah Ruhon and Cristian Salinas and Jimena Samper-Villarreal and Jonathan Sanderman and Christian {J. Sanders} and Isaac Santos and Chris Sharples and Andrew D. L. Steven and Toni Cannard and Stacey M. Trevathan-Tackett and Carlos M. Duarte,10/2/19,Nature Communications,NA,10,1,4313,2041-1723,10.1038/s41467-019-12176-8,https://www.nature.com/articles/s41467-019-12176-8,english,"Climate sciences,Ecology,Environmental sciences",{Nature Publishing Group},NA,NA,1,NA,NA
Shamrikova_et_al_2019,shamrikovaSpatialPatternsCarbon2019,Article,Spatial {{Patterns}} of {{Carbon}} and {{Nitrogen}} in {{Soils}} of the {{Barents Sea Coastal Area}} ({{Khaypudyrskaya Bay}}),E. V. Shamrikova and S. V. Deneva and O. S. Kubik,5/1/19,Eurasian Soil Science,NA,52,5,507--517,1556-195X,10.1134/S1064229319030098,https://doi.org/10.1134/S1064229319030098,english,"carbon of organic compounds,marsh soils,total carbon,total nitrogen,tundra soils",NA,NA,NA,NA,NA,NA
Siewert_et_al_2016,siewertLandscapeControlsVertical2016,Article,Landscape Controls and Vertical Variability of Soil Organic Carbon Storage in Permafrost-Affected Soils of the {{Lena River Delta}},Matthias Benjamin Siewert and Gustaf Hugelius and Birgit Heim and Samuel Faucherre,2016-12,CATENA,CATENA,147,NA,725--741,3418162,10.1016/j.catena.2016.07.048,https://linkinghub.elsevier.com/retrieve/pii/S0341816216303071,english,NA,NA,NA,NA,NA,NA,NA
Vitti_et_al_2020,vittiContrastingResponsesNative2020d,Article,Contrasting Responses of Native and Alien Plant Species to Soil Properties Shed New Light on the Invasion of Dune Systems,Stefano Vitti and Elisa Pellegrini and Valentino Casolo and Giacomo Trotta and Francesco Boscutti,12/1/20,Journal of Plant Ecology,Journal of Plant Ecology,13,6,667--675,1752-993X,10.1093/jpe/rtaa052,https://doi.org/10.1093/jpe/rtaa052,NA,NA,NA,NA,NA,NA,NA,NA
,wardBlueCarbonStocks2021b,Article,Blue Carbon Stocks and Exchanges along the {{California}} Coast,Melissa A. Ward and Tessa M. Hill and Chelsey Souza and Tessa Filipczyk and Aurora M. Ricart and Sarah Merolla and Lena R. Capece and Brady C. O'Donnell and Kristen Elsmore and Walter C. Oechel and Kathryn M. Beheshti,8/18/21,Biogeosciences,NA,18,16,4717--4732,1726-4170,10.5194/bg-18-4717-2021,https://bg.copernicus.org/articles/18/4717/2021/,english,NA,{Copernicus GmbH},NA,NA,NA,NA,NA
Ward_2020,wardCarbonSequestrationStorage2020e,Article,Carbon Sequestration and Storage in {{Norwegian Arctic}} Coastal Wetlands: {{Impacts}} of Climate Change,Raymond D. Ward,12/15/20,Science of The Total Environment,Science of The Total Environment,748,NA,141343,0048-9697,10.1016/j.scitotenv.2020.141343,https://www.sciencedirect.com/science/article/pii/S0048969720348725,english,"Blue carbon,Climate mitigation,Increased productivity,Norway,Salt marshes,Sediment accretion",NA,Carbon Sequestration and Storage in {{Norwegian Arctic}} Coastal Wetlands,NA,NA,NA,NA
Wollenberg_et_al_2018,wollenbergRapidCarbonAccumulation2018d,Article,Rapid Carbon Accumulation Following Managed Realignment on the {{Bay}} of {{Fundy}},Jan T. Wollenberg and Jeff Ollerhead and Gail L. Chmura,3/21/18,PLOS ONE,PLOS ONE,13,3,e0193930,1932-6203,10.1371/journal.pone.0193930,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0193930,english,"Agricultural soil science,Carbon dioxide,Carbon sequestration,Finance,Flooding,Marshes,Physical geography,Sediment",{Public Library of Science},NA,NA,NA,NA,NA
Xia_et_al_2022,xiaStoragePatternsInfluencing2022,Article,"Storage, Patterns and Influencing Factors for Soil Organic Carbon in Coastal Wetlands of {{China}}",Shaopan Xia and Zhaoliang Song and Lukas {Van Zwieten} and Laodong Guo and Changxun Yu and Weiqi Wang and Qiang Li and Iain P. Hartley and Yuanhe Yang and Hongyan Liu and Yidong Wang and Xiangbin Ran and Cong-Qiang Liu and Hailong Wang,2022,Global Change Biology,NA,28,20,6065--6085,1365-2486,10.1111/gcb.16325,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.16325,english,"blue carbon,climate change,coastal wetlands,mangrove,plant invasion,salt marsh,vegetation type",NA,NA,NA,NA,NA,NA
Yang_et_al_2016,yandoSaltMarshmangroveEcotones2016f,Article,Salt Marsh-Mangrove Ecotones: Using Structural Gradients to Investigate the Effects of Woody Plant Encroachment on Plant–Soil Interactions and Ecosystem Carbon Pools,Erik S. Yando and Michael J. Osland and Jonathan M. Willis and Richard H. Day and Ken W. Krauss and Mark W. Hester,2016,Journal of Ecology,NA,104,4,1020--1031,1365-2745,10.1111/1365-2745.12571,https://onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12571,english,"carbon storage,climate change,ecotone,forest development,mangrove forest,plant–soil (below-ground) interactions,range expansion,salt marsh,soil development,woody plant encroachment",NA,Salt Marsh-Mangrove Ecotones,NA,NA,NA,NA
Yuan_et_al_2017,yuanSourcesDistributionSedimentary2017b,Article,"Sources and Distribution of Sedimentary Organic Matter along the {{Andong}} Salt Marsh, {{Hangzhou Bay}}",Hong-Wei Yuan and Jian-Fang Chen and Ying Ye and Zhang-Hua Lou and Ai-Min Jin and Xue-Gang Chen and Zong-Pei Jiang and Yu-Shih Lin and Chen-Tung Arthur Chen and Pei Sun Loh,10/1/17,Journal of Marine Systems,Journal of Marine Systems,174,NA,78--88,0924-7963,10.1016/j.jmarsys.2017.06.001,https://www.sciencedirect.com/science/article/pii/S0924796316303116,english,"C/N ratios,Lignin,Particle size,Stable carbon isotope,Transitional environment",NA,NA,NA,NA,NA,NA
