Site,Latitude,Longitude,Habitat Type,Top Interval (cm),Bulk Density (g/cm3),Mud (%),TOM (%),OC (%),OC (kg/m3),Core_ID,
Tomales Bay,38.16,-122.9,Seagrass,6,1.35,3.43,0.91,0.195,2.631,,
Tomales Bay,38.16,-122.9,Seagrass,10,1.34,3.91,1.08,0.234,3.131,,
Tomales Bay,38.16,-122.9,Seagrass,14,1.31,3.32,1.76,0.402,5.251,,
Tomales Bay,38.16,-122.9,Seagrass,18,1.12,4.65,1.83,0.418,4.69,,
Tomales Bay,38.16,-122.9,Bare sed,0,0.26,98.94,10.77,2.918,7.466,,
Tomales Bay,38.16,-122.9,Bare sed,2,0.44,98.56,12.91,3.557,15.695,,
Tomales Bay,38.16,-122.9,Bare sed,4,0.73,96.29,13.27,3.665,26.686,,
Tomales Bay,38.16,-122.9,Bare sed,6,0.67,97.2,13.1,3.616,24.371,,
Tomales Bay,38.16,-122.9,Bare sed,10,0.51,96.99,9.73,2.61,13.392,,
Tomales Bay,38.16,-122.9,Bare sed,14,0.59,96.09,13.25,3.66,21.609,,
Tomales Bay,38.16,-122.9,Bare sed,18,0.6,97.89,10.69,2.894,17.46,,
Tomales Bay,38.16,-122.9,Seagrass,0,0.78,1.27,0.52,0.106,0.832,,
Tomales Bay,38.16,-122.9,Seagrass,2,1.56,1.45,0.73,0.154,2.395,,
Tomales Bay,38.16,-122.9,Seagrass,4,1.32,1.18,0.4,0.08,1.052,,
Tomales Bay,38.16,-122.9,Seagrass,6,1.2,1.69,0.54,0.109,1.311,,
Tomales Bay,38.16,-122.9,Seagrass,10,1.17,1.62,0.51,0.103,1.205,,
Tomales Bay,38.16,-122.9,Seagrass,14,1.16,2.32,0.53,0.109,1.259,,
Tomales Bay,38.16,-122.9,Seagrass,16,1.21,2.19,0.56,0.114,1.375,,
Tomales Bay,38.16,-122.9,Seagrass,18,1.62,2.48,0.85,0.182,2.947,,
Tomales Bay,38.16,-122.9,Seagrass,0,0.87,38.84,3.18,0.767,6.711,,
Tomales Bay,38.16,-122.9,Seagrass,2,1.3,32.3,1.72,0.392,5.107,,
Tomales Bay,38.16,-122.9,Seagrass,6,1.02,21.36,2.66,0.631,6.448,,
Tomales Bay,38.16,-122.9,Seagrass,8,1.07,24.17,3.05,0.733,7.808,,
Tomales Bay,38.16,-122.9,Seagrass,10,1.26,17.77,1.48,0.332,4.187,,
Tomales Bay,38.16,-122.9,Seagrass,14,1.26,16.27,1.59,0.359,4.529,,
Tomales Bay,38.16,-122.9,Seagrass,18,1.24,13.37,0.89,0.19,2.358,,
Tomales Bay,38.16,-122.9,Bare sed,0,0.5,93.06,7.05,1.834,9.129,,
Tomales Bay,38.16,-122.9,Bare sed,2,0.5,96.46,7.6,1.992,9.871,,
Tomales Bay,38.16,-122.9,Bare sed,4,0.56,95.45,6.99,1.819,10.232,,
Tomales Bay,38.16,-122.9,Bare sed,6,0.54,94.85,7.08,1.843,10.001,,
Tomales Bay,38.16,-122.9,Bare sed,10,0.6,91.72,6.47,1.67,10.066,,
Tomales Bay,38.16,-122.9,Bare sed,14,0.55,88.83,7.3,1.907,10.527,,
Tomales Bay,38.16,-122.9,Bare sed,18,0.68,87.01,6.35,1.635,11.051,,
Tomales Bay,38.16,-122.9,Bare sed,0,0.36,97.7,8.46,2.24,8.117,,
Tomales Bay,38.16,-122.9,Bare sed,2,0.46,96.19,8.7,2.31,10.539,,
Tomales Bay,38.16,-122.9,Bare sed,4,0.42,96.95,9.02,2.402,10.184,,
Tomales Bay,38.16,-122.9,Bare sed,6,0.51,91.27,7.55,1.978,10.022,,
Tomales Bay,38.16,-122.9,Bare sed,10,0.48,90.64,6.93,1.8,8.617,,
Tomales Bay,38.16,-122.9,Bare sed,14,0.63,87.89,8.24,2.176,13.69,,
Tomales Bay,38.16,-122.9,Bare sed,18,0.58,88.19,9.29,2.48,14.37,,
Bodega Bay,38.32,-123.05,Seagrass,0,2.11,13.42,1.44,0.321,6.785,,
Bodega Bay,38.32,-123.05,Seagrass,2,2.83,8.03,0.91,0.194,5.495,,
Bodega Bay,38.32,-123.05,Seagrass,6,2.6,13.01,1.37,0.305,7.918,,
Bodega Bay,38.32,-123.05,Seagrass,10,2.52,20.39,2.42,0.57,14.359,,
Bodega Bay,38.32,-123.05,Seagrass,12,2.59,19.65,3.06,0.735,19.023,,
Bodega Bay,38.32,-123.05,Seagrass,14,2.74,18.19,2.48,0.585,15.994,,
Bodega Bay,38.32,-123.05,Seagrass,18,2.77,15.74,1.93,0.445,12.347,,
Bodega Bay,38.32,-123.05,Seagrass,0,1.19,17.81,2.35,0.55,6.55,,
Bodega Bay,38.32,-123.05,Seagrass,2,2.89,15.84,1.78,0.407,11.759,,
Bodega Bay,38.32,-123.05,Seagrass,4,2.39,13.1,1.55,0.35,8.361,,
Bodega Bay,38.32,-123.05,Seagrass,6,2.66,16.07,2,0.462,12.298,,
Bodega Bay,38.32,-123.05,Seagrass,8,2.49,16.32,1.71,0.389,9.697,,
Bodega Bay,38.32,-123.05,Seagrass,10,2.66,18.06,1.84,0.422,11.258,,
Bodega Bay,38.32,-123.05,Seagrass,12,2.86,21.31,1.85,0.424,12.113,,
Bodega Bay,38.32,-123.05,Seagrass,14,2.96,28.24,2.97,0.711,21.042,,
Bodega Bay,38.32,-123.05,Seagrass,0,1.68,10.35,2.37,0.555,9.355,,
Bodega Bay,38.32,-123.05,Seagrass,2,2.22,6.77,1.36,0.302,6.722,,
Bodega Bay,38.32,-123.05,Seagrass,4,2.77,5.23,1.31,0.29,8.034,,
Bodega Bay,38.32,-123.05,Seagrass,6,2.74,7.17,1.17,0.256,7.033,,
Bodega Bay,38.32,-123.05,Seagrass,8,2.8,7.85,1.13,0.246,6.889,,
Bodega Bay,38.32,-123.05,Seagrass,10,2.76,8.53,1.29,0.286,7.891,,
Bodega Bay,38.32,-123.05,Seagrass,12,3.17,8.51,1.54,0.348,11.03,,
Bodega Bay,38.32,-123.05,Seagrass,14.25,4.38,10.87,1.52,0.341,14.972,,
Bodega Bay,38.32,-123.05,Bare sed,0,2.2,11.37,1.27,0.28,6.15,,
Bodega Bay,38.32,-123.05,Bare sed,2,2.68,14.98,0.96,0.206,5.523,,
Bodega Bay,38.32,-123.05,Bare sed,4,3,9.04,1.06,0.229,6.886,,
Bodega Bay,38.32,-123.05,Bare sed,8,2.23,13.16,1.08,0.235,5.235,,
Bodega Bay,38.32,-123.05,Bare sed,12,2.78,14.16,1.29,0.286,7.936,,
Bodega Bay,38.32,-123.05,Bare sed,14,2.68,15.65,1.76,0.402,10.795,,
Bodega Bay,38.32,-123.05,Bare sed,16,2.62,15.09,1.47,0.329,8.62,,
Bodega Bay,38.32,-123.05,Bare sed,0,1.77,15.31,1.46,0.327,5.788,,
Bodega Bay,38.32,-123.05,Bare sed,2,2.33,17.65,1.49,0.336,7.815,,
Bodega Bay,38.32,-123.05,Bare sed,4,2.57,11.36,1.31,0.292,7.487,,
Bodega Bay,38.32,-123.05,Bare sed,8,2.62,11.7,1.34,0.299,7.835,,
Bodega Bay,38.32,-123.05,Bare sed,12,2.7,10.99,1.31,0.29,7.84,,
Bodega Bay,38.32,-123.05,Bare sed,16,2.81,13.2,1.44,0.323,9.07,,
Bodega Bay,38.32,-123.05,Bare sed,0,1.74,16.63,1.41,0.315,5.483,,
Bodega Bay,38.32,-123.05,Bare sed,4,2.57,11.41,1.73,0.395,10.164,,
Bodega Bay,38.32,-123.05,Bare sed,8,2.74,15.31,1.32,0.292,8.017,,
Bodega Bay,38.32,-123.05,Bare sed,12,2.56,14.56,1.66,0.377,9.651,,
Bodega Bay,38.32,-123.05,Bare sed,16,2.87,9.25,1.3,0.288,8.287,,
Bodega Bay,38.32,-123.05,Bare sed,18,2.86,4.99,1.1,0.241,6.895,,
Tomales Bay,38.21,-122.94,Seagrass,0,3.01,8.53,1.71,0.389,11.708,,
Tomales Bay,38.21,-122.94,Seagrass,2,2.48,5.95,0.95,0.204,5.072,,
Tomales Bay,38.21,-122.94,Seagrass,4,2.22,6.92,1.06,0.23,5.127,,
Tomales Bay,38.21,-122.94,Seagrass,6,2.54,6.8,1.05,0.228,5.783,,
Tomales Bay,38.21,-122.94,Seagrass,10,2.56,6.78,1.21,0.266,6.824,,
Tomales Bay,38.21,-122.94,Seagrass,12,2.89,3.84,0.96,0.207,5.971,,
Tomales Bay,38.21,-122.94,Seagrass,14,3.24,5.8,0.9,0.193,6.246,,
Tomales Bay,38.21,-122.94,Seagrass,16,3.01,4.07,0.91,0.195,5.877,,
Tomales Bay,38.21,-122.94,Seagrass,0,2.36,22.91,1.96,0.452,10.66,,
Tomales Bay,38.21,-122.94,Seagrass,2,2.51,13.47,1.74,0.396,9.952,,
Tomales Bay,38.21,-122.94,Seagrass,6,2.4,16.61,1.49,0.335,8.03,,
Tomales Bay,38.21,-122.94,Seagrass,10,2.65,12.23,1.82,0.416,11.037,,
Tomales Bay,38.21,-122.94,Seagrass,14,3,15.19,1.54,0.347,10.406,,
Tomales Bay,38.21,-122.94,Seagrass,18,2.37,10.92,0.79,0.167,3.958,,
Tomales Bay,38.21,-122.94,Seagrass,0,1.88,18.12,1.5,0.337,6.319,,
Tomales Bay,38.21,-122.94,Seagrass,2,2.5,11.32,1.47,0.33,8.257,,
Tomales Bay,38.21,-122.94,Seagrass,4,2.22,15.02,1.44,0.322,7.147,,
Tomales Bay,38.21,-122.94,Seagrass,8,2.26,10.77,1.31,0.29,6.553,,
Tomales Bay,38.21,-122.94,Seagrass,12,2.7,11.84,1.14,0.25,6.727,,
Tomales Bay,38.21,-122.94,Seagrass,16,2.39,9.8,0.99,0.215,5.14,,
Tomales Bay,38.21,-122.94,Seagrass,18,2.76,8.37,0.94,0.202,5.577,,
Tomales Bay,38.21,-122.94,Bare sed,0,2.28,15.59,1.52,0.342,7.805,,
Tomales Bay,38.21,-122.94,Bare sed,2,2.23,13.06,2.15,0.5,11.164,,
Tomales Bay,38.21,-122.94,Bare sed,4,2.19,11.53,1.22,0.269,5.895,,
Tomales Bay,38.21,-122.94,Bare sed,8,2.97,4.78,0.83,0.176,5.235,,
Tomales Bay,38.21,-122.94,Bare sed,12,2.7,6.07,1.51,0.339,9.176,,
Tomales Bay,38.21,-122.94,Bare sed,16,2.79,5.51,0.93,0.2,5.566,,
Tomales Bay,38.21,-122.94,Bare sed,0,2.45,10.52,1.01,0.219,5.35,,
Tomales Bay,38.21,-122.94,Bare sed,2,2.57,9.2,1.15,0.252,6.471,,
Tomales Bay,38.21,-122.94,Bare sed,4,2.25,6.29,1.15,0.252,5.677,,
Tomales Bay,38.21,-122.94,Bare sed,8,2.87,1.47,0.54,0.11,3.163,,
Tomales Bay,38.21,-122.94,Bare sed,12,2.8,1.22,0.67,0.139,3.908,,
Tomales Bay,38.21,-122.94,Bare sed,14,2.82,1.38,0.59,0.121,3.426,,
Tomales Bay,38.21,-122.94,Bare sed,16,2.68,1.29,0.58,0.119,3.188,,
Tomales Bay,38.21,-122.94,Bare sed,18,2.91,0.82,0.58,0.119,3.464,,
Tomales Bay,38.21,-122.94,Bare sed,0,2.96,4.92,0.88,0.189,5.579,,
Tomales Bay,38.21,-122.94,Bare sed,2,2.73,4.04,0.69,0.144,3.934,,
Tomales Bay,38.21,-122.94,Bare sed,4,2.69,5.94,0.67,0.139,3.736,,
Tomales Bay,38.21,-122.94,Bare sed,8,2.88,2.59,0.52,0.105,3.031,,
Tomales Bay,38.21,-122.94,Bare sed,10,2.62,1.78,0.5,0.101,2.646,,
Tomales Bay,38.21,-122.94,Bare sed,12,2.8,1.54,0.51,0.103,2.87,,
Tomales Bay,38.21,-122.94,Bare sed,14,2.9,1.47,0.46,0.092,2.676,,
Tomales Bay,38.21,-122.94,Bare sed,16,3.08,2.15,0.5,0.102,3.147,,
Tomales Bay,38.166009,-122.901081,Seagrass,0,0.88,17.86,1.61,0.365,3.228,,
Tomales Bay,38.166009,-122.901081,Seagrass,2,0.65,18.88,1.98,0.456,2.965,,
Tomales Bay,38.166009,-122.901081,Seagrass,4,0.74,14.13,2.33,0.547,4.039,,
Tomales Bay,38.166009,-122.901081,Seagrass,6,0.95,10.23,1.85,0.424,4.025,,
Tomales Bay,38.166009,-122.901081,Seagrass,8,0.99,11.85,1.44,0.322,3.187,,
Tomales Bay,38.166009,-122.901081,Seagrass,10,1.2,15.33,2.12,0.492,5.921,,
Tomales Bay,38.166009,-122.901081,Seagrass,12,1.58,20.78,2.49,0.587,9.291,,
Newport Bay,33.61,-117.9,Seagrass,0,0.631,98.36,9.83,2.64,16.652,,
Newport Bay,33.61,-117.9,Seagrass,2,0.526,98.42,9.71,2.606,13.708,,
Newport Bay,33.61,-117.9,Seagrass,4,0.565,97.9,10.22,2.754,15.561,,
Newport Bay,33.61,-117.9,Seagrass,6,0.643,98.74,9.75,2.616,16.817,,
Newport Bay,33.61,-117.9,Seagrass,8,0.615,98.51,9.92,2.667,16.409,,
Newport Bay,33.61,-117.9,Seagrass,10,0.66,97.69,9.33,2.493,16.444,,
Newport Bay,33.61,-117.9,Seagrass,12,0.72,96.85,9.52,2.55,18.356,,
Newport Bay,33.61,-117.9,Seagrass,14,0.578,97.61,9.55,2.557,14.785,,
Newport Bay,33.61,-117.9,Seagrass,16,0.513,97.71,9.46,2.531,12.995,,
Newport Bay,33.61,-117.9,Seagrass,0,0.244,98.39,10.39,2.804,6.849,,
Newport Bay,33.61,-117.9,Seagrass,2,0.396,99.18,11.12,3.023,11.986,,
Newport Bay,33.61,-117.9,Seagrass,4,0.534,98.91,10.81,2.929,15.639,,
Newport Bay,33.61,-117.9,Seagrass,6,0.4,98.86,10.46,2.825,11.288,,
Newport Bay,33.61,-117.9,Seagrass,8,0.762,98.47,10.02,2.695,20.536,,
Newport Bay,33.61,-117.9,Seagrass,0,0.814,97.63,7.96,2.095,17.052,,
Newport Bay,33.61,-117.9,Seagrass,2,0.637,98.67,7.77,2.04,12.996,,
Newport Bay,33.61,-117.9,Seagrass,4,0.696,97.98,7.75,2.035,14.158,,
Newport Bay,33.61,-117.9,Seagrass,6,0.779,97.99,7.88,2.071,16.141,,
Newport Bay,33.61,-117.9,Seagrass,8,0.908,97.68,7.4,1.934,17.567,,
Newport Bay,33.61,-117.9,Seagrass,10,0.759,98.95,7.34,1.918,14.555,,
Newport Bay,33.61,-117.9,Seagrass,12,0.799,98.94,7.32,1.911,15.263,,
Newport Bay,33.61,-117.9,Seagrass,0,0.448,96.35,6.93,1.801,8.068,,
Newport Bay,33.61,-117.9,Seagrass,2,0.649,95.31,6.98,1.815,11.781,,
Newport Bay,33.61,-117.9,Seagrass,4,0.684,96.28,7.08,1.843,12.6,,
Newport Bay,33.61,-117.9,Seagrass,6,0.79,96.09,7,1.819,14.373,,
Newport Bay,33.61,-117.9,Seagrass,8,0.855,97.08,7.04,1.83,15.65,,
Newport Bay,33.61,-117.9,Seagrass,10,0.789,96.86,7.28,1.901,14.993,,
Newport Bay,33.61,-117.9,Seagrass,12,0.887,97.11,6.97,1.813,16.079,,
Newport Bay,33.61,-117.9,Seagrass,14,0.88,95.92,6.8,1.764,15.525,,
Newport Bay,33.61,-117.9,Seagrass,16,1.048,94.19,7.07,1.841,19.3,,
Newport Bay,33.61,-117.9,Seagrass,18,0.767,95.28,6.79,1.76,13.492,,
Tomales Bay,38.21466,-122.9265,Salt Marsh,0,0.417,94.09,37.91,11.572,48.213,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,2,0.387,82.29,45.21,14.035,54.33,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,4,0.97,76.91,7.55,1.978,19.198,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,6,0.819,88.92,12.14,3.326,27.225,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,8,0.753,96.52,17.77,5.048,38.008,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,10,0.972,98.56,13.97,3.88,37.703,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,12,0.943,99.42,11.97,3.275,30.9,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,14,1.145,98.4,11.01,2.988,34.201,A,
Tomales Bay,38.21466,-122.9265,Salt Marsh,16,0.946,96.7,8.41,2.225,21.063,A,
Tomales Bay,38.21338,-122.92653,Salt Marsh,0,0.307,84.11,41.94,12.926,39.657,B,
Tomales Bay,38.21338,-122.92653,Salt Marsh,2,0.341,93.09,34.36,10.391,35.404,B,
Tomales Bay,38.21338,-122.92653,Salt Marsh,4,0.314,95.06,39.61,12.141,38.17,B,
Tomales Bay,38.21338,-122.92653,Salt Marsh,6,0.687,93.06,10.65,2.881,19.782,B,
Tomales Bay,38.21338,-122.92653,Salt Marsh,8,0.488,95.48,19.91,5.718,27.894,B,
Tomales Bay,38.21338,-122.92653,Salt Marsh,10,0.537,94.27,24.97,7.325,39.319,B,
Tomales Bay,38.21338,-122.92653,Salt Marsh,12,0.811,97,11.65,3.179,25.777,B,
Tomales Bay,38.21338,-122.92653,Salt Marsh,14,1,98.96,9.29,2.48,24.804,B,
Tomales Bay,38.2118,-122.92657,Salt Marsh,0,0.304,88.92,14.73,4.111,12.485,C,
Tomales Bay,38.2118,-122.92657,Salt Marsh,2,0.397,91.36,17.58,4.99,19.815,C,
Tomales Bay,38.2118,-122.92657,Salt Marsh,4,0.554,88.21,15.63,4.387,24.284,C,
Tomales Bay,38.2118,-122.92657,Salt Marsh,6,0.475,92.96,14.54,4.052,19.265,C,
Tomales Bay,38.2118,-122.92657,Salt Marsh,8,0.637,89.23,12.97,3.575,22.782,C,
Tomales Bay,38.2118,-122.92657,Salt Marsh,10,0.707,71.85,9.35,2.498,17.664,C,
Tomales Bay,38.2118,-122.92657,Salt Marsh,12,0.893,67,7.35,1.92,17.143,C,
Tomales Bay,38.2118,-122.92657,Salt Marsh,14,1.017,92.36,11.13,3.025,30.77,C,
Newport Bay,33.62597,-117.88922,Salt Marsh,0,0.2822,94.1591,30.5357,9.132,25.77,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,2,0.854,92.8497,10.8364,2.937,25.085,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,4,0.4929,68.7835,8.4175,2.228,10.979,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,6,0.9025,27.579,5.0334,1.269,11.45,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,8,1.3789,29.0508,3.7597,0.922,12.71,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,10,1.6194,20.9374,2.2177,0.517,8.374,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,12,1.7041,15.3808,1.7757,0.405,6.909,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,14,1.8001,8.3209,1.3856,0.309,5.562,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,16,1.6676,8.0247,0.7266,0.152,2.541,A,
Newport Bay,33.62597,-117.88922,Salt Marsh,18,1.7516,5.426,0.3858,0.076,1.335,A,
Newport Bay,33.6254,-117.88911,Salt Marsh,0,0.5044,NA,21.662,6.271,31.63,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,2,0.652,NA,14.02,3.894,25.391,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,4,0.3954,NA,18.563,5.295,20.938,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,6,0.7618,NA,6.886,1.788,13.62,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,8,1.305,NA,1.767,0.403,5.262,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,10,1.425,NA,1.296,0.287,4.092,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,12,1.505,NA,1.433,0.32,4.823,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,14,1.63,NA,0.989,0.214,3.482,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,16,1.853,NA,0.3,0.058,1.072,B,
Newport Bay,33.6254,-117.88911,Salt Marsh,18,1.7811,NA,0.545,0.111,1.983,B,
Newport Bay,33.6249,-117.88881,Salt Marsh,0,0.288,98.08,37.085,11.297,32.586,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,2,0.495,98.174,18.866,5.39,26.681,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,4,0.479,99.553,17.548,4.979,23.86,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,6,0.399,99.768,20.49,5.9,23.531,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,8,0.418,99.294,27.952,8.29,34.643,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,10,0.424,98.098,7.285,1.902,8.063,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,12,0.507,95.635,12.304,3.376,17.101,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,14,0.687,97.403,10.622,2.874,19.753,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,16,0.842,88.851,8.544,2.264,19.07,C,
Newport Bay,33.6249,-117.88881,Salt Marsh,18,0.921,88.773,6.786,1.76,16.209,C,
Newport Bay,33.62853,-117.8884,Salt Marsh,0,0.311,87.886,41.217,12.683,39.418,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,2,0.343,91.449,23.418,6.829,23.429,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,4,0.306,98.591,23.583,6.882,21.061,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,6,0.236,87.357,33.484,10.102,23.791,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,8,0.47,98.598,17.316,4.907,23.075,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,10,0.551,98.85,10.531,2.847,15.697,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,12,0.383,98.037,21.396,6.186,23.673,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,14,0.429,95.238,16.76,4.735,20.31,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,16,0.593,99.051,13.963,3.877,22.992,D,
Newport Bay,33.62853,-117.8884,Salt Marsh,18,0.552,98.973,11.491,3.132,17.291,D,
Elkhorn Slough,36.8182,-121.76552,Salt Marsh,0,0.438,97.326,21.642,6.264,27.412,A,
Elkhorn Slough,36.8182,-121.76552,Salt Marsh,2,0.495,96.978,18.061,5.139,25.452,A,
