"[Abbreviations: ID, identification; cm, centimeter; dpm/g, disintegrations per minute per gram; ND, not detected; --, no reported value; Lc, critical level]",,,,,,,,,,,
Core ID,"Depth
 (cm)","Cs-137 
(dpm/g)","Cs-137 Error 
(+/- dpm/g)","Pb-210 
(dpm/g)","Pb-210 Error 
(+/- dpm/g)","Ra-226 
(dpm/g)","Ra-226 Error 
(+/- dpm/g)","Th-234 
(dpm/g)","Th-234 Error 
(+/- dpm/g)","K-40 
(dpm/g)","K-40 Error 
(+/- dpm/g)"
16CCT07-GB302M,5-6,0.11,0.05,3.17,0.29,1.51,0.07,2.69,0.32,11.90,0.88
16CCT07-GB302M,6-7,0.14,0.04,3.39,0.27,1.58,0.06,2.24,0.28,12.51,0.76
16CCT07-GB302M,7-8,0.16,0.05,3.85,0.31,1.53,0.07,2.72,0.31,13.43,0.89
16CCT07-GB302M,8-9,0.20,0.04,3.48,0.23,1.42,0.05,2.95,0.26,14.43,0.70
16CCT07-GB302M,9-10,0.19,0.05,4.46,0.31,1.53,0.07,3.32,0.32,17.24,0.94
16CCT07-GB302M,10-11,0.27,0.05,3.80,0.33,1.48,0.07,2.95,0.35,17.60,1.02
16CCT07-GB302M,11-12,0.28,0.05,3.49,0.36,1.50,0.08,2.53,0.39,16.01,1.09
16CCT07-GB302M,12-13,0.23,0.05,3.03,0.31,1.52,0.07,2.77,0.32,15.01,0.94
16CCT07-GB302M,13-14,0.18,0.05,2.87,0.31,1.50,0.08,2.93,0.36,15.10,1.02
16CCT07-GB302M,14-15,0.43,0.07,3.55,0.39,1.47,0.09,2.85,0.40,17.02,1.25
16CCT07-GB302M,15-16,0.71,0.11,4.48,0.52,1.62,0.12,3.62,0.55,25.32,1.84
16CCT07-GB302M,16-17,0.63,0.06,3.13,0.27,1.40,0.07,3.15,0.33,23.63,1.05
16CCT07-GB302M,17-18,0.66,0.08,2.78,0.40,1.52,0.09,2.66,0.42,21.37,1.40
16CCT07-GB302M,18-19,0.57,0.07,2.64,0.34,1.93,0.09,2.82,0.39,15.39,1.07
16CCT07-GB302M,19-20,0.84,0.08,2.85,0.38,1.76,0.09,3.22,0.43,14.40,1.09
16CCT07-GB302M,20-21,1.17,0.09,2.63,0.38,1.54,0.09,3.00,0.46,19.05,1.32
16CCT07-GB302M,21-22,0.65,0.07,2.75,0.34,1.48,0.08,3.35,0.39,21.61,1.22
16CCT07-GB302M,22-23,0.31,0.07,2.49,0.35,1.52,0.09,2.94,0.41,15.63,1.20
16CCT07-GB302M,23-24,0.24,0.07,2.83,0.37,1.58,0.09,2.60,0.43,16.85,1.24
16CCT07-GB302M,24-25,0.20,0.05,2.46,0.33,1.53,0.08,3.42,0.37,15.39,1.03
16CCT07-GB302M,25-26,ND,--,2.04,0.33,1.48,0.09,3.34,0.42,13.37,1.10
16CCT07-GB302M,26-27,ND,--,1.88,0.32,1.51,0.09,3.37,0.42,11.65,1.03
16CCT07-GB302M,27-28,ND,--,1.87,0.29,1.45,0.07,4.22,0.36,9.89,0.88
16CCT07-GB302M,28-29,ND,--,1.44,0.27,1.35,0.07,3.52,0.35,10.26,0.85
16CCT07-GB302M,29-30,ND,--,1.62,0.23,1.44,0.06,3.83,0.31,10.36,0.73
16CCT07-GB302M,31-32,ND,--,1.10,0.26,1.38,0.08,2.92,0.38,9.68,0.92
16CCT07-GB302M,33-34,ND,--,1.63,0.32,1.59,0.09,2.94,0.37,11.19,1.04
16CCT07-GB302M,35-36,ND,--,1.56,0.28,1.60,0.08,3.03,0.36,10.11,0.88
16CCT07-GB302M,37-38,ND,--,1.64,0.30,1.53,0.08,2.90,0.38,10.66,0.97
16CCT07-GB302M,39-40,ND,--,1.26,0.29,1.53,0.08,2.92,0.36,9.97,0.90
16CCT07-GB302M,41-42,ND,--,1.40,0.27,1.50,0.07,2.70,0.32,10.63,0.84
16CCT07-GB302M,43-44,ND,--,1.44,0.29,1.58,0.08,2.66,0.34,10.77,0.93
16CCT07-GB302M,45-46,ND,--,1.48,0.28,1.58,0.08,2.82,0.36,10.91,1.00
16CCT07-GB302M,47-48,ND,--,1.33,0.26,1.46,0.07,2.88,0.34,10.62,0.86
16CCT07-GB302M,49-50,ND,--,1.39,0.29,1.44,0.08,2.39,0.36,10.76,0.91
16CCT07-GB302M,51-52,ND,--,1.48,0.25,1.50,0.07,2.70,0.31,11.64,0.79
Lc:Cs-137 = 0.07 dpm/g; Lc:Pb-210 = 0.35 dpm/g; Lc:Ra-226 = 0.12 dpm/g; Lc:Th-234 = 0.39 dpm/g; Lc:K-40 = 0.79 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16CCT07-GB303M,0-1,0.19,0.07,7.41,0.49,1.68,0.10,3.28,0.46,20.25,1.44
16CCT07-GB303M,1-2,0.14,0.05,5.23,0.41,1.66,0.09,3.04,0.38,16.96,1.16
16CCT07-GB303M,2-3,0.25,0.08,7.82,0.51,1.81,0.10,4.55,0.47,19.28,1.39
16CCT07-GB303M,3-4,0.20,0.05,5.93,0.38,1.62,0.08,3.94,0.36,16.15,0.99
16CCT07-GB303M,4-5,ND,--,3.50,0.32,1.61,0.08,3.23,0.35,14.23,0.93
16CCT07-GB303M,5-6,0.13,0.06,3.08,0.38,1.40,0.09,2.60,0.38,11.00,1.03
16CCT07-GB303M,6-7,ND,--,2.85,0.37,1.38,0.09,2.90,0.41,10.25,1.02
16CCT07-GB303M,7-8,0.09,0.04,2.97,0.29,1.42,0.07,2.61,0.32,9.92,0.82
16CCT07-GB303M,8-9,ND,--,2.95,0.31,1.26,0.07,2.72,0.36,9.38,0.86
16CCT07-GB303M,9-10,ND,--,2.60,0.34,1.26,0.08,2.21,0.35,9.79,1.01
16CCT07-GB303M,10-11,0.15,0.06,2.34,0.40,1.30,0.09,1.88,0.38,10.32,1.12
16CCT07-GB303M,11-12,0.11,0.07,2.26,0.39,1.20,0.10,2.32,0.44,10.64,1.15
16CCT07-GB303M,12-13,0.13,0.05,2.02,0.30,1.34,0.08,2.52,0.38,10.66,0.96
16CCT07-GB303M,13-14,0.27,0.06,2.96,0.34,1.49,0.08,3.66,0.41,15.31,1.04
16CCT07-GB303M,14-15,0.34,0.06,2.91,0.32,1.32,0.07,3.27,0.35,15.29,0.97
16CCT07-GB303M,15-16,0.45,0.07,4.10,0.40,1.43,0.09,3.84,0.43,18.44,1.22
16CCT07-GB303M,16-17,0.64,0.08,3.88,0.37,1.53,0.09,4.31,0.41,22.74,1.38
16CCT07-GB303M,17-18,0.90,0.10,5.26,0.50,1.80,0.11,3.82,0.51,26.78,1.63
16CCT07-GB303M,18-19,0.78,0.08,2.64,0.36,1.60,0.10,2.98,0.43,17.46,1.30
16CCT07-GB303M,19-20,1.21,0.06,2.82,0.27,1.49,0.06,2.99,0.29,14.18,0.78
16CCT07-GB303M,20-21,1.64,0.08,2.92,0.30,1.46,0.07,3.62,0.34,15.74,0.93
16CCT07-GB303M,21-22,0.89,0.08,2.50,0.37,1.49,0.09,3.32,0.42,16.66,1.21
16CCT07-GB303M,22-23,0.23,0.05,1.88,0.27,1.53,0.07,2.43,0.33,15.32,0.90
16CCT07-GB303M,23-24,0.17,0.06,2.60,0.37,1.53,0.09,2.48,0.40,13.87,1.23
16CCT07-GB303M,24-25,0.15,0.04,2.37,0.24,1.58,0.06,3.02,0.28,14.72,0.79
16CCT07-GB303M,25-26,0.12,0.06,1.81,0.33,1.55,0.09,4.73,0.43,13.60,1.13
16CCT07-GB303M,26-27,ND,--,1.78,0.34,1.56,0.09,4.63,0.43,11.01,0.98
16CCT07-GB303M,27-28,ND,--,1.38,0.28,1.68,0.08,4.67,0.41,11.08,0.92
16CCT07-GB303M,28-29,ND,--,1.16,0.30,1.40,0.08,4.31,0.41,10.86,0.97
16CCT07-GB303M,29-30,ND,--,1.25,0.35,1.46,0.09,4.49,0.45,9.83,0.98
16CCT07-GB303M,31-32,ND,--,1.32,0.26,1.52,0.08,4.43,0.40,9.58,0.88
16CCT07-GB303M,33-34,ND,--,1.37,0.21,1.54,0.06,3.30,0.29,10.25,0.68
16CCT07-GB303M,35-36,ND,--,1.42,0.19,1.49,0.05,2.36,0.25,9.72,0.62
16CCT07-GB303M,37-38,ND,--,1.43,0.17,1.55,0.05,2.41,0.22,10.37,0.55
16CCT07-GB303M,39-40,ND,--,1.26,0.25,1.57,0.07,2.14,0.33,9.00,0.78
16CCT07-GB303M,41-42,ND,--,1.26,0.31,1.58,0.08,2.29,0.34,10.24,0.91
16CCT07-GB303M,43-44,ND,--,1.22,0.27,1.61,0.07,2.31,0.32,10.68,0.83
16CCT07-GB303M,45-46,ND,--,1.61,0.24,1.57,0.06,2.32,0.29,9.78,0.73
16CCT07-GB303M,47-48,ND,--,1.43,0.20,1.57,0.06,2.61,0.25,11.65,0.66
16CCT07-GB303M,49-50,ND,--,1.38,0.29,1.61,0.07,2.66,0.30,12.52,0.80
Lc:Cs-137 = 0.06 dpm/g; Lc:Pb-210 = 0.32 dpm/g; Lc:Ra-226 = 0.12 dpm/g; Lc:Th-234 = 0.36 dpm/g; Lc:K-40 = 0.73 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16CCT07-GB304M,Top*,ND,--,3.95,0.29,1.29,0.08,3.75,0.31,9.72,1.00
16CCT07-GB304M,0-1,ND,--,4.55,0.25,1.28,0.07,4.23,0.28,8.12,0.76
16CCT07-GB304M,1-2,0.09,0.04,4.42,0.28,1.52,0.08,4.13,0.31,9.20,0.90
16CCT07-GB304M,2-3,0.10,0.04,4.56,0.28,1.47,0.08,4.32,0.30,7.75,0.89
16CCT07-GB304M,3-4,0.15,0.07,4.86,0.40,1.54,0.11,4.45,0.44,8.28,1.25
16CCT07-GB304M,4-5,0.17,0.06,5.89,0.33,1.55,0.09,6.49,0.41,9.58,1.05
16CCT07-GB304M,5-6,0.26,0.07,6.11,0.35,1.20,0.09,7.94,0.46,12.26,1.22
16CCT07-GB304M,6-7,0.20,0.06,5.33,0.33,1.53,0.10,5.93,0.41,10.52,1.14
16CCT07-GB304M,7-8,0.08,0.03,2.73,0.19,1.38,0.06,2.52,0.22,4.89,0.60
16CCT07-GB304M,8-9,0.09,0.04,2.66,0.22,1.28,0.07,3.06,0.27,6.38,0.80
16CCT07-GB304M,9-10,0.22,0.06,3.48,0.32,1.35,0.10,4.78,0.40,9.79,1.24
16CCT07-GB304M,10-11,0.18,0.06,2.39,0.29,1.15,0.09,3.27,0.33,8.70,1.13
16CCT07-GB304M,11-12,0.28,0.06,2.38,0.29,1.28,0.09,3.42,0.35,9.60,1.14
16CCT07-GB304M,12-13,0.44,0.11,3.02,0.42,1.49,0.15,4.11,0.56,14.04,1.91
16CCT07-GB304M,13-14,0.34,0.06,2.00,0.23,1.16,0.09,3.14,0.34,7.00,1.07
16CCT07-GB304M,14-15,0.65,0.07,2.74,0.26,1.64,0.09,4.63,0.34,7.88,0.92
16CCT07-GB304M,15-16,1.47,0.10,3.40,0.33,1.53,0.10,6.08,0.42,9.68,1.21
16CCT07-GB304M,16-17,1.75,0.11,4.11,0.33,1.39,0.10,7.43,0.46,11.78,1.28
16CCT07-GB304M,17-18,1.00,0.14,3.59,0.54,1.53,0.17,7.73,0.70,13.15,2.12
16CCT07-GB304M,18-19,0.27,0.05,2.74,0.24,1.42,0.09,5.56,0.35,8.56,0.95
16CCT07-GB304M,19-20,0.15,0.07,2.99,0.34,1.58,0.11,5.84,0.48,9.98,1.38
16CCT07-GB304M,20-21,0.11,0.05,2.86,0.27,1.51,0.09,5.84,0.40,10.32,1.08
16CCT07-GB304M,21-22,ND,--,2.17,0.27,1.59,0.10,5.06,0.37,8.59,1.08
16CCT07-GB304M,22-23,ND,--,2.32,0.29,1.50,0.10,3.71,0.37,7.96,1.03
16CCT07-GB304M,23-24,ND,--,1.89,0.27,1.44,0.10,2.87,0.32,7.44,1.04
16CCT07-GB304M,24-25,ND,--,1.77,0.22,1.52,0.07,3.71,0.27,6.76,0.75
16CCT07-GB304M,25-26,ND,--,1.52,0.23,1.45,0.09,3.37,0.31,6.18,0.88
16CCT07-GB304M,26-27,ND,--,1.71,0.18,1.48,0.06,3.89,0.25,6.64,0.64
16CCT07-GB304M,27-28,ND,--,1.78,0.23,1.58,0.08,4.58,0.33,5.98,0.82
16CCT07-GB304M,28-29,ND,--,1.75,0.21,1.72,0.07,3.86,0.26,6.40,0.70
16CCT07-GB304M,29-30,ND,--,1.62,0.20,1.54,0.07,3.28,0.27,5.35,0.69
16CCT07-GB304M,31-32,ND,--,1.46,0.18,1.44,0.07,2.90,0.26,5.21,0.70
16CCT07-GB304M,33-34,ND,--,1.43,0.17,1.44,0.06,2.92,0.25,5.39,0.66
16CCT07-GB304M,35-36,ND,--,1.55,0.19,1.53,0.07,2.77,0.27,5.25,0.70
16CCT07-GB304M,37-38,ND,--,1.55,0.22,1.45,0.08,2.56,0.28,5.51,0.76
16CCT07-GB304M,39-40,ND,--,1.34,0.20,1.40,0.07,2.39,0.25,4.88,0.67
16CCT07-GB304M,41-42,ND,--,1.49,0.17,1.54,0.06,3.03,0.23,6.43,0.62
16CCT07-GB304M,43-44,ND,--,1.60,0.19,1.48,0.07,3.39,0.27,5.97,0.72
16CCT07-GB304M,45-46,ND,--,1.54,0.19,1.36,0.07,3.13,0.24,6.32,0.68
Lc:Cs-137 = 0.08 dpm/g; Lc:Pb-210 = 0.35 dpm/g; Lc:Ra-226 = 0.20 dpm/g; Lc:Th-234 = 0.41 dpm/g; Lc:K-40 = 1.22 dpm/g,,,,,,,,,,,
* Unconsolidated sediment,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16CCT07-GB305M,0-1,ND,--,2.11,0.16,1.22,0.06,1.67,0.17,3.86,0.53
16CCT07-GB305M,1-2,ND,--,1.73,0.19,1.01,0.06,1.52,0.20,3.64,0.62
16CCT07-GB305M,2-3,ND,--,2.02,0.17,1.09,0.06,1.47,0.19,3.87,0.57
16CCT07-GB305M,3-4,ND,--,3.01,0.24,1.28,0.08,2.28,0.26,5.10,0.73
16CCT07-GB305M,4-5,ND,--,3.72,0.27,1.44,0.09,3.26,0.29,8.41,0.96
16CCT07-GB305M,5-6,ND,--,3.39,0.23,1.28,0.07,2.74,0.25,6.92,0.79
16CCT07-GB305M,6-7,ND,--,2.61,0.20,1.26,0.07,2.13,0.22,5.14,0.64
16CCT07-GB305M,7-8,ND,--,2.19,0.20,1.20,0.07,2.22,0.23,4.46,0.66
16CCT07-GB305M,8-9,ND,--,2.57,0.21,1.35,0.07,2.42,0.26,5.23,0.71
16CCT07-GB305M,9-10,ND,--,2.31,0.21,1.25,0.07,2.12,0.23,5.58,0.71
16CCT07-GB305M,10-11,ND,--,2.04,0.15,1.17,0.05,2.08,0.18,5.44,0.51
16CCT07-GB305M,11-12,0.06,0.03,2.37,0.19,1.38,0.06,2.30,0.24,6.51,0.69
16CCT07-GB305M,12-13,0.07,0.03,3.18,0.20,1.54,0.07,2.81,0.22,7.38,0.71
16CCT07-GB305M,13-14,0.12,0.04,3.06,0.21,1.55,0.07,2.80,0.24,7.73,0.78
16CCT07-GB305M,14-15,0.11,0.04,3.60,0.28,1.48,0.09,3.00,0.31,7.65,0.95
16CCT07-GB305M,15-16,0.15,0.03,3.21,0.19,1.35,0.06,2.99,0.24,8.20,0.73
16CCT07-GB305M,16-17,0.06,0.05,2.68,0.25,1.09,0.08,2.52,0.29,7.42,0.96
16CCT07-GB305M,17-18,0.15,0.06,3.34,0.31,1.62,0.11,3.28,0.36,9.36,1.20
16CCT07-GB305M,18-19,0.14,0.06,3.46,0.33,1.59,0.11,3.38,0.38,9.53,1.24
16CCT07-GB305M,19-20,0.20,0.06,3.72,0.30,1.66,0.10,3.55,0.36,10.83,1.17
16CCT07-GB305M,20-21,0.27,0.05,2.99,0.26,1.49,0.09,3.22,0.32,10.03,1.12
16CCT07-GB305M,21-22,0.26,0.05,3.06,0.25,1.48,0.08,3.36,0.28,11.43,1.01
16CCT07-GB305M,22-23,0.33,0.06,2.96,0.26,1.39,0.09,3.08,0.29,11.10,1.07
16CCT07-GB305M,23-24,0.34,0.07,3.14,0.29,1.68,0.11,3.84,0.40,9.16,1.22
16CCT07-GB305M,24-25,0.44,0.05,2.64,0.22,1.40,0.08,4.08,0.30,9.41,0.94
16CCT07-GB305M,25-26,0.32,0.08,2.98,0.34,1.50,0.12,3.98,0.42,9.98,1.33
16CCT07-GB305M,26-27,0.25,0.05,2.54,0.22,1.29,0.08,3.77,0.29,8.17,0.89
16CCT07-GB305M,27-28,0.19,0.08,2.51,0.36,1.54,0.12,4.10,0.46,13.12,1.47
16CCT07-GB305M,28-29,0.21,0.07,2.62,0.31,1.45,0.11,4.76,0.39,11.11,1.25
16CCT07-GB305M,29-30,0.08,0.04,2.16,0.22,1.61,0.08,3.75,0.29,9.67,0.91
16CCT07-GB305M,31-32,ND,--,1.66,0.18,1.52,0.07,2.70,0.22,5.77,0.66
16CCT07-GB305M,33-34,ND,--,1.80,0.20,1.55,0.08,3.24,0.27,5.95,0.75
16CCT07-GB305M,35-36,ND,--,1.81,0.21,1.57,0.07,3.11,0.27,8.01,0.81
16CCT07-GB305M,37-38,ND,--,1.63,0.19,1.65,0.07,3.03,0.25,7.53,0.80
16CCT07-GB305M,39-40,ND,--,1.67,0.20,1.62,0.07,3.22,0.26,8.05,0.76
16CCT07-GB305M,41-42,ND,--,1.60,0.20,1.56,0.08,2.78,0.27,7.80,0.78
16CCT07-GB305M,42-43,ND,--,1.63,0.19,1.65,0.07,3.03,0.25,7.53,0.80
Lc:Cs-137 = 0.06 dpm/g; Lc:Pb-210 = 0.23 dpm/g; Lc:Ra-226 = 0.13 dpm/g; Lc:Th-234 = 0.28 dpm/g; Lc:K-40 = 0.67 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16CCT07-GB306M,0-1,0.09,0.04,4.97,0.29,1.35,0.09,2.74,0.29,9.00,1.06
16CCT07-GB306M,1-2,0.12,0.05,4.76,0.27,1.47,0.09,3.45,0.30,7.53,1.03
16CCT07-GB306M,2-3,ND,--,4.00,0.25,1.74,0.09,3.04,0.28,7.29,0.88
16CCT07-GB306M,3-4,ND,--,3.87,0.26,1.42,0.09,2.93,0.30,7.00,1.00
16CCT07-GB306M,4-5,ND,--,3.57,0.32,1.42,0.11,2.96,0.38,10.07,1.44
16CCT07-GB306M,5-6,ND,--,3.21,0.25,1.37,0.08,2.81,0.27,6.57,0.98
16CCT07-GB306M,6-7,ND,--,3.26,0.29,1.28,0.10,2.92,0.31,4.69,1.04
16CCT07-GB306M,7-8,0.10,0.04,3.71,0.24,1.38,0.07,3.23,0.25,7.78,0.88
16CCT07-GB306M,8-9,ND,--,4.37,0.43,1.54,0.13,3.82,0.42,9.18,1.66
16CCT07-GB306M,9-10,0.19,0.08,4.10,0.32,1.52,0.11,3.70,0.38,12.50,1.40
16CCT07-GB306M,10-11,0.16,0.05,3.52,0.24,1.43,0.08,3.53,0.28,7.79,0.91
16CCT07-GB306M,11-12,0.14,0.05,3.22,0.28,1.42,0.09,3.30,0.32,6.21,0.98
16CCT07-GB306M,12-13,0.25,0.07,3.63,0.31,1.40,0.11,3.46,0.34,10.28,1.38
16CCT07-GB306M,13-14,0.38,0.07,4.08,0.30,1.37,0.10,4.42,0.37,13.03,1.45
16CCT07-GB306M,14-15,0.55,0.08,4.38,0.30,1.32,0.10,4.98,0.37,14.45,1.52
16CCT07-GB306M,15-16,0.51,0.08,3.66,0.30,1.50,0.11,4.52,0.41,15.48,1.60
16CCT07-GB306M,16-17,0.59,0.09,3.05,0.31,1.64,0.11,3.52,0.36,10.07,1.43
16CCT07-GB306M,17-18,0.43,0.08,2.42,0.26,1.51,0.10,3.68,0.34,5.51,0.97
16CCT07-GB306M,18-19,0.87,0.09,3.10,0.29,1.43,0.11,4.58,0.40,10.44,1.38
16CCT07-GB306M,19-20,0.71,0.09,2.94,0.30,1.34,0.11,5.07,0.39,10.90,1.45
16CCT07-GB306M,20-21,0.35,0.08,2.33,0.29,1.37,0.11,3.97,0.40,9.50,1.49
16CCT07-GB306M,21-22,ND,--,1.57,0.19,1.24,0.08,2.63,0.25,5.98,0.85
16CCT07-GB306M,22-23,0.16,0.07,2.49,0.31,1.34,0.11,4.82,0.42,12.12,1.50
16CCT07-GB306M,23-24,ND,--,2.53,0.35,1.37,0.13,4.30,0.48,12.91,1.80
16CCT07-GB306M,24-25,ND,--,2.40,0.27,1.37,0.10,4.68,0.36,10.75,1.25
16CCT07-GB306M,25-26,ND,--,2.24,0.29,1.41,0.11,4.84,0.40,12.45,1.47
16CCT07-GB306M,26-27,ND,--,2.23,0.26,1.55,0.10,3.97,0.36,9.19,1.33
16CCT07-GB306M,27-28,ND,--,1.88,0.17,1.46,0.07,3.17,0.23,6.00,0.70
16CCT07-GB306M,28-29,ND,--,1.77,0.20,1.70,0.09,3.18,0.29,5.05,0.88
16CCT07-GB306M,29-30,ND,--,1.64,0.16,1.48,0.06,2.41,0.21,5.47,0.64
16CCT07-GB306M,31-32,ND,--,1.81,0.23,1.56,0.09,3.05,0.30,7.45,1.01
16CCT07-GB306M,33-34,ND,--,1.69,0.22,1.53,0.09,3.46,0.30,5.91,0.96
16CCT07-GB306M,35-36,ND,--,1.56,0.17,1.43,0.07,2.58,0.23,5.46,0.76
16CCT07-GB306M,37-38,ND,--,1.88,0.19,1.78,0.08,3.02,0.24,5.23,0.73
16CCT07-GB306M,39-40,ND,--,1.81,0.15,1.55,0.06,3.40,0.21,8.61,0.73
16CCT07-GB306M,41-42,ND,--,1.63,0.20,1.49,0.08,3.32,0.26,7.93,0.90
16CCT07-GB306M,43-44,ND,--,1.62,0.19,1.56,0.08,3.36,0.26,7.51,0.92
16CCT07-GB306M,45-46,ND,--,1.73,0.18,1.55,0.07,3.00,0.26,6.32,0.74
Lc:Cs-137 = 0.07 dpm/g; Lc:Pb-210 = 0.28 dpm/g; Lc:Ra-226 = 0.13 dpm/g; Lc:Th-234 = 0.28 dpm/g; Lc:K-40 = 1.00 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16CCT07-GB307M,0-1,ND,--,7.88,0.48,1.47,0.16,5.16,0.55,16.15,2.22
16CCT07-GB307M,1-2,ND,--,7.39,0.50,1.27,0.17,3.39,0.51,13.37,2.21
16CCT07-GB307M,2-3,ND,--,3.42,0.28,1.25,0.10,2.29,0.30,8.06,1.23
16CCT07-GB307M,3-4,ND,--,2.40,0.25,1.15,0.10,1.89,0.31,5.35,1.09
16CCT07-GB307M,4-5,ND,--,5.25,0.48,1.58,0.18,3.76,0.59,13.29,2.34
