study_id,site_id,core_id,species_code
Osland_et_al_2016,Grand_Bay,grand_bay_85,Distichlis spicata
Osland_et_al_2016,Grand_Bay,grand_bay_86,Distichlis spicata
Osland_et_al_2016,Grand_Bay,grand_bay_87,unvegetated
Osland_et_al_2016,Grand_Bay,grand_bay_88,Juncus roemerianus
Osland_et_al_2016,Grand_Bay,grand_bay_89,Juncus roemerianus
Osland_et_al_2016,Grand_Bay,grand_bay_90,Juncus roemerianus
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_1,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_2,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_3,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_4,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_5,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_6,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_7,Distichlis spicata
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_8,Distichlis spicata
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_9,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_10,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_11,Sesuvium portulacastrum
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_12,Monanthochloe littoralis
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_13,Monanthochloe littoralis
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_14,Monanthochloe littoralis
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_15,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_16,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_17,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_18,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_19,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_20,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_21,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_22,Monanthochloe littoralis
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_23,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_24,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_25,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_26,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_27,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_28,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_29,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_30,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_31,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_32,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_33,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_34,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_35,Salicornia depressa
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_36,Monanthochloe littoralis
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_37,Halodule wrightii
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_38,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_39,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_40,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_41,Crassostrea virginica
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_42,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_43,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_44,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_45,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_46,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_47,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_48,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_49,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_50,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_51,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_52,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_53,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_54,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_55,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_56,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_57,Sesuvium portulacastrum
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_58,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_59,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_60,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_61,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_62,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_63,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_64,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_65,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_66,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_67,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_68,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_69,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_70,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_71,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_72,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_73,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_74,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_75,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_76,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_77,Litter
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_78,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_78,Litter
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_79,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_80,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_81,Litter
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_82,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_83,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_84,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_85,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_86,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_87,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_88,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_89,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_90,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_91,Salicornia depressa
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_92,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_93,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_94,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_95,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_96,Avicennia germinans
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_97,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_98,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_99,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_100,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_101,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_102,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_103,Algal Mat
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_104,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_105,unvegetated
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_106,Batis maritima
Osland_et_al_2016,Lower_Laguna_Madre,lower_laguna_madre_107,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_1,Halodule wrightii
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_2,Halodule wrightii
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_2,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_3,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_4,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_5,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_6,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_7,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_8,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_9,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_10,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_11,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_12,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_13,Salicornia depressa
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_14,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_15,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_16,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_17,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_18,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_19,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_20,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_21,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_22,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_23,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_24,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_25,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_26,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_27,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_28,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_29,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_30,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_31,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_32,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_33,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_34,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_34,Litter
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_35,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_36,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_37,Avicennia germinans
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_38,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_39,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_40,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_41,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_42,Spartina alterniflora
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_43,Spartina alterniflora
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_44,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_45,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_46,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_47,Borrichia frutescens
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_48,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_49,Spartina alterniflora
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_50,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_51,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_52,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_53,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_54,Monanthochloe littoralis
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_55,Monanthochloe littoralis
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_56,Monanthochloe littoralis
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_57,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_58,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_59,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_60,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_61,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_62,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_63,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_64,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_65,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_66,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_67,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_68,Salicornia depressa
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_69,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_70,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_71,Monanthochloe littoralis
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_72,Monanthochloe littoralis
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_73,Monanthochloe littoralis
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_74,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_75,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_76,Monanthochloe littoralis
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_77,Borrichia frutescens
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_77,Distichlis spicata
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_78,Borrichia frutescens
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_79,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_80,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_81,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_82,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_83,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_84,Batis maritima
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_85,unvegetated
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_86,Salicornia depressa
Osland_et_al_2016,Mission_Aransas_Bay,mission_aransas_bay_87,Algal Mat
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_1,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_2,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_3,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_4,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_5,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_6,Avicennia germinans
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_7,Avicennia germinans
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_8,Avicennia germinans
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_9,Lycium carolinianum
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_10,Suaeda linearis
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_11,Monanthochloe littoralis
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_12,Batis maritima
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_13,Batis maritima
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_14,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_15,Lycium carolinianum
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_16,Salicornia depressa
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_17,Suaeda linearis
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_18,Suaeda linearis
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_19,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_20,Spartina spp.
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_21,Schizachyrium scoparium
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_22,Lycium carolinianum
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_23,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_24,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_25,Spartina alterniflora
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_26,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_27,Salicornia depressa
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_28,Monanthochloe littoralis
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_29,Monanthochloe littoralis
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_30,Batis maritima
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_31,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_32,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_33,Spartina alterniflora
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_34,Spartina alterniflora
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_35,Salicornia depressa
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_36,Batis maritima
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_37,Batis maritima
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_38,Batis maritima
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_39,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_40,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_41,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_42,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_43,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_44,Spartina alterniflora
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_45,Spartina alterniflora
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_46,Borrichia frutescens
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_47,Borrichia frutescens
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_48,Borrichia frutescens
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_49,unvegetated
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_50,Baccharis halimifolia
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_51,Baccharis halimifolia
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_52,Borrichia frutescens
Osland_et_al_2016,San_Antonio_Bay,san_antonio_bay_53,Batis maritima
