Site,Depth ,Bulk Density ,LOI,TOC,N
Black Bank,36,0.14,35.90,13.44,1.14
Black Bank,38,0.18,30.77,11.07,0.98
Black Bank,40,0.27,25.22,9.35,0.89
Black Bank,42,0.26,25.29,9.46,0.92
Black Bank,44,0.19,22.88,9.08,0.99
Black Bank,46,0.22,18.71,7.32,0.76
Black Bank,48,0.23,18.23,7.04,0.72
Black Bank,50,0.34,18.39,7.62,0.73
Big Egg,2,0.15,35.65,10.26,1.27
Big Egg,4,0.27,40.36,15.30,1.20
Big Egg,6,0.50,36.50,15.20,1.23
Big Egg,8,0.20,41.45,16.70,1.33
Big Egg,10,0.30,43.11,17.60,1.40
Big Egg,12,0.28,43.36,18.60,1.46
Big Egg,14,0.25,45.13,18.07,1.45
Big Egg,16,0.21,46.97,18.59,1.55
Big Egg,18,0.17,47.70,17.99,1.56
Big Egg,20,0.10,49.30,19.30,1.57
Big Egg,22,0.16,49.97,19.53,1.61
Big Egg,24,0.19,46.57,15.92,1.54
Big Egg,26,0.16,42.95,16.14,1.25
Big Egg,28,0.15,45.62,16.09,1.25
Big Egg,30,0.17,42.46,16.75,1.19
Big Egg,32,0.21,38.86,15.46,1.00
Big Egg,34,0.13,45.23,12.18,0.99
Big Egg,36,0.14,40.50,15.50,1.07
Big Egg,38,0.26,34.65,14.82,0.91
Big Egg,40,0.22,27.62,12.47,0.68
Big Egg,42,0.13,24.23,12.23,0.68
Big Egg,44,0.18,28.60,13.06,0.74
Big Egg,46,0.26,20.51,8.00,0.44
Big Egg,48,0.46,16.09,8.82,0.47
Spring Creek,2,0.08,54.33,18.65,1.46
Spring Creek,4,0.19,53.63,23.33,1.66
Spring Creek,6,0.11,61.21,27.45,1.88
Spring Creek,8,0.19,61.77,27.69,1.88
Spring Creek,10,0.26,57.64,24.70,1.90
Spring Creek,12,0.21,47.80,25.18,1.55
Spring Creek,14,0.24,39.88,19.35,1.30
Spring Creek,16,0.29,35.40,15.36,1.03
Spring Creek,18,0.27,34.10,15.94,0.96
Spring Creek,20,0.17,36.47,17.63,1.06
Spring Creek,22,0.21,31.89,13.95,0.81
Spring Creek,24,0.44,32.69,15.40,0.90
Spring Creek,26,0.22,40.54,16.54,1.09
Spring Creek,28,0.28,37.86,16.34,1.09
Spring Creek,30,0.26,34.99,25.40,1.47
Spring Creek,32,0.25,30.40,14.95,0.80
Spring Creek,34,0.19,33.74,16.74,0.91
Spring Creek,36,0.28,36.49,16.83,0.95
Spring Creek,38,0.13,41.91,19.31,1.11
Spring Creek,40,0.12,41.97,no data,no data
Duck Point,2,0.16,21.03,7.41,0.82
Duck Point,4,0.27,17.24,7.39,0.80
Duck Point,6,0.43,17.38,3.68,0.46
Duck Point,8,0.37,15.51,4.27,0.49
Duck Point,10,0.47,16.33,5.15,0.57
Duck Point,12,0.43,15.78,4.63,0.54
Duck Point,14,0.27,23.60,8.39,0.81
Duck Point,16,0.19,17.85,6.31,0.66
Duck Point,18,0.31,19.27,7.56,0.72
Duck Point,20,0.36,18.35,7.03,0.69
Duck Point,22,0.61,11.58,3.49,0.45
Duck Point,24,0.33,12.93,5.50,0.52
Duck Point,26,0.48,13.35,4.75,0.50
Duck Point,28,0.29,16.61,6.53,0.55
Duck Point,30,0.41,13.59,5.90,0.59
Duck Point,32,0.41,14.16,5.13,0.51
Duck Point,34,0.34,15.64,6.22,0.51
Duck Point,36,0.34,16.54,2.10,0.23
Duck Point,38,0.23,22.84,9.36,0.65
Duck Point,40,0.35,20.24,6.35,0.49
Duck Point,42,0.32,19.26,8.26,0.64
Duck Point,44,0.51,17.06,7.08,0.49
Duck Point,46,0.31,19.96,8.24,0.63
Fresh Creek,2,0.10,69.52,23.01,1.88
Fresh Creek,4,0.12,68.14,26.69,1.96
Fresh Creek,6,0.08,67.97,29.51,1.98
Fresh Creek,8,0.16,66.39,25.18,1.98
Fresh Creek,10,0.12,64.57,25.91,1.69
Fresh Creek,12,0.07,63.53,30.74,1.94
Fresh Creek,14,0.15,59.96,24.46,1.69
Fresh Creek,16,0.14,50.36,28.81,1.69
Fresh Creek,18,0.21,48.42,24.83,1.47
Fresh Creek,20,0.12,57.94,25.87,1.54
Fresh Creek,22,0.20,54.71,21.92,1.29
Fresh Creek,24,0.20,46.34,24.79,1.26
Fresh Creek,26,0.20,37.44,20.72,1.04
Fresh Creek,28,0.26,39.43,18.55,0.98
Fresh Creek,30,0.28,40.27,16.32,1.01
Fresh Creek,32,0.26,32.10,16.78,0.77
Fresh Creek,34,0.21,38.43,14.44,0.80
Fresh Creek,36,0.21,36.32,16.63,0.83
Fresh Creek,38,0.21,36.80,13.03,1.12
Fresh Creek,40,0.23,41.48,17.16,1.08
Fresh Creek,42,0.23,44.62,18.75,1.04
Fresh Creek,44,0.16,44.50,18.28,1.01
Fresh Creek,46,0.18,39.02,18.19,1.09
Fresh Creek,48,0.24,35.23,18.98,0.90
Fresh Creek,50,0.18,35.32,15.03,0.92
Fresh Creek,52,0.21,36.50,14.61,0.91
Fresh Creek,54,0.22,31.04,14.68,no data
Four Sparrow,2,0.10,53.21,15.07,1.38
Four Sparrow,4,0.15,55.33,17.10,1.39
Four Sparrow,6,0.13,66.10,20.17,1.56
Four Sparrow,8,0.19,69.65,25.98,1.82
Four Sparrow,10,0.17,67.06,24.90,1.73
Four Sparrow,12,0.18,64.77,25.31,1.62
Four Sparrow,14,0.14,65.61,27.72,1.81
Four Sparrow,16,0.18,68.20,27.29,1.59
Four Sparrow,18,0.14,64.42,26.55,1.53
Four Sparrow,20,0.17,64.16,29.41,1.53
Four Sparrow,22,0.19,58.12,26.10,1.57
Four Sparrow,24,0.14,58.57,22.84,1.42
Four Sparrow,26,0.17,54.32,20.71,1.29
Four Sparrow,28,0.16,51.61,22.97,1.19
Four Sparrow,30,0.58,17.80,11.78,0.58
Four Sparrow,32,1.40,2.85,3.27,0.17
Four Sparrow,34,0.97,3.10,2.15,0.18
Four Sparrow,36,1.12,1.80,1.06,0.14
Ruffle Bar,2,0.16,46.84,16.35,1.37
Ruffle Bar,4,0.16,46.98,18.12,1.46
Ruffle Bar,6,0.15,47.86,19.18,1.52
Ruffle Bar,8,0.34,42.90,18.42,1.43
Ruffle Bar,10,0.20,46.27,17.99,1.37
Ruffle Bar,12,0.27,45.43,17.99,1.35
Ruffle Bar,14,0.17,43.26,17.43,1.36
Ruffle Bar,16,0.21,38.92,17.29,1.33
Ruffle Bar,18,0.19,36.79,15.72,1.20
Ruffle Bar,20,0.24,35.91,14.31,1.15
Ruffle Bar,22,0.39,31.82,13.28,1.27
Ruffle Bar,24,0.33,30.29,12.45,0.96
Ruffle Bar,26,0.19,31.52,10.89,0.88
Ruffle Bar,28,0.29,23.72,13.86,1.03
Ruffle Bar,30,0.48,28.42,7.90,0.64
Ruffle Bar,32,0.57,4.90,1.86,0.18
Ruffle Bar,34,0.33,28.59,8.82,0.72
Ruffle Bar,36,0.22,35.37,13.54,0.94
Ruffle Bar,38,0.24,32.12,10.74,0.86
Ruffle Bar,40,0.29,30.62,10.87,0.83
Ruffle Bar,42,0.22,28.96,11.70,0.88
Ruffle Bar,44,0.40,32.73,9.25,0.81
Ruffle Bar,46,0.30,32.91,8.49,0.70
Ruffle Bar,48,0.33,28.32,8.39,0.69
Ruffle Bar,50,0.59,25.66,7.91,0.69
Ruffle Bar,52,0.38,19.81,9.04,0.67
Ruffle Bar,54,0.42,17.00,6.62,0.52
Stony Creek,2,0.36,20.77,11.58,1.35
Stony Creek,4,0.21,33.44,12.20,0.96
Stony Creek,6,0.24,31.58,11.55,1.02
Stony Creek,8,0.18,34.90,14.78,1.15
Stony Creek,10,0.18,43.38,16.67,1.26
Stony Creek,12,0.24,37.65,13.84,1.08
Stony Creek,14,0.18,36.75,15.61,1.18
Stony Creek,16,0.14,36.32,14.54,1.01
Stony Creek,18,0.19,37.55,16.36,1.25
Stony Creek,20,0.17,39.35,14.75,1.04
Stony Creek,22,0.16,37.88,15.60,1.07
Stony Creek,24,0.16,38.20,17.32,1.11
Stony Creek,26,0.20,41.15,18.09,1.13
Stony Creek,28,0.17,41.50,16.32,0.95
Stony Creek,30,0.18,41.91,18.80,0.98
Stony Creek,32,0.26,42.17,18.01,1.00
Stony Creek,34,0.17,43.38,16.95,0.96
Stony Creek,36,0.19,43.38,17.26,1.01
Stony Creek,38,0.20,37.60,14.74,0.83
Stony Creek,40,0.23,29.48,11.85,0.71
JoCo,2,0.18,59.47,18.18,1.63
JoCo,4,0.17,66.23,25.06,1.52
JoCo,6,0.15,66.63,23.80,1.69
JoCo,8,0.13,61.48,23.57,1.67
JoCo,10,0.19,58.47,24.43,1.56
JoCo,12,0.13,61.06,24.31,1.67
JoCo,14,0.17,52.36,23.32,1.63
JoCo,16,0.19,57.29,21.53,1.49
JoCo,18,0.19,62.82,18.66,1.15
JoCo,20,0.18,50.97,17.60,1.26
JoCo,22,0.15,58.38,20.00,1.32
JoCo,24,0.13,55.60,18.64,1.55
JoCo,26,0.14,55.58,21.83,1.41
JoCo,28,0.14,53.31,20.67,1.39
JoCo,30,0.14,58.00,22.43,1.38
JoCo,32,0.16,54.40,22.46,1.30
JoCo,34,0.20,56.57,20.54,1.25
JoCo,36,0.13,55.71,21.48,1.26
JoCo,38,0.18,49.13,18.53,1.04
JoCo,40,0.16,42.23,19.24,1.22
JoCo,42,0.27,37.46,15.61,0.99
JoCo,44,0.21,36.51,15.57,0.92
JoCo,46,0.35,39.58,16.92,0.98
East High,2,0.12,38.33,11.09,0.89
East High,4,0.17,42.11,13.81,1.00
East High,6,0.24,38.13,14.70,1.04
East High,8,0.21,38.80,16.24,0.95
East High,10,0.13,46.92,15.57,1.24
East High,12,0.13,51.10,17.77,1.38
East High,14,0.18,45.16,17.10,1.23
East High,16,0.20,48.92,17.19,1.31
East High,18,0.17,50.12,17.14,1.19
East High,20,0.16,44.40,16.30,1.20
East High,22,0.19,48.12,17.10,1.25
East High,24,0.12,51.29,17.92,1.24
East High,26,0.12,53.27,18.37,1.32
East High,28,0.22,52.43,18.46,1.19
East High,30,0.14,44.42,15.96,1.01
East High,32,0.21,48.95,17.42,1.04
East High,34,0.16,50.43,19.19,1.05
East High,36,0.26,46.64,15.88,0.89
East High,38,0.16,46.02,17.93,1.02
East High,40,0.16,40.69,16.46,0.94
East High,42,0.18,39.20,14.00,0.89
East High,44,0.20,31.80,13.10,0.75
East High,46,0.25,33.17,10.27,0.60
East High,48,0.20,32.46,11.55,0.60
East High,50,0.23,35.00,10.02,0.65
