Site,Depth,Cs-137 Activity ,Cs Error ,Pbxs-210 Activity ,Pbxs Error 
Duck Point,8,0.00,0.00,2.34,0.24
Duck Point,10,0.00,0.00,2.55,0.25
Duck Point,12,0.00,0.00,3.56,0.30
Duck Point,14,0.00,0.00,3.04,0.25
Duck Point,16,0.00,0.00,3.86,0.36
Duck Point,18,0.00,0.00,4.50,0.37
Duck Point,20,0.00,0.00,2.06,0.26
Duck Point,22,0.00,0.00,1.50,0.20
Duck Point,26,0.00,0.00,1.73,0.20
Duck Point,28,0.00,0.00,1.02,0.14
Duck Point,30,0.00,0.00,1.02,0.12
Duck Point,32,0.00,0.00,0.18,0.03
Duck Point,34,0.00,0.00,0.82,0.12
Duck Point,36,0.75,0.11,0.67,0.10
Duck Point,38,1.03,0.15,0.73,0.14
Duck Point,40,0.25,0.11,0.84,0.14
Duck Point,42,0.19,0.08,0.52,0.10
Duck Point,44,0.00,0.00,0.98,0.15
Duck Point,46,0.19,0.09,0.74,0.14
East High,4,0.00,0.00,3.37,0.36
East High,8,0.00,0.00,4.86,0.36
East High,12,0.00,0.00,5.73,0.36
East High,16,0.30,0.16,2.92,0.38
East High,20,0.87,0.13,2.09,0.28
East High,24,1.80,0.23,0.96,0.26
East High,28,0.00,0.00,1.59,0.31
East High,32,0.00,0.00,0.36,0.11
East High,36,0.00,0.00,0.00,0.00
East High,40,0.00,0.00,1.10,0.23
East High,46,0.00,0.00,0.00,0.00
East High,50,0.00,0.00,0.00,0.00
Fresh Creek,2,0.00,0.00,6.40,0.33
Fresh Creek,4,0.00,0.00,6.07,0.30
Fresh Creek,6,0.00,0.00,3.35,0.24
Fresh Creek,8,0.00,0.00,4.62,0.29
Fresh Creek,10,0.00,0.00,3.51,0.27
Fresh Creek,14,0.50,0.10,3.02,0.25
Fresh Creek,16,1.35,0.12,1.97,0.21
Fresh Creek,20,0.37,0.07,0.91,0.12
Fresh Creek,22,0.28,0.07,2.60,0.48
Fresh Creek,30,0.08,0.07,0.00,0.00
Fresh Creek,32,0.00,0.00,0.00,0.00
Fresh Creek,34,0.00,0.00,0.00,0.00
Fresh Creek,36,0.00,0.00,0.00,0.00
Fresh Creek,38,0.00,0.00,0.00,0.00
Fresh Creek,40,0.00,0.00,0.00,0.00
Fresh Creek,44,0.00,0.00,0.19,0.06
Fresh Creek,46,0.00,0.00,0.08,0.02
Fresh Creek,52,0.00,0.00,0.00,0.00
JoCo,2,0.00,0.00,11.38,0.71
JoCo,4,0.00,0.00,10.51,0.85
JoCo,6,0.00,0.00,7.01,0.73
JoCo,8,0.00,0.00,10.64,0.89
JoCo,10,0.00,0.00,7.85,0.70
JoCo,14,0.00,0.00,8.86,0.80
JoCo,16,0.00,0.00,7.64,0.85
JoCo,18,0.00,0.00,5.77,0.53
JoCo,20,0.19,0.10,4.15,0.43
JoCo,22,0.29,0.12,4.85,0.68
JoCo,24,1.12,0.16,3.21,0.53
JoCo,26,0.99,0.19,2.83,0.54
JoCo,28,1.07,0.16,5.18,0.63
JoCo,30,0.28,0.11,3.04,0.43
JoCo,32,0.12,0.08,2.84,0.38
JoCo,34,0.00,0.00,2.08,0.43
JoCo,36,0.00,0.00,2.11,0.37
JoCo,38,0.00,0.00,2.41,0.33
JoCo,40,0.00,0.00,0.46,0.18
JoCo,42,0.00,0.00,1.63,0.30
JoCo,44,0.00,0.00,0.55,0.14
JoCo,46,0.00,0.00,0.88,0.18
Little Egg,3,0.00,0.00,0.80,0.09
Little Egg,5,0.00,0.00,1.13,0.12
Little Egg,5,0.00,0.00,0.86,0.11
Little Egg,7,0.00,0.00,0.72,0.11
Little Egg,9,0.00,0.00,0.72,0.10
Little Egg,11,0.00,0.00,0.60,0.10
Little Egg,13,0.00,0.00,0.22,0.04
Little Egg,15,0.00,0.00,0.56,0.10
Little Egg,17,0.00,0.00,0.26,0.06
Little Egg,19,0.00,0.00,0.41,0.06
Little Egg,21,0.00,0.00,0.31,0.05
Little Egg,23,0.00,0.00,0.75,0.10
Little Egg,25,0.00,0.00,0.60,0.08
Little Egg,27,0.00,0.00,0.44,0.07
Ruffle Bar,2,0.27,0.09,14.45,0.68
Ruffle Bar,4,0.00,0.00,10.20,0.73
Ruffle Bar,12,0.27,0.10,6.76,0.52
Ruffle Bar,14,0.09,0.07,5.99,0.41
Ruffle Bar,16,0.12,0.11,4.88,0.43
Ruffle Bar,18,0.52,0.08,5.44,0.35
Ruffle Bar,20,0.39,0.09,5.30,0.42
Ruffle Bar,22,0.48,0.09,4.95,0.37
Ruffle Bar,24,0.59,0.08,4.01,0.31
Ruffle Bar,26,0.64,0.10,3.88,0.33
Ruffle Bar,28,0.32,0.08,3.02,0.29
Ruffle Bar,30,0.34,0.07,1.87,0.22
Ruffle Bar,32,0.00,0.00,1.16,0.30
Ruffle Bar,34,0.00,0.00,0.92,0.22
Ruffle Bar,36,0.00,0.00,1.08,0.15
Ruffle Bar,38,0.00,0.00,1.45,0.22
Ruffle Bar,40,0.00,0.00,0.50,0.10
Spring Creek,2,0.00,0.00,16.84,0.62
Spring Creek,4,0.23,0.07,12.39,0.53
Spring Creek,6,0.00,0.00,8.00,0.55
Spring Creek,8,0.00,0.00,10.24,0.57
Spring Creek,10,0.57,0.11,10.18,0.58
Spring Creek,12,1.00,0.11,9.13,0.51
Spring Creek,14,no data,0.16,3.55,0.29
Spring Creek,16,no data,0.16,3.56,0.32
Spring Creek,18,0.44,0.08,3.73,0.31
Spring Creek,20,0.12,0.07,2.18,0.24
Spring Creek,22,0.38,0.08,1.67,0.21
Spring Creek,24,0.26,0.08,1.47,0.24
Spring Creek,26,0.00,0.00,1.52,0.25
Spring Creek,28,0.00,0.00,1.06,0.21
Spring Creek,30,0.14,0.07,1.51,0.20
Spring Creek,32,0.25,0.07,1.88,0.21
Spring Creek,34,0.27,0.08,1.05,0.20
Spring Creek,36,0.00,0.00,0.20,0.07
Spring Creek,38,0.00,0.00,0.41,0.12
Spring Creek,40,0.03,0.07,0.13,0.04
Yellow Bar,2,0.00,0.00,1.76,0.19
Yellow Bar,4,0.00,0.00,1.29,0.17
Yellow Bar,6,0.00,0.00,1.61,0.23
Yellow Bar,8,0.00,0.00,1.24,0.18
Yellow Bar,10,0.00,0.00,2.35,0.29
Yellow Bar,12,0.00,0.00,0.30,0.04
Yellow Bar,14,0.73,0.20,0.09,0.02
Yellow Bar,18,0.87,0.22,0.47,0.10
Yellow Bar,20,0.50,0.16,0.29,0.08
Yellow Bar,22,0.00,0.00,1.01,0.18
Yellow Bar,24,0.00,0.00,0.84,0.18
Yellow Bar,26,0.00,0.00,0.38,0.05
Yellow Bar,28,0.00,0.00,0.70,0.12
Yellow Bar,30,0.00,0.00,0.28,0.11
Yellow Bar,32,0.00,0.00,0.00,0.00
Yellow Bar,34,0.00,0.00,0.18,0.07
Yellow Bar,36,0.00,0.00,0.00,0.00
Yellow Bar,38,0.00,0.00,0.30,0.08
Yellow Bar,40,0.00,0.00,0.00,0.00
Yellow Bar,42,0.00,0.00,0.41,0.09
Yellow Bar,44,0.00,0.00,0.00,0.00
Yellow Bar,46,0.00,0.00,0.00,0.00
Yellow Bar,48,0.00,0.00,0.00,0.00
Yellow Bar,50,0.00,0.00,0.00,0.00
Stony Creek,2,0.00,0.00,6.30,0.40
Stony Creek,4,0.23,0.07,5.64,0.36
Stony Creek,8,0.18,0.07,5.27,0.38
Stony Creek,10,0.29,0.10,3.52,0.39
Stony Creek,12,0.19,0.08,3.63,0.40
Stony Creek,14,0.41,0.08,3.99,0.34
Stony Creek,16,0.37,0.10,3.37,0.38
Stony Creek,22,0.98,0.10,3.75,0.36
Stony Creek,24,0.93,0.11,1.75,0.26
Stony Creek,28,0.00,0.00,2.14,0.32
Stony Creek,30,0.00,0.00,1.76,0.24
Stony Creek,32,0.00,0.00,1.66,0.23
Stony Creek,34,0.00,0.00,1.22,0.20
Stony Creek,36,0.00,0.00,1.68,0.27
Stony Creek,38,0.00,0.00,1.55,0.28
Stony Creek,40,0.00,0.00,0.98,0.19
Four Sparrow,2,0.00,0.00,24.59,0.69
Four Sparrow,4,0.00,0.00,17.60,0.64
Four Sparrow,6,0.00,0.00,11.94,0.61
Four Sparrow,8,0.00,0.00,16.33,0.74
Four Sparrow,10,0.00,0.00,9.56,0.55
Four Sparrow,14,0.00,0.00,9.13,0.57
Four Sparrow,18,0.14,0.11,6.94,0.54
Four Sparrow,22,1.07,0.09,3.95,0.31
Four Sparrow,24,1.41,0.15,4.73,0.46
Four Sparrow,26,0.57,0.10,3.71,0.38
Four Sparrow,28,0.00,0.00,0.01,0.00
Four Sparrow,30,0.00,0.00,0.17,0.03
