"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)",Averaged Sample Runs,"Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
Standard Deviation 
(µm)","Skewness
(µm)","Skewness 
Standard Deviation
(µm)","Kurtosis
(µm)","Kurtosis
Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)"
16CCT07-GB301M,33-34,Sandy Mud,N=8,50.72,1.50,3.055,0.077,-0.453,0.005,1.618,0.049,4.302,0.043,1.611,0.036,0.453,0.005,1.618,0.049,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,8.58,0.69,62.15,0.76,132.95,0.38,49.7,0.7,50.3,0.7,0.0,0.0,0.0,12.3,37.4,25.9,10.0,4.8,2.5,2.2,4.8
16CCT07-GB301M,37-38,Muddy Sand,N=8,54.95,1.83,2.838,0.032,-0.480,0.010,1.763,0.008,4.187,0.048,1.505,0.016,0.480,0.010,1.763,0.008,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.32,0.86,66.98,1.17,130.61,2.85,54.1,1.0,45.9,1.0,0.0,0.0,0.0,11.9,42.3,24.7,8.3,4.2,2.3,2.0,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT07-GB302M,0-1,Sandy Mud,N=8,26.83,1.87,3.791,0.056,-0.520,0.007,1.189,0.043,5.224,0.101,1.923,0.021,0.520,0.007,1.189,0.043,Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,2.55,0.16,40.98,2.52,92.63,3.69,29.1,2.7,70.9,2.7,0.0,0.0,0.0,3.1,25.9,30.5,14.2,7.7,5.4,4.9,8.1
16CCT07-GB302M,5-6,Sandy Mud,N=8,34.45,0.43,3.865,0.032,-0.507,0.000,1.231,0.008,4.860,0.018,1.950,0.012,0.507,0.000,1.231,0.008,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.16,0.08,50.97,0.35,119.74,0.20,40.9,0.3,59.1,0.3,0.0,0.0,0.0,8.7,32.2,23.9,11.9,7.4,4.7,3.8,7.4
16CCT07-GB302M,10-11,Sandy Mud,N=8,30.71,1.19,4.222,0.104,-0.463,0.004,1.100,0.042,5.026,0.056,2.077,0.035,0.463,0.004,1.100,0.042,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.59,0.16,45.68,1.17,123.45,0.46,38.7,0.4,61.3,0.4,0.0,0.0,0.1,9.6,29.0,21.9,12.8,8.4,5.6,4.4,8.3
16CCT07-GB302M,12-13,Sandy Mud,N=8,37.01,0.49,3.909,0.109,-0.520,0.013,1.267,0.007,4.756,0.019,1.966,0.040,0.520,0.013,1.267,0.007,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.28,0.35,55.27,0.86,127.69,1.33,44.6,0.7,55.4,0.7,0.0,0.0,0.1,10.6,33.9,22.3,11.0,6.8,4.4,3.6,7.4
16CCT07-GB302M,15-16,Sandy Mud,N=8,18.15,1.94,5.049,0.078,-0.329,0.065,0.870,0.029,5.792,0.155,2.336,0.022,0.329,0.065,0.870,0.029,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.46,0.06,26.33,4.62,103.68,3.34,26.5,2.5,73.5,2.5,0.0,0.1,0.2,5.9,20.4,19.5,14.2,11.4,8.6,6.8,13.0
16CCT07-GB302M,19-20,Muddy Sand,N=8,46.37,0.32,3.394,0.012,-0.612,0.002,1.535,0.003,4.431,0.010,1.763,0.005,0.612,0.002,1.535,0.003,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,4.96,0.09,68.62,0.45,125.05,0.29,54.7,0.3,45.3,0.3,0.0,0.0,0.0,10.0,44.7,19.6,8.1,5.2,3.5,2.9,6.0
16CCT07-GB302M,23-24,Sandy Mud,N=8,38.70,1.30,3.715,0.038,-0.589,0.008,1.383,0.076,4.692,0.049,1.893,0.015,0.589,0.008,1.383,0.076,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.51,0.10,60.18,1.84,119.56,1.39,48.0,1.6,52.0,1.6,0.0,0.0,0.0,8.5,39.5,22.1,8.9,6.3,4.2,3.4,7.1
16CCT07-GB302M,29-30,Muddy Sand,N=8,58.55,8.12,3.202,0.247,-0.475,0.057,1.619,0.159,4.108,0.202,1.675,0.111,0.475,0.057,1.619,0.159,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,9.36,2.85,75.28,4.76,158.60,11.85,59.4,3.7,40.6,3.7,0.0,1.0,1.5,17.2,39.7,18.6,7.7,4.9,2.7,2.2,4.6
16CCT07-GB302M,32-33,Muddy Sand,N=8,49.72,6.25,4.131,0.413,-0.301,0.031,1.849,0.169,4.342,0.182,2.039,0.145,0.301,0.031,1.849,0.169,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.40,2.25,63.03,3.23,194.29,7.80,50.5,2.6,49.5,2.6,0.5,4.0,3.9,9.4,32.7,23.5,9.1,5.4,3.2,2.6,5.8
16CCT07-GB302M,38-39,Muddy Sand,N=8,55.20,4.73,2.696,0.236,-0.445,0.034,1.752,0.026,4.184,0.124,1.425,0.127,0.445,0.034,1.752,0.026,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,11.89,3.25,65.32,2.41,127.59,1.49,52.8,2.5,47.2,2.5,0.0,0.0,0.0,10.8,42.0,26.8,8.1,4.2,2.3,1.8,4.0
16CCT07-GB302M,43-44,Muddy Sand,N=8,57.06,1.68,2.678,0.026,-0.434,0.007,1.866,0.027,4.132,0.042,1.421,0.014,0.434,0.007,1.866,0.027,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,11.84,0.42,65.67,1.28,128.96,2.53,53.2,1.3,46.8,1.3,0.0,0.0,0.0,11.2,41.9,27.5,7.6,3.6,2.1,1.9,4.1
16CCT07-GB302M,45-46,Sandy Mud,N=8,50.38,0.49,2.716,0.041,-0.430,0.008,1.920,0.012,4.311,0.014,1.442,0.022,0.430,0.008,1.920,0.012,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.34,0.38,59.34,0.18,118.14,1.65,46.4,0.2,53.6,0.2,0.0,0.4,0.8,7.3,37.9,32.1,8.6,4.4,2.4,1.9,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT07-GB303M,0-1,Sandy Mud,N=8,14.80,0.86,4.395,0.036,-0.354,0.022,0.909,0.012,6.081,0.084,2.136,0.012,0.354,0.022,0.909,0.012,Medium Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.46,0.06,21.30,1.60,72.05,1.83,14.0,1.0,86.0,1.0,0.0,0.0,0.0,2.6,11.4,24.7,18.8,12.8,9.4,7.3,13.1
16CCT07-GB303M,2-3,Sandy Mud,N=8,26.65,0.59,4.815,0.231,-0.421,0.045,0.994,0.023,5.230,0.033,2.266,0.069,0.421,0.045,0.994,0.023,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.00,0.04,41.18,1.31,130.51,11.33,36.6,0.7,63.4,0.7,0.3,1.0,0.7,8.8,25.9,20.1,12.3,9.1,6.8,5.3,9.8
16CCT07-GB303M,6-7,Muddy Sand,N=8,73.99,0.40,2.550,0.004,-0.455,0.002,2.004,0.010,3.757,0.008,1.350,0.002,0.455,0.002,2.004,0.010,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,15.99,0.09,84.78,0.45,156.57,0.53,69.0,0.3,31.0,0.3,0.0,0.0,0.0,21.6,47.3,16.2,4.9,2.8,1.9,1.5,3.6
16CCT07-GB303M,12-13,Muddy Sand,N=8,74.42,2.09,2.557,0.336,-0.360,0.071,2.453,0.267,3.749,0.041,1.342,0.190,0.360,0.071,2.453,0.267,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,19.66,3.34,83.66,0.97,150.00,6.81,70.5,1.4,29.5,1.4,1.0,2.1,0.8,13.7,52.9,16.1,4.5,2.5,1.7,1.4,3.3
16CCT07-GB303M,16-17,Sandy Mud,N=8,29.18,0.74,5.730,0.446,-0.323,0.049,1.116,0.046,5.100,0.037,2.514,0.115,0.323,0.049,1.116,0.046,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.01,0.04,45.19,0.72,183.81,38.02,40.9,0.9,59.1,0.9,1.5,3.2,2.5,8.2,25.5,17.3,11.3,8.8,6.7,5.2,9.8
16CCT07-GB303M,22-23,Muddy Sand,N=8,57.26,0.13,2.504,0.002,-0.579,0.001,2.697,0.007,4.126,0.003,1.324,0.001,0.579,0.001,2.697,0.007,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,9.93,0.06,68.86,0.08,106.94,0.23,59.2,0.1,40.8,0.1,0.0,0.0,0.0,4.6,54.6,23.9,4.8,3.1,2.4,2.0,4.6
16CCT07-GB303M,25-26,Muddy Sand,N=8,50.79,1.24,4.067,0.049,-0.377,0.021,1.768,0.045,4.300,0.035,2.024,0.017,0.377,0.021,1.768,0.045,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.94,0.31,69.83,0.57,178.27,6.89,55.5,0.4,44.5,0.4,0.9,3.1,2.6,12.7,36.2,19.4,7.8,5.6,3.7,2.7,5.3
16CCT07-GB303M,30-31,Muddy Sand,N=8,60.20,0.28,2.934,0.044,-0.373,0.011,1.850,0.007,4.054,0.007,1.553,0.022,0.373,0.011,1.850,0.007,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.99,0.12,70.72,0.27,160.20,3.90,57.4,0.1,42.6,0.1,0.2,1.8,2.3,13.1,40.0,23.2,7.1,4.2,2.5,1.8,3.8
16CCT07-GB303M,35-36,Muddy Sand,N=8,64.65,1.33,2.382,0.037,-0.411,0.012,1.860,0.025,3.951,0.030,1.252,0.022,0.411,0.012,1.860,0.025,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,16.76,1.35,72.33,0.87,133.92,1.61,60.0,0.8,40.0,0.8,0.0,0.0,0.1,12.8,47.1,24.4,6.0,3.0,1.8,1.4,3.3
16CCT07-GB303M,44-45,Muddy Sand,N=8,64.07,0.20,2.503,0.019,-0.286,0.012,1.757,0.008,3.964,0.004,1.324,0.011,0.286,0.012,1.757,0.008,Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,17.47,0.64,67.85,0.20,150.02,0.67,55.2,0.2,44.8,0.2,0.0,0.7,1.8,13.5,39.2,28.7,6.8,2.9,1.7,1.5,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT07-GB304M,Top,Sandy Mud,N=8,31.99,0.56,3.813,0.030,-0.512,0.001,1.142,0.024,4.966,0.025,1.931,0.011,0.512,0.001,1.142,0.024,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.13,0.09,47.57,0.62,109.50,0.63,38.8,0.3,61.2,0.3,0.0,0.0,0.0,5.8,33.0,23.6,12.7,8.2,5.4,4.1,7.3
16CCT07-GB304M,0-1,Muddy Sand,N=8,59.43,3.05,2.589,0.110,-0.508,0.023,1.913,0.007,4.075,0.074,1.371,0.061,0.508,0.023,1.913,0.007,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,12.68,2.60,71.28,1.80,124.86,2.48,58.7,1.7,41.3,1.7,0.0,0.0,0.0,10.0,48.8,23.0,6.9,3.3,2.2,1.9,4.0
16CCT07-GB304M,5-6,Sandy Mud,N=8,21.84,0.39,4.781,0.126,-0.405,0.023,0.841,0.017,5.517,0.026,2.257,0.038,0.405,0.023,0.841,0.017,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.79,0.07,33.24,1.85,109.24,3.22,32.9,2.3,67.1,2.3,0.0,0.0,0.0,6.2,26.7,18.3,12.0,10.6,8.7,6.7,10.8
16CCT07-GB304M,7-8,Muddy Sand,N=8,80.37,3.49,1.956,0.155,-0.410,0.040,2.321,0.197,3.639,0.063,0.963,0.114,0.410,0.040,2.321,0.197,Very Fine Sand,Moderately Sorted,Very Fine Skewed,Very Leptokurtic,33.87,7.59,85.03,2.27,131.75,1.76,75.9,2.7,24.1,2.7,0.0,0.0,0.0,13.1,62.8,14.8,2.6,1.5,1.2,1.1,2.9
16CCT07-GB304M,12-13,Muddy Sand,N=8,46.95,1.28,2.994,0.064,-0.606,0.013,1.826,0.044,4.413,0.039,1.582,0.031,0.606,0.013,1.826,0.044,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.16,0.38,64.87,0.12,110.91,0.64,52.6,0.1,47.4,0.1,0.0,0.0,0.0,5.4,47.2,24.0,7.6,4.5,3.3,2.8,5.2
16CCT07-GB304M,14-15,Muddy Sand,N=8,52.74,0.16,2.698,0.011,-0.537,0.003,1.991,0.014,4.245,0.004,1.432,0.006,0.537,0.003,1.991,0.014,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,8.16,0.07,64.48,0.23,111.82,0.13,52.2,0.2,47.8,0.2,0.0,0.0,0.0,5.5,46.7,27.6,6.9,3.5,2.7,2.4,4.7
16CCT07-GB304M,17-18,Sandy Mud,N=8,31.57,4.56,4.370,0.241,-0.524,0.114,1.433,0.411,5.000,0.210,2.126,0.079,0.524,0.114,1.433,0.411,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.73,0.56,53.65,4.02,123.22,29.26,40.7,4.2,59.3,4.2,0.8,1.7,1.1,3.9,33.1,26.2,8.3,6.5,5.6,4.6,8.1
16CCT07-GB304M,20-21,Muddy Sand,N=8,49.29,2.20,3.378,0.070,-0.469,0.014,1.955,0.023,4.344,0.064,1.756,0.030,0.469,0.014,1.955,0.023,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.75,0.45,65.07,1.17,143.92,3.50,52.5,1.1,47.5,1.1,0.0,1.0,2.6,10.1,38.8,24.9,6.7,4.3,3.4,2.8,5.4
16CCT07-GB304M,23-24,Muddy Sand,N=8,66.89,0.09,2.523,0.014,-0.445,0.003,1.957,0.025,3.902,0.002,1.335,0.008,0.445,0.003,1.957,0.025,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,15.15,0.26,75.59,0.21,138.30,0.25,62.1,0.3,37.9,0.3,0.0,0.0,0.0,14.8,47.3,22.4,5.3,2.7,2.0,1.7,3.8
16CCT07-GB304M,27-28,Muddy Sand,N=8,63.40,5.39,2.807,0.261,-0.308,0.042,2.024,0.040,3.985,0.123,1.483,0.135,0.308,0.042,2.024,0.040,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,14.16,4.45,70.98,2.77,162.99,1.10,58.3,3.0,41.7,3.0,0.0,0.9,4.3,11.2,41.8,24.4,6.3,3.4,2.2,1.8,3.6
16CCT07-GB304M,33-34,Sandy Mud,N=8,55.34,1.43,2.501,0.086,-0.314,0.017,2.140,0.063,4.176,0.037,1.321,0.050,0.314,0.017,2.140,0.063,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,14.78,1.78,59.46,0.89,122.58,2.83,46.2,1.1,53.8,1.1,0.0,0.5,1.9,7.2,36.6,36.1,7.4,3.0,2.0,1.7,3.7
16CCT07-GB304M,40-41,Muddy Sand,N=8,56.87,2.84,3.104,0.055,-0.321,0.041,1.804,0.065,4.138,0.072,1.634,0.025,0.321,0.041,1.804,0.065,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,9.82,1.24,65.13,1.13,166.48,10.57,52.3,1.0,47.7,1.0,0.0,0.7,4.3,11.8,35.5,26.3,8.4,4.1,2.7,2.1,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT07-GB305M,0-1,Muddy Sand,N=8,77.16,2.36,2.064,0.085,-0.422,0.025,2.406,0.049,3.697,0.044,1.044,0.059,0.422,0.025,2.406,0.049,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,31.44,4.31,82.13,1.37,130.65,1.43,72.9,1.8,27.1,1.8,0.0,0.0,0.0,12.4,60.5,17.2,3.0,1.3,1.2,1.2,3.2
16CCT07-GB305M,1-2,Muddy Sand,N=8,84.30,0.31,1.723,0.030,-0.306,0.014,1.772,0.065,3.568,0.005,0.785,0.025,0.306,0.014,1.772,0.065,Very Fine Sand,Moderately Sorted,Very Fine Skewed,Very Leptokurtic,41.88,0.90,87.18,0.16,137.65,0.09,78.3,0.3,21.7,0.3,0.0,0.0,0.0,15.8,62.6,14.4,2.4,1.1,0.8,0.8,2.2
16CCT07-GB305M,4-5,Muddy Sand,N=8,58.96,4.67,2.853,0.184,-0.555,0.019,1.980,0.134,4.089,0.115,1.509,0.093,0.555,0.019,1.980,0.134,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,9.17,2.00,75.47,2.32,133.21,1.35,62.2,2.6,37.8,2.6,0.0,0.0,0.0,12.9,49.3,18.5,6.2,3.7,2.7,2.3,4.5
16CCT07-GB305M,6-7,Muddy Sand,N=8,68.55,1.72,2.444,0.084,-0.519,0.015,2.330,0.015,3.867,0.036,1.289,0.050,0.519,0.015,2.330,0.015,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,15.15,1.99,80.04,0.58,132.20,0.14,68.2,0.9,31.8,0.9,0.0,0.0,0.0,12.7,55.5,16.8,4.8,2.7,2.0,1.7,3.8
16CCT07-GB305M,9-10,Muddy Sand,N=8,68.12,2.59,2.481,0.090,-0.516,0.008,2.121,0.057,3.877,0.055,1.310,0.052,0.516,0.008,2.121,0.057,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,15.27,1.97,80.10,1.72,134.72,0.74,66.8,1.8,33.2,1.8,0.0,0.0,0.0,13.9,53.0,17.7,5.3,2.8,2.0,1.6,3.8
16CCT07-GB305M,14-15,Sandy Mud,N=8,37.41,2.88,3.730,0.190,-0.555,0.014,1.311,0.094,4.745,0.111,1.897,0.074,0.555,0.014,1.311,0.094,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.55,0.56,56.52,3.20,119.15,0.41,45.4,2.3,54.6,2.3,0.0,0.0,0.0,8.3,37.1,22.8,10.4,6.4,4.4,3.7,7.0
16CCT07-GB305M,20-21,Sandy Mud,N=8,31.45,1.26,4.181,0.072,-0.541,0.015,1.079,0.029,4.992,0.058,2.064,0.025,0.541,0.015,1.079,0.029,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.60,0.13,50.97,2.22,117.86,0.99,42.1,1.4,57.9,1.4,0.0,0.0,0.1,8.0,34.1,20.7,11.0,7.7,5.8,4.5,8.2
16CCT07-GB305M,28-29,Sandy Mud,N=8,24.93,1.62,4.989,0.068,-0.501,0.035,0.816,0.045,5.329,0.094,2.319,0.020,0.501,0.035,0.816,0.045,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.82,0.04,43.71,4.22,121.64,2.11,40.7,1.8,59.3,1.8,0.0,0.0,0.0,9.0,31.6,15.8,9.6,8.1,8.1,7.1,10.7
16CCT07-GB305M,31-32,Muddy Sand,N=8,53.76,2.99,3.252,0.101,-0.629,0.006,1.674,0.124,4.220,0.080,1.701,0.045,0.629,0.006,1.674,0.124,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.96,0.55,78.64,2.92,136.25,1.46,62.4,2.6,37.6,2.6,0.0,0.0,0.0,14.9,47.5,14.8,6.9,4.4,3.2,2.9,5.2
16CCT07-GB305M,35-36,Sandy Mud,N=8,41.43,1.82,3.593,0.096,-0.534,0.002,1.329,0.053,4.595,0.063,1.844,0.039,0.534,0.002,1.329,0.053,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,4.37,0.50,59.26,1.24,126.31,0.70,47.7,0.8,52.3,0.8,0.0,0.0,0.0,10.5,37.2,21.7,10.8,6.4,3.9,3.1,6.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
